,AMAZON,NEW,USED,COUNT_NEW,BUY_BOX_SHIPPING,SALES,LISTPRICE,COUNT_REVIEWS,RATING,NEW_FBA
2021-12-09 23:36:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-10 05:48:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-10 06:30:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-10 10:32:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-20 08:12:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-21 10:12:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-24 13:36:00-05:00,12.99,12.99,,1.0,12.99,75990.0,12.99,2.0,5.0,13.17
2021-12-24 15:44:00-05:00,12.99,12.99,,1.0,12.99,79730.0,12.99,2.0,5.0,13.17
2021-12-25 08:20:00-05:00,12.99,12.99,,1.0,12.99,93823.0,12.99,2.0,5.0,13.17
2021-12-25 11:58:00-05:00,12.99,12.99,,1.0,12.99,96073.0,12.99,2.0,5.0,13.17
2021-12-26 01:30:00-05:00,12.99,12.99,,1.0,12.99,836695.0,12.99,2.0,5.0,13.17
2021-12-26 15:40:00-05:00,12.99,12.99,,1.0,12.99,163835.0,12.99,2.0,5.0,13.17
2021-12-30 05:42:00-05:00,12.99,12.99,,1.0,12.99,67750.0,12.99,2.0,5.0,13.17
2021-12-30 05:52:00-05:00,12.99,12.99,,1.0,12.99,67683.0,12.99,2.0,5.0,13.17
2021-12-30 08:56:00-05:00,12.99,12.99,,1.0,12.99,70252.0,12.99,2.0,5.0,13.17
2021-12-31 02:32:00-05:00,12.99,12.99,,1.0,12.99,63409.0,12.99,2.0,5.0,13.17
2022-01-03 13:34:00-05:00,12.99,12.99,,1.0,12.99,104437.0,12.99,2.0,5.0,13.17
2022-01-04 04:44:00-05:00,12.99,12.99,,1.0,12.99,115113.0,12.99,2.0,5.0,13.17
2022-01-06 14:08:00-05:00,12.99,12.99,,1.0,12.99,134629.0,12.99,2.0,5.0,13.17
2022-01-08 05:08:00-05:00,12.99,12.99,,1.0,12.99,118094.0,12.99,2.0,5.0,13.17
2022-01-08 05:36:00-05:00,12.99,12.99,,1.0,12.99,145429.0,12.99,2.0,5.0,13.17
2022-01-08 09:46:00-05:00,12.99,12.99,,1.0,12.99,145669.0,12.99,2.0,5.0,13.17
2022-01-08 11:20:00-05:00,12.99,12.99,,1.0,12.99,145962.0,12.99,2.0,5.0,13.17
2022-01-09 10:56:00-05:00,12.99,12.99,,1.0,12.99,150499.0,12.99,2.0,5.0,13.17
2022-01-10 04:38:00-05:00,12.99,12.99,,1.0,12.99,154405.0,12.99,2.0,5.0,13.17
2022-01-10 09:46:00-05:00,12.99,12.99,,1.0,12.99,154665.0,12.99,2.0,5.0,13.17
2022-01-10 18:40:00-05:00,12.99,12.99,,1.0,12.99,155992.0,12.99,2.0,5.0,13.17
2022-01-11 03:22:00-05:00,12.99,12.99,,1.0,12.99,157794.0,12.99,2.0,5.0,13.17
2022-01-11 10:04:00-05:00,12.99,12.99,,1.0,12.99,158189.0,12.99,2.0,5.0,13.17
2022-01-11 17:44:00-05:00,12.99,12.99,,1.0,12.99,158818.0,12.99,2.0,5.0,13.17
2022-01-11 20:12:00-05:00,12.99,12.99,,1.0,12.99,57770.0,12.99,2.0,5.0,13.17
2022-01-12 03:50:00-05:00,12.99,12.99,,1.0,12.99,75524.0,12.99,2.0,5.0,13.17
2022-01-12 09:08:00-05:00,12.99,12.99,,1.0,12.99,78625.0,12.99,2.0,5.0,13.17
2022-01-12 12:08:00-05:00,12.99,12.99,,1.0,12.99,81007.0,12.99,2.0,5.0,13.17
2022-01-14 23:34:00-05:00,12.99,12.99,,1.0,12.99,42028.0,12.99,2.0,5.0,13.17
2022-01-15 02:32:00-05:00,12.99,12.99,,1.0,12.99,39482.0,12.99,2.0,5.0,13.17
2022-01-15 06:36:00-05:00,12.99,12.99,,1.0,12.99,30891.0,12.99,2.0,5.0,13.17
2022-01-15 13:30:00-05:00,12.99,12.99,,1.0,12.99,21618.0,12.99,2.0,5.0,13.17
