,Sales Rank
2022-12-14,140
2022-12-15,130
2022-12-16,118
2022-12-17,120
2022-12-18,112
2022-12-19,104
2022-12-20,125
2022-12-21,138
2022-12-22,170
2022-12-23,164
2022-12-24,157
2022-12-25,211
2022-12-26,356
2022-12-27,451
2022-12-28,525
2022-12-29,553
2022-12-30,547
2022-12-31,524
2023-01-01,597
2023-01-02,593
2023-01-03,656
2023-01-04,602
2023-01-05,599
2023-01-06,575
2023-01-07,535
2023-01-08,521
2023-01-09,493
2023-01-10,471
2023-01-11,456
2023-01-12,498
2023-01-13,544
2023-01-14,686
2023-01-15,624
2023-01-16,719
2023-01-17,766
2023-01-18,774
2023-01-19,756
2023-01-20,790
2023-01-21,782
2023-01-22,686
2023-01-23,768
2023-01-24,816
2023-01-25,808
2023-01-26,800
2023-01-27,714
2023-01-28,684
2023-01-29,740
2023-01-30,712
2023-01-31,693
2023-02-01,754
2023-02-02,764
2023-02-03,732
2023-02-04,654
2023-02-05,743
2023-02-06,764
2023-02-07,802
2023-02-08,808
2023-02-09,767
2023-02-10,743
2023-02-11,686
2023-02-12,737
2023-02-13,873
2023-02-14,837
2023-02-15,844
2023-02-16,820
2023-02-17,756
2023-02-18,773
2023-02-19,859
2023-02-20,823
2023-02-21,982
2023-02-22,1015
2023-02-23,887
2023-02-24,895
2023-02-25,903
2023-02-26,850
2023-02-27,969
2023-02-28,901
2023-03-01,905
2023-03-02,879
2023-03-03,954
2023-03-04,747
2023-03-05,246
2023-03-06,268
2023-03-07,291
2023-03-08,447
2023-03-09,505
2023-03-10,505
2023-03-11,532
2023-03-12,559
2023-03-13,601
2023-03-14,682
2023-03-15,713
2023-03-16,736
2023-03-17,789
2023-03-18,826
2023-03-19,770
2023-03-20,888
2023-03-21,905
2023-03-22,737
2023-03-23,302
2023-03-24,73
2023-03-25,149
2023-03-26,224
2023-03-27,438
2023-03-28,649
2023-03-29,752
2023-03-30,830
2023-03-31,795
2023-04-01,770
2023-04-02,888
2023-04-03,892
2023-04-04,946
2023-04-05,911
2023-04-06,43
2023-04-07,195
2023-04-08,356
2023-04-09,516
2023-04-10,776
2023-04-11,912
2023-04-12,923
2023-04-13,1083
2023-04-14,1070
2023-04-15,1010
2023-04-16,1033
2023-04-17,1097
2023-04-18,1194
2023-04-19,1213
2023-04-20,1220
2023-04-21,1206
2023-04-22,1078
2023-04-23,948
2023-04-24,1157
2023-04-25,1161
2023-04-26,1080
2023-04-27,1053
2023-04-28,616
2023-04-29,476
2023-04-30,443
2023-05-01,405
2023-05-02,202
2023-05-03,375
2023-05-04,831
2023-05-05,649
2023-05-06,698
2023-05-07,719
2023-05-08,771
2023-05-09,777
2023-05-10,791
2023-05-11,815
2023-05-12,761
2023-05-13,735
2023-05-14,689
2023-05-15,807
2023-05-16,776
2023-05-17,841
2023-05-18,810
2023-05-19,786
2023-05-20,780
2023-05-21,814
2023-05-22,853
2023-05-23,953
2023-05-24,1277
2023-05-25,1095
2023-05-26,895
2023-05-27,823
2023-05-28,718
2023-05-30,723
2023-05-31,757
2023-06-01,713
2023-06-02,691
2023-06-03,688
2023-06-04,724
2023-06-05,808
2023-06-06,840
2023-06-07,726
2023-06-08,705
2023-06-09,644
2023-06-10,598
2023-06-11,643
2023-06-12,691
2023-06-13,635
2023-06-14,615
2023-06-15,626
2023-06-16,638
2023-06-17,638
2023-06-18,591
2023-06-19,626
2023-06-20,614
2023-06-21,610
2023-06-22,574
2023-06-23,540
2023-06-24,379
2023-06-25,317
2023-06-26,345
2023-06-27,291
2023-06-28,183
2023-06-29,125
2023-06-30,201
2023-07-01,194
2023-07-02,210
2023-07-03,249
2023-07-04,248
2023-07-05,307
2023-07-06,304
2023-07-07,312
2023-07-08,137
2023-07-09,142
2023-07-10,183
2023-07-11,41
2023-07-12,115
2023-07-13,188
2023-07-14,222
2023-07-15,263
2023-07-16,245
2023-07-17,347
2023-07-18,355
2023-07-19,377
2023-07-20,393
2023-07-21,455
2023-07-22,466
2023-07-23,496
2023-07-24,551
2023-07-25,540
2023-07-26,586
2023-07-27,544
2023-07-28,497
2023-07-29,118
2023-07-30,165
2023-07-31,194
2023-08-01,120
2023-08-02,146
2023-08-03,133
2023-08-04,220
2023-08-05,286
2023-08-06,327
2023-08-07,382
2023-08-08,468
2023-08-09,502
2023-08-10,496
2023-08-11,476
2023-08-12,464
2023-08-13,492
2023-08-14,512
2023-08-15,478
2023-08-16,517
2023-08-17,495
2023-08-18,516
2023-08-19,439
2023-08-20,458
2023-08-21,501
2023-08-22,503
2023-08-23,486
2023-08-24,454
2023-08-25,520
2023-08-26,368
2023-08-27,414
2023-08-28,498
2023-08-29,429
2023-08-30,464
2023-08-31,419
2023-09-01,415
2023-09-02,431
2023-09-03,422
2023-09-04,421
2023-09-05,391
2023-09-06,421
2023-09-07,409
2023-09-08,409
2023-09-09,390
2023-09-10,393
