,Sales Rank
2022-12-14,1174
2022-12-15,1297
2022-12-16,1352
2022-12-17,1093
2022-12-18,918
2022-12-19,960
2022-12-20,1007
2022-12-21,1115
2022-12-22,1121
2022-12-23,1130
2022-12-24,1111
2022-12-25,1093
2022-12-26,1033
2022-12-27,1021
2022-12-28,878
2022-12-29,848
2022-12-30,836
2022-12-31,813
2023-01-01,829
2023-01-02,718
2023-01-03,752
2023-01-04,788
2023-01-05,838
2023-01-06,817
2023-01-07,831
2023-01-08,821
2023-01-09,765
2023-01-10,755
2023-01-11,750
2023-01-12,762
2023-01-13,836
2023-01-14,1136
2023-01-15,1125
2023-01-16,1132
2023-01-17,1048
2023-01-18,1169
2023-01-19,1187
2023-01-20,1075
2023-01-21,1106
2023-01-22,1005
2023-01-23,876
2023-01-24,945
2023-01-25,1010
2023-01-26,1021
2023-01-27,886
2023-01-28,911
2023-01-29,820
2023-01-30,950
2023-01-31,1048
2023-02-01,895
2023-02-02,1020
2023-02-03,1010
2023-02-04,1195
2023-02-05,1008
2023-02-06,1073
2023-02-07,908
2023-02-08,956
2023-02-09,1039
2023-02-10,1009
2023-02-11,992
2023-02-12,876
2023-02-13,1013
2023-02-14,814
2023-02-15,850
2023-02-16,945
2023-02-17,945
2023-02-18,857
2023-02-19,777
2023-02-20,885
2023-02-21,1004
2023-02-22,948
2023-02-23,858
2023-02-24,867
2023-02-25,907
2023-02-26,770
2023-02-27,844
2023-02-28,842
2023-03-01,844
2023-03-02,1037
2023-03-03,910
2023-03-04,866
2023-03-05,751
2023-03-06,794
2023-03-07,842
2023-03-08,831
2023-03-09,827
2023-03-10,898
2023-03-11,833
2023-03-12,796
2023-03-13,872
2023-03-14,813
2023-03-15,805
2023-03-16,864
2023-03-17,889
2023-03-18,856
2023-03-19,829
2023-03-20,788
2023-03-21,847
2023-03-22,816
2023-03-23,837
2023-03-24,795
2023-03-25,837
2023-03-26,770
2023-03-27,766
2023-03-28,802
2023-03-29,798
2023-03-30,800
2023-03-31,852
2023-04-01,795
2023-04-02,747
2023-04-03,742
2023-04-04,781
2023-04-05,727
2023-04-06,816
2023-04-07,799
2023-04-08,802
2023-04-09,854
2023-04-10,834
2023-04-11,833
2023-04-12,812
2023-04-13,791
2023-04-14,869
2023-04-15,903
2023-04-16,807
2023-04-17,789
2023-04-18,747
2023-04-19,780
2023-04-20,798
2023-04-21,813
2023-04-22,711
2023-04-23,682
2023-04-24,706
2023-04-25,769
2023-04-26,829
2023-04-27,829
2023-04-28,842
2023-04-29,760
2023-04-30,836
2023-05-01,707
2023-05-02,846
2023-05-03,889
2023-05-04,902
2023-05-05,826
2023-05-06,843
2023-05-07,628
2023-05-08,681
2023-05-09,706
2023-05-10,745
2023-05-11,765
2023-05-12,778
2023-05-13,775
2023-05-14,646
2023-05-15,631
2023-05-16,679
2023-05-17,624
2023-05-18,657
2023-05-19,654
2023-05-20,664
2023-05-21,605
2023-05-22,613
2023-05-23,669
2023-05-24,592
2023-05-25,632
2023-05-26,663
2023-05-27,675
2023-05-28,545
2023-05-31,482
2023-06-01,556
2023-06-02,557
2023-06-03,590
2023-06-04,511
2023-06-05,389
2023-06-06,504
2023-06-07,504
2023-06-08,514
2023-06-09,498
2023-06-10,554
2023-06-11,452
2023-06-12,452
2023-06-13,492
2023-06-14,502
2023-06-15,571
2023-06-16,550
2023-06-17,501
2023-06-18,510
2023-06-19,479
2023-06-20,475
2023-06-21,461
2023-06-22,477
2023-06-23,488
2023-06-24,558
2023-06-25,542
2023-06-26,484
2023-06-27,498
2023-06-28,546
2023-06-29,508
2023-06-30,567
2023-07-01,567
2023-07-02,529
2023-07-03,568
2023-07-04,482
2023-07-05,501
2023-07-06,513
2023-07-07,577
2023-07-08,500
2023-07-09,472
2023-07-10,471
2023-07-11,709
2023-07-12,818
2023-07-13,701
2023-07-14,673
2023-07-15,640
2023-07-16,558
2023-07-17,498
2023-07-18,569
2023-07-19,521
2023-07-20,540
2023-07-21,584
2023-07-22,580
2023-07-23,474
2023-07-24,500
2023-07-25,558
2023-07-26,575
2023-07-27,582
2023-07-28,600
2023-07-29,679
2023-07-30,593
2023-07-31,495
2023-08-01,558
2023-08-02,539
2023-08-03,534
2023-08-04,548
2023-08-05,559
2023-08-06,550
2023-08-07,500
2023-08-08,556
2023-08-09,547
2023-08-10,619
2023-08-11,610
2023-08-12,577
2023-08-13,488
2023-08-14,515
2023-08-15,555
2023-08-16,574
2023-08-17,616
2023-08-18,606
2023-08-19,601
2023-08-20,557
2023-08-21,615
2023-08-22,663
2023-08-23,729
2023-08-24,745
2023-08-25,923
2023-08-26,908
2023-08-27,1018
2023-08-28,1120
2023-08-29,1180
2023-08-30,1381
2023-08-31,1472
2023-09-01,1560
2023-09-02,1700
2023-09-03,1650
2023-09-04,1471
2023-09-05,1494
2023-09-06,1487
2023-09-07,1660
2023-09-08,1939
2023-09-09,1866
2023-09-10,1975
2023-09-11,1794
2023-09-12,1638
2023-09-13,1837
2023-09-14,1788
2023-09-15,1842
2023-09-16,1399
2023-09-17,1157
2023-09-18,1079
2023-09-19,1190
2023-09-20,1281
2023-09-21,1333
2023-09-22,1378
2023-09-23,1455
2023-09-24,1182
2023-09-25,1026
2023-09-26,1042
2023-09-27,1083
2023-09-28,1172
2023-09-29,1227
2023-09-30,1209
2023-10-01,1170
2023-10-02,1213
2023-10-03,1156
2023-10-04,1098
2023-10-05,1053
2023-10-06,1099
2023-10-07,1099
2023-10-08,1135
2023-10-09,1042
2023-10-10,962
2023-10-11,1436
2023-10-12,1335
2023-10-13,1213
2023-10-14,1069
2023-10-15,1127
2023-10-16,1065
2023-10-17,1059
2023-10-18,1089
2023-10-19,1193
2023-10-20,1194
2023-10-21,1204
2023-10-22,1232
2023-10-23,1109
2023-10-24,1285
2023-10-25,1199
2023-10-26,1183
2023-10-27,1376
2023-10-28,1647
2023-10-29,1716
2023-10-30,1622
2023-10-31,1895
2023-11-01,1951
2023-11-02,1789
2023-11-03,1809
2023-11-04,1690
2023-11-05,1512
2023-11-06,1506
2023-11-07,1272
2023-11-08,1089
2023-11-09,1243
2023-11-10,1228
2023-11-11,1232
2023-11-12,1077
2023-11-13,1131
2023-11-14,1160
2023-11-15,1092
2023-11-16,1242
2023-11-17,1361
2023-11-18,1349
2023-11-19,1197
2023-11-20,1303
2023-11-21,1349
2023-11-22,1579
2023-11-23,1682
2023-11-24,1583
2023-11-25,1681
2023-11-26,1795
2023-11-27,1712
2023-11-28,1604
2023-11-29,1620
2023-11-30,1599
2023-12-01,1517
2023-12-02,1513
2023-12-03,1301
2023-12-04,1242
2023-12-05,1391
2023-12-06,1264
2023-12-07,1418
2023-12-08,1354
2023-12-09,1319
2023-12-10,1214
2023-12-11,1298
2023-12-12,1324
2023-12-13,1304
2023-12-14,1158
2023-12-15,1269
2023-12-16,1141
2023-12-17,1085
2023-12-18,1237
2023-12-19,1270
2023-12-20,1642
2023-12-21,1727
2023-12-22,1664
2023-12-23,1601
2023-12-24,1430
2023-12-25,1365
2023-12-26,1148
2023-12-27,1315
2023-12-28,1422
2023-12-29,1246
2023-12-30,1017
2023-12-31,1112
2024-01-01,1154
2024-01-02,1024
2024-01-03,1037
2024-01-04,1025
2024-01-05,1112
2024-01-06,1225
2024-01-07,1055
2024-01-08,1048
2024-01-09,1030
2024-01-10,1100
2024-01-11,1028
2024-01-12,1110
2024-01-13,1015
2024-01-14,904
2024-01-15,1092
2024-01-16,983
2024-01-17,879
2024-01-18,1081
2024-01-19,1026
2024-01-20,1124
2024-01-21,1025
2024-01-22,942
2024-01-23,964
2024-01-24,930
2024-01-25,960
2024-01-26,1055
2024-01-27,1028
2024-01-28,866
2024-01-29,934
2024-01-30,945
2024-01-31,977
2024-02-01,1055
2024-02-02,973
2024-02-03,1003
2024-02-04,900
2024-02-05,811
2024-02-06,857
2024-02-07,836
2024-02-08,873
2024-02-09,902
2024-02-10,888
2024-02-11,737
2024-02-12,790
2024-02-13,869
2024-02-14,871
2024-02-15,895
2024-02-16,877
2024-02-17,907
2024-02-18,848
2024-02-19,874
2024-02-20,798
2024-02-21,869
2024-02-22,855
2024-02-23,830
2024-02-24,726
2024-02-25,694
2024-02-26,626
2024-02-27,666
2024-02-28,702
2024-02-29,770
2024-03-01,769
2024-03-02,638
2024-03-03,557
2024-03-04,645
2024-03-05,641
2024-03-06,665
2024-03-07,667
2024-03-08,736
2024-03-09,737
2024-03-10,688
2024-03-11,718
2024-03-12,652
2024-03-13,702
2024-03-14,745
2024-03-15,765
2024-03-16,749
2024-03-17,762
2024-03-18,641
2024-03-19,621
2024-03-20,679
2024-03-21,723
2024-03-22,705
2024-03-23,765
2024-03-24,621
2024-03-25,668
2024-03-26,695
2024-03-27,749
2024-03-28,743
2024-03-29,697
2024-03-30,739
2024-03-31,660
2024-04-01,647
2024-04-02,632
2024-04-03,655
2024-04-04,660
2024-04-05,721
2024-04-06,699
2024-04-07,649
2024-04-08,575
2024-04-09,662
2024-04-10,627
2024-04-11,621
2024-04-12,668
2024-04-13,610
2024-04-14,648
2024-04-15,609
2024-04-16,549
2024-04-17,570
2024-04-18,613
2024-04-19,671
2024-04-20,636
2024-04-21,624
2024-04-22,605
2024-04-23,698
2024-04-24,680
2024-04-25,688
2024-04-26,743
2024-04-27,633
2024-04-28,642
2024-04-29,605
2024-04-30,611
2024-05-01,661
2024-05-02,653
2024-05-03,619
2024-05-04,659
2024-05-05,604
2024-05-06,540
2024-05-07,596
2024-05-08,721
2024-05-09,616
2024-05-10,632
2024-05-11,618
2024-05-12,610
2024-05-13,555
2024-05-14,558
2024-05-15,554
2024-05-16,568
2024-05-17,561
2024-05-18,539
2024-05-19,526
2024-05-20,479
2024-05-21,545
2024-05-22,542
2024-05-23,614
2024-05-24,570
2024-05-25,610
2024-05-26,506
2024-05-27,505
2024-05-28,475
2024-05-29,533
2024-05-30,544
2024-05-31,593
2024-06-01,497
2024-06-02,505
2024-06-03,511
2024-06-04,516
2024-06-05,537
2024-06-06,552
2024-06-07,553
2024-06-08,497
2024-06-09,450
2024-06-10,470
2024-06-11,501
2024-06-12,515
2024-06-13,548
2024-06-14,549
2024-06-15,512
2024-06-16,486
2024-06-17,497
2024-06-18,480
2024-06-19,599
2024-06-20,563
2024-06-21,603
2024-06-22,633
