,Sales Rank
2022-12-14,2247
2022-12-15,1678
2022-12-16,1432
2022-12-17,1469
2022-12-18,1525
2022-12-19,1756
2022-12-20,1840
2022-12-21,1794
2022-12-22,1540
2022-12-23,467
2022-12-24,454
2022-12-25,397
2022-12-26,408
2022-12-27,172
2022-12-28,323
2022-12-29,366
2022-12-30,394
2022-12-31,446
2023-01-01,474
2023-01-02,476
2023-01-03,457
2023-01-04,485
2023-01-05,485
2023-01-06,440
2023-01-07,439
2023-01-08,407
2023-01-09,392
2023-01-10,380
2023-01-11,359
2023-01-12,368
2023-01-13,427
2023-01-14,604
2023-01-15,666
2023-01-16,565
2023-01-17,535
2023-01-18,556
2023-01-19,585
2023-01-20,615
2023-01-21,674
2023-01-22,601
2023-01-23,538
2023-01-24,503
2023-01-25,453
2023-01-26,461
2023-01-27,462
2023-01-28,457
2023-01-29,478
2023-01-30,496
2023-01-31,482
2023-02-01,479
2023-02-02,573
2023-02-03,555
2023-02-04,569
2023-02-05,560
2023-02-06,534
2023-02-07,472
2023-02-08,412
2023-02-09,385
2023-02-10,388
2023-02-11,383
2023-02-12,365
2023-02-13,363
2023-02-14,417
2023-02-15,424
2023-02-16,437
2023-02-17,428
2023-02-18,422
2023-02-19,394
2023-02-20,402
2023-02-21,380
2023-02-22,385
2023-02-23,382
2023-02-24,371
2023-02-25,426
2023-02-26,402
2023-02-27,418
2023-02-28,395
2023-03-01,392
2023-03-02,435
2023-03-03,424
2023-03-04,645
2023-03-05,534
2023-03-06,436
2023-03-07,448
2023-03-08,509
2023-03-09,536
2023-03-10,487
2023-03-11,562
2023-03-12,549
2023-03-13,688
2023-03-14,788
2023-03-15,817
2023-03-16,840
2023-03-17,740
2023-03-18,867
2023-03-19,548
2023-03-20,496
2023-03-21,500
2023-03-22,486
2023-03-23,492
2023-03-24,511
2023-03-25,343
2023-03-26,396
2023-03-27,306
2023-03-28,357
2023-03-29,357
2023-03-30,466
2023-03-31,414
2023-04-01,527
2023-04-02,484
2023-04-03,462
2023-04-04,427
2023-04-05,457
2023-04-06,419
2023-04-07,414
2023-04-08,474
2023-04-09,500
2023-04-10,493
2023-04-11,445
2023-04-12,444
2023-04-13,456
2023-04-14,459
2023-04-15,535
2023-04-16,475
2023-04-17,421
2023-04-18,429
2023-04-19,459
2023-04-20,466
2023-04-21,467
2023-04-22,463
2023-04-23,551
2023-04-24,441
2023-04-25,427
2023-04-26,427
2023-04-27,370
2023-04-28,369
2023-04-29,400
2023-04-30,413
2023-05-01,413
2023-05-02,383
2023-05-03,410
2023-05-04,361
2023-05-05,350
2023-05-06,352
2023-05-07,348
2023-05-08,331
2023-05-09,361
2023-05-10,345
2023-05-11,378
2023-05-12,378
2023-05-13,389
2023-05-14,384
2023-05-15,354
2023-05-16,383
2023-05-17,381
2023-05-18,367
2023-05-19,361
2023-05-20,436
2023-05-21,802
2023-05-22,813
2023-05-23,833
2023-05-24,983
2023-05-25,522
2023-05-26,482
2023-05-27,535
2023-05-28,493
2023-05-30,428
2023-05-31,778
2023-06-01,453
2023-06-02,433
2023-06-03,501
2023-06-04,517
2023-06-05,483
2023-06-06,475
2023-06-07,462
2023-06-08,439
2023-06-09,426
2023-06-10,476
2023-06-11,534
2023-06-12,518
2023-06-13,508
2023-06-14,494
2023-06-15,468
2023-06-16,449
2023-06-17,475
2023-06-18,473
2023-06-19,473
2023-06-20,433
2023-06-21,449
2023-06-22,425
2023-06-23,447
2023-06-24,458
2023-06-25,465
2023-06-26,494
2023-06-27,481
2023-06-28,452
2023-06-29,485
2023-06-30,398
2023-07-01,449
2023-07-02,460
2023-07-03,480
2023-07-04,427
2023-07-05,444
2023-07-06,470
2023-07-07,465
2023-07-08,462
2023-07-09,478
2023-07-10,444
2023-07-11,654
2023-07-12,864
2023-07-13,879
2023-07-14,633
2023-07-15,557
2023-07-16,589
2023-07-17,489
2023-07-18,489
2023-07-19,349
2023-07-20,288
2023-07-21,271
2023-07-22,356
2023-07-23,445
2023-07-24,412
2023-07-25,420
2023-07-26,462
2023-07-27,470
2023-07-28,423
2023-07-29,463
2023-07-30,477
2023-07-31,455
2023-08-01,425
2023-08-02,445
2023-08-03,416
2023-08-04,409
2023-08-05,378
2023-08-06,386
2023-08-07,371
2023-08-08,398
2023-08-09,390
2023-08-10,370
2023-08-11,387
2023-08-12,413
2023-08-13,402
2023-08-14,363
2023-08-15,388
2023-08-16,381
2023-08-17,364
2023-08-18,418
2023-08-19,389
2023-08-20,420
2023-08-21,416
2023-08-22,438
2023-08-23,454
2023-08-24,565
2023-08-25,490
2023-08-26,483
2023-08-27,562
2023-08-28,463
2023-08-29,468
2023-08-30,472
2023-08-31,428
2023-09-01,376
2023-09-02,388
2023-09-03,382
2023-09-04,351
2023-09-05,341
2023-09-06,312
2023-09-07,302
2023-09-08,304
2023-09-09,304
2023-09-10,333
2023-09-11,343
2023-09-12,332
2023-09-13,346
2023-09-14,363
2023-09-15,352
2023-09-16,364
2023-09-17,350
2023-09-18,312
2023-09-19,332
2023-09-20,342
2023-09-21,401
2023-09-22,343
2023-09-23,437
2023-09-24,399
2023-09-25,343
2023-09-26,363
2023-09-27,368
2023-09-28,385
2023-09-29,405
2023-09-30,378
2023-10-01,374
2023-10-02,402
2023-10-03,384
2023-10-04,363
2023-10-05,359
2023-10-06,372
2023-10-07,375
2023-10-08,453
2023-10-09,379
2023-10-10,384
2023-10-11,245
2023-10-12,220
2023-10-13,195
2023-10-14,192
