,Sales Rank
2022-12-14,404
2022-12-15,418
2022-12-16,518
2022-12-17,504
2022-12-18,527
2022-12-19,544
2022-12-20,486
2022-12-21,464
2022-12-22,393
2022-12-23,382
2022-12-24,404
2022-12-25,293
2022-12-26,303
2022-12-27,329
2022-12-28,298
2022-12-29,279
2022-12-30,346
2022-12-31,346
2023-01-01,345
2023-01-02,319
2023-01-03,312
2023-01-04,318
2023-01-05,331
2023-01-06,1071
2023-01-07,1139
2023-01-08,1136
2023-01-09,1131
2023-01-10,335
2023-01-11,330
2023-01-12,336
2023-01-13,329
2023-01-14,386
2023-01-15,336
2023-01-16,350
2023-01-17,282
2023-01-18,364
2023-01-19,299
2023-01-20,362
2023-01-21,369
2023-01-22,387
2023-01-23,333
2023-01-24,369
2023-01-25,332
2023-01-26,545
2023-01-27,687
2023-01-28,736
2023-01-29,739
2023-01-30,731
2023-01-31,651
2023-02-01,623
2023-02-02,750
2023-02-03,740
2023-02-04,827
2023-02-05,798
2023-02-06,716
2023-02-07,687
2023-02-08,601
2023-02-09,703
2023-02-10,687
2023-02-11,744
2023-02-12,682
2023-02-13,548
2023-02-14,565
2023-02-15,658
2023-02-16,710
2023-02-17,809
2023-02-18,866
2023-02-19,745
2023-02-20,601
2023-02-21,571
2023-02-22,539
2023-02-23,582
2023-02-24,619
2023-02-25,717
2023-02-26,759
2023-02-27,693
2023-02-28,650
2023-03-01,679
2023-03-02,776
2023-03-03,788
2023-03-04,394
2023-03-05,470
2023-03-06,387
2023-03-07,310
2023-03-08,377
2023-03-09,394
2023-03-10,443
2023-03-11,452
2023-03-12,429
2023-03-13,329
2023-03-14,322
2023-03-15,344
2023-03-16,390
2023-03-17,403
2023-03-18,459
2023-03-19,414
2023-03-20,364
2023-03-21,344
2023-03-22,373
2023-03-23,335
2023-03-24,367
2023-03-25,331
2023-03-26,400
2023-03-27,346
2023-03-28,348
2023-03-29,335
2023-03-30,346
2023-03-31,353
2023-04-01,398
2023-04-02,446
2023-04-03,389
2023-04-04,284
2023-04-05,309
