,Sales Rank
2022-12-14,2085
2022-12-15,2377
2022-12-16,2473
2022-12-17,2327
2022-12-18,2455
2022-12-19,2343
2022-12-20,2606
2022-12-21,2265
2022-12-22,2126
2022-12-23,2028
2022-12-24,1913
2022-12-25,1834
2022-12-26,1515
2022-12-27,1569
2022-12-28,1678
2022-12-29,1586
2022-12-30,1590
2022-12-31,1472
2023-01-01,1653
2023-01-02,1675
2023-01-03,1574
2023-01-04,1514
2023-01-05,1567
2023-01-06,1537
2023-01-07,1555
2023-01-08,1544
2023-01-09,1564
2023-01-10,1550
2023-01-11,1524
2023-01-12,1580
2023-01-13,1645
2023-01-14,1735
2023-01-15,1841
2023-01-16,1869
2023-01-17,1589
2023-01-18,1631
2023-01-19,1839
2023-01-20,1601
2023-01-21,1605
2023-01-22,1777
2023-01-23,1486
2023-01-24,1332
2023-01-25,1501
2023-01-26,1538
2023-01-27,1589
2023-01-28,1642
2023-01-29,1301
2023-01-30,1560
2023-01-31,1503
2023-02-01,1539
2023-02-02,1441
2023-02-03,1398
2023-02-04,1463
2023-02-05,1300
2023-02-06,1206
2023-02-07,1193
2023-02-08,1344
2023-02-09,1298
2023-02-10,1288
2023-02-11,1332
2023-02-12,1294
2023-02-13,1208
2023-02-14,1284
2023-02-15,1337
2023-02-16,1306
2023-02-17,1295
2023-02-18,1222
2023-02-19,1342
2023-02-20,1317
2023-02-21,1193
2023-02-22,1175
2023-02-23,1141
2023-02-24,1352
2023-02-25,1429
2023-02-26,1371
2023-02-27,1434
2023-02-28,1540
2023-03-01,1493
2023-03-02,1609
2023-03-03,1424
2023-03-04,1515
2023-03-05,1342
2023-03-06,1285
2023-03-07,1321
2023-03-08,1254
2023-03-09,1414
2023-03-10,1527
2023-03-11,1372
2023-03-12,1419
2023-03-13,1387
2023-03-14,1407
2023-03-15,1410
2023-03-16,1410
2023-03-17,1736
2023-03-18,1605
2023-03-19,1704
2023-03-20,1543
2023-03-21,1420
2023-03-22,1531
2023-03-23,1474
2023-03-24,1478
2023-03-25,1440
2023-03-26,1608
2023-03-27,1588
2023-03-28,1730
2023-03-29,1695
2023-03-30,1669
2023-03-31,1801
2023-04-01,1562
2023-04-02,1554
2023-04-03,1657
2023-04-04,1697
2023-04-05,1703
2023-04-06,1551
2023-04-07,1376
2023-04-08,1439
2023-04-09,1527
2023-04-10,1564
2023-04-11,1552
2023-04-12,1512
2023-04-13,1489
2023-04-14,1518
2023-04-15,1658
2023-04-16,1585
2023-04-17,1538
2023-04-18,1525
2023-04-19,1591
2023-04-20,1581
2023-04-21,1487
2023-04-22,1577
2023-04-23,1648
2023-04-24,1669
2023-04-25,1567
2023-04-26,1799
2023-04-27,1737
2023-04-28,1666
2023-04-29,1680
2023-04-30,1419
2023-05-01,1212
2023-05-02,1112
2023-05-03,1163
2023-05-04,1251
2023-05-05,1166
2023-05-06,1065
2023-05-07,984
2023-05-08,1120
2023-05-09,1073
2023-05-10,1015
2023-05-11,1133
2023-05-12,1016
2023-05-13,1123
2023-05-14,1178
2023-05-15,1399
2023-05-16,1157
2023-05-17,1265
2023-05-18,1300
2023-05-19,1357
2023-05-20,1388
2023-05-21,1279
2023-05-22,1143
2023-05-23,1150
2023-05-24,1489
2023-05-25,1439
2023-05-26,1471
2023-05-27,1461
2023-05-28,1475
2023-05-30,1475
2023-05-31,1463
2023-06-01,1307
2023-06-02,1131
2023-06-03,1161
2023-06-04,1098
2023-06-05,1000
2023-06-06,1068
2023-06-07,1180
2023-06-08,1205
2023-06-09,1345
2023-06-10,1414
2023-06-11,1392
2023-06-12,1295
2023-06-13,1234
2023-06-14,1267
2023-06-15,1252
2023-06-16,1245
2023-06-17,1242
2023-06-18,1298
2023-06-19,1289
2023-06-20,1258
2023-06-21,1359
2023-06-22,1330
2023-06-23,1420
2023-06-24,1353
2023-06-25,1330
2023-06-26,1224
2023-06-27,1291
2023-06-28,1300
2023-06-29,1305
2023-06-30,1422
2023-07-01,1238
2023-07-02,1157
2023-07-03,1048
