,Sales Rank
2022-12-14,16207
2022-12-15,18939
2022-12-16,19204
2022-12-17,19307
2022-12-18,18083
2022-12-19,17754
2022-12-20,16947
2022-12-21,16436
2022-12-22,16396
2022-12-23,16367
2022-12-24,18422
2022-12-25,16248
2022-12-26,13925
2022-12-27,14168
2022-12-28,14601
2022-12-29,13510
2022-12-30,12844
2022-12-31,12530
2023-01-01,14932
2023-01-02,12700
2023-01-03,12167
2023-01-04,15260
2023-01-05,17757
2023-01-06,15436
2023-01-07,14748
2023-01-08,14159
2023-01-09,14752
2023-01-10,15589
2023-01-11,15831
2023-01-12,16487
2023-01-13,17804
2023-01-14,17574
2023-01-15,17321
2023-01-16,11878
2023-01-17,11917
2023-01-18,14986
2023-01-19,13427
2023-01-20,14575
2023-01-21,14951
2023-01-22,16108
2023-01-23,11690
2023-01-24,10525
2023-01-25,9626
2023-01-26,12039
2023-01-27,12123
2023-01-28,14087
2023-01-29,14154
2023-01-30,12139
2023-01-31,15601
2023-02-01,10880
2023-02-02,12892
2023-02-03,11867
2023-02-04,15697
2023-02-05,13245
2023-02-06,14539
2023-02-07,18289
2023-02-08,18668
2023-02-09,18943
2023-02-10,14801
2023-02-11,15355
2023-02-12,14235
2023-02-13,12048
2023-02-14,11760
2023-02-15,9649
2023-02-16,13707
2023-02-17,14152
2023-02-18,13425
2023-02-19,17979
2023-02-20,11901
2023-02-21,11563
2023-02-22,10734
2023-02-23,10583
2023-02-24,12215
2023-02-25,12196
2023-02-26,12405
2023-02-27,14652
2023-02-28,14830
2023-03-01,13075
2023-03-02,11799
2023-03-03,10683
2023-03-04,11198
2023-03-05,13704
2023-03-06,13471
2023-03-07,11085
2023-03-08,10653
2023-03-09,14259
2023-03-10,14862
2023-03-11,11419
2023-03-12,10348
2023-03-13,12008
2023-03-14,14926
2023-03-15,10911
2023-03-16,14291
2023-03-17,12746
2023-03-18,14807
2023-03-19,12120
2023-03-20,16895
2023-03-21,21787
2023-03-22,23623
2023-03-23,27187
2023-03-24,20481
2023-03-25,19441
2023-03-26,26334
2023-03-27,26853
2023-03-28,29021
2023-03-29,28272
2023-03-30,26002
2023-03-31,20756
2023-04-01,26615
2023-04-02,20951
2023-04-03,22285
2023-04-04,13172
2023-04-05,11415
2023-04-06,11761
2023-04-07,13495
2023-04-08,16764
2023-04-09,13064
2023-04-10,11328
2023-04-11,10898
2023-04-12,14849
2023-04-13,13788
2023-04-14,12849
2023-04-15,16777
2023-04-16,15851
2023-04-17,15233
2023-04-18,12950
2023-04-19,15446
2023-04-20,20617
2023-04-21,14141
2023-04-22,19386
2023-04-23,16438
2023-04-24,9797
2023-04-25,9847
2023-04-26,14490
2023-04-27,14671
2023-04-28,14239
2023-04-29,15889
2023-04-30,15246
2023-05-01,17434
2023-05-02,11849
2023-05-03,12845
2023-05-04,11647
2023-05-05,18542
2023-05-06,18084
2023-05-07,17802
2023-05-08,13198
2023-05-09,15002
2023-05-10,14371
2023-05-11,13926
2023-05-12,15883
2023-05-13,17548
2023-05-14,19125
2023-05-15,12056
2023-05-16,11671
2023-05-17,11462
2023-05-18,12640
2023-05-19,14391
2023-05-20,14549
2023-05-21,17280
2023-05-22,12880
2023-05-23,15788
2023-05-24,10998
2023-05-25,11947
2023-05-26,13525
2023-05-27,14777
2023-05-28,16841
2023-05-30,11754
2023-05-31,15083
2023-06-01,12884
2023-06-02,13418
2023-06-03,16851
2023-06-04,19481
2023-06-05,14241
2023-06-06,16265
2023-06-07,14475
2023-06-08,11578
2023-06-09,14160
2023-06-10,12997
2023-06-11,17568
2023-06-12,17569
2023-06-13,14082
2023-06-14,13533
2023-06-15,13389
2023-06-16,16435
2023-06-17,16415
2023-06-18,17004
2023-06-19,15415
2023-06-20,376
2023-06-21,407
2023-06-22,394
2023-06-23,423
2023-06-24,425
2023-06-25,405
2023-06-26,411
2023-06-27,408
2023-06-28,368
2023-06-29,414
2023-06-30,470
2023-07-01,381
2023-07-02,471
2023-07-03,416
2023-07-04,439
2023-07-05,457
2023-07-06,429
2023-07-07,450
2023-07-08,423
2023-07-09,437
2023-07-10,437
2023-07-11,700
2023-07-12,700
2023-07-13,667
2023-07-14,577
2023-07-15,498
2023-07-16,541
2023-07-17,431
2023-07-18,381
2023-07-19,401
2023-07-20,413
2023-07-21,435
2023-07-22,430
2023-07-23,447
2023-07-24,412
2023-07-25,367
2023-07-26,393
2023-07-27,419
2023-07-28,409
2023-07-29,419
2023-07-30,383
2023-07-31,413
2023-08-01,428
2023-08-02,465
2023-08-03,430
2023-08-04,414
2023-08-05,432
2023-08-06,425
2023-08-07,405
2023-08-08,397
2023-08-09,392
2023-08-10,389
2023-08-11,420
2023-08-12,386
2023-08-13,408
2023-08-14,363
2023-08-15,413
2023-08-16,397
2023-08-17,384
2023-08-18,423
2023-08-19,402
2023-08-20,384
2023-08-21,379
2023-08-22,374
2023-08-23,394
2023-08-24,213
2023-08-25,213
2023-08-26,218
2023-08-27,226
2023-08-28,200
2023-08-29,203
2023-08-30,203
2023-08-31,222
2023-09-01,223
2023-09-02,220
2023-09-03,220
2023-09-04,217
2023-09-05,195
2023-09-06,217
2023-09-07,234
2023-09-08,244
2023-09-09,247
2023-09-10,241
2023-09-11,226
2023-09-12,224
2023-09-13,223
2023-09-14,222
2023-09-15,227
2023-09-16,239
2023-09-17,250
2023-09-18,244
2023-09-19,239
2023-09-20,245
2023-09-21,247
2023-09-22,234
2023-09-23,221
2023-09-24,219
2023-09-25,219
2023-09-26,372
2023-09-27,372
2023-09-28,372
2023-09-29,364
2023-09-30,349
2023-10-01,434
2023-10-02,400
2023-10-03,382
2023-10-04,402
2023-10-05,209
2023-10-06,215
2023-10-07,184
2023-10-08,204
2023-10-09,196
2023-10-10,222
2023-10-11,254
2023-10-12,240
2023-10-13,215
2023-10-14,227
2023-10-15,213
2023-10-16,202
2023-10-17,212
2023-10-18,200
2023-10-19,206
2023-10-20,214
2023-10-21,224
2023-10-22,215
2023-10-23,202
2023-10-24,194
2023-10-25,177
2023-10-26,197
2023-10-27,186
2023-10-28,197
2023-10-29,190
2023-10-30,176
2023-10-31,180
2023-11-01,184
2023-11-02,191
2023-11-03,197
2023-11-04,203
2023-11-05,185
2023-11-06,192
2023-11-07,190
2023-11-08,182
2023-11-09,179
2023-11-10,179
2023-11-11,182
2023-11-12,190
2023-11-13,191
2023-11-14,182
2023-11-15,199
2023-11-16,195
2023-11-17,214
2023-11-18,213
2023-11-19,210
2023-11-20,197
2023-11-21,152
2023-11-22,121
2023-11-23,157
2023-11-24,148
2023-11-25,152
2023-11-26,160
2023-11-27,171
2023-11-28,170
2023-11-29,168
2023-11-30,200
2023-12-01,200
2023-12-02,198
2023-12-03,203
2023-12-04,217
2023-12-05,201
2023-12-06,198
2023-12-07,201
2023-12-08,209
2023-12-09,232
2023-12-10,222
2023-12-11,223
2023-12-12,225
2023-12-13,226
2023-12-14,221
2023-12-15,228
2023-12-16,255
2023-12-17,270
2023-12-18,244
2023-12-19,235
2023-12-20,240
2023-12-21,251
2023-12-22,262
2023-12-23,246
2023-12-24,256
2023-12-25,219
2023-12-26,263
2023-12-27,239
2023-12-28,243
2023-12-29,271
2023-12-30,271
2023-12-31,239
2024-01-01,221
2024-01-02,212
2024-01-03,212
2024-01-04,226
2024-01-05,220
2024-01-06,224
2024-01-07,226
2024-01-08,207
2024-01-09,238
2024-01-10,233
2024-01-11,266
2024-01-12,249
2024-01-13,249
2024-01-14,247
2024-01-15,229
2024-01-16,233
2024-01-17,45
2024-01-18,44
2024-01-19,44
2024-01-20,42
2024-01-21,44
2024-01-22,42
2024-01-23,38
2024-01-24,39
2024-01-25,39
2024-01-26,41
2024-01-27,41
2024-01-28,46
2024-01-29,41
2024-01-30,40
2024-01-31,38
2024-02-01,42
2024-02-02,42
2024-02-03,37
2024-02-04,43
2024-02-05,42
2024-02-06,44
2024-02-07,38
2024-02-08,40
2024-02-09,42
2024-02-10,42
2024-02-11,48
2024-02-12,43
2024-02-13,44
2024-02-14,45
2024-02-15,43
2024-02-16,40
2024-02-17,41
2024-02-18,45
2024-02-19,42
2024-02-20,38
2024-02-21,40
2024-02-22,35
2024-02-23,37
2024-02-24,39
2024-02-25,44
2024-02-26,38
2024-02-27,41
2024-02-28,37
2024-02-29,39
2024-03-01,37
2024-03-02,35
2024-03-03,39
2024-03-04,34
2024-03-05,40
2024-03-06,42
2024-03-07,43
2024-03-08,39
2024-03-09,36
2024-03-10,39
2024-03-11,38
2024-03-12,38
2024-03-13,39
2024-03-14,38
2024-03-15,41
2024-03-16,42
2024-03-17,47
2024-03-18,41
2024-03-19,38
2024-03-20,43
2024-03-21,42
2024-03-22,42
2024-03-23,43
2024-03-24,42
2024-03-25,35
2024-03-26,32
2024-03-27,38
2024-03-28,42
2024-03-29,37
2024-03-30,38
2024-03-31,42
2024-04-01,39
2024-04-02,34
2024-04-03,37
2024-04-04,39
2024-04-05,34
2024-04-06,31
2024-04-07,32
2024-04-08,29
2024-04-09,35
2024-04-10,39
2024-04-11,40
2024-04-12,38
2024-04-13,40
2024-04-14,44
2024-04-15,45
2024-04-16,42
2024-04-17,51
2024-04-18,50
2024-04-19,47
2024-04-20,44
2024-04-21,48
2024-04-22,45
2024-04-23,44
2024-04-24,43
2024-04-25,49
2024-04-26,51
2024-04-27,50
2024-04-28,54
2024-04-29,50
2024-04-30,42
2024-05-01,43
2024-05-02,45
2024-05-03,43
2024-05-04,43
2024-05-05,42
2024-05-06,38
2024-05-07,40
2024-05-08,53
2024-05-09,51
2024-05-10,46
2024-05-11,46
2024-05-12,53
2024-05-13,45
2024-05-14,49
2024-05-15,46
2024-05-16,45
2024-05-17,45
2024-05-18,47
2024-05-19,48
2024-05-20,46
2024-05-21,45
2024-05-22,49
2024-05-23,49
2024-05-24,49
2024-05-25,47
2024-05-26,55
2024-05-27,49
2024-05-28,49
2024-05-29,47
2024-05-30,44
2024-05-31,44
2024-06-01,53
2024-06-02,56
2024-06-03,45
2024-06-04,48
2024-06-05,52
2024-06-06,48
2024-06-07,47
2024-06-08,45
2024-06-09,51
2024-06-10,47
2024-06-11,48
2024-06-12,48
2024-06-13,47
2024-06-14,51
2024-06-15,59
2024-06-16,61
2024-06-17,53
2024-06-18,44
2024-06-19,45
2024-06-20,45
2024-06-21,44
2024-06-22,48
2024-06-23,44
2024-06-24,35
2024-06-25,40
2024-06-26,45
2024-06-27,45
2024-06-28,46
2024-06-29,49
2024-06-30,56
2024-07-01,55
2024-07-02,53
2024-07-03,55
2024-07-04,57
2024-07-05,57
2024-07-06,54
2024-07-07,59
2024-07-08,47
2024-07-09,47
2024-07-10,53
2024-07-11,53
2024-07-12,55
2024-07-13,59
2024-07-14,61
2024-07-15,56
2024-07-16,74
2024-07-17,79
2024-07-18,72
2024-07-19,63
2024-07-20,57
2024-07-21,55
2024-07-22,50
2024-07-23,49
2024-07-24,48
2024-07-25,49
2024-07-26,47
2024-07-27,52
2024-07-28,53
2024-07-29,49
2024-07-30,47
2024-07-31,50
2024-08-01,51
2024-08-02,44
2024-08-03,40
2024-08-04,44
2024-08-05,44
2024-08-06,45
2024-08-07,45
2024-08-10,49
2024-08-11,52
2024-08-12,48
2024-08-13,48
2024-08-14,50
2024-08-15,50
2024-08-16,49
2024-08-17,54
2024-08-18,61
2024-08-19,48
2024-08-20,54
2024-08-21,51
2024-08-22,10761
2024-08-23,13381
2024-08-24,13110
2024-08-25,13453
2024-08-26,11565
2024-08-27,9351
2024-08-28,10659
2024-08-29,9900
2024-08-30,13596
2024-08-31,13322
