,Sales Rank
2022-12-14,589
2022-12-15,720
2022-12-16,740
2022-12-17,699
2022-12-18,633
2022-12-19,613
2022-12-20,684
2022-12-21,681
2022-12-22,626
2022-12-23,631
2022-12-24,575
2022-12-25,580
2022-12-26,600
2022-12-27,586
2022-12-28,495
2022-12-29,486
2022-12-30,417
2022-12-31,427
2023-01-01,441
2023-01-02,397
2023-01-03,411
2023-01-04,421
2023-01-05,413
2023-01-06,425
2023-01-07,413
2023-01-08,423
2023-01-09,417
2023-01-10,410
2023-01-11,412
2023-01-12,395
2023-01-13,389
2023-01-14,550
2023-01-15,500
2023-01-16,545
2023-01-17,622
2023-01-18,658
2023-01-19,684
2023-01-20,678
2023-01-21,655
2023-01-22,678
2023-01-23,674
2023-01-24,493
2023-01-25,566
2023-01-26,486
2023-01-27,461
2023-01-28,396
2023-01-29,375
2023-01-30,363
2023-01-31,395
2023-02-01,433
2023-02-02,525
2023-02-03,510
2023-02-04,435
2023-02-05,385
2023-02-06,397
2023-02-07,420
2023-02-08,460
2023-02-09,414
2023-02-10,452
2023-02-11,403
2023-02-12,310
2023-02-13,400
2023-02-14,429
2023-02-15,479
2023-02-16,450
2023-02-17,411
2023-02-18,378
2023-02-19,302
2023-02-20,352
2023-02-21,386
2023-02-22,421
2023-02-23,387
2023-02-24,416
2023-02-25,433
2023-02-26,342
2023-02-27,349
2023-02-28,415
2023-03-01,371
2023-03-02,365
2023-03-03,386
2023-03-04,317
2023-03-05,283
2023-03-06,262
2023-03-07,370
2023-03-08,320
2023-03-09,333
2023-03-10,305
2023-03-11,255
2023-03-12,248
2023-03-13,303
2023-03-14,303
2023-03-15,328
2023-03-16,334
2023-03-17,302
2023-03-18,290
2023-03-19,289
2023-03-20,359
2023-03-21,324
2023-03-22,350
2023-03-23,346
2023-03-24,321
2023-03-25,264
2023-03-26,264
2023-03-27,314
2023-03-28,314
2023-03-29,315
2023-03-30,365
2023-03-31,360
2023-04-01,291
2023-04-02,281
2023-04-03,330
2023-04-04,406
2023-04-05,385
2023-04-06,351
2023-04-07,372
2023-04-08,324
2023-04-09,288
2023-04-10,330
2023-04-11,361
2023-04-12,342
2023-04-13,385
2023-04-14,345
2023-04-15,295
2023-04-16,253
2023-04-17,326
2023-04-18,335
2023-04-19,345
2023-04-20,340
2023-04-21,338
2023-04-22,338
2023-04-23,310
2023-04-24,353
2023-04-25,395
2023-04-26,364
2023-04-27,364
2023-04-28,404
2023-04-29,364
2023-04-30,312
2023-05-01,369
2023-05-02,451
2023-05-03,502
2023-05-04,423
2023-05-05,361
2023-05-06,342
2023-05-07,269
2023-05-08,328
2023-05-09,364
2023-05-10,378
2023-05-11,391
2023-05-12,361
2023-05-13,346
2023-05-14,309
2023-05-15,353
2023-05-16,315
2023-05-17,397
2023-05-18,374
2023-05-19,401
2023-05-20,355
2023-05-21,309
2023-05-22,389
2023-05-23,469
2023-05-24,543
2023-05-25,601
2023-05-26,464
2023-05-27,410
2023-05-28,352
2023-05-30,393
2023-05-31,386
2023-06-01,461
2023-06-02,462
2023-06-03,410
2023-06-04,391
2023-06-05,403
2023-06-06,412
2023-06-07,368
2023-06-08,402
2023-06-09,397
2023-06-10,384
2023-06-11,341
2023-06-12,367
2023-06-13,392
2023-06-14,377
2023-06-15,435
2023-06-16,427
2023-06-17,409
2023-06-18,366
2023-06-19,360
2023-06-20,394
2023-06-21,355
2023-06-22,379
2023-06-23,391
2023-06-24,445
2023-06-25,500
2023-06-26,473
2023-06-27,503
2023-06-28,534
2023-06-29,522
2023-06-30,568
2023-07-01,472
2023-07-02,508
2023-07-03,477
2023-07-04,478
2023-07-05,420
2023-07-06,414
2023-07-07,406
2023-07-08,342
2023-07-09,322
2023-07-10,357
2023-07-11,535
2023-07-12,652
2023-07-13,551
2023-07-14,507
2023-07-15,416
2023-07-16,386
2023-07-17,398
2023-07-18,379
2023-07-19,405
2023-07-20,389
2023-07-21,408
2023-07-22,384
2023-07-23,398
2023-07-24,384
2023-07-25,392
2023-07-26,406
2023-07-27,435
2023-07-28,464
2023-07-29,391
2023-07-30,363
2023-07-31,393
2023-08-01,467
2023-08-02,515
2023-08-03,547
2023-08-04,582
2023-08-05,501
2023-08-06,456
2023-08-07,403
2023-08-08,353
2023-08-09,394
2023-08-10,409
2023-08-11,388
2023-08-12,344
2023-08-13,342
2023-08-14,351
2023-08-15,341
2023-08-16,381
2023-08-17,419
2023-08-18,399
2023-08-19,329
2023-08-20,328
2023-08-21,344
2023-08-22,375
2023-08-23,383
2023-08-24,399
2023-08-25,413
2023-08-26,334
2023-08-27,304
2023-08-28,377
2023-08-29,377
2023-08-30,419
2023-08-31,424
2023-09-01,452
2023-09-02,369
2023-09-03,309
2023-09-04,357
2023-09-05,338
2023-09-06,381
2023-09-07,368
2023-09-08,383
2023-09-09,325
2023-09-10,355
2023-09-11,368
2023-09-12,390
2023-09-13,400
2023-09-14,388
2023-09-15,403
2023-09-16,363
2023-09-17,357
2023-09-18,359
2023-09-19,398
2023-09-20,389
2023-09-21,400
2023-09-22,400
2023-09-23,384
2023-09-24,365
2023-09-25,422
2023-09-26,433
2023-09-27,413
2023-09-28,477
2023-09-29,450
2023-09-30,431
2023-10-01,393
2023-10-02,402
2023-10-03,441
2023-10-04,503
2023-10-05,485
2023-10-06,499
2023-10-07,469
2023-10-08,419
2023-10-09,486
2023-10-10,511
2023-10-11,566
2023-10-12,529
2023-10-13,501
2023-10-14,483
2023-10-15,478
2023-10-16,469
2023-10-17,517
2023-10-18,526
2023-10-19,574
2023-10-20,545
2023-10-21,457
2023-10-22,486
2023-10-23,547
2023-10-24,567
2023-10-25,559
2023-10-26,552
2023-10-27,597
2023-10-28,518
2023-10-29,588
2023-10-30,596
2023-10-31,605
2023-11-01,614
2023-11-02,638
2023-11-03,646
2023-11-04,527
2023-11-05,527
2023-11-06,550
2023-11-07,544
2023-11-08,570
2023-11-09,583
2023-11-10,550
2023-11-11,502
2023-11-12,453
2023-11-13,492
2023-11-14,543
2023-11-15,614
2023-11-16,626
2023-11-17,584
2023-11-18,527
2023-11-19,523
2023-11-20,587
2023-11-21,616
2023-11-22,686
2023-11-23,757
2023-11-24,771
2023-11-25,659
2023-11-26,682
2023-11-27,739
2023-11-28,677
2023-11-29,617
2023-11-30,593
2023-12-01,589
2023-12-02,568
2023-12-03,510
2023-12-04,608
2023-12-05,618
2023-12-06,581
2023-12-07,683
2023-12-08,653
2023-12-09,595
2023-12-10,555
2023-12-11,637
2023-12-12,680
2023-12-13,682
2023-12-14,745
2023-12-15,724
2023-12-16,714
2023-12-17,631
2023-12-18,715
2023-12-19,660
2023-12-20,682
2023-12-21,757
2023-12-22,675
2023-12-23,705
2023-12-24,576
2023-12-25,686
2023-12-26,634
2023-12-27,538
2023-12-28,542
2023-12-29,506
2023-12-30,450
2023-12-31,499
2024-01-01,468
2024-01-02,529
2024-01-03,524
2024-01-04,456
2024-01-05,480
2024-01-06,421
2024-01-07,370
2024-01-08,454
2024-01-09,411
2024-01-10,455
2024-01-11,472
2024-01-12,462
2024-01-13,420
2024-01-14,395
2024-01-15,438
2024-01-16,399
2024-01-17,400
2024-01-18,437
2024-01-19,394
2024-01-20,422
2024-01-21,391
2024-01-22,446
2024-01-23,457
2024-01-24,458
2024-01-25,496
2024-01-26,479
2024-01-27,475
2024-01-28,406
2024-01-29,470
2024-01-30,468
2024-01-31,468
2024-02-01,524
2024-02-02,480
2024-02-03,395
2024-02-04,383
2024-02-05,470
2024-02-06,519
2024-02-07,488
2024-02-08,484
2024-02-09,499
2024-02-10,437
2024-02-11,355
2024-02-12,408
2024-02-13,477
2024-02-14,527
2024-02-15,473
2024-02-16,505
2024-02-17,426
2024-02-18,354
2024-02-19,439
2024-02-20,407
2024-02-21,509
2024-02-22,544
2024-02-23,565
2024-02-24,463
2024-02-25,432
2024-02-26,467
2024-02-27,500
2024-02-28,522
2024-02-29,512
2024-03-01,540
2024-03-02,402
2024-03-03,395
2024-03-04,441
2024-03-05,467
2024-03-06,468
2024-03-07,458
2024-03-08,523
2024-03-09,462
2024-03-10,422
2024-03-11,467
2024-03-12,470
2024-03-13,535
2024-03-14,550
2024-03-15,534
2024-03-16,463
2024-03-17,473
2024-03-18,486
2024-03-19,466
