,Sales Rank
2022-12-14,401
2022-12-15,405
2022-12-16,412
2022-12-17,436
2022-12-18,510
2022-12-19,478
2022-12-20,514
2022-12-21,512
2022-12-22,480
2022-12-23,404
2022-12-24,403
2022-12-25,384
2022-12-26,312
2022-12-27,335
2022-12-28,308
2022-12-29,332
2022-12-30,338
2022-12-31,367
2023-01-01,338
2023-01-02,344
2023-01-03,329
2023-01-04,329
2023-01-05,310
2023-01-06,326
2023-01-07,328
2023-01-08,335
2023-01-09,331
2023-01-10,331
2023-01-11,333
2023-01-12,322
2023-01-13,307
2023-01-14,303
2023-01-15,323
2023-01-16,311
2023-01-17,310
2023-01-18,331
2023-01-19,319
2023-01-20,325
2023-01-21,324
2023-01-22,343
2023-01-23,329
2023-01-24,342
2023-01-25,328
2023-01-26,330
2023-01-27,353
2023-01-28,329
2023-01-29,332
2023-01-30,315
2023-01-31,291
2023-02-01,308
2023-02-02,316
2023-02-03,300
2023-02-04,312
2023-02-05,332
2023-02-06,297
2023-02-07,316
2023-02-08,319
2023-02-09,303
2023-02-10,317
2023-02-11,310
2023-02-12,305
2023-02-13,324
2023-02-14,320
2023-02-15,319
2023-02-16,293
2023-02-17,318
2023-02-18,337
2023-02-19,316
2023-02-20,314
2023-02-21,293
2023-02-22,263
2023-02-23,304
2023-02-24,317
2023-02-25,310
2023-02-26,301
2023-02-27,296
2023-02-28,313
2023-03-01,278
2023-03-02,246
2023-03-03,232
2023-03-04,280
2023-03-05,283
2023-03-06,264
2023-03-07,271
2023-03-08,283
2023-03-09,254
2023-03-10,306
2023-03-11,321
2023-03-12,289
2023-03-13,319
2023-03-14,272
2023-03-15,349
2023-03-16,263
2023-03-17,276
2023-03-18,322
2023-03-19,307
2023-03-20,310
2023-03-21,257
2023-03-22,385
2023-03-23,330
2023-03-24,290
2023-03-25,287
2023-03-26,344
2023-03-27,300
2023-03-28,283
2023-03-29,303
2023-03-30,291
2023-03-31,288
2023-04-01,306
2023-04-02,306
2023-04-03,298
2023-04-04,252
2023-04-05,294
2023-04-06,274
2023-04-07,279
2023-04-08,285
2023-04-09,284
2023-04-10,282
2023-04-11,287
2023-04-12,265
2023-04-13,293
2023-04-14,256
2023-04-15,292
2023-04-16,343
2023-04-17,311
2023-04-18,299
2023-04-19,306
2023-04-20,321
2023-04-21,280
2023-04-22,303
2023-04-23,333
2023-04-24,318
2023-04-25,336
2023-04-26,346
2023-04-27,334
2023-04-28,306
2023-04-29,382
2023-04-30,377
2023-05-01,401
2023-05-02,431
2023-05-03,430
2023-05-04,318
2023-05-05,320
2023-05-06,308
2023-05-07,370
2023-05-08,345
2023-05-09,347
2023-05-10,395
2023-05-11,441
2023-05-12,391
2023-05-13,361
2023-05-14,345
2023-05-15,292
2023-05-16,289
2023-05-17,353
2023-05-18,303
2023-05-19,295
2023-05-20,335
2023-05-21,307
2023-05-22,335
2023-05-23,295
2023-05-24,328
2023-05-25,300
2023-05-26,314
2023-05-27,311
2023-05-28,338
2023-05-31,309
2023-06-01,321
2023-06-02,294
2023-06-03,338
2023-06-04,338
2023-06-05,316
2023-06-06,323
2023-06-07,317
2023-06-08,328
2023-06-09,333
2023-06-10,361
2023-06-11,420
2023-06-12,340
2023-06-13,384
2023-06-14,577
2023-06-15,398
2023-06-16,459
2023-06-17,460
2023-06-18,415
2023-06-19,383
2023-06-20,406
2023-06-21,407
2023-06-22,411
2023-06-23,408
2023-06-24,364
2023-06-25,425
2023-06-26,391
2023-06-27,367
2023-06-28,397
2023-06-29,396
2023-06-30,382
2023-07-01,371
2023-07-02,405
2023-07-03,368
2023-07-04,376
2023-07-05,355
2023-07-06,353
2023-07-07,343
2023-07-08,329
2023-07-09,381
2023-07-10,354
2023-07-11,354
2023-07-12,742
2023-07-13,722
2023-07-14,485
2023-07-15,447
2023-07-16,429
2023-07-17,379
2023-07-18,354
2023-07-19,368
2023-07-20,344
2023-07-21,351
2023-07-22,373
2023-07-23,376
2023-07-24,341
2023-07-25,342
2023-07-26,328
2023-07-27,347
2023-07-28,354
2023-07-29,361
2023-07-30,397
2023-07-31,400
2023-08-01,334
2023-08-02,365
2023-08-03,341
2023-08-04,335
2023-08-05,346
2023-08-06,369
2023-08-07,333
2023-08-08,311
2023-08-09,309
2023-08-10,307
2023-08-11,333
2023-08-12,321
2023-08-13,369
2023-08-14,334
2023-08-15,328
2023-08-16,329
2023-08-17,326
2023-08-18,320
2023-08-19,357
2023-08-20,378
2023-08-21,338
2023-08-22,335
2023-08-23,342
2023-08-24,335
2023-08-25,307
2023-08-26,333
2023-08-27,338
2023-08-28,306
2023-08-29,302
2023-08-30,373
2023-08-31,363
2023-09-01,370
2023-09-02,393
2023-09-03,330
2023-09-04,357
2023-09-05,342
2023-09-06,325
2023-09-07,346
2023-09-08,370
2023-09-09,340
2023-09-10,391
2023-09-11,357
2023-09-12,340
2023-09-13,345
2023-09-14,376
2023-09-15,324
2023-09-16,373
2023-09-17,369
2023-09-18,344
2023-09-19,344
2023-09-20,355
2023-09-21,308
2023-09-22,342
2023-09-23,354
2023-09-24,345
2023-09-25,342
2023-09-26,351
2023-09-27,357
2023-09-28,331
2023-09-29,354
2023-09-30,352
2023-10-01,391
2023-10-02,332
2023-10-03,338
2023-10-04,342
2023-10-05,354
2023-10-06,319
2023-10-07,349
2023-10-08,343
2023-10-09,332
2023-10-10,352
2023-10-11,457
2023-10-12,407
2023-10-13,302
2023-10-14,305
2023-10-15,320
2023-10-16,306
2023-10-17,311
2023-10-18,333
2023-10-19,286
2023-10-20,277
2023-10-21,285
2023-10-22,282
2023-10-23,289
2023-10-24,288
2023-10-25,270
2023-10-26,292
2023-10-27,260
2023-10-28,287
2023-10-29,288
2023-10-30,280
2023-10-31,277
2023-11-01,282
2023-11-02,304
2023-11-03,290
2023-11-04,283
2023-11-05,290
2023-11-06,272
2023-11-07,261
2023-11-08,266
2023-11-09,284
2023-11-10,281
2023-11-11,308
2023-11-12,292
2023-11-13,279
2023-11-14,263
2023-11-15,284
2023-11-16,313
2023-11-17,254
2023-11-18,301
2023-11-19,331
2023-11-20,320
2023-11-21,342
2023-11-22,337
2023-11-23,346
2023-11-24,380
2023-11-25,496
2023-11-26,491
2023-11-27,480
2023-11-28,462
2023-11-29,411
2023-11-30,350
2023-12-01,327
2023-12-02,402
2023-12-03,379
2023-12-04,382
2023-12-05,412
2023-12-06,391
2023-12-07,404
2023-12-08,428
2023-12-09,440
2023-12-10,474
2023-12-11,384
2023-12-12,494
2023-12-13,531
2023-12-14,518
2023-12-15,715
2023-12-16,796
2023-12-17,810
2023-12-18,739
2023-12-19,730
2023-12-20,759
2023-12-21,606
2023-12-22,655
2023-12-23,632
2023-12-24,659
2023-12-25,489
2023-12-26,503
2023-12-27,494
2023-12-28,506
2023-12-29,487
2023-12-30,536
2023-12-31,535
2024-01-01,475
2024-01-02,504
2024-01-03,486
2024-01-04,448
2024-01-05,440
2024-01-06,494
2024-01-07,531
2024-01-08,978
2024-01-09,287
2024-01-10,287
2024-01-11,286
2024-01-12,279
2024-01-13,294
2024-01-14,290
2024-01-15,298
2024-01-16,308
2024-01-17,283
2024-01-18,294
2024-01-19,321
2024-01-20,296
2024-01-21,278
2024-01-22,279
2024-01-23,265
2024-01-24,383
2024-01-25,274
2024-01-26,296
2024-01-27,316
2024-01-28,318
2024-01-29,267
2024-01-30,302
2024-01-31,288
2024-02-01,287
2024-02-02,300
2024-02-03,278
2024-02-04,294
2024-02-05,255
2024-02-06,287
2024-02-07,273
2024-02-08,1654
2024-02-09,336
2024-02-10,355
2024-02-11,334
2024-02-12,309
2024-02-13,1232
2024-02-14,1430
2024-02-15,1297
2024-02-16,1423
2024-02-17,515
2024-02-18,561
2024-02-19,572
2024-02-20,504
2024-02-21,582
2024-02-22,493
2024-02-23,564
2024-02-24,672
2024-02-25,472
2024-02-26,540
2024-02-27,545
2024-02-28,599
2024-02-29,603
2024-03-01,465
2024-03-02,532
2024-03-03,590
2024-03-04,473
2024-03-05,477
2024-03-06,520
2024-03-07,506
2024-03-08,488
2024-03-09,550
2024-03-10,571
2024-03-11,471
2024-03-12,514
2024-03-13,482
2024-03-14,485
2024-03-15,465
2024-03-16,528
2024-03-17,522
2024-03-18,446
2024-03-19,459
2024-03-20,487
2024-03-21,451
2024-03-22,456
2024-03-23,493
2024-03-24,561
2024-03-25,459
2024-03-26,485
2024-03-27,464
2024-03-28,471
2024-03-29,477
2024-03-30,491
2024-03-31,506
2024-04-01,478
2024-04-02,458
2024-04-03,447
2024-04-04,482
2024-04-05,449
2024-04-06,467
2024-04-07,536
2024-04-08,459
2024-04-09,417
2024-04-10,454
2024-04-11,402
2024-04-12,423
2024-04-13,457
2024-04-14,522
2024-04-15,515
2024-04-16,487
2024-04-17,492
2024-04-18,472
2024-04-19,482
2024-04-20,517
2024-04-21,531
2024-04-22,438
2024-04-23,443
2024-04-24,480
2024-04-25,496
2024-04-26,512
2024-04-27,507
2024-04-28,516
2024-04-29,1779
2024-04-30,1994
2024-05-01,1732
2024-05-02,1780
2024-05-03,1745
2024-05-04,1593
2024-05-05,1823
2024-05-06,1614
2024-05-07,2269
2024-05-08,2017
2024-05-09,2273
2024-05-10,1759
2024-05-11,2005
2024-05-12,2197
2024-05-13,4282
2024-05-14,5740
2024-05-15,7471
2024-05-16,2366
2024-05-17,1803
2024-05-18,2251
2024-05-19,2349
2024-05-20,2041
2024-05-21,1978
2024-05-22,1912
2024-05-23,2060
2024-05-24,1981
2024-05-25,2172
2024-05-26,2100
2024-05-27,2103
2024-05-28,1965
2024-05-29,1719
2024-05-30,1765
2024-05-31,1856
2024-06-01,1816
2024-06-02,2096
2024-06-03,1990
2024-06-04,1912
2024-06-05,1998
2024-06-06,1776
2024-06-07,1983
2024-06-08,1987
2024-06-09,2461
2024-06-10,2075
2024-06-11,2172
2024-06-12,2255
2024-06-13,2010
2024-06-14,1814
2024-06-15,2165
2024-06-16,2133
2024-06-17,1888
2024-06-18,1935
2024-06-19,2147
2024-06-20,2084
2024-06-21,2045
2024-06-22,2397
2024-06-23,2194
2024-06-24,1906
2024-06-25,1880
2024-06-26,2001
2024-06-27,2050
2024-06-28,1836
2024-06-29,2154
2024-06-30,2568
2024-07-01,2256
2024-07-02,2017
2024-07-03,1999
2024-07-04,1944
2024-07-05,1917
2024-07-06,2088
2024-07-07,1951
2024-07-08,1770
2024-07-09,2213
2024-07-10,1804
2024-07-11,2206
2024-07-12,2003
2024-07-13,1947
2024-07-14,1961
2024-07-15,1740
2024-07-16,2723
2024-07-17,2944
2024-07-18,2760
2024-07-19,2350
2024-07-20,2225
2024-07-21,2098
2024-07-22,1735
2024-07-23,1968
2024-07-24,1888
2024-07-25,2178
2024-07-26,1821
2024-07-27,1858
2024-07-28,2013
2024-07-29,1689
2024-07-30,1934
2024-07-31,1993
2024-08-01,2356
2024-08-02,2147
2024-08-03,2084
2024-08-04,2073
2024-08-05,1930
2024-08-06,1884
2024-08-07,1877
2024-08-09,2042
2024-08-10,2081
2024-08-11,2133
2024-08-12,2100
2024-08-13,2168
2024-08-14,1825
2024-08-15,1871
2024-08-16,1849
2024-08-17,1927
2024-08-18,1971
2024-08-19,2077
2024-08-20,2067
2024-08-21,2107
2024-08-22,1867
2024-08-23,1977
2024-08-24,2052
2024-08-25,2168
2024-08-26,1871
2024-08-27,1884
2024-08-28,1770
2024-08-29,1887
2024-08-30,2017
2024-08-31,2304
2024-09-01,2346
2024-09-02,2249
2024-09-03,2003
2024-09-04,1908
2024-09-05,1862
2024-09-06,1981
2024-09-07,2089
2024-09-08,2308
2024-09-09,2466
2024-09-10,2178
2024-09-11,2193
2024-09-12,2125
2024-09-13,1948
2024-09-14,2030
2024-09-15,2418
2024-09-16,1991
2024-09-17,2004
2024-09-18,2184
2024-09-19,2010
2024-09-20,1899
2024-09-21,2305
2024-09-22,2559
2024-09-23,2202
2024-09-24,1888
2024-09-25,2122
2024-09-26,2455
2024-09-27,2075
2024-09-28,2194
2024-09-29,1982
2024-09-30,1942
2024-10-01,1828
2024-10-02,2011
2024-10-03,2055
2024-10-04,1961
2024-10-05,2227
2024-10-06,2143
2024-10-07,1794
2024-10-08,2421
2024-10-09,2137
2024-10-10,1998
2024-10-11,1928
2024-10-12,2147
2024-10-13,2432
2024-10-14,2001
2024-10-15,1872
2024-10-16,1923
2024-10-17,2275
2024-10-18,477
2024-10-19,549
2024-10-20,587
2024-10-21,546
2024-10-22,522
2024-10-23,506
2024-10-24,544
2024-10-25,537
2024-10-26,542
2024-10-27,575
2024-10-28,546
2024-10-29,534
2024-10-30,559
2024-10-31,542
2024-11-01,507
2024-11-02,561
2024-11-03,600
2024-11-04,496
2024-11-05,550
2024-11-06,543
2024-11-07,566
2024-11-08,533
2024-11-09,620
2024-11-10,652
2024-11-11,553
2024-11-12,554
2024-11-13,536
2024-11-14,518
2024-11-15,501
2024-11-16,555
2024-11-17,629
2024-11-18,552
2024-11-19,608
2024-11-20,536
2024-11-21,650
2024-11-22,653
2024-11-23,633
2024-11-24,739
2024-11-25,627
2024-11-26,619
2024-11-27,586
2024-11-28,626
2024-11-29,796
2024-11-30,888
2024-12-01,865
2024-12-02,792
2024-12-03,682
2024-12-04,623
2024-12-05,551
2024-12-06,547
2024-12-07,552
2024-12-08,555
2024-12-09,537
2024-12-10,490
2024-12-11,501
2024-12-12,556
2024-12-13,515
2024-12-14,602
2024-12-15,713
2024-12-16,607
2024-12-17,629
2024-12-18,637
2024-12-19,655
2024-12-20,660
2024-12-21,757
2024-12-22,710
2024-12-23,603
2024-12-24,634
2024-12-25,636
2024-12-26,529
2024-12-27,486
2024-12-28,537
2024-12-29,564
2024-12-30,503
2024-12-31,536
2025-01-01,558
2025-01-02,570
2025-01-03,528
2025-01-04,544
2025-01-05,604
2025-01-06,560
2025-01-07,548
2025-01-08,557
2025-01-09,529
2025-01-10,509
2025-01-11,534
2025-01-12,594
