,Sales Rank
2022-12-14,153
2022-12-15,138
2022-12-16,142
2022-12-17,131
2022-12-18,134
2022-12-19,125
2022-12-20,133
2022-12-21,129
2022-12-22,133
2022-12-23,147
2022-12-24,147
2022-12-25,183
2022-12-26,194
2022-12-27,202
2022-12-28,196
2022-12-29,198
2022-12-30,181
2022-12-31,199
2023-01-01,203
2023-01-02,207
2023-01-03,170
2023-01-04,160
2023-01-05,169
2023-01-06,153
2023-01-07,141
2023-01-08,135
2023-01-09,137
2023-01-10,135
2023-01-11,139
2023-01-12,138
2023-01-13,143
2023-01-14,157
2023-01-15,151
2023-01-16,137
2023-01-17,129
2023-01-18,140
2023-01-19,140
2023-01-20,76
2023-01-21,89
2023-01-22,94
2023-01-23,98
2023-01-24,111
2023-01-25,127
2023-01-26,147
2023-01-27,138
2023-01-28,134
2023-01-29,145
2023-01-30,148
2023-01-31,151
2023-02-01,197
2023-02-02,167
2023-02-03,179
2023-02-04,133
2023-02-05,150
2023-02-06,124
2023-02-07,108
2023-02-08,126
2023-02-09,155
2023-02-10,143
2023-02-11,136
2023-02-12,138
2023-02-13,152
2023-02-14,149
2023-02-15,176
2023-02-16,215
2023-02-17,239
2023-02-18,252
2023-02-19,259
2023-02-20,259
2023-02-21,306
2023-02-22,330
2023-02-23,303
2023-02-24,275
2023-02-25,277
2023-02-26,262
2023-02-27,243
2023-02-28,257
2023-03-01,291
2023-03-02,283
2023-03-03,351
2023-03-04,421
2023-03-05,436
2023-03-06,474
2023-03-07,445
2023-03-08,328
2023-03-09,384
2023-03-10,364
2023-03-11,384
2023-03-12,385
2023-03-13,370
2023-03-14,332
2023-03-15,386
2023-03-16,403
2023-03-17,411
2023-03-18,395
2023-03-19,402
2023-03-20,395
2023-03-21,443
2023-03-22,452
2023-03-23,443
2023-03-24,471
2023-03-25,429
2023-03-26,359
2023-03-27,359
2023-03-28,346
2023-03-29,357
2023-03-30,403
2023-03-31,475
2023-04-01,453
2023-04-02,456
2023-04-03,455
2023-04-04,434
2023-04-05,428
2023-04-06,418
2023-04-07,486
2023-04-08,570
2023-04-09,568
2023-04-10,615
2023-04-11,540
2023-04-12,535
2023-04-13,505
2023-04-14,564
2023-04-15,542
2023-04-16,566
2023-04-17,560
2023-04-18,521
2023-04-19,477
2023-04-20,561
2023-04-21,582
2023-04-22,597
2023-04-23,654
2023-04-24,617
2023-04-25,606
2023-04-26,600
2023-04-27,617
2023-04-28,584
2023-04-29,636
2023-04-30,574
2023-05-01,595
2023-05-02,511
2023-05-03,476
2023-05-04,498
2023-05-05,535
2023-05-06,509
2023-05-07,517
2023-05-08,507
2023-05-09,448
2023-05-10,464
2023-05-11,481
2023-05-12,527
2023-05-13,497
2023-05-14,453
2023-05-15,442
2023-05-16,406
2023-05-17,431
2023-05-18,489
2023-05-19,454
2023-05-20,439
2023-05-21,485
2023-05-22,457
2023-05-23,431
2023-05-24,429
2023-05-25,457
2023-05-26,492
2023-05-27,460
2023-05-28,373
2023-05-30,458
2023-05-31,429
2023-06-01,465
2023-06-02,486
2023-06-03,520
2023-06-04,471
2023-06-05,451
2023-06-06,414
2023-06-07,413
2023-06-08,482
2023-06-09,450
2023-06-10,524
2023-06-11,575
2023-06-12,533
2023-06-13,489
2023-06-14,469
2023-06-15,477
2023-06-16,569
2023-06-17,551
2023-06-18,589
2023-06-19,593
2023-06-20,557
2023-06-21,508
2023-06-22,502
2023-06-23,511
2023-06-24,560
2023-06-25,546
2023-06-26,534
2023-06-27,533
2023-06-28,510
2023-06-29,498
2023-06-30,572
2023-07-01,548
