,Sales Rank
2022-12-14,140582
2022-12-15,93752
2022-12-16,110061
2022-12-17,120940
2022-12-18,86715
2022-12-19,99929
2022-12-20,118644
2022-12-21,79816
2022-12-22,849
2022-12-23,853
2022-12-24,822
2022-12-25,772
2022-12-26,820
2022-12-27,765
2022-12-28,776
2022-12-29,681
2022-12-30,712
2022-12-31,789
2023-01-01,743
2023-01-02,688
2023-01-03,643
2023-01-04,733
2023-01-05,704
2023-01-06,718
2023-01-07,713
2023-01-08,748
2023-01-09,736
2023-01-10,737
2023-01-11,739
2023-01-12,742
2023-01-13,747
2023-01-14,826
2023-01-15,723
2023-01-16,764
2023-01-17,723
2023-01-18,675
2023-01-19,659
2023-01-20,664
2023-01-21,684
2023-01-22,732
2023-01-23,674
2023-01-24,693
2023-01-25,658
2023-01-26,713
2023-01-27,710
2023-01-28,732
2023-01-29,773
2023-01-30,713
2023-01-31,685
2023-02-01,709
2023-02-02,597
2023-02-03,702
2023-02-04,633
2023-02-05,713
2023-02-06,757
2023-02-07,733
2023-02-08,723
2023-02-09,732
2023-02-10,758
2023-02-11,783
2023-02-12,887
2023-02-13,688
2023-02-14,707
2023-02-15,742
2023-02-16,885
2023-02-17,876
2023-02-18,1653
2023-02-19,2135
2023-02-20,2092
2023-02-21,1686
2023-02-22,1825
2023-02-23,2959
2023-02-24,2010
2023-02-25,2137
2023-02-26,1750
2023-02-27,1832
2023-02-28,2086
2023-03-01,2804
2023-03-02,3529
2023-03-03,3529
2023-03-04,4173
2023-03-05,3906
2023-03-06,1479
2023-03-07,1706
2023-03-08,1918
2023-03-09,793
2023-03-10,798
2023-03-11,779
2023-03-12,907
2023-03-13,822
2023-03-14,801
2023-03-15,695
2023-03-16,611
2023-03-17,630
2023-03-18,554
2023-03-19,666
2023-03-20,709
2023-03-21,1381
2023-03-22,1557
2023-03-23,998
2023-03-24,794
2023-03-25,761
2023-03-26,812
2023-03-27,739
2023-03-28,758
2023-03-29,696
2023-03-30,666
2023-03-31,625
2023-04-01,728
2023-04-02,734
2023-04-03,715
2023-04-04,736
2023-04-05,804
2023-04-06,1233
2023-04-07,861
2023-04-08,800
2023-04-09,778
2023-04-10,705
2023-04-11,673
2023-04-12,736
2023-04-13,678
2023-04-14,677
2023-04-15,809
2023-04-16,804
2023-04-17,773
2023-04-18,766
2023-04-19,734
2023-04-20,690
2023-04-21,746
2023-04-22,689
2023-04-23,662
2023-04-24,681
2023-04-25,624
2023-04-26,626
2023-04-27,672
2023-04-28,670
2023-04-29,1317
2023-04-30,1831
2023-05-01,1986
2023-05-02,2245
2023-05-03,2075
2023-05-04,2435
2023-05-05,2373
2023-05-06,2579
2023-05-07,2775
2023-05-08,2190
2023-05-09,2205
2023-05-10,2245
2023-05-11,2184
2023-05-12,848
2023-05-13,798
2023-05-14,714
2023-05-15,689
2023-05-16,654
2023-05-17,698
2023-05-18,688
2023-05-19,647
2023-05-20,1483
2023-05-21,2173
2023-05-22,1799
2023-05-23,1751
2023-05-24,2165
2023-05-25,1096
2023-05-26,715
2023-05-27,669
2023-05-28,729
2023-05-30,1831
2023-05-31,1878
2023-06-01,2040
2023-06-02,2171
2023-06-03,2361
2023-06-04,2214
2023-06-05,2038
2023-06-06,2087
2023-06-07,863
2023-06-08,719
2023-06-09,1135
2023-06-10,1959
2023-06-11,1985
2023-06-12,2045
2023-06-13,2199
2023-06-14,2153
2023-06-15,2178
2023-06-16,2253
2023-06-17,2655
2023-06-18,3061
2023-06-19,2239
2023-06-20,1300
2023-06-21,981
2023-06-22,966
2023-06-23,826
2023-06-24,758
2023-06-25,788
2023-06-26,840
2023-06-27,814
2023-06-28,819
2023-06-29,838
2023-06-30,861
2023-07-01,940
2023-07-02,897
2023-07-03,843
2023-07-04,808
2023-07-05,939
2023-07-06,903
2023-07-07,961
2023-07-08,1023
2023-07-09,1178
2023-07-10,1064
2023-07-11,2351
2023-07-12,3711
2023-07-13,3439
2023-07-14,2768
2023-07-15,3319
2023-07-16,3119
2023-07-17,2116
2023-07-18,2364
2023-07-19,2277
2023-07-20,2331
2023-07-21,2439
2023-07-22,2461
2023-07-23,3039
2023-07-24,2342
2023-07-25,1051
2023-07-26,951
2023-07-27,1018
2023-07-28,967
2023-07-29,943
2023-07-30,944
2023-07-31,897
2023-08-01,893
2023-08-02,943
2023-08-03,945
2023-08-04,863
2023-08-05,828
