,Sales Rank
2023-07-11,589
2023-07-12,659
2023-07-13,578
2023-07-14,490
2023-07-15,489
2023-07-16,441
2023-07-17,384
2023-07-18,368
2023-07-19,406
2023-07-20,425
2023-07-21,420
2023-07-22,393
2023-07-23,431
2023-07-24,424
2023-07-25,419
2023-07-26,435
2023-07-27,420
2023-07-28,416
2023-07-29,414
2023-07-30,420
2023-07-31,388
2023-08-01,382
2023-08-02,410
2023-08-03,437
2023-08-04,414
2023-08-05,407
2023-08-06,424
2023-08-07,401
2023-08-08,385
2023-08-09,376
2023-08-10,380
2023-08-11,394
2023-08-12,395
2023-08-13,375
2023-08-14,394
2023-08-15,428
2023-08-16,405
2023-08-17,437
2023-08-18,464
2023-08-19,432
2023-08-20,462
2023-08-21,470
2023-08-22,402
2023-08-23,420
2023-08-24,458
2023-08-25,395
2023-08-26,465
2023-08-27,422
2023-08-28,444
2023-08-29,423
2023-08-30,428
2023-08-31,446
2023-09-01,406
2023-09-02,426
2023-09-03,432
2023-09-04,429
2023-09-05,423
2023-09-06,415
2023-09-07,434
2023-09-08,412
2023-09-09,408
2023-09-10,450
2023-09-11,449
2023-09-12,423
2023-09-13,462
2023-09-14,498
2023-09-15,480
2023-09-16,501
2023-09-17,466
2023-09-18,454
2023-09-19,513
2023-09-20,416
2023-09-21,432
2023-09-22,475
2023-09-23,402
2023-09-24,440
2023-09-25,436
2023-09-26,470
2023-09-27,455
2023-09-28,506
2023-09-29,489
2023-09-30,475
2023-10-01,487
2023-10-02,506
2023-10-03,480
2023-10-04,491
2023-10-05,477
2023-10-06,461
2023-10-07,476
2023-10-08,503
2023-10-09,464
2023-10-10,497
2023-10-11,610
2023-10-12,577
2023-10-13,523
2023-10-14,572
2023-10-15,512
2023-10-16,504
2023-10-17,459
2023-10-18,478
2023-10-19,495
2023-10-20,548
2023-10-21,570
2023-10-22,564
2023-10-23,522
2023-10-24,493
2023-10-25,520
2023-10-26,529
2023-10-27,563
2023-10-28,502
2023-10-29,538
2023-10-30,548
2023-10-31,602
2023-11-01,592
2023-11-02,532
2023-11-03,576
2023-11-04,577
2023-11-05,570
2023-11-06,543
2023-11-07,609
2023-11-08,579
2023-11-09,618
2023-11-10,582
2023-11-11,566
2023-11-12,631
2023-11-13,640
2023-11-14,645
2023-11-15,637
2023-11-16,697
2023-11-17,688
2023-11-18,718
2023-11-19,679
2023-11-20,708
2023-11-21,674
2023-11-22,721
2023-11-23,769
2023-11-24,858
2023-11-25,901
2023-11-26,868
2023-11-27,938
2023-11-28,822
2023-11-29,778
2023-11-30,713
2023-12-01,690
2023-12-02,742
2023-12-03,725
2023-12-04,700
2023-12-05,762
2023-12-06,744
2023-12-07,783
2023-12-08,767
2023-12-09,775
2023-12-10,808
2023-12-11,878
2023-12-12,955
2023-12-13,918
2023-12-14,983
2023-12-15,924
2023-12-16,929
2023-12-17,912
2023-12-18,932
