,Sales Rank
2022-12-14,644
2022-12-15,925
2022-12-16,1106
2022-12-17,-1
2023-02-17,667
2023-02-18,798
2023-02-19,811
2023-02-20,757
2023-02-21,595
2023-02-22,597
2023-02-23,663
2023-02-24,767
2023-02-25,901
2023-02-26,1169
2023-02-27,650
2023-02-28,924
2023-03-01,1034
2023-03-02,792
2023-03-03,687
2023-03-04,1192
2023-03-05,1306
2023-03-06,1485
2023-03-07,1230
2023-03-08,1523
2023-03-09,875
2023-03-10,674
2023-03-11,1300
2023-03-12,1229
2023-03-13,1157
2023-03-14,1400
2023-03-15,1694
2023-03-16,1356
2023-03-17,1456
2023-03-18,1763
2023-03-19,1678
2023-03-20,1188
2023-03-21,1157
2023-03-22,1096
2023-03-23,1104
2023-03-24,1344
2023-03-25,1336
2023-03-26,1597
2023-03-27,956
2023-03-28,1056
2023-03-29,958
2023-03-30,725
2023-03-31,977
2023-04-01,1213
2023-04-02,1440
2023-04-03,999
2023-04-04,875
2023-04-05,885
2023-04-06,1173
2023-04-07,1085
2023-04-08,1299
2023-04-09,1513
2023-04-10,1057
2023-04-11,1137
2023-04-12,1224
2023-04-13,1310
2023-04-14,1280
2023-04-15,1717
2023-04-16,975
2023-04-17,756
2023-04-18,1021
2023-04-19,1064
2023-04-20,1235
2023-04-21,1311
2023-04-22,1703
2023-04-23,1214
2023-04-24,719
2023-04-25,658
2023-04-26,980
2023-04-27,1039
2023-04-28,1091
2023-04-29,1464
2023-04-30,1726
2023-05-01,1377
2023-05-02,1334
2023-05-03,1283
2023-05-04,1116
2023-05-05,1142
2023-05-06,1192
2023-05-07,1945
2023-05-08,1185
2023-05-09,1191
2023-05-10,1176
2023-05-11,1238
2023-05-12,1158
2023-05-13,883
2023-05-14,879
2023-05-15,709
2023-05-16,669
2023-05-17,964
2023-05-18,775
2023-05-19,654
2023-05-20,1157
2023-05-21,1569
2023-05-22,728
2023-05-23,793
2023-05-24,675
2023-05-25,634
2023-05-26,532
2023-05-27,702
2023-05-28,727
2023-05-30,610
2023-05-31,879
2023-06-01,942
2023-06-02,1101
2023-06-03,1010
2023-06-04,1131
2023-06-05,860
2023-06-06,1040
2023-06-07,767
2023-06-08,678
2023-06-09,745
2023-06-10,1070
2023-06-11,1505
2023-06-12,1041
2023-06-13,1058
2023-06-14,1047
2023-06-15,1222
2023-06-16,1303
2023-06-17,1027
2023-06-18,928
2023-06-19,691
2023-06-20,567
2023-06-21,584
2023-06-22,587
2023-06-23,591
2023-06-24,547
2023-06-25,579
2023-06-26,564
2023-06-27,552
2023-06-28,543
2023-06-29,656
2023-06-30,548
2023-07-01,671
2023-07-02,682
2023-07-03,617
2023-07-04,609
2023-07-05,573
2023-07-06,576
2023-07-07,583
2023-07-08,650
2023-07-09,708
2023-07-10,501
2023-07-11,948
2023-07-12,1275
2023-07-13,1078
2023-07-14,910
2023-07-15,1223
2023-07-16,986
2023-07-17,661
2023-07-18,667
2023-07-19,673
2023-07-20,715
2023-07-21,614
2023-07-22,727
2023-07-23,693
2023-07-24,587
2023-07-25,459
2023-07-26,498
2023-07-27,536
2023-07-28,530
2023-07-29,535
2023-07-30,584
2023-07-31,503
2023-08-01,510
2023-08-02,559
2023-08-03,531
2023-08-04,516
2023-08-05,512
2023-08-06,563
2023-08-07,611
2023-08-08,508
2023-08-09,513
2023-08-10,630
2023-08-11,658
2023-08-12,743
2023-08-13,770
2023-08-14,747
2023-08-15,925
2023-08-16,563
2023-08-17,632
2023-08-18,609
2023-08-19,1017
2023-08-20,1303
2023-08-21,953
2023-08-22,949
2023-08-23,986
2023-08-24,1157
2023-08-25,655
2023-08-26,570
2023-08-27,476
2023-08-28,417
2023-08-29,394
2023-08-30,402
2023-08-31,374
2023-09-01,674
2023-09-02,988
2023-09-03,1201
2023-09-04,639
2023-09-05,464
2023-09-06,558
2023-09-07,803
2023-09-08,903
2023-09-09,1102
2023-09-10,768
2023-09-11,517
2023-09-12,480
2023-09-13,492
2023-09-14,460
2023-09-15,431
2023-09-16,516
2023-09-17,531
2023-09-18,513
2023-09-19,545
2023-09-20,579
2023-09-21,556
2023-09-22,634
2023-09-23,781
2023-09-24,843
2023-09-25,667
2023-09-26,479
2023-09-27,435
2023-09-28,398
2023-09-29,375
2023-09-30,459
2023-10-01,478
2023-10-02,486
2023-10-03,525
2023-10-04,442
2023-10-05,414
2023-10-06,387
2023-10-07,509
2023-10-08,526
2023-10-09,439
2023-10-10,444
2023-10-11,714
2023-10-12,584
2023-10-13,536
2023-10-14,589
2023-10-15,556
2023-10-16,423
2023-10-17,448
2023-10-18,419
2023-10-19,439
2023-10-20,404
2023-10-21,477
2023-10-22,481
2023-10-23,348
2023-10-24,377
2023-10-25,345
2023-10-26,366
2023-10-27,337
2023-10-28,563
2023-10-29,580
2023-10-30,453
2023-10-31,369
2023-11-01,353
2023-11-02,352
2023-11-03,350
2023-11-04,421
2023-11-05,477
2023-11-06,359
2023-11-07,357
2023-11-08,331
2023-11-09,332
2023-11-10,305
2023-11-11,309
2023-11-12,426
2023-11-13,335
2023-11-14,360
2023-11-15,413
2023-11-16,418
2023-11-17,473
2023-11-18,520
2023-11-19,469
2023-11-20,328
2023-11-21,321
2023-11-22,363
2023-11-23,402
2023-11-24,566
2023-11-25,572
2023-11-26,561
2023-11-27,556
2023-11-28,481
2023-11-29,431
2023-11-30,381
2023-12-01,374
2023-12-02,417
2023-12-03,454
2023-12-04,310
2023-12-05,313
2023-12-06,342
2023-12-07,351
2023-12-08,386
2023-12-09,511
2023-12-10,485
2023-12-11,371
2023-12-12,315
2023-12-13,375
2023-12-14,360
2023-12-15,375
2023-12-16,438
2023-12-17,513
2023-12-18,372
2023-12-19,397
2023-12-20,366
2023-12-21,562
2023-12-22,601
2023-12-23,533
2023-12-24,519
2023-12-25,284
2023-12-26,376
2023-12-27,415
2023-12-28,473
2023-12-29,584
2023-12-30,734
2023-12-31,611
2024-01-01,545
2024-01-02,825
2024-01-03,574
2024-01-04,652
2024-01-05,777
2024-01-06,1109
2024-01-07,988
2024-01-08,486
2024-01-09,528
2024-01-10,638
2024-01-11,641
2024-01-12,601
2024-01-13,384
2024-01-14,692
2024-01-15,649
2024-01-16,678
2024-01-17,682
2024-01-18,612
2024-01-19,580
2024-01-20,488
2024-01-21,441
2024-01-22,641
2024-01-23,674
2024-01-24,546
2024-01-25,636
2024-01-26,595
2024-01-27,542
2024-01-28,335
2024-01-29,222
2024-01-30,556
2024-01-31,378
2024-02-01,343
2024-02-02,380
2024-02-03,590
2024-02-04,529
2024-02-05,659
2024-02-06,708
2024-02-07,502
2024-02-08,596
2024-02-09,942
2024-02-10,874
2024-02-11,1253
2024-02-12,806
2024-02-13,723
2024-02-14,1027
2024-02-15,956
2024-02-16,877
2024-02-17,1080
2024-02-18,1504
2024-02-19,922
2024-02-20,916
2024-02-21,890
2024-02-22,757
2024-02-23,686
2024-02-24,1090
2024-02-25,1326
2024-02-26,445
2024-02-27,669
2024-02-28,904
2024-02-29,945
2024-03-01,943
2024-03-02,1341
2024-03-03,1380
2024-03-04,1193
2024-03-05,749
2024-03-06,944
2024-03-07,956
2024-03-08,922
2024-03-09,1315
2024-03-10,1590
2024-03-11,1400
2024-03-12,1055
2024-03-13,1008
2024-03-14,1043
2024-03-15,1133
2024-03-16,1432
2024-03-17,1627
2024-03-18,910
2024-03-19,1064
2024-03-20,1046
2024-03-21,935
2024-03-22,1051
2024-03-23,1358
2024-03-24,1646
2024-03-25,725
2024-03-26,786
2024-03-27,996
2024-03-28,919
2024-03-29,757
2024-03-30,984
2024-03-31,1193
2024-04-01,945
2024-04-02,870
2024-04-03,1079
2024-04-04,1055
2024-04-05,657
2024-04-06,655
2024-04-07,633
2024-04-08,577
2024-04-09,723
2024-04-10,1012
2024-04-11,1037
2024-04-12,935
2024-04-13,1324
2024-04-14,1371
2024-04-15,912
2024-04-16,519
2024-04-17,477
2024-04-18,508
2024-04-19,510
2024-04-20,629
2024-04-21,655
2024-04-22,467
2024-04-23,373
2024-04-24,424
2024-04-25,479
2024-04-26,552
2024-04-27,912
2024-04-28,1192
2024-04-29,868
2024-04-30,854
2024-05-01,867
2024-05-02,1021
2024-05-03,1112
2024-05-04,1537
2024-05-05,1681
2024-05-06,1067
2024-05-07,1239
2024-05-08,1362
2024-05-09,1291
2024-05-10,1108
2024-05-11,1659
2024-05-12,1793
2024-05-13,1047
2024-05-14,1126
2024-05-15,1121
2024-05-16,1122
2024-05-17,1085
2024-05-18,1599
2024-05-19,1678
2024-05-20,1056
2024-05-21,1038
2024-05-22,1065
2024-05-23,1049
2024-05-24,1131
2024-05-25,1353
2024-05-26,1487
2024-05-27,977
2024-05-28,1073
2024-05-29,972
2024-05-30,1115
2024-05-31,1190
2024-06-01,1462
2024-06-02,1722
2024-06-03,1064
2024-06-04,1291
2024-06-05,1244
2024-06-06,1291
2024-06-07,1082
2024-06-08,1304
2024-06-09,1723
2024-06-10,1112
2024-06-11,1127
2024-06-12,1171
2024-06-13,1185
2024-06-14,1323
2024-06-15,1547
2024-06-16,1517
2024-06-17,1175
2024-06-18,1201
2024-06-19,1329
2024-06-20,1179
2024-06-21,1068
2024-06-22,1510
2024-06-23,1057
2024-06-24,897
2024-06-25,1072
2024-06-26,1075
2024-06-27,937
2024-06-28,1084
2024-06-29,1873
2024-06-30,1569
2024-07-01,1468
2024-07-02,1318
2024-07-03,1349
2024-07-04,1337
2024-07-05,1433
2024-07-06,1527
2024-07-07,1616
2024-07-08,1115
2024-07-09,1273
2024-07-10,1185
2024-07-11,1309
2024-07-12,1308
2024-07-13,1778
2024-07-14,2032
2024-07-15,1200
2024-07-16,1947
2024-07-17,2482
2024-07-18,1607
2024-07-19,1232
2024-07-20,1593
2024-07-21,1351
2024-07-22,1023
2024-07-23,961
2024-07-24,1074
2024-07-25,1106
2024-07-26,1029
2024-07-27,1620
2024-07-28,1828
2024-07-29,1455
2024-07-30,1082
2024-07-31,1333
2024-08-01,1370
2024-08-02,1350
2024-08-03,1950
2024-08-04,2323
2024-08-05,1486
2024-08-06,1605
2024-08-07,1528
2024-08-08,1505
2024-08-09,1525
2024-08-10,2058
2024-08-11,1803
2024-08-12,1249
2024-08-13,1350
2024-08-14,1384
2024-08-15,1355
2024-08-16,1428
2024-08-17,1771
2024-08-18,1843
2024-08-19,1496
2024-08-20,1492
2024-08-21,1365
2024-08-22,1669
2024-08-23,1351
2024-08-24,1968
2024-08-25,1563
2024-08-26,1215
2024-08-27,1172
2024-08-28,1260
2024-08-29,1494
2024-08-30,1582
2024-08-31,1725
2024-09-01,1937
2024-09-02,1376
2024-09-03,1337
2024-09-04,1480
2024-09-05,1468
2024-09-06,1525
2024-09-07,2075
2024-09-08,2246
2024-09-09,1445
2024-09-10,1291
2024-09-11,1590
2024-09-12,1332
2024-09-13,1238
2024-09-14,2175
2024-09-15,2451
2024-09-16,1519
2024-09-17,1463
2024-09-18,1588
2024-09-19,1422
2024-09-20,1413
2024-09-21,1548
2024-09-22,2585
2024-09-23,1275
2024-09-24,993
2024-09-25,1150
2024-09-26,1354
2024-09-27,1480
2024-09-28,1932
2024-09-29,1795
2024-09-30,1354
2024-10-01,1256
2024-10-02,1235
2024-10-03,1321
2024-10-04,1469
2024-10-05,1801
2024-10-06,2036
2024-10-07,1281
2024-10-08,2040
2024-10-09,2210
2024-10-10,2116
2024-10-11,1702
2024-10-12,2378
2024-10-13,3126
2024-10-14,1481
2024-10-15,1677
2024-10-16,1478
2024-10-17,1731
2024-10-18,1662
2024-10-19,1775
2024-10-20,2358
2024-10-21,1442
2024-10-22,1823
2024-10-23,1536
2024-10-24,1904
2024-10-25,1343
2024-10-26,2066
2024-10-27,2503
2024-10-28,1313
2024-10-29,1373
2024-10-30,1564
2024-10-31,1374
2024-11-01,1514
2024-11-02,2194
2024-11-03,2550
2024-11-04,1615
2024-11-05,1636
2024-11-06,1633
2024-11-07,1632
2024-11-08,1565
2024-11-09,2539
2024-11-10,2903
2024-11-11,1900
2024-11-12,1697
2024-11-13,1549
2024-11-14,1800
2024-11-15,1791
2024-11-16,2431
2024-11-17,2452
2024-11-18,1514
2024-11-19,1673
