,Sales Rank
2022-12-14,30
2022-12-15,26
2022-12-16,28
2022-12-17,28
2022-12-18,25
2022-12-19,30
2022-12-20,29
2022-12-21,28
2022-12-22,29
2022-12-23,31
2022-12-24,36
2022-12-25,30
2022-12-26,22
2022-12-27,24
2022-12-28,12
2022-12-29,16
2022-12-30,12
2022-12-31,15
2023-01-01,19
2023-01-02,20
2023-01-03,17
2023-01-04,15
2023-01-05,12
2023-01-06,15
2023-01-07,16
2023-01-08,17
2023-01-10,16
2023-01-11,17
2023-01-12,16
2023-01-13,16
2023-01-14,12
2023-01-15,18
2023-01-16,14
2023-01-17,18
2023-01-18,14
2023-01-19,15
2023-01-20,16
2023-01-21,18
2023-01-22,15
2023-01-23,19
2023-01-24,19
2023-01-25,19
2023-01-26,23
2023-01-27,19
2023-01-28,17
2023-01-29,17
2023-01-30,20
2023-01-31,22
2023-02-01,20
2023-02-02,20
2023-02-03,19
2023-02-04,19
2023-02-05,21
2023-02-06,19
2023-02-07,20
2023-02-08,18
2023-02-09,19
2023-02-10,17
2023-02-11,-1
2023-02-22,140
2023-02-23,70
2023-02-24,48
2023-02-25,33
2023-02-26,31
2023-02-27,30
2023-02-28,29
2023-03-01,26
2023-03-02,24
2023-03-03,29
2023-03-04,24
2023-03-05,24
2023-03-06,25
2023-03-07,25
2023-03-08,18
2023-03-09,23
2023-03-10,23
2023-03-11,15
2023-03-12,16
2023-03-13,22
2023-03-14,20
2023-03-15,17
2023-03-16,21
2023-03-17,18
2023-03-18,19
2023-03-19,20
2023-03-20,19
2023-03-21,25
2023-03-22,22
2023-03-23,27
2023-03-24,24
2023-03-25,27
2023-03-26,28
2023-03-27,28
2023-03-28,22
2023-03-29,22
2023-03-30,20
2023-03-31,24
2023-04-01,20
2023-04-02,16
2023-04-03,19
2023-04-04,21
2023-04-05,21
2023-04-06,24
2023-04-07,19
2023-04-08,23
2023-04-09,23
2023-04-10,30
2023-04-11,24
2023-04-12,24
2023-04-13,28
2023-04-14,28
2023-04-15,24
2023-04-16,25
2023-04-17,27
2023-04-18,30
2023-04-19,25
2023-04-20,25
2023-04-21,26
2023-04-22,22
2023-04-23,25
2023-04-24,35
2023-04-25,28
2023-04-26,27
2023-04-27,34
2023-04-28,36
2023-04-29,26
2023-04-30,23
2023-05-01,27
2023-05-02,44
2023-05-03,48
2023-05-04,35
2023-05-05,33
2023-05-06,26
2023-05-07,27
2023-05-08,33
2023-05-09,30
2023-05-10,23
2023-05-11,26
2023-05-12,27
2023-05-13,20
2023-05-14,20
2023-05-15,27
2023-05-16,22
2023-05-17,25
2023-05-18,28
2023-05-19,25
2023-05-20,21
2023-05-21,24
2023-05-22,26
2023-05-23,28
2023-05-24,31
2023-05-25,48
2023-05-26,30
2023-05-27,28
2023-05-28,24
2023-05-30,21
2023-05-31,28
2023-06-01,25
2023-06-02,28
2023-06-03,41
2023-06-04,33
2023-06-05,26
2023-06-06,19
2023-06-07,20
2023-06-08,27
2023-06-09,22
2023-06-10,22
2023-06-11,18
2023-06-12,17
2023-06-13,16
2023-06-14,14
2023-06-15,17
2023-06-16,19
2023-06-17,19
2023-06-18,26
2023-06-19,27
2023-06-20,24
2023-06-21,24
2023-06-22,28
2023-06-23,32
2023-06-24,37
