,Sales Rank
2022-12-14,218
2022-12-15,231
2022-12-16,231
2022-12-17,236
2022-12-18,250
2022-12-19,267
2022-12-20,264
2022-12-21,241
2022-12-22,226
2022-12-23,193
2022-12-24,188
2022-12-25,191
2022-12-26,201
2022-12-27,181
2022-12-28,182
2022-12-29,174
2022-12-30,159
2022-12-31,172
2023-01-01,215
2023-01-02,232
2023-01-03,226
2023-01-04,211
2023-01-05,208
2023-01-06,200
2023-01-07,208
2023-01-08,197
2023-01-09,187
2023-01-10,182
2023-01-11,185
2023-01-12,185
2023-01-13,181
2023-01-14,200
2023-01-15,225
2023-01-16,214
2023-01-17,185
2023-01-18,163
2023-01-19,197
2023-01-20,181
2023-01-21,198
2023-01-22,215
2023-01-23,180
2023-01-24,171
2023-01-25,159
2023-01-26,183
2023-01-27,190
2023-01-28,196
2023-01-29,222
2023-01-30,182
2023-01-31,193
2023-02-01,202
2023-02-02,193
2023-02-03,181
2023-02-04,201
2023-02-05,222
2023-02-06,214
2023-02-07,188
2023-02-08,183
2023-02-09,181
2023-02-10,181
2023-02-11,203
2023-02-12,203
2023-02-13,187
2023-02-14,199
2023-02-15,232
2023-02-16,235
2023-02-17,244
2023-02-18,209
2023-02-19,230
2023-02-20,211
2023-02-21,179
2023-02-22,167
2023-02-23,195
2023-02-24,191
2023-02-25,191
2023-02-26,211
2023-02-27,206
2023-02-28,186
2023-03-01,198
2023-03-02,244
2023-03-03,262
2023-03-04,297
2023-03-05,314
2023-03-06,358
2023-03-07,276
2023-03-08,277
2023-03-09,259
2023-03-10,249
2023-03-11,322
2023-03-12,338
2023-03-13,291
2023-03-14,310
2023-03-15,290
2023-03-16,453
2023-03-17,511
2023-03-18,592
2023-03-19,390
2023-03-20,333
2023-03-21,320
2023-03-22,357
2023-03-23,326
2023-03-24,305
2023-03-25,336
2023-03-26,320
2023-03-27,303
2023-03-28,281
2023-03-29,311
2023-03-30,312
2023-03-31,268
2023-04-01,285
2023-04-02,300
2023-04-03,271
2023-04-04,265
2023-04-05,230
2023-04-06,249
2023-04-07,252
2023-04-08,285
2023-04-09,266
2023-04-10,240
2023-04-11,240
2023-04-12,236
2023-04-13,241
2023-04-14,222
2023-04-15,229
2023-04-16,269
2023-04-17,232
2023-04-18,240
2023-04-19,233
2023-04-20,217
2023-04-21,240
2023-04-22,245
2023-04-23,247
2023-04-24,235
2023-04-25,231
2023-04-26,224
2023-04-27,221
2023-04-28,225
2023-04-29,263
2023-04-30,302
2023-05-01,275
2023-05-02,256
2023-05-03,237
2023-05-04,283
2023-05-05,253
2023-05-06,284
2023-05-07,296
2023-05-08,275
2023-05-09,265
2023-05-10,271
2023-05-11,255
2023-05-12,251
2023-05-13,306
2023-05-14,290
2023-05-15,276
2023-05-16,255
2023-05-17,218
2023-05-18,242
2023-05-19,231
2023-05-20,248
2023-05-21,241
2023-05-22,292
2023-05-23,282
2023-05-24,245
2023-05-25,312
2023-05-26,329
2023-05-27,287
2023-05-28,251
2023-05-31,252
2023-06-01,277
2023-06-02,306
2023-06-03,256
2023-06-04,238
2023-06-05,267
2023-06-06,321
2023-06-07,266
2023-06-08,298
2023-06-09,231
2023-06-10,271
2023-06-11,369
2023-06-12,388
2023-06-13,422
2023-06-14,499
2023-06-15,536
2023-06-16,581
2023-06-17,545
2023-06-18,532
2023-06-19,655
2023-06-20,378
2023-06-21,322
2023-06-22,260
2023-06-23,248
2023-06-24,240
2023-06-25,241
2023-06-26,240
2023-06-27,261
2023-06-28,231
2023-06-29,230
2023-06-30,212
2023-07-01,209
2023-07-02,236
2023-07-03,208
2023-07-04,201
2023-07-05,218
2023-07-06,204
2023-07-07,196
2023-07-08,202
2023-07-09,211
2023-07-10,215
2023-07-11,337
2023-07-12,400
2023-07-13,354
2023-07-14,283
2023-07-15,260
2023-07-16,238
2023-07-17,248
2023-07-18,216
2023-07-19,209
2023-07-20,195
2023-07-21,209
2023-07-22,208
2023-07-23,219
2023-07-24,226
2023-07-25,228
2023-07-26,209
2023-07-27,187
2023-07-28,190
2023-07-29,195
2023-07-30,196
2023-07-31,192
2023-08-01,194
2023-08-02,182
2023-08-03,179
2023-08-04,179
2023-08-05,179
2023-08-06,173
2023-08-07,179
2023-08-08,192
2023-08-09,177
2023-08-10,173
2023-08-11,187
2023-08-12,186
2023-08-13,187
2023-08-14,190
2023-08-15,192
2023-08-16,178
2023-08-17,187
2023-08-18,180
2023-08-19,187
2023-08-20,188
2023-08-21,211
2023-08-22,191
2023-08-23,179
2023-08-24,166
2023-08-25,181
2023-08-26,177
2023-08-27,180
2023-08-28,204
2023-08-29,192
2023-08-30,180
2023-08-31,183
2023-09-01,190
2023-09-02,211
2023-09-03,192
2023-09-04,193
2023-09-05,186
2023-09-06,182
2023-09-07,183
2023-09-08,194
2023-09-09,187
2023-09-10,182
2023-09-11,210
2023-09-12,183
2023-09-13,186
2023-09-14,192
2023-09-15,191
2023-09-16,187
2023-09-17,194
2023-09-18,208
2023-09-19,188
2023-09-20,196
2023-09-21,185
2023-09-22,196
2023-09-23,201
2023-09-24,199
2023-09-25,195
2023-09-26,180
2023-09-27,173
2023-09-28,180
2023-09-29,171
2023-09-30,174
2023-10-01,178
2023-10-02,209
2023-10-03,177
2023-10-04,163
2023-10-05,187
2023-10-06,184
2023-10-07,168
2023-10-08,176
2023-10-09,168
2023-10-10,170
2023-10-11,243
2023-10-12,221
2023-10-13,188
2023-10-14,173
2023-10-15,177
2023-10-16,182
2023-10-17,189
2023-10-18,158
2023-10-19,171
2023-10-20,162
2023-10-21,165
2023-10-22,154
2023-10-23,180
2023-10-24,164
2023-10-25,161
2023-10-26,169
2023-10-27,156
2023-10-28,169
2023-10-29,156
2023-10-30,171
2023-10-31,160
2023-11-01,162
2023-11-02,160
2023-11-03,145
2023-11-04,155
2023-11-05,157
2023-11-06,159
2023-11-07,157
2023-11-08,149
2023-11-09,150
2023-11-10,152
2023-11-11,150
2023-11-12,158
2023-11-13,171
2023-11-14,166
2023-11-15,172
2023-11-16,173
2023-11-17,175
2023-11-18,176
2023-11-19,179
2023-11-20,197
2023-11-21,184
2023-11-22,179
2023-11-23,231
2023-11-24,329
2023-11-25,264
2023-11-26,253
2023-11-27,326
2023-11-28,272
2023-11-29,195
2023-11-30,183
2023-12-01,186
2023-12-02,188
2023-12-03,189
2023-12-04,194
2023-12-05,185
2023-12-06,186
2023-12-07,175
2023-12-08,165
2023-12-09,199
2023-12-10,210
2023-12-11,216
2023-12-12,208
2023-12-13,198
2023-12-14,197
2023-12-15,225
2023-12-16,234
2023-12-17,270
2023-12-18,299
2023-12-19,268
2023-12-20,242
2023-12-21,219
2023-12-22,226
2023-12-23,224
2023-12-24,203
2023-12-25,232
2023-12-26,168
2023-12-27,165
2023-12-28,149
2023-12-29,128
2023-12-30,148
2023-12-31,149
2024-01-01,232
2024-01-02,213
2024-01-03,175
2024-01-04,155
2024-01-05,155
2024-01-06,210
2024-01-07,232
2024-01-08,267
2024-01-09,185
2024-01-10,167
2024-01-11,187
2024-01-12,184
2024-01-13,186
2024-01-14,203
2024-01-15,206
2024-01-16,194
2024-01-17,179
2024-01-18,173
2024-01-19,179
2024-01-20,174
2024-01-21,198
2024-01-22,211
2024-01-23,182
2024-01-24,181
2024-01-25,198
2024-01-26,188
2024-01-27,189
2024-01-28,189
2024-01-29,189
2024-01-30,222
2024-01-31,212
2024-02-01,197
2024-02-02,170
2024-02-03,187
2024-02-04,196
2024-02-05,196
2024-02-06,200
2024-02-07,206
2024-02-08,181
2024-02-09,199
2024-02-10,185
2024-02-11,214
2024-02-12,211
2024-02-13,220
2024-02-14,204
2024-02-15,200
2024-02-16,210
2024-02-17,218
2024-02-18,226
2024-02-19,284
2024-02-20,239
2024-02-21,216
2024-02-22,274
2024-02-23,238
2024-02-24,213
2024-02-25,213
2024-02-26,245
2024-02-27,230
2024-02-28,215
2024-02-29,198
2024-03-01,220
2024-03-02,213
2024-03-03,247
2024-03-04,288
2024-03-05,233
2024-03-06,236
2024-03-07,243
2024-03-08,240
2024-03-09,241
2024-03-10,254
2024-03-11,287
2024-03-12,281
2024-03-13,245
2024-03-14,259
2024-03-15,271
2024-03-16,285
2024-03-17,304
2024-03-18,328
2024-03-19,279
2024-03-20,270
2024-03-21,272
2024-03-22,282
2024-03-23,260
2024-03-24,298
2024-03-25,324
2024-03-26,311
2024-03-27,266
2024-03-28,272
2024-03-29,272
2024-03-30,225
2024-03-31,253
2024-04-01,274
2024-04-02,245
2024-04-03,205
2024-04-04,231
2024-04-05,262
2024-04-06,249
2024-04-07,259
2024-04-08,268
2024-04-09,257
2024-04-10,224
2024-04-11,229
2024-04-12,253
2024-04-13,232
2024-04-14,256
2024-04-15,292
2024-04-16,554
2024-04-17,543
2024-04-18,478
2024-04-19,505
2024-04-20,485
2024-04-21,539
2024-04-22,558
2024-04-23,471
2024-04-24,467
2024-04-25,474
2024-04-26,566
2024-04-27,578
2024-04-28,584
2024-04-29,566
2024-04-30,499
2024-05-01,519
2024-05-02,523
2024-05-03,524
2024-05-04,473
2024-05-05,605
2024-05-06,620
2024-05-07,722
2024-05-08,688
2024-05-09,655
2024-05-10,617
2024-05-11,735
2024-05-12,810
2024-05-13,830
2024-05-14,1027
2024-05-15,897
2024-05-16,994
2024-05-17,1032
2024-05-18,1128
2024-05-19,1187
2024-05-20,1276
2024-05-21,1290
2024-05-22,1469
2024-05-23,1952
2024-05-24,1281
2024-05-25,1090
2024-05-26,559
2024-05-27,889
2024-05-28,862
2024-05-29,944
2024-05-30,969
2024-05-31,744
2024-06-01,789
2024-06-02,988
2024-06-03,850
2024-06-04,796
2024-06-05,645
2024-06-06,808
2024-06-07,748
2024-06-08,847
2024-06-09,876
2024-06-10,858
2024-06-11,854
2024-06-12,1006
2024-06-13,902
2024-06-14,854
2024-06-15,815
2024-06-16,761
2024-06-17,771
2024-06-18,600
2024-06-19,548
2024-06-20,586
2024-06-21,649
2024-06-22,491
