,Sales Rank
2022-12-14,221
2022-12-15,238
2022-12-16,240
2022-12-17,236
2022-12-18,250
2022-12-19,267
2022-12-20,264
2022-12-21,246
2022-12-22,226
2022-12-23,195
2022-12-24,188
2022-12-25,191
2022-12-26,201
2022-12-27,181
2022-12-28,182
2022-12-29,174
2022-12-30,163
2022-12-31,189
2023-01-01,202
2023-01-02,232
2023-01-03,226
2023-01-04,211
2023-01-05,208
2023-01-06,197
2023-01-07,208
2023-01-08,200
2023-01-09,187
2023-01-10,182
2023-01-11,185
2023-01-12,185
2023-01-13,181
2023-01-14,206
2023-01-15,225
2023-01-16,194
2023-01-17,185
2023-01-18,174
2023-01-19,197
2023-01-20,183
2023-01-21,198
2023-01-22,216
2023-01-23,180
2023-01-24,159
2023-01-25,159
2023-01-26,183
2023-01-27,190
2023-01-28,196
2023-01-29,222
2023-01-30,193
2023-01-31,193
2023-02-01,192
2023-02-02,193
2023-02-03,181
2023-02-04,201
2023-02-05,222
2023-02-06,214
2023-02-07,188
2023-02-08,183
2023-02-09,181
2023-02-10,181
2023-02-11,196
2023-02-12,189
2023-02-13,206
2023-02-14,199
2023-02-15,232
2023-02-16,235
2023-02-17,233
2023-02-18,209
2023-02-19,247
2023-02-20,211
2023-02-21,172
2023-02-22,168
2023-02-23,195
2023-02-24,191
2023-02-25,191
2023-02-26,203
2023-02-27,206
2023-02-28,186
2023-03-01,198
2023-03-02,244
2023-03-03,255
2023-03-04,282
2023-03-05,288
2023-03-06,358
2023-03-07,278
2023-03-08,296
2023-03-09,259
2023-03-10,298
2023-03-11,322
2023-03-12,345
2023-03-13,286
2023-03-14,295
2023-03-15,290
2023-03-16,453
2023-03-17,508
2023-03-18,592
2023-03-19,424
2023-03-20,325
2023-03-21,300
2023-03-22,345
2023-03-23,328
2023-03-24,305
2023-03-25,322
2023-03-26,320
2023-03-27,293
2023-03-28,287
2023-03-29,311
2023-03-30,312
2023-03-31,249
2023-04-01,285
2023-04-02,309
2023-04-03,271
2023-04-04,265
2023-04-05,230
2023-04-06,249
2023-04-07,252
2023-04-08,285
2023-04-09,266
2023-04-10,239
2023-04-11,240
2023-04-12,236
2023-04-13,241
2023-04-14,218
2023-04-15,230
2023-04-16,258
2023-04-17,232
2023-04-18,240
2023-04-19,233
2023-04-20,219
2023-04-21,240
2023-04-22,241
2023-04-23,247
2023-04-24,235
2023-04-25,231
2023-04-26,234
2023-04-27,222
2023-04-28,232
2023-04-29,267
2023-04-30,281
2023-05-01,275
2023-05-02,259
2023-05-03,277
2023-05-04,288
2023-05-05,253
2023-05-06,275
2023-05-07,287
2023-05-08,275
2023-05-09,254
2023-05-10,271
2023-05-11,255
2023-05-12,271
2023-05-13,306
2023-05-14,289
2023-05-15,283
2023-05-16,255
2023-05-17,218
2023-05-18,220
2023-05-19,231
2023-05-20,248
2023-05-21,252
2023-05-22,292
2023-05-23,306
2023-05-24,238
2023-05-25,312
2023-05-26,329
2023-05-27,272
2023-05-28,251
2023-05-30,261
2023-05-31,245
2023-06-01,270
2023-06-02,291
2023-06-03,256
2023-06-04,230
2023-06-05,314
2023-06-06,313
2023-06-07,266
2023-06-08,307
2023-06-09,237
2023-06-10,271
2023-06-11,369
2023-06-12,414
2023-06-13,445
2023-06-14,499
2023-06-15,536
2023-06-16,581
2023-06-17,545
2023-06-18,532
2023-06-19,650
2023-06-20,378
2023-06-21,322
2023-06-22,260
2023-06-23,248
2023-06-24,240
2023-06-25,241
2023-06-26,240
2023-06-27,261
2023-06-28,227
2023-06-29,236
2023-06-30,212
2023-07-01,209
2023-07-02,236
2023-07-03,208
2023-07-04,207
2023-07-05,221
2023-07-06,208
2023-07-07,207
2023-07-08,202
2023-07-09,211
2023-07-10,219
2023-07-11,337
2023-07-12,410
2023-07-13,342
2023-07-14,277
2023-07-15,245
2023-07-16,238
2023-07-17,248
2023-07-18,216
2023-07-19,200
2023-07-20,195
2023-07-21,211
2023-07-22,200
2023-07-23,210
2023-07-24,226
2023-07-25,222
2023-07-26,209
2023-07-27,187
2023-07-28,190
2023-07-29,195
2023-07-30,196
2023-07-31,195
2023-08-01,194
2023-08-02,187
2023-08-03,183
2023-08-04,179
2023-08-05,178
2023-08-06,174
2023-08-07,179
2023-08-08,190
2023-08-09,175
2023-08-10,178
2023-08-11,190
2023-08-12,187
2023-08-13,181
2023-08-14,197
2023-08-15,192
2023-08-16,176
2023-08-17,187
2023-08-18,180
2023-08-19,182
2023-08-20,188
2023-08-21,211
2023-08-22,191
2023-08-23,174
2023-08-24,166
2023-08-25,184
2023-08-26,177
2023-08-27,180
2023-08-28,204
2023-08-29,192
2023-08-30,180
2023-08-31,183
2023-09-01,190
2023-09-02,211
2023-09-03,192
2023-09-04,196
2023-09-05,186
2023-09-06,182
2023-09-07,183
2023-09-08,194
2023-09-09,187
2023-09-10,182
2023-09-11,210
2023-09-12,191
2023-09-13,184
2023-09-14,192
2023-09-15,191
2023-09-16,187
2023-09-17,194
2023-09-18,221
2023-09-19,188
2023-09-20,192
2023-09-21,185
2023-09-22,197
2023-09-23,201
2023-09-24,199
2023-09-25,195
2023-09-26,180
2023-09-27,173
2023-09-28,180
2023-09-29,171
2023-09-30,174
2023-10-01,179
2023-10-02,209
2023-10-03,180
2023-10-04,163
2023-10-05,187
2023-10-06,188
2023-10-07,168
2023-10-08,165
2023-10-09,168
2023-10-10,238
2023-10-11,243
2023-10-12,221
2023-10-13,188
2023-10-14,174
2023-10-15,177
2023-10-16,182
2023-10-17,189
2023-10-18,158
2023-10-19,171
2023-10-20,162
2023-10-21,165
2023-10-22,154
2023-10-23,181
2023-10-24,164
2023-10-25,165
2023-10-26,169
2023-10-27,156
2023-10-28,169
2023-10-29,156
2023-10-30,168
2023-10-31,162
2023-11-01,162
2023-11-02,163
2023-11-03,150
2023-11-04,155
2023-11-05,157
2023-11-06,151
2023-11-07,155
2023-11-08,143
2023-11-09,148
2023-11-10,152
2023-11-11,151
2023-11-12,147
2023-11-13,173
2023-11-14,174
2023-11-15,160
2023-11-16,168
2023-11-17,182
2023-11-18,176
2023-11-19,179
2023-11-20,197
2023-11-21,190
2023-11-22,179
2023-11-23,231
2023-11-24,329
2023-11-25,264
2023-11-26,270
2023-11-27,314
2023-11-28,229
2023-11-29,195
2023-11-30,183
2023-12-01,182
2023-12-02,188
2023-12-03,189
2023-12-04,194
2023-12-05,188
2023-12-06,186
2023-12-07,183
2023-12-08,165
2023-12-09,199
2023-12-10,210
2023-12-11,214
2023-12-12,209
2023-12-13,200
2023-12-14,197
2023-12-15,225
2023-12-16,234
2023-12-17,270
2023-12-18,299
2023-12-19,283
2023-12-20,242
2023-12-21,219
2023-12-22,226
2023-12-23,228
2023-12-24,200
2023-12-25,232
2023-12-26,168
2023-12-27,170
2023-12-28,148
2023-12-29,128
2023-12-30,137
2023-12-31,149
2024-01-01,247
2024-01-02,225
2024-01-03,175
2024-01-04,155
2024-01-05,157
2024-01-06,210
2024-01-07,218
2024-01-08,256
2024-01-09,191
2024-01-10,168
2024-01-11,181
2024-01-12,186
2024-01-13,183
2024-01-14,203
2024-01-15,207
2024-01-16,197
2024-01-17,179
2024-01-18,178
2024-01-19,179
2024-01-20,174
2024-01-21,198
2024-01-22,211
2024-01-23,182
2024-01-24,186
2024-01-25,198
2024-01-26,188
2024-01-27,189
2024-01-28,185
2024-01-29,220
2024-01-30,222
2024-01-31,200
2024-02-01,211
2024-02-02,178
2024-02-03,188
2024-02-04,196
2024-02-05,218
2024-02-06,200
2024-02-07,206
2024-02-08,180
2024-02-09,199
2024-02-10,210
2024-02-11,214
2024-02-12,240
2024-02-13,217
2024-02-14,202
2024-02-15,214
2024-02-16,222
2024-02-17,206
2024-02-18,226
2024-02-19,277
2024-02-20,239
2024-02-21,216
2024-02-22,274
2024-02-23,232
2024-02-24,213
2024-02-25,213
2024-02-26,245
2024-02-27,230
2024-02-28,215
2024-02-29,198
2024-03-01,220
2024-03-02,213
2024-03-03,247
2024-03-04,288
2024-03-05,257
2024-03-06,236
2024-03-07,243
2024-03-08,255
2024-03-09,243
2024-03-10,252
2024-03-11,282
2024-03-12,273
2024-03-13,271
2024-03-14,282
2024-03-15,271
2024-03-16,285
2024-03-17,304
2024-03-18,318
2024-03-19,288
2024-03-20,270
2024-03-21,272
2024-03-22,273
2024-03-23,287
2024-03-24,298
2024-03-25,324
2024-03-26,311
2024-03-27,266
2024-03-28,276
2024-03-29,263
2024-03-30,225
2024-03-31,253
2024-04-01,273
2024-04-02,238
2024-04-03,215
2024-04-04,219
2024-04-05,262
2024-04-06,249
2024-04-07,264
2024-04-08,268
2024-04-09,262
2024-04-10,224
2024-04-11,240
2024-04-12,253
2024-04-13,240
2024-04-14,267
2024-04-15,292
2024-04-16,1122
2024-04-17,950
2024-04-18,926
2024-04-19,923
2024-04-20,1027
2024-04-21,992
2024-04-22,1112
2024-04-23,1178
2024-04-24,942
2024-04-25,908
2024-04-26,962
2024-04-27,905
2024-04-28,956
2024-04-29,1171
2024-04-30,1135
2024-05-01,953
2024-05-02,980
2024-05-03,917
2024-05-04,841
2024-05-05,1010
2024-05-06,1067
2024-05-07,1226
2024-05-08,1065
2024-05-09,1135
2024-05-10,1012
2024-05-11,887
2024-05-12,855
2024-05-13,856
2024-05-14,845
2024-05-15,707
2024-05-16,816
2024-05-17,876
2024-05-18,836
2024-05-19,863
2024-05-20,933
2024-05-21,967
2024-05-22,801
2024-05-23,741
2024-05-24,799
2024-05-25,774
2024-05-26,801
2024-05-27,840
2024-05-28,847
2024-05-29,681
2024-05-30,761
2024-05-31,751
2024-06-01,732
2024-06-02,770
2024-06-03,820
2024-06-04,856
2024-06-05,770
2024-06-06,838
2024-06-07,783
2024-06-08,785
2024-06-09,854
2024-06-10,1003
2024-06-11,987
2024-06-12,858
2024-06-13,925
2024-06-14,929
2024-06-15,1023
2024-06-16,1025
2024-06-17,1151
2024-06-18,1168
2024-06-19,1026
2024-06-20,1016
2024-06-21,977
2024-06-22,901
2024-06-23,980
2024-06-24,1139
2024-06-25,1056
2024-06-26,876
2024-06-27,996
2024-06-28,973
2024-06-29,986
2024-06-30,907
2024-07-01,1065
2024-07-02,1029
2024-07-03,904
2024-07-04,962
2024-07-05,867
2024-07-06,939
2024-07-07,894
2024-07-08,1155
2024-07-09,1164
2024-07-10,841
2024-07-11,891
2024-07-12,869
2024-07-13,949
2024-07-14,986
2024-07-15,1057
2024-07-16,1658
2024-07-17,1474
2024-07-18,1321
2024-07-19,1136
2024-07-20,1034
2024-07-21,959
2024-07-22,1104
2024-07-23,1158
2024-07-24,893
2024-07-25,913
2024-07-26,915
2024-07-27,839
2024-07-28,787
2024-07-29,968
2024-07-30,1094
2024-07-31,834
2024-08-01,851
2024-08-02,797
2024-08-03,812
2024-08-04,755
2024-08-05,883
2024-08-06,1038
2024-08-07,955
2024-08-09,910
2024-08-11,772
2024-08-12,943
2024-08-13,995
2024-08-14,791
2024-08-15,797
2024-08-16,833
2024-08-17,812
2024-08-18,779
2024-08-19,884
2024-08-20,984
2024-08-21,826
2024-08-22,748
2024-08-23,857
2024-08-24,798
2024-08-25,753
2024-08-26,856
2024-08-27,814
2024-08-28,787
2024-08-29,717
2024-08-30,738
2024-08-31,724
2024-09-01,734
2024-09-02,936
2024-09-03,889
2024-09-04,818
2024-09-05,722
2024-09-06,660
2024-09-07,714
2024-09-08,676
2024-09-09,825
2024-09-10,895
2024-09-11,713
2024-09-12,701
2024-09-13,752
2024-09-14,698
2024-09-15,687
2024-09-16,771
2024-09-17,809
2024-09-18,682
2024-09-19,750
2024-09-20,752
2024-09-21,717
2024-09-22,658
2024-09-23,798
2024-09-24,894
2024-09-25,651
2024-09-26,635
2024-09-27,692
2024-09-28,696
2024-09-29,689
2024-09-30,739
2024-10-01,784
2024-10-02,463
2024-10-03,639
2024-10-04,644
2024-10-05,658
2024-10-06,564
2024-10-07,518
2024-10-08,731
2024-10-09,1022
2024-10-10,1010
2024-10-11,853
2024-10-12,730
2024-10-13,734
2024-10-14,890
2024-10-15,878
2024-10-16,742
2024-10-17,765
2024-10-18,784
2024-10-19,839
2024-10-20,825
2024-10-21,852
2024-10-22,893
2024-10-23,742
2024-10-24,818
2024-10-25,822
2024-10-26,841
2024-10-27,734
2024-10-28,851
2024-10-29,941
2024-10-30,746
2024-10-31,795
2024-11-01,735
2024-11-02,676
2024-11-03,679
2024-11-04,797
2024-11-05,854
2024-11-06,688
2024-11-07,717
2024-11-08,692
2024-11-09,688
2024-11-10,683
2024-11-11,764
2024-11-12,713
2024-11-13,598
2024-11-14,674
2024-11-15,662
2024-11-16,615
2024-11-17,627
2024-11-18,710
2024-11-19,765
2024-11-20,621
2024-11-21,677
2024-11-22,555
2024-11-23,623
2024-11-24,671
2024-11-25,821
2024-11-26,805
2024-11-27,759
2024-11-28,872
2024-11-29,1103
2024-11-30,960
2024-12-01,893
2024-12-02,1222
2024-12-03,1007
2024-12-04,802
2024-12-05,851
2024-12-06,824
2024-12-07,870
2024-12-08,901
2024-12-09,961
2024-12-10,963
2024-12-11,920
2024-12-12,996
2024-12-13,1053
2024-12-14,967
2024-12-15,910
2024-12-16,1117
2024-12-17,1198
2024-12-18,909
2024-12-19,981
2024-12-20,1033
2024-12-21,955
2024-12-22,956
2024-12-23,1075
2024-12-24,1035
2024-12-25,804
2024-12-26,848
2024-12-27,723
2024-12-28,715
2024-12-29,734
2024-12-30,913
2024-12-31,854
2025-01-01,713
2025-01-02,707
2025-01-03,732
2025-01-04,689
2025-01-05,710
2025-01-06,876
2025-01-07,801
2025-01-08,724
2025-01-09,714
2025-01-10,683
2025-01-11,726
2025-01-12,749
