,Sales Rank
2022-12-14,401
2022-12-15,405
2022-12-16,396
2022-12-17,452
2022-12-18,510
2022-12-19,478
2022-12-20,514
2022-12-21,512
2022-12-22,480
2022-12-23,404
2022-12-24,408
2022-12-25,384
2022-12-26,312
2022-12-27,335
2022-12-28,308
2022-12-29,340
2022-12-30,344
2022-12-31,377
2023-01-01,338
2023-01-02,344
2023-01-03,329
2023-01-04,329
2023-01-05,310
2023-01-06,326
2023-01-07,327
2023-01-08,334
2023-01-09,331
2023-01-10,331
2023-01-11,334
2023-01-12,322
2023-01-13,314
2023-01-14,327
2023-01-15,313
2023-01-16,317
2023-01-17,341
2023-01-18,296
2023-01-19,308
2023-01-20,327
2023-01-21,324
2023-01-22,355
2023-01-23,335
2023-01-24,332
2023-01-25,328
2023-01-26,348
2023-01-27,353
2023-01-28,327
2023-01-29,308
2023-01-30,303
2023-01-31,287
2023-02-01,308
2023-02-02,316
2023-02-03,300
2023-02-04,312
2023-02-05,332
2023-02-06,297
2023-02-07,316
2023-02-08,319
2023-02-09,303
2023-02-10,317
2023-02-11,336
2023-02-12,305
2023-02-13,324
2023-02-14,320
2023-02-15,319
2023-02-16,331
2023-02-17,310
2023-02-18,337
2023-02-19,305
2023-02-20,317
2023-02-21,260
2023-02-22,276
2023-02-23,288
2023-02-24,317
2023-02-25,305
2023-02-26,301
2023-02-27,294
2023-02-28,284
2023-03-01,274
2023-03-02,238
2023-03-03,279
2023-03-04,299
2023-03-05,306
2023-03-06,264
2023-03-07,271
2023-03-08,278
2023-03-09,265
2023-03-10,306
2023-03-11,331
2023-03-12,289
2023-03-13,339
2023-03-14,272
2023-03-15,362
2023-03-16,252
2023-03-17,297
2023-03-18,342
2023-03-19,307
2023-03-20,310
2023-03-21,271
2023-03-22,365
2023-03-23,331
2023-03-24,290
2023-03-25,314
2023-03-26,344
2023-03-27,311
2023-03-28,283
2023-03-29,303
2023-03-30,291
2023-03-31,288
2023-04-01,306
2023-04-02,306
2023-04-03,298
2023-04-04,252
2023-04-05,285
2023-04-06,274
2023-04-07,279
2023-04-08,285
2023-04-09,278
2023-04-10,282
2023-04-11,294
2023-04-12,305
2023-04-13,302
2023-04-14,262
2023-04-15,292
2023-04-16,336
2023-04-17,311
2023-04-18,299
2023-04-19,288
2023-04-20,333
2023-04-21,296
2023-04-22,307
2023-04-23,333
2023-04-24,318
2023-04-25,338
2023-04-26,322
2023-04-27,327
2023-04-28,323
2023-04-29,382
2023-04-30,414
2023-05-01,401
2023-05-02,502
2023-05-03,449
2023-05-04,332
2023-05-05,320
2023-05-06,321
2023-05-07,370
2023-05-08,345
2023-05-09,340
2023-05-10,395
2023-05-11,444
2023-05-12,391
2023-05-13,361
2023-05-14,345
2023-05-15,290
2023-05-16,280
2023-05-17,341
2023-05-18,303
2023-05-19,301
2023-05-20,356
2023-05-21,326
2023-05-22,323
2023-05-23,285
2023-05-24,313
2023-05-25,309
2023-05-26,308
2023-05-27,318
2023-05-28,338
2023-05-30,292
2023-05-31,309
2023-06-01,312
2023-06-02,313
2023-06-03,338
2023-06-04,338
2023-06-05,316
2023-06-06,323
2023-06-07,317
2023-06-08,375
2023-06-09,333
2023-06-10,366
2023-06-11,418
2023-06-12,340
2023-06-13,384
2023-06-14,571
2023-06-15,377
2023-06-16,459
2023-06-17,418
2023-06-18,394
2023-06-19,393
2023-06-20,389
2023-06-21,407
2023-06-22,411
2023-06-23,407
2023-06-24,380
2023-06-25,427
2023-06-26,391
2023-06-27,371
2023-06-28,355
2023-06-29,432
2023-06-30,341
2023-07-01,373
2023-07-02,405
2023-07-03,336
2023-07-04,366
2023-07-05,365
2023-07-06,356
2023-07-07,327
2023-07-08,348
2023-07-09,345
2023-07-10,327
2023-07-11,509
2023-07-12,747
2023-07-13,830
2023-07-14,477
2023-07-15,438
2023-07-16,447
2023-07-17,348
2023-07-18,351
2023-07-19,361
2023-07-20,343
2023-07-21,351
2023-07-22,373
2023-07-23,354
2023-07-24,341
2023-07-25,343
2023-07-26,350
2023-07-27,347
2023-07-28,354
2023-07-29,361
2023-07-30,374
2023-07-31,343
2023-08-01,347
2023-08-02,355
2023-08-03,335
2023-08-04,341
2023-08-05,346
2023-08-06,364
2023-08-07,356
2023-08-08,317
2023-08-09,317
2023-08-10,344
2023-08-11,329
2023-08-12,318
2023-08-13,367
2023-08-14,334
2023-08-15,328
2023-08-16,329
2023-08-17,319
2023-08-18,320
2023-08-19,333
2023-08-20,345
2023-08-21,335
2023-08-22,305
2023-08-23,320
2023-08-24,348
2023-08-25,313
2023-08-26,321
2023-08-27,328
2023-08-28,306
2023-08-29,302
2023-08-30,373
2023-08-31,380
2023-09-01,330
2023-09-02,391
2023-09-03,356
2023-09-04,337
2023-09-05,342
2023-09-06,325
2023-09-07,336
2023-09-08,370
2023-09-09,354
2023-09-10,371
2023-09-11,384
2023-09-12,335
2023-09-13,352
2023-09-14,344
2023-09-15,346
2023-09-16,346
2023-09-17,369
2023-09-18,338
2023-09-19,367
2023-09-20,338
2023-09-21,313
2023-09-22,342
2023-09-23,354
2023-09-24,342
2023-09-25,311
2023-09-26,360
2023-09-27,333
2023-09-28,358
2023-09-29,353
2023-09-30,333
2023-10-01,391
2023-10-02,332
2023-10-03,349
2023-10-04,342
2023-10-05,354
2023-10-06,318
2023-10-07,349
2023-10-08,369
2023-10-09,336
2023-10-10,352
2023-10-11,457
2023-10-12,517
2023-10-13,319
2023-10-14,309
2023-10-15,320
2023-10-16,310
2023-10-17,323
2023-10-18,306
2023-10-19,286
2023-10-20,268
2023-10-21,285
2023-10-22,282
2023-10-23,287
2023-10-24,276
2023-10-25,270
2023-10-26,280
2023-10-27,276
2023-10-28,287
2023-10-29,295
2023-10-30,286
2023-10-31,265
2023-11-01,282
2023-11-02,301
2023-11-03,294
2023-11-04,290
2023-11-05,286
2023-11-06,299
2023-11-07,255
2023-11-08,276
2023-11-09,284
2023-11-10,273
2023-11-11,286
2023-11-12,303
2023-11-13,297
2023-11-14,258
2023-11-15,284
2023-11-16,336
2023-11-17,254
2023-11-18,301
2023-11-19,387
2023-11-20,324
2023-11-21,305
2023-11-22,337
2023-11-23,346
2023-11-24,365
2023-11-25,502
2023-11-26,477
2023-11-27,520
2023-11-28,460
2023-11-29,411
2023-11-30,388
2023-12-01,302
2023-12-02,402
2023-12-03,386
2023-12-04,382
2023-12-05,412
2023-12-06,391
2023-12-07,406
2023-12-08,428
2023-12-09,428
2023-12-10,474
2023-12-11,377
2023-12-12,494
2023-12-13,536
2023-12-14,518
2023-12-15,715
2023-12-16,796
2023-12-17,799
2023-12-18,739
2023-12-19,721
2023-12-20,759
2023-12-21,597
2023-12-22,655
2023-12-23,632
2023-12-24,659
2023-12-25,489
2023-12-26,503
2023-12-27,490
2023-12-28,488
2023-12-29,487
2023-12-30,536
2023-12-31,535
2024-01-01,475
2024-01-02,504
2024-01-03,486
2024-01-04,464
2024-01-05,440
2024-01-06,504
2024-01-07,1127
2024-01-08,526
2024-01-09,287
2024-01-10,287
2024-01-11,286
2024-01-12,279
2024-01-13,276
2024-01-14,304
2024-01-15,298
2024-01-16,308
2024-01-17,291
2024-01-18,297
2024-01-19,315
2024-01-20,312
2024-01-21,278
2024-01-22,281
2024-01-23,281
2024-01-24,312
2024-01-25,274
2024-01-26,297
2024-01-27,308
2024-01-28,318
2024-01-29,267
2024-01-30,302
2024-01-31,296
2024-02-01,287
2024-02-02,298
2024-02-03,278
2024-02-04,294
2024-02-05,255
2024-02-06,287
2024-02-07,273
2024-02-08,1921
2024-02-09,336
2024-02-10,347
2024-02-11,327
2024-02-12,313
2024-02-13,3215
2024-02-14,3835
2024-02-15,3793
2024-02-16,2855
2024-02-17,591
2024-02-18,561
2024-02-19,580
2024-02-20,544
2024-02-21,538
2024-02-22,591
2024-02-23,564
2024-02-24,672
2024-02-25,472
2024-02-26,455
2024-02-27,564
2024-02-28,599
2024-02-29,593
2024-03-01,474
2024-03-02,532
2024-03-03,590
2024-03-04,473
2024-03-05,477
2024-03-06,520
2024-03-07,506
2024-03-08,488
2024-03-09,550
2024-03-10,571
2024-03-11,493
2024-03-12,514
2024-03-13,482
2024-03-14,485
2024-03-15,445
2024-03-16,528
2024-03-17,522
2024-03-18,446
2024-03-19,459
2024-03-20,487
2024-03-21,479
2024-03-22,456
2024-03-23,502
2024-03-24,561
2024-03-25,459
2024-03-26,465
2024-03-27,442
2024-03-28,471
2024-03-29,477
2024-03-30,491
2024-03-31,546
2024-04-01,454
2024-04-02,458
2024-04-03,447
2024-04-04,494
2024-04-05,449
2024-04-06,467
2024-04-07,536
2024-04-08,419
2024-04-09,417
2024-04-10,454
2024-04-11,411
2024-04-12,425
2024-04-13,457
2024-04-14,522
2024-04-15,515
2024-04-16,487
2024-04-17,492
2024-04-18,484
2024-04-19,482
2024-04-20,517
2024-04-21,531
2024-04-22,439
2024-04-23,443
2024-04-24,432
2024-04-25,496
2024-04-26,512
2024-04-27,507
2024-04-28,516
2024-04-29,1224
2024-04-30,1305
2024-05-01,1385
2024-05-02,1477
2024-05-03,1338
2024-05-04,1168
2024-05-05,1400
2024-05-06,1114
2024-05-07,1429
2024-05-08,1389
2024-05-09,1399
2024-05-10,1771
2024-05-11,1275
2024-05-12,1377
2024-05-13,1244
2024-05-14,1161
2024-05-15,1182
2024-05-16,1216
2024-05-17,1134
2024-05-18,1251
2024-05-19,1411
2024-05-20,1307
2024-05-21,1308
2024-05-22,1095
2024-05-23,1191
2024-05-24,1328
2024-05-25,1325
2024-05-26,1393
2024-05-27,1321
2024-05-28,1230
2024-05-29,1205
2024-05-30,1200
2024-05-31,1239
2024-06-01,1378
2024-06-02,1497
2024-06-03,1383
2024-06-04,1378
2024-06-05,1273
2024-06-06,1378
2024-06-07,1352
2024-06-08,1614
2024-06-09,1705
2024-06-10,1302
2024-06-11,1260
2024-06-12,1261
2024-06-13,1335
2024-06-14,1555
2024-06-15,1700
2024-06-16,1580
2024-06-17,1421
2024-06-18,1399
2024-06-19,1423
2024-06-20,1315
2024-06-21,1180
2024-06-22,1421
2024-06-23,1370
2024-06-24,1259
2024-06-25,1255
2024-06-26,1203
2024-06-27,1277
2024-06-28,1220
2024-06-29,1350
2024-06-30,1423
2024-07-01,1242
2024-07-02,1247
2024-07-03,1312
2024-07-04,1358
2024-07-05,1429
2024-07-06,1355
2024-07-07,1459
2024-07-08,1271
2024-07-09,1222
2024-07-10,1332
2024-07-11,1330
2024-07-12,1319
2024-07-13,1412
2024-07-14,1468
2024-07-15,1190
2024-07-16,1804
2024-07-17,2102
2024-07-18,1731
2024-07-19,1470
2024-07-20,1493
2024-07-21,1401
2024-07-22,1170
2024-07-23,1262
2024-07-24,1415
2024-07-25,1349
2024-07-26,1183
2024-07-27,1289
2024-07-28,1404
2024-07-29,1328
2024-07-30,1186
2024-07-31,1398
2024-08-01,1318
2024-08-02,1360
2024-08-03,1359
2024-08-04,1297
2024-08-05,1163
2024-08-06,1331
2024-08-07,1298
2024-08-08,1294
2024-08-09,1301
2024-08-10,1343
2024-08-11,1278
2024-08-12,1279
2024-08-13,1311
2024-08-14,1280
2024-08-15,1283
2024-08-16,1225
2024-08-17,1276
2024-08-18,1489
2024-08-19,1393
2024-08-20,1568
2024-08-21,1243
2024-08-22,1121
2024-08-23,1117
2024-08-24,1275
2024-08-25,1328
2024-08-26,1139
2024-08-27,1237
2024-08-28,1153
2024-08-29,1208
2024-08-30,1171
2024-08-31,1342
2024-09-01,1348
2024-09-02,1370
2024-09-03,1270
2024-09-04,1265
2024-09-05,1297
2024-09-06,1204
2024-09-07,1396
2024-09-08,1389
2024-09-09,1271
2024-09-10,1225
2024-09-11,1188
2024-09-12,1257
2024-09-13,1227
2024-09-14,1301
2024-09-15,1693
2024-09-16,1420
2024-09-17,1344
2024-09-18,1404
2024-09-19,1285
2024-09-20,1319
2024-09-21,1406
2024-09-22,1430
2024-09-23,1235
2024-09-24,1266
2024-09-25,1153
2024-09-26,1369
2024-09-27,1256
2024-09-28,1229
2024-09-29,1418
2024-09-30,1358
2024-10-01,1223
2024-10-02,1247
2024-10-03,1269
2024-10-04,1334
2024-10-05,1275
2024-10-06,1481
2024-10-07,1300
2024-10-08,1610
2024-10-09,1777
2024-10-10,1813
2024-10-11,1403
2024-10-12,1345
2024-10-13,1498
2024-10-14,1318
2024-10-15,1289
2024-10-16,1403
2024-10-17,1268
2024-10-18,1250
2024-10-19,549
2024-10-20,556
2024-10-21,546
2024-10-22,515
2024-10-23,506
2024-10-24,569
2024-10-25,503
2024-10-26,546
2024-10-27,602
2024-10-28,546
2024-10-29,519
2024-10-30,559
2024-10-31,528
2024-11-01,507
2024-11-02,561
2024-11-03,600
2024-11-04,499
2024-11-05,550
2024-11-06,543
2024-11-07,566
2024-11-08,532
2024-11-09,596
2024-11-10,680
2024-11-11,550
2024-11-12,577
2024-11-13,541
2024-11-14,518
2024-11-15,506
2024-11-16,568
2024-11-17,628
2024-11-18,552
2024-11-19,615
2024-11-20,536
2024-11-21,567
2024-11-22,665
2024-11-23,644
2024-11-24,732
2024-11-25,627
2024-11-26,663
2024-11-27,586
2024-11-28,604
2024-11-29,800
2024-11-30,888
2024-12-01,856
2024-12-02,771
2024-12-03,722
2024-12-04,623
2024-12-05,551
2024-12-06,547
2024-12-07,554
2024-12-08,555
2024-12-09,537
2024-12-10,490
2024-12-11,504
2024-12-12,560
2024-12-13,520
2024-12-14,624
2024-12-15,713
2024-12-16,607
2024-12-17,648
2024-12-18,637
2024-12-19,653
2024-12-20,670
2024-12-21,764
2024-12-22,774
2024-12-23,603
2024-12-24,634
2024-12-25,636
2024-12-26,517
2024-12-27,490
2024-12-28,524
2024-12-29,551
2024-12-30,494
2024-12-31,551
2025-01-01,541
2025-01-02,564
2025-01-03,541
2025-01-04,534
2025-01-05,625
2025-01-06,569
2025-01-07,548
2025-01-08,561
2025-01-09,529
2025-01-10,466
2025-01-11,525
2025-01-12,605
