,Sales Rank
2022-12-14,407
2022-12-15,458
2022-12-16,513
2022-12-17,468
2022-12-18,534
2022-12-19,524
2022-12-20,496
2022-12-21,504
2022-12-22,400
2022-12-23,383
2022-12-24,397
2022-12-25,319
2022-12-26,286
2022-12-27,325
2022-12-28,316
2022-12-29,323
2022-12-30,335
2022-12-31,366
2023-01-01,311
2023-01-02,305
2023-01-03,299
2023-01-04,292
2023-01-05,325
2023-01-06,321
2023-01-07,312
2023-01-08,308
2023-01-09,311
2023-01-10,318
2023-01-11,311
2023-01-12,299
2023-01-13,291
2023-01-14,364
2023-01-15,313
2023-01-16,355
2023-01-17,318
2023-01-18,280
2023-01-19,279
2023-01-20,323
2023-01-21,309
2023-01-22,303
2023-01-23,301
2023-01-24,325
2023-01-25,309
2023-01-26,316
2023-01-27,336
2023-01-28,347
2023-01-29,331
2023-01-30,308
2023-01-31,304
2023-02-01,317
2023-02-02,344
2023-02-03,354
2023-02-04,337
2023-02-05,325
2023-02-06,304
2023-02-07,322
2023-02-08,284
2023-02-09,297
2023-02-10,308
2023-02-11,313
2023-02-12,304
2023-02-13,278
2023-02-14,306
2023-02-15,276
2023-02-16,314
2023-02-17,326
2023-02-18,334
2023-02-19,322
2023-02-20,312
2023-02-21,267
2023-02-22,241
2023-02-23,247
2023-02-24,297
2023-02-25,283
2023-02-26,326
2023-02-27,312
2023-02-28,278
2023-03-01,324
2023-03-02,300
2023-03-03,326
2023-03-04,317
2023-03-05,340
2023-03-06,304
2023-03-07,272
2023-03-08,284
2023-03-09,325
2023-03-10,345
2023-03-11,381
2023-03-12,333
2023-03-13,325
2023-03-14,328
2023-03-15,327
2023-03-16,322
2023-03-17,335
2023-03-18,330
2023-03-19,363
2023-03-20,364
2023-03-21,333
2023-03-22,318
2023-03-23,312
2023-03-24,305
2023-03-25,313
2023-03-26,346
2023-03-27,316
2023-03-28,258
2023-03-29,255
2023-03-30,306
2023-03-31,240
2023-04-01,307
2023-04-02,324
2023-04-03,293
2023-04-04,245
2023-04-05,287
2023-04-06,318
2023-04-07,298
2023-04-08,299
2023-04-09,299
2023-04-10,276
2023-04-11,271
2023-04-12,292
2023-04-13,294
2023-04-14,296
2023-04-15,288
2023-04-16,376
2023-04-17,304
2023-04-18,359
2023-04-19,310
2023-04-20,323
2023-04-21,303
2023-04-22,329
2023-04-23,311
2023-04-24,285
2023-04-25,304
2023-04-26,327
2023-04-27,310
2023-04-28,302
