,Sales Rank
2022-12-14,103
2022-12-15,107
2022-12-16,106
2022-12-17,109
2022-12-18,113
2022-12-19,111
2022-12-20,112
2022-12-21,104
2022-12-22,104
2022-12-23,97
2022-12-24,282
2022-12-25,256
2022-12-26,231
2022-12-27,203
2022-12-28,218
2022-12-29,231
2022-12-30,218
2022-12-31,207
2023-01-01,232
2023-01-02,183
2023-01-03,193
2023-01-04,196
2023-01-05,196
2023-01-06,207
2023-01-07,191
2023-01-08,201
2023-01-09,200
2023-01-10,213
2023-01-11,213
2023-01-12,222
2023-01-13,204
2023-01-14,139
2023-01-15,171
2023-01-16,195
2023-01-17,155
2023-01-18,155
2023-01-19,153
2023-01-20,155
2023-01-21,167
2023-01-22,168
2023-01-23,162
2023-01-24,166
2023-01-25,162
2023-01-26,201
2023-01-27,175
2023-01-28,189
2023-01-29,203
2023-01-30,203
2023-01-31,170
2023-02-01,181
2023-02-02,176
2023-02-03,165
2023-02-04,153
2023-02-05,162
2023-02-06,154
2023-02-07,157
2023-02-08,133
2023-02-09,122
2023-02-10,121
2023-02-11,84
2023-02-12,71
2023-02-13,69
2023-02-14,65
2023-02-15,74
2023-02-16,89
2023-02-17,59
2023-02-18,57
2023-02-19,41
2023-02-20,39
2023-02-21,54
2023-02-22,69
2023-02-23,77
2023-02-24,67
2023-02-25,80
2023-02-26,75
2023-02-27,86
2023-02-28,73
2023-03-01,59
2023-03-02,60
2023-03-03,60
2023-03-04,65
2023-03-05,68
2023-03-06,65
2023-03-07,63
2023-03-08,63
2023-03-09,65
2023-03-10,92
2023-03-11,102
2023-03-12,134
2023-03-13,121
2023-03-14,112
2023-03-15,118
2023-03-16,129
2023-03-17,127
2023-03-18,132
2023-03-19,132
2023-03-20,119
2023-03-21,119
2023-03-22,115
2023-03-23,118
2023-03-24,127
2023-03-25,120
2023-03-26,106
2023-03-27,82
2023-03-28,72
2023-03-29,67
2023-03-30,69
2023-03-31,65
2023-04-01,61
2023-04-02,60
2023-04-03,67
2023-04-04,65
2023-04-05,64
2023-04-06,71
2023-04-07,65
2023-04-08,62
2023-04-09,78
2023-04-10,71
2023-04-11,69
2023-04-12,75
2023-04-13,80
2023-04-14,79
2023-04-15,76
2023-04-16,85
2023-04-17,87
2023-04-18,89
2023-04-19,86
2023-04-20,83
2023-04-21,77
2023-04-22,75
2023-04-23,85
2023-04-24,87
2023-04-25,96
2023-04-26,94
2023-04-27,124
2023-04-28,134
