,Sales Rank
2022-12-14,575
2022-12-15,647
2022-12-16,665
2022-12-17,649
2022-12-18,687
2022-12-19,703
2022-12-20,740
2022-12-21,660
2022-12-22,627
2022-12-23,579
2022-12-24,548
2022-12-25,507
2022-12-26,524
2022-12-27,488
2022-12-28,471
2022-12-29,434
2022-12-30,431
2022-12-31,481
2023-01-01,503
2023-01-02,427
2023-01-03,442
2023-01-04,460
2023-01-05,463
2023-01-06,454
2023-01-07,467
2023-01-08,461
2023-01-09,460
2023-01-10,464
2023-01-11,470
2023-01-12,479
2023-01-13,500
2023-01-14,540
2023-01-15,527
2023-01-16,516
2023-01-17,494
2023-01-18,519
2023-01-19,488
2023-01-20,469
2023-01-21,494
2023-01-22,497
2023-01-23,513
2023-01-24,543
2023-01-25,543
2023-01-26,504
2023-01-27,483
2023-01-28,543
2023-01-29,515
2023-01-30,497
2023-01-31,485
2023-02-01,456
2023-02-02,467
2023-02-03,496
2023-02-04,525
2023-02-05,499
2023-02-06,514
2023-02-07,490
2023-02-08,512
2023-02-09,498
2023-02-10,536
2023-02-11,516
2023-02-12,480
2023-02-13,512
2023-02-14,542
2023-02-15,551
2023-02-16,545
2023-02-17,498
2023-02-18,569
2023-02-19,484
2023-02-20,547
2023-02-21,533
2023-02-22,491
2023-02-23,494
2023-02-24,543
2023-02-25,535
2023-02-26,520
2023-02-27,468
2023-02-28,463
2023-03-01,485
2023-03-02,469
2023-03-03,447
2023-03-04,416
2023-03-05,439
2023-03-06,456
2023-03-07,421
2023-03-08,434
2023-03-09,445
2023-03-10,460
2023-03-11,505
2023-03-12,472
2023-03-13,450
2023-03-14,443
2023-03-15,494
2023-03-16,473
2023-03-17,480
2023-03-18,547
2023-03-19,478
2023-03-20,476
2023-03-21,540
2023-03-22,509
2023-03-23,514
2023-03-24,559
2023-03-25,531
2023-03-26,519
2023-03-27,552
2023-03-28,519
2023-03-29,546
2023-03-30,677
2023-03-31,540
2023-04-01,505
2023-04-02,554
2023-04-03,539
2023-04-04,525
2023-04-05,488
2023-04-06,484
2023-04-07,496
2023-04-08,563
2023-04-09,524
2023-04-10,552
2023-04-11,501
2023-04-12,530
2023-04-13,557
2023-04-14,549
2023-04-15,549
2023-04-16,495
2023-04-17,486
2023-04-18,506
2023-04-19,452
2023-04-20,547
2023-04-21,541
2023-04-22,448
2023-04-23,504
2023-04-24,502
2023-04-25,513
2023-04-26,515
2023-04-27,520
2023-04-28,477
2023-04-29,579
2023-04-30,594
2023-05-01,571
2023-05-02,623
2023-05-03,648
2023-05-04,595
2023-05-05,526
2023-05-06,512
2023-05-07,512
2023-05-08,467
2023-05-09,475
2023-05-10,494
2023-05-11,464
2023-05-12,489
2023-05-13,491
2023-05-14,494
2023-05-15,501
2023-05-16,467
2023-05-17,512
2023-05-18,475
2023-05-19,451
2023-05-20,454
2023-05-21,488
2023-05-22,431
2023-05-23,433
2023-05-24,466
2023-05-25,410
2023-05-26,439
2023-05-27,461
2023-05-28,449
2023-05-30,449
2023-05-31,472
2023-06-01,454
2023-06-02,437
2023-06-03,447
2023-06-04,483
2023-06-05,444
2023-06-06,456
2023-06-07,471
2023-06-08,430
2023-06-09,407
2023-06-10,413
2023-06-11,498
2023-06-12,446
2023-06-13,419
2023-06-14,496
2023-06-15,474
2023-06-16,458
2023-06-17,460
2023-06-18,480
2023-06-19,461
2023-06-20,465
2023-06-21,429
2023-06-22,445
2023-06-23,428
2023-06-24,421
2023-06-25,447
2023-06-26,453
2023-06-27,494
2023-06-28,457
2023-06-29,432
2023-06-30,430
2023-07-01,464
2023-07-02,483
2023-07-03,489
2023-07-04,476
2023-07-05,460
2023-07-06,462
2023-07-07,428
2023-07-08,513
2023-07-09,521
2023-07-10,517
2023-07-11,738
2023-07-12,846
2023-07-13,799
2023-07-14,566
2023-07-15,562
2023-07-16,538
2023-07-17,464
2023-07-18,499
2023-07-19,486
2023-07-20,510
2023-07-21,512
2023-07-22,483
2023-07-23,489
2023-07-24,487
2023-07-25,441
2023-07-26,499
2023-07-27,467
2023-07-28,488
2023-07-29,486
2023-07-30,497
2023-07-31,449
2023-08-01,464
2023-08-02,446
2023-08-03,1045
2023-08-04,1044
2023-08-05,1037
2023-08-06,1158
2023-08-07,1163
2023-08-08,1024
2023-08-09,1051
2023-08-10,1115
2023-08-11,1144
2023-08-12,1176
2023-08-13,1317
2023-08-14,1217
2023-08-15,1186
2023-08-16,1219
2023-08-17,1079
2023-08-18,1208
2023-08-19,1169
2023-08-20,1316
2023-08-21,1170
2023-08-22,1193
2023-08-23,1070
2023-08-24,1210
2023-08-25,547
2023-08-26,570
2023-08-27,592
2023-08-28,577
2023-08-29,574
2023-08-30,621
2023-08-31,637
2023-09-01,622
2023-09-02,539
2023-09-03,646
2023-09-04,573
2023-09-05,582
2023-09-06,586
2023-09-07,583
2023-09-08,566
2023-09-09,613
2023-09-10,617
2023-09-11,581
2023-09-12,613
2023-09-13,566
2023-09-14,612
2023-09-15,570
2023-09-16,557
2023-09-17,651
2023-09-18,610
2023-09-19,572
2023-09-20,585
2023-09-21,588
2023-09-22,531
2023-09-23,560
2023-09-24,567
2023-09-25,610
2023-09-26,569
2023-09-27,560
2023-09-28,536
2023-09-29,527
2023-09-30,552
2023-10-01,535
2023-10-02,540
2023-10-03,563
2023-10-04,557
2023-10-05,610
2023-10-06,557
2023-10-07,522
2023-10-08,554
2023-10-09,540
2023-10-10,733
2023-10-11,785
2023-10-12,692
2023-10-13,604
2023-10-14,464
2023-10-15,480
2023-10-16,420
2023-10-17,511
2023-10-18,481
2023-10-19,512
2023-10-20,470
2023-10-21,465
2023-10-22,496
2023-10-23,433
2023-10-24,460
2023-10-25,432
2023-10-26,478
2023-10-27,467
2023-10-28,486
2023-10-29,494
2023-10-30,478
2023-10-31,483
2023-11-01,485
2023-11-02,463
