,Sales Rank
2022-12-14,41
2022-12-15,31
2022-12-16,26
2022-12-17,20
2022-12-18,19
2022-12-19,20
2022-12-20,22
2022-12-21,21
2022-12-22,24
2022-12-23,41
2022-12-24,52
2022-12-25,72
2022-12-26,109
2022-12-27,143
2022-12-28,152
2022-12-29,168
2022-12-30,158
2022-12-31,172
2023-01-01,180
2023-01-02,189
2023-01-03,191
2023-01-04,185
2023-01-05,180
2023-01-06,165
2023-01-07,161
2023-01-08,152
2023-01-09,150
2023-01-10,140
2023-01-11,138
2023-01-12,147
2023-01-13,161
2023-01-14,189
2023-01-15,190
2023-01-16,200
2023-01-17,207
2023-01-18,213
2023-01-19,213
2023-01-20,196
2023-01-21,181
2023-01-22,191
2023-01-23,213
2023-01-24,214
2023-01-25,214
2023-01-26,233
2023-01-27,209
2023-01-28,233
2023-01-29,223
2023-01-30,258
2023-01-31,218
2023-02-01,222
2023-02-02,236
2023-02-03,225
2023-02-04,214
2023-02-05,214
2023-02-06,235
2023-02-07,214
2023-02-08,214
2023-02-09,212
2023-02-10,208
2023-02-11,186
2023-02-12,191
2023-02-13,246
2023-02-14,230
2023-02-15,281
2023-02-16,244
2023-02-17,254
2023-02-18,227
2023-02-19,221
2023-02-20,245
2023-02-21,270
2023-02-22,283
2023-02-23,254
2023-02-24,239
2023-02-25,234
2023-02-26,245
2023-02-27,294
2023-02-28,259
2023-03-01,245
2023-03-02,246
2023-03-03,271
2023-03-04,227
2023-03-05,222
2023-03-06,213
2023-03-07,243
2023-03-08,232
2023-03-09,242
2023-03-10,223
2023-03-11,257
2023-03-12,261
2023-03-13,256
2023-03-14,258
2023-03-15,282
2023-03-16,302
2023-03-17,296
2023-03-18,280
2023-03-19,274
2023-03-20,301
2023-03-21,279
2023-03-22,270
2023-03-23,306
2023-03-24,282
2023-03-25,275
2023-03-26,262
2023-03-27,323
2023-03-28,260
2023-03-29,295
2023-03-30,274
2023-03-31,292
2023-04-01,278
2023-04-02,273
2023-04-03,286
2023-04-04,305
2023-04-05,256
2023-04-06,291
2023-04-07,289
2023-04-08,256
2023-04-09,281
2023-04-10,334
2023-04-11,321
2023-04-12,351
2023-04-13,342
2023-04-14,368
2023-04-15,396
2023-04-16,398
2023-04-17,440
2023-04-18,394
2023-04-19,386
2023-04-20,381
2023-04-21,443
2023-04-22,377
2023-04-23,384
2023-04-24,439
2023-04-25,417
2023-04-26,377
2023-04-27,401
2023-04-28,420
2023-04-29,430
2023-04-30,429
2023-05-01,420
2023-05-02,410
2023-05-03,418
2023-05-04,408
2023-05-05,391
2023-05-06,386
2023-05-07,390
2023-05-08,454
2023-05-09,466
2023-05-10,446
2023-05-11,472
2023-05-12,460
2023-05-13,424
2023-05-14,460
2023-05-15,524
2023-05-16,610
2023-05-17,588
2023-05-18,578
2023-05-19,513
2023-05-20,528
2023-05-21,584
2023-05-22,596
2023-05-23,706
2023-05-24,865
2023-05-25,880
2023-05-26,741
2023-05-27,690
2023-05-28,686
2023-05-30,752
2023-05-31,751
2023-06-01,674
2023-06-02,663
2023-06-03,637
2023-06-04,697
2023-06-05,714
2023-06-06,712
2023-06-07,607
2023-06-08,625
2023-06-09,588
2023-06-10,593
2023-06-11,582
2023-06-12,558
2023-06-13,564
2023-06-14,575
2023-06-15,559
2023-06-16,598
2023-06-17,562
2023-06-18,587
2023-06-19,621
2023-06-20,639
2023-06-21,599
2023-06-22,590
2023-06-23,563
2023-06-24,554
2023-06-25,519
2023-06-26,563
2023-06-27,603
2023-06-28,613
2023-06-29,557
2023-06-30,588
2023-07-01,554
2023-07-02,519
2023-07-03,503
2023-07-04,532
2023-07-05,602
2023-07-06,549
2023-07-07,561
2023-07-08,512
2023-07-09,507
2023-07-10,492
2023-07-11,578
2023-07-12,613
2023-07-13,591
2023-07-14,548
2023-07-15,482
2023-07-16,414
2023-07-17,474
2023-07-18,485
2023-07-19,437
2023-07-20,456
2023-07-21,477
2023-07-22,510
2023-07-23,539
2023-07-24,489
2023-07-25,528
2023-07-26,542
2023-07-27,515
2023-07-28,503
2023-07-29,438
2023-07-30,454
2023-07-31,476
2023-08-01,480
2023-08-02,455
2023-08-03,410
2023-08-04,416
2023-08-05,424
2023-08-06,410
2023-08-07,441
2023-08-08,477
2023-08-09,458
2023-08-10,446
2023-08-11,447
2023-08-12,484
2023-08-13,456
2023-08-14,493
2023-08-15,513
2023-08-16,490
2023-08-17,515
2023-08-18,525
2023-08-19,497
2023-08-20,556
2023-08-21,540
2023-08-22,529
2023-08-23,570
2023-08-24,527
2023-08-25,521
2023-08-26,545
2023-08-27,521
2023-08-28,534
2023-08-29,493
2023-08-30,517
2023-08-31,534
2023-09-01,533
2023-09-02,487
2023-09-03,496
2023-09-04,519
2023-09-05,518
2023-09-06,502
2023-09-07,473
2023-09-08,435
2023-09-09,433
2023-09-10,415
2023-09-11,498
2023-09-12,454
2023-09-13,427
2023-09-14,451
2023-09-15,496
2023-09-16,458
2023-09-17,453
2023-09-18,465
2023-09-19,458
2023-09-20,437
2023-09-21,424
2023-09-22,451
2023-09-23,444
2023-09-24,453
2023-09-25,467
2023-09-26,425
2023-09-27,475
2023-09-28,479
2023-09-29,465
2023-09-30,432
2023-10-01,435
2023-10-02,474
2023-10-03,513
2023-10-04,525
2023-10-05,441
2023-10-06,448
2023-10-07,345
2023-10-08,371
2023-10-09,373
2023-10-10,440
2023-10-11,474
2023-10-12,469
2023-10-13,475
2023-10-14,450
2023-10-15,469
2023-10-16,490
2023-10-17,502
2023-10-18,448
2023-10-19,444
2023-10-20,416
2023-10-21,367
2023-10-22,389
2023-10-23,411
2023-10-24,385
2023-10-25,372
2023-10-26,309
2023-10-27,297
2023-10-28,298
2023-10-29,291
2023-10-30,310
2023-10-31,299
2023-11-01,355
2023-11-02,347
2023-11-03,324
2023-11-04,299
2023-11-05,303
2023-11-06,334
2023-11-07,354
2023-11-08,297
2023-11-09,273
2023-11-10,266
2023-11-11,255
2023-11-12,256
2023-11-13,286
2023-11-14,276
2023-11-15,258
2023-11-16,251
2023-11-17,272
2023-11-18,234
2023-11-19,227
2023-11-20,226
2023-11-21,229
2023-11-22,229
2023-11-23,213
2023-11-24,204
2023-11-25,184
2023-11-26,185
2023-11-27,154
2023-11-28,137
2023-11-29,151
2023-11-30,136
2023-12-01,117
2023-12-02,86
2023-12-03,79
2023-12-04,84
2023-12-05,76
2023-12-06,81
2023-12-07,71
2023-12-08,67
2023-12-09,57
2023-12-10,48
2023-12-11,49
2023-12-12,46
2023-12-13,51
2023-12-14,50
2023-12-15,39
2023-12-16,25
2023-12-17,22
2023-12-18,21
2023-12-19,30
2023-12-20,41
2023-12-21,44
2023-12-22,59
2023-12-23,70
2023-12-24,83
2023-12-25,113
2023-12-26,179
2023-12-27,211
2023-12-28,207
2023-12-29,210
2023-12-30,221
2023-12-31,222
2024-01-01,262
2024-01-02,256
2024-01-03,263
2024-01-04,282
2024-01-05,287
2024-01-06,273
2024-01-07,268
2024-01-08,279
2024-01-09,312
2024-01-10,333
2024-01-11,311
2024-01-12,310
2024-01-13,295
2024-01-14,320
2024-01-15,340
2024-01-16,329
2024-01-17,366
2024-01-18,382
2024-01-19,347
2024-01-20,370
2024-01-21,396
2024-01-22,420
2024-01-23,425
2024-01-24,401
2024-01-25,388
2024-01-26,418
2024-01-27,383
2024-01-28,415
2024-01-29,456
2024-01-30,429
2024-01-31,491
2024-02-01,466
2024-02-02,432
2024-02-03,379
2024-02-04,428
2024-02-05,441
2024-02-06,488
2024-02-07,454
2024-02-08,438
2024-02-09,416
2024-02-10,486
2024-02-11,406
2024-02-12,487
2024-02-13,515
2024-02-14,501
2024-02-15,470
2024-02-16,481
2024-02-17,492
2024-02-18,506
2024-02-19,475
2024-02-20,509
2024-02-21,492
2024-02-22,487
2024-02-23,490
2024-02-24,445
2024-02-25,465
2024-02-26,533
2024-02-27,530
2024-02-28,529
2024-02-29,561
2024-03-01,531
2024-03-02,530
2024-03-03,572
2024-03-04,607
2024-03-05,551
2024-03-06,542
2024-03-07,574
2024-03-08,552
2024-03-09,555
2024-03-10,540
2024-03-11,585
2024-03-12,565
2024-03-13,585
2024-03-14,601
2024-03-15,555
2024-03-16,530
2024-03-17,568
2024-03-18,613
2024-03-19,594
2024-03-20,626
2024-03-21,643
2024-03-22,613
2024-03-23,558
2024-03-24,514
2024-03-25,578
2024-03-26,595
2024-03-27,564
2024-03-28,568
2024-03-29,569
2024-03-30,558
2024-03-31,552
2024-04-01,674
2024-04-02,594
2024-04-03,642
2024-04-04,642
2024-04-05,577
2024-04-06,558
2024-04-07,577
2024-04-08,573
2024-04-09,616
2024-04-10,605
2024-04-11,618
2024-04-12,599
2024-04-13,597
2024-04-14,604
2024-04-15,691
2024-04-16,707
2024-04-17,732
2024-04-18,671
2024-04-19,582
2024-04-20,625
2024-04-21,627
2024-04-22,622
2024-04-23,688
2024-04-24,598
2024-04-25,672
2024-04-26,647
2024-04-27,576
2024-04-28,634
2024-04-29,671
2024-04-30,689
2024-05-01,649
2024-05-02,677
2024-05-03,654
2024-05-04,569
2024-05-05,620
2024-05-06,644
2024-05-07,674
2024-05-08,639
2024-05-09,623
2024-05-10,625
2024-05-11,657
2024-05-12,614
2024-05-13,657
2024-05-14,626
2024-05-15,622
2024-05-16,604
2024-05-17,635
2024-05-18,573
2024-05-19,609
2024-05-20,651
2024-05-21,712
2024-05-22,732
2024-05-23,634
2024-05-24,593
2024-05-25,592
2024-05-26,613
2024-05-27,608
2024-05-28,619
2024-05-29,587
2024-05-30,568
2024-05-31,573
2024-06-01,505
2024-06-02,581
2024-06-03,596
2024-06-04,572
2024-06-05,585
2024-06-06,558
2024-06-07,498
2024-06-08,500
2024-06-09,534
2024-06-10,559
2024-06-11,574
2024-06-12,584
2024-06-13,575
2024-06-14,564
2024-06-15,606
2024-06-16,586
2024-06-17,565
2024-06-18,608
2024-06-19,613
2024-06-20,620
2024-06-21,617
2024-06-22,538
2024-06-23,550
2024-06-24,580
2024-06-25,593
2024-06-26,579
2024-06-27,584
2024-06-28,585
2024-06-29,538
2024-06-30,615
2024-07-01,599
2024-07-02,579
2024-07-03,527
2024-07-04,574
2024-07-05,589
2024-07-06,567
2024-07-07,624
2024-07-08,583
2024-07-09,541
2024-07-10,539
2024-07-11,552
2024-07-12,529
2024-07-13,456
2024-07-14,513
2024-07-15,518
2024-07-16,687
2024-07-17,698
2024-07-18,643
2024-07-19,597
2024-07-20,509
2024-07-21,497
2024-07-22,527
2024-07-23,437
2024-07-24,470
2024-07-25,451
2024-07-26,365
2024-07-27,382
2024-07-28,415
2024-07-29,414
2024-07-30,435
2024-07-31,456
2024-08-01,451
2024-08-02,384
2024-08-03,425
2024-08-04,382
2024-08-05,409
2024-08-06,442
2024-08-07,414
2024-08-09,404
2024-08-10,371
2024-08-11,417
2024-08-12,433
2024-08-13,478
2024-08-14,441
2024-08-15,486
2024-08-16,432
2024-08-17,412
2024-08-18,441
2024-08-19,474
2024-08-20,475
2024-08-21,516
2024-08-22,541
2024-08-23,526
2024-08-24,513
2024-08-25,415
2024-08-26,450
2024-08-27,505
2024-08-28,476
2024-08-29,500
2024-08-30,461
2024-08-31,446
2024-09-01,436
2024-09-02,482
2024-09-03,467
2024-09-04,486
2024-09-05,525
2024-09-06,435
2024-09-07,487
2024-09-08,457
2024-09-09,454
2024-09-10,425
2024-09-11,444
2024-09-12,442
2024-09-13,399
2024-09-14,440
2024-09-15,418
2024-09-16,423
2024-09-17,480
2024-09-18,503
2024-09-19,486
2024-09-20,483
2024-09-21,471
2024-09-22,454
2024-09-23,497
2024-09-24,525
2024-09-25,556
2024-09-26,522
2024-09-27,508
2024-09-28,505
2024-09-29,482
2024-09-30,540
2024-10-01,579
2024-10-02,571
2024-10-03,542
2024-10-04,467
2024-10-05,502
2024-10-06,550
2024-10-07,664
2024-10-08,666
2024-10-09,783
2024-10-10,798
2024-10-11,660
2024-10-12,628
2024-10-13,592
2024-10-14,595
2024-10-15,633
2024-10-16,657
2024-10-17,627
2024-10-18,643
2024-10-19,692
2024-10-20,653
2024-10-21,594
2024-10-22,643
2024-10-23,654
2024-10-24,709
2024-10-25,636
2024-10-26,620
2024-10-27,635
2024-10-28,630
2024-10-29,630
2024-10-30,618
2024-10-31,657
2024-11-01,667
2024-11-02,620
2024-11-03,662
2024-11-04,632
2024-11-05,629
2024-11-06,657
2024-11-07,716
2024-11-08,764
2024-11-09,718
2024-11-10,703
2024-11-11,726
2024-11-12,750
2024-11-13,682
2024-11-14,737
2024-11-15,735
2024-11-16,679
2024-11-17,627
