,Sales Rank
2023-06-30,2406
2023-07-01,1689
2023-07-02,1294
2023-07-03,1146
2023-07-04,1186
2023-07-05,929
2023-07-06,992
2023-07-07,855
2023-07-08,780
2023-07-09,798
2023-07-10,784
2023-07-11,1475
2023-07-12,1595
2023-07-13,1254
2023-07-14,1088
2023-07-15,894
2023-07-16,826
2023-07-17,754
2023-07-18,714
2023-07-19,688
2023-07-20,677
2023-07-21,684
2023-07-22,621
2023-07-23,662
2023-07-24,622
2023-07-25,680
2023-07-26,683
2023-07-27,754
2023-07-28,759
2023-07-29,634
2023-07-30,616
2023-07-31,628
2023-08-01,620
2023-08-02,582
2023-08-03,598
2023-08-04,599
2023-08-05,635
2023-08-06,610
2023-08-07,559
2023-08-08,595
2023-08-09,682
2023-08-10,643
2023-08-11,673
2023-08-12,615
2023-08-13,565
2023-08-14,583
2023-08-15,557
2023-08-16,540
2023-08-17,605
2023-08-18,575
2023-08-19,548
2023-08-20,561
2023-08-21,566
2023-08-22,519
2023-08-23,572
2023-08-24,571
2023-08-25,568
2023-08-26,528
2023-08-27,522
2023-08-28,557
2023-08-29,521
2023-08-30,520
2023-08-31,512
2023-09-01,504
2023-09-02,419
2023-09-03,451
2023-09-04,561
2023-09-05,555
2023-09-06,579
2023-09-07,598
2023-09-08,605
2023-09-09,556
2023-09-10,512
2023-09-11,542
2023-09-12,558
2023-09-13,588
2023-09-14,584
2023-09-15,599
2023-09-16,546
2023-09-17,565
2023-09-18,645
2023-09-19,692
2023-09-20,746
2023-09-21,743
2023-09-22,670
2023-09-23,708
2023-09-24,759
2023-09-25,719
2023-09-26,631
2023-09-27,703
2023-09-28,753
2023-09-29,707
2023-09-30,737
2023-10-01,654
2023-10-02,649
2023-10-03,674
2023-10-04,610
2023-10-05,670
2023-10-06,676
2023-10-07,615
2023-10-08,579
2023-10-09,631
2023-10-10,958
2023-10-11,1085
2023-10-12,908
2023-10-13,738
2023-10-14,583
2023-10-15,615
2023-10-16,713
2023-10-17,723
2023-10-18,734
2023-10-19,723
2023-10-20,663
2023-10-21,672
2023-10-22,703
2023-10-23,646
2023-10-24,685
2023-10-25,622
2023-10-26,698
2023-10-27,680
2023-10-28,679
2023-10-29,670
2023-10-30,728
2023-10-31,619
2023-11-01,737
2023-11-02,690
2023-11-03,735
2023-11-04,601
2023-11-05,589
2023-11-06,546
2023-11-07,534
2023-11-08,593
2023-11-09,591
2023-11-10,595
2023-11-11,546
2023-11-12,536
2023-11-13,549
2023-11-14,525
2023-11-15,570
2023-11-16,587
2023-11-17,565
2023-11-18,611
2023-11-19,625
2023-11-20,651
2023-11-21,551
2023-11-22,528
2023-11-23,602
2023-11-24,824
2023-11-25,742
2023-11-26,686
2023-11-27,782
2023-11-28,615
2023-11-29,612
2023-11-30,608
2023-12-01,675
2023-12-02,684
2023-12-03,659
2023-12-04,796
2023-12-05,844
2023-12-06,770
2023-12-07,1027
2023-12-08,985
2023-12-09,991
2023-12-10,960
2023-12-11,980
2023-12-12,1039
2023-12-13,964
2023-12-14,975
2023-12-15,1193
2023-12-16,1170
2023-12-17,1173
2023-12-18,1133
2023-12-19,1150
2023-12-20,1204
2023-12-21,1161
2023-12-22,1065
2023-12-23,970
2023-12-24,841
2023-12-25,928
2023-12-26,853
2023-12-27,789
2023-12-28,740
2023-12-29,755
2023-12-30,656
2023-12-31,784
2024-01-01,754
2024-01-02,752
2024-01-03,806
2024-01-04,762
2024-01-05,693
2024-01-06,789
2024-01-07,686
2024-01-08,776
2024-01-09,704
2024-01-10,738
2024-01-11,804
2024-01-12,767
2024-01-13,773
2024-01-14,782
2024-01-15,799
2024-01-16,756
2024-01-17,719
2024-01-18,755
2024-01-19,717
2024-01-20,783
2024-01-21,710
2024-01-22,737
2024-01-23,716
2024-01-24,706
2024-01-25,659
2024-01-26,652
2024-01-27,591
2024-01-28,551
2024-01-29,576
2024-01-30,585
2024-01-31,569
2024-02-01,595
2024-02-02,560
2024-02-03,556
2024-02-04,497
2024-02-05,565
2024-02-06,541
2024-02-07,477
2024-02-08,534
2024-02-09,517
2024-02-10,484
2024-02-11,472
2024-02-12,516
2024-02-13,530
2024-02-14,541
2024-02-15,524
2024-02-16,455
2024-02-17,383
2024-02-18,382
2024-02-19,447
2024-02-20,424
2024-02-21,435
2024-02-22,421
2024-02-23,412
2024-02-24,387
2024-02-25,382
2024-02-26,403
2024-02-27,420
