,Sales Rank
2022-12-14,639
2022-12-15,656
2022-12-16,664
2022-12-17,615
2022-12-18,533
2022-12-19,565
2022-12-20,593
2022-12-21,587
2022-12-22,575
2022-12-23,662
2022-12-24,580
2022-12-25,627
2022-12-26,606
2022-12-27,611
2022-12-28,604
2022-12-29,595
2022-12-30,551
2022-12-31,578
2023-01-01,536
2023-01-02,534
2023-01-03,444
2023-01-04,437
2023-01-05,424
2023-01-06,432
2023-01-07,421
2023-01-08,421
2023-01-09,388
2023-01-10,383
2023-01-11,357
2023-01-12,392
2023-01-13,450
2023-01-14,494
2023-01-15,457
2023-01-16,303
2023-01-17,390
2023-01-18,482
2023-01-19,543
2023-01-20,538
2023-01-21,534
2023-01-22,614
2023-01-23,721
2023-01-24,676
2023-01-25,634
2023-01-26,696
2023-01-27,575
2023-01-28,553
2023-01-29,637
2023-01-30,711
2023-01-31,646
2023-02-01,674
2023-02-02,584
2023-02-03,593
2023-02-04,525
2023-02-05,525
2023-02-06,580
2023-02-07,602
2023-02-08,670
2023-02-09,499
2023-02-10,438
2023-02-11,376
2023-02-12,382
2023-02-13,419
2023-02-14,391
2023-02-15,452
2023-02-16,464
2023-02-17,475
2023-02-18,404
2023-02-19,347
2023-02-20,379
2023-02-21,503
2023-02-22,476
2023-02-23,427
2023-02-24,424
2023-02-25,370
2023-02-26,390
2023-02-27,436
2023-02-28,433
2023-03-01,432
2023-03-02,401
2023-03-03,415
2023-03-04,356
2023-03-05,294
2023-03-06,355
2023-03-07,412
2023-03-08,380
2023-03-09,358
2023-03-10,371
2023-03-11,293
2023-03-12,303
2023-03-13,415
2023-03-14,425
2023-03-15,417
2023-03-16,396
2023-03-17,467
2023-03-18,433
2023-03-19,445
2023-03-20,439
2023-03-21,483
2023-03-22,478
2023-03-23,570
2023-03-24,452
2023-03-25,410
2023-03-26,396
2023-03-27,482
2023-03-28,588
2023-03-29,600
2023-03-30,569
2023-03-31,604
2023-04-01,476
2023-04-02,398
2023-04-03,474
2023-04-04,475
2023-04-05,334
2023-04-06,308
2023-04-07,321
2023-04-08,251
2023-04-09,211
2023-04-10,165
2023-04-11,169
2023-04-12,155
2023-04-13,130
2023-04-14,148
2023-04-15,135
2023-04-16,110
2023-04-17,159
2023-04-18,159
2023-04-19,186
2023-04-20,145
2023-04-21,164
2023-04-22,126
2023-04-23,151
2023-04-24,191
2023-04-25,200
2023-04-26,188
2023-04-27,213
2023-04-28,226
2023-04-29,170
2023-04-30,182
2023-05-01,202
2023-05-02,212
2023-05-03,211
2023-05-04,174
2023-05-05,174
2023-05-06,114
2023-05-07,95
2023-05-08,123
2023-05-09,141
2023-05-10,134
2023-05-11,128
2023-05-12,114
2023-05-13,102
2023-05-14,89
2023-05-15,95
2023-05-16,102
2023-05-17,1894
2023-05-18,199
2023-05-19,192
2023-05-20,172
2023-05-21,105
2023-05-22,135
2023-05-23,149
2023-05-24,161
2023-05-25,129
2023-05-26,101
2023-05-27,68
2023-05-28,74
2023-05-30,68
2023-05-31,77
2023-06-01,88
2023-06-02,84
2023-06-03,84
2023-06-04,83
2023-06-05,92
2023-06-06,101
2023-06-07,120
2023-06-08,124
2023-06-09,116
2023-06-10,94
2023-06-11,93
2023-06-12,117
2023-06-13,114
2023-06-14,129
2023-06-15,144
2023-06-16,138
2023-06-17,109
2023-06-18,73
2023-06-19,138
2023-06-20,169
2023-06-21,193
2023-06-22,216
2023-06-23,233
2023-06-24,259
2023-06-25,246
2023-06-26,239
2023-06-27,262
2023-06-28,260
2023-06-29,243
2023-06-30,1082
2023-07-01,1023
2023-07-02,833
2023-07-03,914
2023-07-04,793
2023-07-05,945
2023-07-06,1013
2023-07-07,1136
2023-07-08,1127
2023-07-09,972
2023-07-10,1208
2023-07-11,867
2023-07-12,823
2023-07-13,789
2023-07-14,899
2023-07-15,905
2023-07-16,808
2023-07-17,845
2023-07-18,988
2023-07-19,1194
2023-07-20,1368
2023-07-21,1157
2023-07-22,893
2023-07-23,934
2023-07-24,1131
2023-07-25,1263
2023-07-26,1321
2023-07-27,1245
2023-07-28,1291
2023-07-29,1200
2023-07-30,1204
2023-07-31,1378
2023-08-01,1332
2023-08-02,1341
2023-08-03,1296
2023-08-04,1347
2023-08-05,1416
2023-08-06,1304
2023-08-07,1254
2023-08-08,1347
2023-08-09,1576
2023-08-10,1546
2023-08-11,1398
2023-08-12,1325
2023-08-13,1190
2023-08-14,1356
2023-08-15,1343
2023-08-16,1439
2023-08-17,1529
2023-08-18,1512
2023-08-19,1260
2023-08-20,1359
2023-08-21,1574
2023-08-22,1722
2023-08-23,1644
2023-08-24,486
2023-08-25,462
2023-08-26,433
2023-08-27,439
2023-08-28,491
2023-08-29,487
2023-08-30,453
2023-08-31,507
2023-09-01,413
2023-09-02,356
2023-09-03,297
2023-09-04,305
2023-09-05,343
2023-09-06,363
2023-09-07,395
2023-09-08,379
2023-09-09,302
2023-09-10,297
2023-09-11,312
2023-09-12,316
2023-09-13,333
2023-09-14,365
2023-09-15,369
2023-09-16,340
2023-09-17,306
2023-09-18,337
2023-09-19,323
2023-09-20,334
2023-09-21,340
2023-09-22,362
2023-09-23,319
2023-09-24,317
2023-09-25,338
2023-09-26,350
2023-09-27,402
2023-09-28,429
2023-09-29,448
2023-09-30,393
2023-10-01,386
2023-10-02,325
2023-10-03,153
2023-10-04,136
2023-10-05,236
2023-10-06,316
2023-10-07,357
2023-10-08,427
2023-10-09,440
2023-10-10,508
2023-10-11,574
2023-10-12,479
2023-10-13,552
2023-10-14,538
2023-10-15,563
2023-10-16,572
2023-10-17,641
2023-10-18,611
2023-10-19,616
2023-10-20,570
2023-10-21,569
2023-10-22,552
2023-10-23,666
2023-10-24,646
2023-10-25,699
2023-10-26,670
2023-10-27,658
2023-10-28,533
2023-10-29,515
2023-10-30,601
2023-10-31,652
2023-11-01,641
2023-11-02,708
2023-11-03,710
2023-11-04,648
2023-11-05,621
2023-11-06,580
2023-11-07,9848
2023-11-08,8590
2023-11-09,8216
