,Sales Rank
2022-12-14,93
2022-12-15,96
2022-12-16,101
2022-12-17,118
2022-12-18,139
2022-12-19,151
2022-12-20,138
2022-12-21,132
2022-12-22,120
2022-12-23,109
2022-12-24,98
2022-12-25,92
2022-12-26,96
2022-12-27,90
2022-12-28,86
2022-12-29,93
2022-12-30,94
2022-12-31,87
2023-01-01,104
2023-01-02,94
2023-01-03,83
2023-01-04,81
2023-01-05,82
2023-01-06,77
2023-01-07,41
2023-01-08,41
2023-01-09,47
2023-01-10,59
2023-01-11,68
2023-01-12,72
2023-01-13,65
2023-01-14,77
2023-01-15,94
2023-01-16,76
2023-01-17,68
2023-01-18,71
2023-01-19,73
2023-01-20,72
2023-01-21,70
2023-01-22,83
2023-01-23,71
2023-01-24,69
2023-01-25,66
2023-01-26,72
2023-01-27,77
2023-01-28,90
2023-01-29,96
2023-01-30,78
2023-01-31,75
2023-02-01,74
2023-02-02,75
2023-02-03,78
2023-02-04,86
2023-02-05,97
2023-02-06,74
2023-02-07,69
2023-02-08,68
2023-02-09,78
2023-02-10,66
2023-02-11,88
2023-02-12,97
2023-02-13,82
2023-02-14,66
2023-02-15,62
2023-02-16,67
2023-02-17,71
2023-02-18,74
2023-02-19,82
2023-02-20,63
2023-02-21,60
2023-02-22,56
2023-02-23,62
2023-02-24,60
2023-02-25,79
2023-02-26,107
2023-02-27,88
2023-02-28,77
2023-03-01,79
2023-03-02,79
2023-03-03,69
2023-03-04,83
2023-03-05,100
2023-03-06,78
2023-03-07,48
2023-03-08,42
2023-03-09,49
2023-03-10,76
2023-03-11,94
2023-03-12,113
2023-03-13,110
2023-03-14,94
2023-03-15,150
2023-03-16,150
2023-03-17,163
2023-03-18,199
2023-03-19,178
2023-03-20,56
2023-03-21,67
2023-03-22,61
2023-03-23,67
2023-03-24,75
2023-03-25,72
2023-03-26,59
2023-03-27,41
2023-03-28,50
2023-03-29,46
2023-03-30,62
2023-03-31,79
2023-04-01,99
2023-04-02,127
2023-04-03,108
2023-04-04,80
2023-04-05,77
2023-04-06,93
2023-04-07,75
