,Sales Rank
2022-12-14,4
2022-12-15,4
2022-12-16,4
2022-12-17,5
2022-12-18,8
2022-12-19,7
2022-12-20,7
2022-12-21,6
2022-12-22,5
2022-12-23,4
2022-12-24,41
2022-12-25,38
2022-12-26,29
2022-12-27,27
2022-12-28,29
2022-12-29,25
2022-12-30,23
2022-12-31,16
2023-01-01,24
2023-01-02,16
2023-01-03,14
2023-01-04,17
2023-01-05,13
2023-01-06,13
2023-01-07,14
2023-01-08,15
2023-01-09,16
2023-01-10,18
2023-01-11,18
2023-01-12,17
2023-01-13,15
2023-01-14,6
2023-01-15,13
2023-01-16,12
2023-01-17,28
2023-01-18,42
2023-01-19,47
2023-01-20,37
2023-01-21,30
2023-01-22,33
2023-01-23,27
2023-01-24,25
2023-01-25,12
2023-01-26,30
2023-01-27,27
2023-01-28,30
2023-01-29,37
2023-01-30,33
2023-01-31,35
2023-02-01,36
2023-02-02,33
2023-02-03,31
2023-02-04,35
2023-02-05,33
2023-02-06,21
2023-02-07,19
2023-02-08,17
2023-02-09,2
2023-02-12,3
2023-02-13,4
2023-02-14,3
2023-02-15,2
2023-02-16,4
2023-02-17,23
2023-02-18,4
2023-02-20,1
2023-02-21,1
2023-02-23,2
2023-02-24,2
2023-02-25,3
2023-02-27,4
2023-02-28,3
2023-03-01,2
2023-03-02,2
2023-03-03,2
2023-03-04,2
2023-03-08,2
2023-03-09,2
2023-03-10,5
2023-03-16,5
2023-03-17,5
2023-03-20,4
2023-03-21,6
2023-03-23,7
2023-03-24,9
2023-03-25,11
2023-03-26,13
2023-03-27,8
2023-03-28,8
2023-03-29,7
2023-03-30,7
2023-03-31,5
2023-04-02,6
2023-04-03,5
2023-04-05,4
2023-04-06,4
2023-04-07,4
2023-04-08,5
2023-04-09,5
2023-04-10,5
2023-04-11,6
2023-04-12,7
2023-04-13,6
2023-04-19,5
2023-04-20,5
2023-04-21,6
2023-04-22,5
2023-04-23,3
2023-04-24,4
2023-04-25,4
2023-04-26,3
2023-04-27,3
2023-04-28,4
2023-04-29,4
2023-04-30,5
2023-05-02,7
2023-05-03,8
2023-05-04,7
2023-05-05,6
2023-05-07,5
2023-05-12,6
2023-05-14,5
2023-05-15,6
2023-05-16,6
2023-05-17,4
2023-05-18,6
2023-05-19,5
2023-05-20,4
2023-05-22,6
2023-05-23,7
2023-05-24,4
2023-05-25,5
2023-05-26,7
2023-05-27,4
2023-05-30,5
2023-05-31,5
2023-06-03,5
2023-06-04,7
2023-06-05,9
2023-06-06,11
2023-06-07,8
2023-06-08,6
2023-06-09,6
2023-06-10,5
2023-06-11,4
2023-06-12,6
2023-06-13,7
2023-06-14,6
2023-06-15,7
2023-06-16,6
2023-06-17,7
2023-06-18,8
2023-06-19,13
2023-06-20,9
2023-06-21,7
2023-06-22,5
2023-06-23,6
2023-06-25,4
2023-06-26,5
2023-06-27,6
2023-06-28,6
2023-06-29,8
2023-06-30,6
2023-07-01,7
2023-07-02,6
2023-07-03,8
2023-07-04,9
2023-07-05,8
2023-07-07,7
2023-07-08,11
2023-07-09,10
2023-07-10,11
2023-07-11,53
2023-07-12,38
2023-07-13,20
2023-07-14,14
2023-07-15,10
2023-07-16,9
2023-07-17,8
2023-07-18,7
2023-07-19,4
2023-07-20,5
2023-07-21,6
2023-07-22,4
2023-07-24,5
2023-07-25,6
2023-07-26,5
2023-07-27,4
2023-07-31,5
2023-08-01,6
2023-08-02,5
2023-08-03,4
2023-08-08,6
2023-08-09,5
2023-08-11,10
2023-08-12,10
2023-08-13,10
2023-08-14,14
2023-08-15,13
2023-08-16,10
2023-08-17,10
2023-08-18,11
2023-08-19,12
2023-08-20,11
2023-08-21,15
2023-08-22,16
2023-08-23,11
2023-08-24,13
2023-08-25,15
2023-08-26,18
2023-08-27,13
2023-08-28,20
2023-08-29,28
2023-08-30,23
2023-08-31,17
2023-09-01,40
2023-09-02,5
2023-09-03,15
2023-09-04,23
2023-09-05,24
2023-09-06,20
2023-09-07,32
2023-09-08,28
2023-09-09,20
2023-09-10,20
2023-09-11,25
2023-09-12,22
2023-09-13,16
2023-09-14,19
2023-09-15,19
2023-09-16,1
2023-09-20,309
2023-09-21,335
2023-09-22,326
2023-09-23,287
2023-09-24,319
2023-09-25,307
2023-09-26,280
2023-09-27,59
2023-09-28,70
2023-09-29,64
2023-09-30,62
2023-10-01,66
2023-10-02,83
2023-10-03,86
2023-10-04,1
2023-10-05,1
2023-10-11,5
2023-10-12,4
2023-10-13,2
2023-10-14,1
2023-10-15,3
2023-10-16,4
2023-10-17,6
2023-10-18,5
2023-10-20,6
2023-10-21,6
2023-10-22,6
2023-10-23,7
2023-10-24,6
2023-10-25,5
2023-10-26,5
2023-10-27,6
2023-10-28,7
2023-10-29,8
2023-10-31,7
2023-11-01,3
2023-11-02,4
2023-11-03,1
2023-11-12,1
2023-11-13,4
2023-11-14,3
2023-11-15,1
2023-11-17,74
2023-11-18,129
2023-11-19,145
2023-11-20,179
2023-11-21,188
2023-11-22,172
2023-11-23,380
2023-11-24,531
2023-11-25,405
2023-11-26,323
2023-11-27,452
2023-11-28,97
2023-11-29,303
2023-11-30,342
2023-12-01,379
2023-12-02,351
2023-12-03,375
2023-12-04,417
2023-12-05,392
2023-12-06,383
2023-12-07,15
2023-12-08,19
2023-12-09,17
2023-12-10,15
2023-12-11,17
2023-12-12,19
2023-12-13,16
2023-12-14,17
2023-12-15,19
2023-12-16,20
2023-12-17,25
2023-12-18,34
2023-12-19,37
2023-12-20,27
2023-12-21,28
2023-12-22,30
2023-12-23,25
2023-12-24,16
2023-12-25,18
2023-12-26,19
2023-12-27,9
2023-12-28,10
2023-12-29,13
2023-12-30,10
2023-12-31,10
2024-01-01,15
2024-01-02,15
2024-01-03,10
2024-01-04,14
2024-01-05,14
2024-01-06,15
2024-01-07,13
2024-01-08,15
