,Sales Rank
2022-12-14,75836
2022-12-15,50156
2022-12-16,37562
2022-12-17,49094
2022-12-18,41890
2022-12-19,45014
2022-12-20,37927
2022-12-21,39635
2022-12-22,43750
2022-12-23,38792
2022-12-24,32157
2022-12-25,40358
2022-12-26,53839
2022-12-27,43046
2022-12-28,25300
2022-12-29,35547
2022-12-30,35880
2022-12-31,28364
2023-01-01,25937
2023-01-02,28738
2023-01-03,25971
2023-01-04,33587
2023-01-05,37596
2023-01-06,34290
2023-01-07,32387
2023-01-08,34798
2023-01-09,34226
2023-01-10,35136
2023-01-11,34961
2023-01-12,35198
2023-01-13,41949
2023-01-14,30454
2023-01-15,44722
2023-01-16,39064
2023-01-17,40203
2023-01-18,36055
2023-01-19,45717
2023-01-20,53419
2023-01-21,25305
2023-01-22,32305
2023-01-23,37015
2023-01-24,29128
2023-01-25,45834
2023-01-26,38199
2023-01-27,42626
2023-01-28,34123
2023-01-29,36237
2023-01-30,20812
2023-01-31,30950
2023-02-01,31944
2023-02-02,33175
2023-02-03,39156
2023-02-04,39054
2023-02-05,35230
2023-02-06,52945
2023-02-07,31866
2023-02-08,45319
2023-02-09,46945
2023-02-10,26434
2023-02-11,38816
2023-02-12,23622
2023-02-13,27670
2023-02-14,29223
2023-02-15,29750
2023-02-16,26936
2023-02-17,38922
2023-02-18,23987
2023-02-19,28603
2023-02-20,33086
2023-02-21,22824
2023-02-22,36946
2023-02-23,37632
2023-02-24,44049
2023-02-25,44066
2023-02-26,33646
2023-02-27,29659
2023-02-28,34834
2023-03-01,31586
2023-03-02,29575
2023-03-03,37924
2023-03-04,42749
2023-03-05,54378
2023-03-06,34334
2023-03-07,41815
2023-03-08,45179
2023-03-09,49808
2023-03-10,27561
2023-03-11,37021
2023-03-12,40512
2023-03-13,44061
2023-03-14,34104
2023-03-15,30808
2023-03-16,41304
2023-03-17,40535
2023-03-18,27126
2023-03-19,28333
2023-03-20,26515
2023-03-21,35128
2023-03-22,30249
2023-03-23,29942
2023-03-24,29623
2023-03-25,36048
2023-03-26,27099
2023-03-27,43034
2023-03-28,27159
2023-03-29,29427
2023-03-30,27544
2023-03-31,37004
2023-04-01,31602
2023-04-02,45099
2023-04-03,43003
2023-04-04,45699
2023-04-05,30922
2023-04-06,37046
2023-04-07,24237
2023-04-08,31955
2023-04-09,31763
2023-04-10,25611
2023-04-11,29066
2023-04-12,37432
2023-04-13,43699
2023-04-14,38978
2023-04-15,30614
2023-04-16,28623
2023-04-17,41222
2023-04-18,25215
2023-04-19,29951
2023-04-20,28033
2023-04-21,37276
2023-04-22,41978
2023-04-23,53335
2023-04-24,47497
2023-04-25,48523
2023-04-26,23082
2023-04-27,27473
2023-04-28,36434
2023-04-29,28753
2023-04-30,40699
2023-05-01,26791
2023-05-02,31525
2023-05-03,38886
2023-05-04,55400
2023-05-05,53547
2023-05-06,37776
2023-05-07,36286
2023-05-08,35599
2023-05-09,41552
2023-05-10,40874
2023-05-11,31940
2023-05-12,34264
2023-05-13,43317
2023-05-14,49099
2023-05-15,29246
2023-05-16,29643
2023-05-17,20766
2023-05-18,21507
2023-05-19,29416
2023-05-20,30535
2023-05-21,34895
2023-05-22,29830
2023-05-23,35805
2023-05-24,26197
2023-05-25,20566
2023-05-26,29624
2023-05-27,28131
2023-05-28,28073
2023-05-30,34522
2023-05-31,22368
2023-06-01,31190
2023-06-02,41680
2023-06-03,49216
2023-06-04,30836
2023-06-05,37631
2023-06-06,30095
2023-06-07,40675
2023-06-08,43745
2023-06-09,56615
2023-06-10,49909
2023-06-11,30215
2023-06-12,30144
2023-06-13,34814
2023-06-14,41427
2023-06-15,21704
2023-06-16,26542
2023-06-17,34821
2023-06-18,41887
2023-06-19,33625
2023-06-20,36625
2023-06-21,33396
2023-06-22,35850
2023-06-23,35891
2023-06-24,34303
2023-06-25,49849
2023-06-26,36720
2023-06-27,41554
2023-06-28,44276
2023-06-29,23713
2023-06-30,30937
2023-07-01,43594
2023-07-02,43820
2023-07-03,25384
2023-07-04,37922
2023-07-05,34458
2023-07-06,28946
2023-07-07,28893
2023-07-08,42442
2023-07-09,34622
2023-07-10,38875
2023-07-11,33965
2023-07-12,319
2023-07-13,274
2023-07-14,193
2023-07-15,151
2023-07-16,137
2023-07-17,144
2023-07-18,139
2023-07-19,157
2023-07-20,149
2023-07-21,148
2023-07-22,113
2023-07-23,107
2023-07-24,115
2023-07-25,113
2023-07-26,108
2023-07-27,119
2023-07-28,119
2023-07-29,109
2023-07-30,106
2023-07-31,111
2023-08-01,110
2023-08-02,103
2023-08-03,107
2023-08-04,117
2023-08-05,121
2023-08-06,119
2023-08-07,123
2023-08-08,126
2023-08-09,124
2023-08-10,147
2023-08-11,135
2023-08-12,115
2023-08-13,112
2023-08-14,123
2023-08-15,119
2023-08-16,121
2023-08-17,132
2023-08-18,131
2023-08-19,125
2023-08-20,120
2023-08-21,132
2023-08-22,121
2023-08-23,119
2023-08-24,120
2023-08-25,126
2023-08-26,109
2023-08-27,104
2023-08-28,123
2023-08-29,125
2023-08-30,116
