,Sales Rank
2022-12-14,258
2022-12-15,245
2022-12-16,242
2022-12-17,245
2022-12-18,221
2022-12-19,205
2022-12-20,230
2022-12-21,259
2022-12-22,277
2022-12-23,344
2022-12-24,361
2022-12-25,377
2022-12-26,316
2022-12-27,322
2022-12-28,301
2022-12-29,326
2022-12-30,312
2022-12-31,326
2023-01-01,298
2023-01-02,303
2023-01-03,369
2023-01-04,353
2023-01-05,343
2023-01-06,362
2023-01-07,329
2023-01-08,328
2023-01-09,317
2023-01-10,309
2023-01-11,302
2023-01-12,284
2023-01-13,308
2023-01-14,286
2023-01-15,259
2023-01-16,260
2023-01-17,330
2023-01-18,329
2023-01-19,348
2023-01-20,355
2023-01-21,299
2023-01-22,257
2023-01-23,320
2023-01-24,289
2023-01-25,372
2023-01-26,351
2023-01-27,328
2023-01-28,255
2023-01-29,274
2023-01-30,325
2023-01-31,341
2023-02-01,387
2023-02-02,442
2023-02-03,395
2023-02-04,373
2023-02-05,307
2023-02-06,328
2023-02-07,338
2023-02-08,331
2023-02-09,329
2023-02-10,310
2023-02-11,285
2023-02-12,227
2023-02-13,264
2023-02-14,289
2023-02-15,320
2023-02-16,337
2023-02-17,352
2023-02-18,292
2023-02-19,231
2023-02-20,247
2023-02-21,301
2023-02-22,356
2023-02-23,435
2023-02-24,406
2023-02-25,374
2023-02-26,327
2023-02-27,376
2023-02-28,410
2023-03-01,368
2023-03-02,409
2023-03-03,505
2023-03-04,351
2023-03-05,334
2023-03-06,284
2023-03-07,368
2023-03-08,340
2023-03-09,311
2023-03-10,348
2023-03-11,301
2023-03-12,335
2023-03-13,367
2023-03-14,385
2023-03-15,405
2023-03-16,342
2023-03-17,391
2023-03-18,294
2023-03-19,259
2023-03-20,291
2023-03-21,254
2023-03-22,290
2023-03-23,290
2023-03-24,234
2023-03-25,283
2023-03-26,240
2023-03-27,272
2023-03-28,4461
2023-03-29,4077
2023-03-30,3715
2023-03-31,3619
2023-04-01,3214
2023-04-02,2945
2023-04-03,3231
2023-04-04,251
2023-04-05,248
2023-04-06,278
2023-04-07,284
2023-04-08,235
2023-04-09,197
2023-04-10,224
2023-04-11,216
2023-04-12,232
2023-04-13,265
2023-04-14,305
2023-04-15,256
2023-04-16,232
2023-04-17,278
2023-04-18,280
2023-04-19,298
2023-04-20,269
2023-04-21,302
2023-04-22,254
2023-04-23,279
2023-04-24,352
2023-04-25,330
2023-04-26,319
2023-04-27,330
2023-04-28,379
2023-04-29,293
2023-04-30,270
2023-05-01,302
2023-05-02,350
2023-05-03,301
2023-05-04,309
2023-05-05,305
2023-05-06,269
2023-05-07,227
2023-05-08,253
2023-05-09,242
2023-05-10,257
2023-05-11,292
2023-05-12,313
2023-05-13,257
2023-05-14,227
2023-05-15,295
2023-05-16,288
2023-05-17,316
2023-05-18,336
2023-05-19,356
2023-05-20,314
2023-05-21,303
2023-05-22,299
2023-05-23,327
2023-05-24,367
2023-05-25,393
2023-05-26,371
2023-05-27,278
2023-05-28,307
2023-05-30,307
2023-05-31,279
2023-06-01,342
2023-06-02,341
2023-06-03,336
2023-06-04,337
2023-06-05,363
2023-06-06,310
2023-06-07,373
2023-06-08,384
2023-06-09,371
2023-06-10,318
2023-06-11,307
2023-06-12,357
2023-06-13,373
2023-06-14,360
2023-06-15,385
2023-06-16,348
2023-06-17,314
2023-06-18,296
2023-06-19,310
2023-06-20,311
2023-06-21,304
2023-06-22,358
2023-06-23,365
2023-06-24,416
2023-06-25,369
2023-06-26,386
2023-06-27,389
2023-06-28,423
2023-06-29,391
2023-06-30,462
2023-07-01,394
2023-07-02,378
2023-07-03,400
2023-07-04,359
2023-07-05,428
2023-07-06,463
2023-07-07,458
2023-07-08,432
2023-07-09,331
2023-07-10,351
2023-07-11,465
2023-07-12,492
2023-07-13,451
2023-07-14,446
2023-07-15,422
2023-07-16,452
2023-07-17,459
2023-07-18,462
2023-07-19,433
2023-07-20,525
2023-07-21,549
2023-07-22,461
2023-07-23,396
2023-07-24,442
2023-07-25,396
2023-07-26,292
2023-07-27,352
2023-07-28,358
2023-07-29,371
2023-07-30,304
2023-07-31,342
2023-08-01,307
2023-08-02,320
2023-08-03,326
2023-08-04,318
2023-08-05,309
2023-08-06,287
2023-08-07,297
2023-08-08,331
2023-08-09,337
2023-08-10,315
2023-08-11,356
2023-08-12,334
2023-08-13,273
2023-08-14,291
2023-08-15,305
2023-08-16,304
2023-08-17,309
2023-08-18,341
2023-08-19,303
2023-08-20,283
2023-08-21,312
2023-08-22,313
2023-08-23,327
2023-08-24,315
2023-08-25,380
2023-08-26,294
2023-08-27,245
2023-08-28,292
2023-08-29,325
2023-08-30,316
2023-08-31,325
2023-09-01,355
2023-09-02,338
2023-09-03,301
2023-09-04,315
2023-09-05,327
2023-09-06,310
2023-09-07,346
2023-09-08,342
2023-09-09,306
2023-09-10,281
2023-09-11,338
2023-09-12,344
2023-09-13,371
2023-09-14,332
2023-09-15,346
2023-09-16,284
2023-09-17,308
2023-09-18,277
2023-09-19,266
2023-09-20,289
2023-09-21,300
2023-09-22,300
2023-09-23,289
2023-09-24,269
2023-09-25,306
2023-09-26,302
2023-09-27,309
2023-09-28,342
2023-09-29,340
2023-09-30,283
2023-10-01,296
2023-10-02,292
2023-10-03,298
2023-10-04,317
2023-10-05,308
2023-10-06,338
2023-10-07,308
2023-10-08,232
2023-10-09,269
2023-10-10,290
2023-10-11,303
2023-10-12,266
2023-10-13,297
2023-10-14,269
2023-10-15,262
2023-10-16,275
2023-10-17,261
2023-10-18,284
2023-10-19,291
2023-10-20,276
2023-10-21,246
2023-10-22,267
2023-10-23,253
2023-10-24,239
2023-10-25,319
2023-10-26,312
2023-10-27,347
2023-10-28,301
2023-10-29,295
2023-10-30,358
2023-10-31,351
2023-11-01,320
2023-11-02,337
2023-11-03,348
2023-11-04,258
2023-11-05,209
2023-11-06,246
2023-11-07,254
2023-11-08,292
2023-11-09,283
2023-11-10,313
2023-11-11,279
2023-11-12,206
2023-11-13,244
2023-11-14,251
2023-11-15,275
2023-11-16,336
2023-11-17,295
2023-11-18,260
2023-11-19,221
2023-11-20,252
2023-11-21,248
2023-11-22,291
2023-11-23,256
2023-11-24,236
2023-11-25,224
2023-11-26,240
2023-11-27,252
2023-11-28,253
2023-11-29,230
2023-11-30,230
2023-12-01,244
2023-12-02,250
2023-12-03,213
2023-12-04,222
2023-12-05,219
2023-12-06,219
2023-12-07,208
2023-12-08,239
2023-12-09,204
2023-12-10,196
2023-12-11,209
2023-12-12,204
2023-12-13,187
2023-12-14,203
2023-12-15,196
2023-12-16,196
2023-12-17,157
2023-12-18,167
2023-12-19,163
2023-12-20,174
2023-12-21,177
2023-12-22,198
2023-12-23,237
2023-12-24,225
2023-12-25,246
2023-12-26,300
2023-12-27,301
2023-12-28,296
2023-12-29,364
2023-12-30,281
2023-12-31,182
2024-01-01,208
2024-01-02,190
2024-01-03,239
2024-01-04,229
2024-01-05,254
2024-01-06,244
2024-01-07,237
2024-01-08,251
2024-01-09,296
2024-01-10,328
2024-01-11,323
2024-01-12,374
2024-01-13,278
2024-01-14,252
2024-01-15,296
2024-01-16,272
2024-01-17,306
2024-01-18,319
2024-01-19,283
2024-01-20,310
2024-01-21,293
2024-01-22,320
2024-01-23,289
2024-01-24,375
2024-01-25,403
2024-01-26,403
2024-01-27,260
2024-01-28,250
2024-01-29,286
2024-01-30,275
2024-01-31,283
2024-02-01,245
2024-02-02,235
2024-02-03,205
2024-02-04,224
2024-02-05,199
2024-02-06,214
2024-02-07,238
2024-02-08,246
2024-02-09,234
2024-02-10,197
2024-02-11,200
2024-02-12,216
2024-02-13,252
2024-02-14,265
2024-02-15,312
2024-02-16,292
2024-02-17,263
2024-02-18,230
2024-02-19,204
2024-02-20,226
2024-02-21,246
2024-02-22,280
2024-02-23,274
2024-02-24,215
2024-02-25,172
2024-02-26,180
2024-02-27,195
2024-02-28,220
2024-02-29,227
2024-03-01,236
2024-03-02,192
2024-03-03,145
2024-03-04,155
2024-03-05,156
2024-03-06,175
2024-03-07,201
2024-03-08,216
2024-03-09,181
2024-03-10,168
2024-03-11,148
2024-03-12,172
2024-03-13,151
2024-03-14,173
2024-03-15,173
2024-03-16,142
2024-03-17,136
2024-03-18,157
2024-03-19,173
2024-03-20,180
2024-03-21,176
2024-03-22,178
2024-03-23,200
2024-03-24,133
2024-03-25,192
2024-03-26,189
2024-03-27,193
2024-03-28,213
2024-03-29,153
2024-03-30,145
2024-03-31,161
2024-04-01,153
2024-04-02,160
2024-04-03,179
2024-04-04,202
2024-04-05,190
2024-04-06,162
2024-04-07,126
2024-04-08,145
2024-04-09,135
2024-04-10,168
2024-04-11,173
2024-04-12,187
2024-04-13,135
2024-04-14,99
2024-04-15,136
2024-04-16,134
2024-04-17,149
2024-04-18,183
2024-04-19,210
2024-04-20,142
2024-04-21,126
2024-04-22,131
2024-04-23,143
2024-04-24,176
2024-04-25,167
2024-04-26,177
2024-04-27,184
2024-04-28,160
2024-04-29,194
2024-04-30,165
2024-05-01,166
2024-05-02,170
2024-05-03,179
2024-05-04,3238
2024-05-05,2773
2024-05-06,2509
2024-05-07,3055
2024-05-08,2693
2024-05-09,3053
2024-05-10,2517
2024-05-11,2398
2024-05-12,2791
2024-05-13,2882
2024-05-14,2973
2024-05-15,2962
2024-05-16,2958
2024-05-17,2879
2024-05-18,2579
2024-05-19,2503
2024-05-20,2842
2024-05-21,2873
2024-05-22,2965
2024-05-23,3109
2024-05-24,2671
2024-05-25,3111
2024-05-26,2924
2024-05-27,2972
2024-05-28,2866
2024-05-29,2803
2024-05-30,2955
2024-05-31,2939
2024-06-01,2902
2024-06-02,3059
2024-06-03,3049
2024-06-04,2757
2024-06-05,2980
2024-06-06,2784
2024-06-07,2491
2024-06-08,2820
2024-06-09,2910
2024-06-10,2673
2024-06-11,2987
2024-06-12,2813
2024-06-13,2873
2024-06-14,2819
2024-06-15,3120
2024-06-16,3045
2024-06-17,3724
2024-06-18,3618
2024-06-19,3599
2024-06-20,3759
2024-06-21,3279
2024-06-22,3497
2024-06-23,3322
2024-06-24,3644
2024-06-25,3490
2024-06-26,3711
2024-06-27,3958
2024-06-28,3979
2024-06-29,3938
2024-06-30,3607
2024-07-01,3648
2024-07-02,3471
2024-07-03,3482
2024-07-04,3751
2024-07-05,3216
2024-07-06,3046
2024-07-07,3633
2024-07-08,3588
2024-07-09,3714
2024-07-10,3533
2024-07-11,4203
2024-07-12,3834
2024-07-13,4221
2024-07-14,4299
2024-07-15,3917
2024-07-16,4254
2024-07-17,4346
2024-07-18,4355
2024-07-19,4634
2024-07-20,3505
2024-07-21,3771
2024-07-22,4778
2024-07-23,3871
2024-07-24,3533
2024-07-25,3697
2024-07-26,3852
2024-07-27,3079
2024-07-28,3278
2024-07-29,3777
2024-07-30,3665
2024-07-31,3675
2024-08-01,4267
2024-08-02,3838
2024-08-03,3855
2024-08-04,3678
2024-08-05,4889
2024-08-06,4715
2024-08-07,4431
2024-08-09,4374
2024-08-10,4951
2024-08-11,3568
2024-08-12,3469
2024-08-13,4022
2024-08-14,4169
2024-08-15,4006
2024-08-16,3961
2024-08-17,3973
2024-08-18,3564
2024-08-19,4025
2024-08-20,3516
2024-08-21,3888
2024-08-22,3454
2024-08-23,3625
2024-08-24,3590
2024-08-25,3311
2024-08-26,3592
2024-08-27,3915
2024-08-28,3389
2024-08-29,3625
2024-08-30,3575
2024-08-31,3308
2024-09-01,3260
2024-09-02,3411
2024-09-03,3089
2024-09-04,3138
2024-09-05,3470
2024-09-06,3150
2024-09-07,3370
2024-09-08,3248
2024-09-09,3471
2024-09-10,3511
2024-09-11,3591
2024-09-12,3705
2024-09-13,3531
2024-09-14,3491
2024-09-15,3694
2024-09-16,3318
2024-09-17,3190
2024-09-18,3279
2024-09-19,3740
2024-09-20,4211
2024-09-21,3386
2024-09-22,3405
