,Sales Rank
2022-12-14,576
2022-12-15,551
2022-12-16,610
2022-12-17,614
2022-12-18,601
2022-12-19,588
2022-12-20,666
2022-12-21,722
2022-12-22,731
2022-12-23,699
2022-12-24,610
2022-12-25,582
2022-12-26,519
2022-12-27,469
2022-12-28,472
2022-12-29,504
2022-12-30,480
2022-12-31,445
2023-01-01,502
2023-01-02,392
2023-01-03,404
2023-01-04,446
2023-01-05,448
2023-01-06,447
2023-01-07,461
2023-01-08,469
2023-01-09,447
2023-01-10,452
2023-01-11,437
2023-01-12,383
2023-01-13,429
2023-01-14,477
2023-01-15,470
2023-01-16,476
2023-01-17,508
2023-01-18,538
2023-01-19,652
2023-01-20,652
2023-01-21,593
2023-01-22,537
2023-01-23,634
2023-01-24,709
2023-01-25,611
2023-01-26,710
2023-01-27,668
2023-01-28,562
2023-01-29,549
2023-01-30,684
2023-01-31,714
2023-02-01,716
2023-02-02,695
2023-02-03,637
2023-02-04,601
2023-02-05,591
2023-02-06,654
2023-02-07,674
2023-02-08,686
2023-02-09,712
2023-02-10,685
2023-02-11,644
2023-02-12,586
2023-02-13,554
2023-02-14,584
2023-02-15,590
2023-02-16,685
2023-02-17,671
2023-02-18,596
2023-02-19,561
2023-02-20,588
2023-02-21,691
2023-02-22,742
2023-02-23,703
2023-02-24,655
2023-02-25,682
2023-02-26,628
2023-02-27,612
2023-02-28,638
2023-03-01,683
2023-03-02,751
2023-03-03,744
2023-03-04,668
2023-03-05,661
2023-03-06,589
2023-03-07,697
2023-03-08,731
2023-03-09,775
2023-03-10,728
2023-03-11,769
2023-03-12,734
2023-03-13,741
2023-03-14,718
2023-03-15,749
2023-03-16,814
2023-03-17,776
2023-03-18,692
2023-03-19,667
2023-03-20,739
2023-03-21,767
2023-03-22,828
2023-03-23,860
2023-03-24,999
2023-03-25,849
2023-03-26,867
2023-03-27,899
2023-03-28,865
2023-03-29,893
2023-03-30,971
2023-03-31,875
2023-04-01,815
2023-04-02,816
2023-04-03,811
2023-04-04,909
2023-04-05,962
2023-04-06,882
2023-04-07,856
2023-04-08,837
2023-04-09,764
2023-04-10,825
2023-04-11,885
2023-04-12,846
2023-04-13,995
2023-04-14,929
2023-04-15,855
2023-04-16,659
2023-04-17,646
2023-04-18,697
2023-04-19,775
2023-04-20,754
2023-04-21,759
2023-04-22,689
2023-04-23,659
2023-04-24,664
2023-04-25,685
2023-04-26,762
2023-04-27,739
2023-04-28,716
2023-04-29,726
2023-04-30,629
2023-05-01,607
2023-05-02,696
2023-05-03,694
2023-05-04,778
2023-05-05,652
2023-05-06,575
2023-05-07,489
2023-05-08,555
2023-05-09,589
2023-05-10,654
2023-05-11,698
2023-05-12,739
2023-05-13,664
2023-05-14,558
2023-05-15,696
2023-05-16,718
2023-05-17,717
2023-05-18,731
2023-05-19,699
2023-05-20,656
2023-05-21,615
2023-05-22,579
2023-05-23,571
2023-05-24,699
2023-05-25,654
2023-05-26,702
2023-05-27,640
2023-05-28,687
2023-05-30,559
2023-05-31,596
2023-06-01,685
2023-06-02,633
2023-06-03,606
2023-06-04,601
2023-06-05,613
2023-06-06,669
2023-06-07,725
2023-06-08,737
2023-06-09,685
2023-06-10,697
2023-06-11,583
2023-06-12,712
2023-06-13,715
2023-06-14,668
2023-06-15,709
2023-06-16,733
2023-06-17,682
2023-06-18,736
2023-06-19,640
2023-06-20,676
2023-06-21,749
2023-06-22,726
2023-06-23,697
2023-06-24,710
2023-06-25,706
2023-06-26,651
2023-06-27,910
2023-06-28,840
2023-06-29,879
2023-06-30,909
2023-07-01,872
2023-07-02,774
2023-07-03,853
2023-07-04,831
2023-07-05,768
2023-07-06,821
2023-07-07,824
2023-07-08,904
2023-07-09,850
2023-07-10,825
2023-07-11,520
2023-07-12,753
2023-07-13,1012
2023-07-14,1011
2023-07-15,938
2023-07-16,995
2023-07-17,984
2023-07-18,984
2023-07-19,1062
2023-07-20,1227
2023-07-21,1236
2023-07-22,1140
2023-07-23,848
2023-07-24,638
2023-07-25,670
2023-07-26,626
2023-07-27,591
2023-07-28,674
2023-07-29,670
2023-07-30,605
2023-07-31,559
2023-08-01,489
2023-08-02,615
2023-08-03,591
2023-08-04,621
2023-08-05,630
2023-08-06,570
2023-08-07,519
2023-08-08,602
2023-08-09,673
2023-08-10,719
2023-08-11,705
2023-08-12,585
2023-08-13,559
2023-08-14,679
2023-08-15,681
2023-08-16,679
2023-08-17,701
2023-08-18,628
2023-08-19,558
2023-08-20,491
2023-08-21,543
2023-08-22,554
2023-08-23,639
2023-08-24,749
2023-08-25,827
2023-08-26,717
2023-08-27,672
2023-08-28,757
2023-08-29,900
2023-08-30,883
2023-08-31,839
2023-09-01,801
2023-09-02,730
2023-09-03,661
2023-09-04,693
2023-09-05,769
2023-09-06,918
2023-09-07,835
2023-09-08,841
2023-09-09,739
2023-09-10,879
2023-09-11,833
2023-09-12,879
2023-09-13,921
2023-09-14,925
2023-09-15,1115
2023-09-16,1018
2023-09-17,840
2023-09-18,940
2023-09-19,954
2023-09-20,857
2023-09-21,1017
2023-09-22,969
2023-09-23,976
2023-09-24,866
2023-09-25,836
2023-09-26,856
2023-09-27,907
2023-09-28,879
2023-09-29,947
2023-09-30,819
2023-10-01,770
2023-10-02,824
2023-10-03,770
2023-10-04,976
2023-10-05,924
2023-10-06,813
2023-10-07,696
2023-10-08,730
2023-10-09,768
2023-10-10,459
2023-10-11,390
2023-10-12,588
2023-10-13,680
2023-10-14,615
2023-10-15,710
2023-10-16,749
2023-10-17,752
2023-10-18,830
2023-10-19,811
2023-10-20,835
2023-10-21,802
2023-10-22,846
2023-10-23,841
2023-10-24,803
2023-10-25,827
2023-10-26,908
2023-10-27,967
2023-10-28,792
2023-10-29,760
2023-10-30,771
2023-10-31,795
2023-11-01,824
2023-11-02,788
2023-11-03,754
2023-11-04,709
2023-11-05,611
2023-11-06,706
2023-11-07,701
2023-11-08,798
2023-11-09,830
2023-11-10,799
2023-11-11,727
2023-11-12,629
2023-11-13,757
2023-11-14,824
2023-11-15,916
2023-11-16,858
2023-11-17,886
2023-11-18,745
2023-11-19,789
2023-11-20,856
2023-11-21,873
2023-11-22,942
2023-11-23,1030
2023-11-24,1104
2023-11-25,1107
2023-11-26,914
2023-11-27,1105
2023-11-28,940
2023-11-29,926
2023-11-30,981
2023-12-01,1084
2023-12-02,991
2023-12-03,898
2023-12-04,970
2023-12-05,941
2023-12-06,914
2023-12-07,1034
2023-12-08,1022
2023-12-09,974
2023-12-10,851
2023-12-11,1024
2023-12-12,1036
2023-12-13,1008
2023-12-14,1013
2023-12-15,1066
2023-12-16,1013
2023-12-17,1074
2023-12-18,1082
2023-12-19,982
2023-12-20,1143
2023-12-21,1030
2023-12-22,965
2023-12-23,897
2023-12-24,722
2023-12-25,807
2023-12-26,679
2023-12-27,716
2023-12-28,699
2023-12-29,691
2023-12-30,665
2023-12-31,740
2024-01-01,675
2024-01-02,684
2024-01-03,658
2024-01-04,719
2024-01-05,714
2024-01-06,691
2024-01-07,721
2024-01-08,815
2024-01-09,815
2024-01-10,790
2024-01-11,925
2024-01-12,879
2024-01-13,774
2024-01-14,652
2024-01-15,729
2024-01-16,826
2024-01-17,754
2024-01-18,803
2024-01-19,814
2024-01-20,794
2024-01-21,678
2024-01-22,725
2024-01-23,757
2024-01-24,814
2024-01-25,781
2024-01-26,750
2024-01-27,742
2024-01-28,713
2024-01-29,725
2024-01-30,778
2024-01-31,729
2024-02-01,791
2024-02-02,715
2024-02-03,761
2024-02-04,764
2024-02-05,787
2024-02-06,837
2024-02-07,843
2024-02-08,857
2024-02-09,932
2024-02-10,675
2024-02-11,744
2024-02-12,770
2024-02-13,866
2024-02-14,908
2024-02-15,739
2024-02-16,693
2024-02-17,611
2024-02-18,579
2024-02-19,522
2024-02-20,600
2024-02-21,658
2024-02-22,663
2024-02-23,561
2024-02-24,587
2024-02-25,574
2024-02-26,627
2024-02-27,640
2024-02-28,696
2024-02-29,720
2024-03-01,577
2024-03-02,573
2024-03-03,598
2024-03-04,709
2024-03-05,689
2024-03-06,637
2024-03-07,636
2024-03-08,574
2024-03-09,564
2024-03-10,583
2024-03-11,666
2024-03-12,734
2024-03-13,760
2024-03-14,774
2024-03-15,736
2024-03-16,593
2024-03-17,544
2024-03-18,669
