,Sales Rank
2022-12-14,770
2022-12-15,777
2022-12-16,813
2022-12-17,899
2022-12-18,937
2022-12-19,904
2022-12-20,947
2022-12-21,942
2022-12-22,860
2022-12-23,833
2022-12-24,727
2022-12-25,644
2022-12-26,572
2022-12-27,604
2022-12-28,523
2022-12-29,563
2022-12-30,531
2022-12-31,517
2023-01-01,434
2023-01-02,578
2023-01-03,578
2023-01-04,555
2023-01-05,549
2023-01-06,541
2023-01-07,549
2023-01-08,568
2023-01-09,584
2023-01-10,588
2023-01-11,576
2023-01-12,571
2023-01-13,587
2023-01-14,579
2023-01-15,545
2023-01-16,574
2023-01-17,536
2023-01-18,435
2023-01-19,462
2023-01-20,525
2023-01-21,474
2023-01-22,547
2023-01-23,513
2023-01-24,575
2023-01-25,578
2023-01-26,592
2023-01-27,663
2023-01-28,618
2023-01-29,711
2023-01-30,757
2023-01-31,757
2023-02-01,632
2023-02-02,684
2023-02-03,572
2023-02-04,541
2023-02-05,570
2023-02-06,531
2023-02-07,564
2023-02-08,621
2023-02-09,644
2023-02-10,613
2023-02-11,556
2023-02-12,588
2023-02-13,499
2023-02-14,534
2023-02-15,547
2023-02-16,591
2023-02-17,629
2023-02-18,733
2023-02-19,692
2023-02-20,608
2023-02-21,559
2023-02-22,534
2023-02-23,549
2023-02-24,627
2023-02-25,591
2023-02-26,575
2023-02-27,583
2023-02-28,532
2023-03-01,630
2023-03-02,567
2023-03-03,553
2023-03-04,530
2023-03-05,635
2023-03-06,628
2023-03-07,586
2023-03-08,509
2023-03-09,578
2023-03-10,529
2023-03-11,563
2023-03-12,560
2023-03-13,569
2023-03-14,582
2023-03-15,580
2023-03-16,581
2023-03-17,543
2023-03-18,597
2023-03-19,593
2023-03-20,525
2023-03-21,509
2023-03-22,579
2023-03-23,552
2023-03-24,589
2023-03-25,616
2023-03-26,646
2023-03-27,664
2023-03-28,652
2023-03-29,607
2023-03-30,552
2023-03-31,574
2023-04-01,517
2023-04-02,613
2023-04-03,554
2023-04-04,550
2023-04-05,475
2023-04-06,497
2023-04-07,478
2023-04-08,519
2023-04-09,500
2023-04-10,523
2023-04-11,522
2023-04-12,522
2023-04-13,461
2023-04-14,555
2023-04-15,508
2023-04-16,544
2023-04-17,641
2023-04-18,630
2023-04-19,795
2023-04-20,783
2023-04-21,739
2023-04-22,1028
2023-04-23,674
2023-04-24,605
2023-04-25,551
2023-04-26,459
2023-04-27,2317
2023-04-28,2015
2023-04-29,1507
2023-04-30,1064
2023-05-01,1000
2023-05-02,1121
2023-05-03,1444
2023-05-04,1309
2023-05-05,1473
2023-05-06,1466
2023-05-07,1153
2023-05-08,984
2023-05-09,968
2023-05-10,929
2023-05-11,498
2023-05-12,444
2023-05-13,493
2023-05-14,522
2023-05-15,545
2023-05-16,591
2023-05-17,511
2023-05-18,565
2023-05-19,602
2023-05-20,723
2023-05-21,588
2023-05-22,584
2023-05-23,534
2023-05-24,599
2023-05-25,541
2023-05-26,511
2023-05-27,556
2023-05-28,625
2023-05-30,543
2023-05-31,567
2023-06-01,604
2023-06-02,566
2023-06-03,650
2023-06-04,638
2023-06-05,563
2023-06-06,636
2023-06-07,669
2023-06-08,563
2023-06-09,740
2023-06-10,964
2023-06-11,688
2023-06-12,494
2023-06-13,463
2023-06-14,509
2023-06-15,425
2023-06-16,414
2023-06-17,414
2023-06-18,432
2023-06-19,374
2023-06-20,395
2023-06-21,484
2023-06-22,501
2023-06-23,492
2023-06-24,515
2023-06-25,512
2023-06-26,500
2023-06-27,531
2023-06-28,501
2023-06-29,534
2023-06-30,538
2023-07-01,561
2023-07-02,626
2023-07-03,535
2023-07-04,559
2023-07-05,535
2023-07-06,544
2023-07-07,526
2023-07-08,499
2023-07-09,567
2023-07-10,533
2023-07-11,693
2023-07-12,865
2023-07-13,696
2023-07-14,640
2023-07-15,625
2023-07-16,598
2023-07-17,573
2023-07-18,554
2023-07-19,520
2023-07-20,497
2023-07-21,510
2023-07-22,492
2023-07-23,527
2023-07-24,541
2023-07-25,468
2023-07-26,528
2023-07-27,491
2023-07-28,490
2023-07-29,457
2023-07-30,502
2023-07-31,482
2023-08-01,482
2023-08-02,549
2023-08-03,527
2023-08-04,531
2023-08-05,505
2023-08-06,560
2023-08-07,564
2023-08-08,481
2023-08-09,496
2023-08-10,514
2023-08-11,527
2023-08-12,510
2023-08-13,458
2023-08-14,433
2023-08-15,432
2023-08-16,416
2023-08-17,464
2023-08-18,468
2023-08-19,464
2023-08-20,490
2023-08-21,423
2023-08-22,449
2023-08-23,473
2023-08-24,502
2023-08-25,471
2023-08-26,377
2023-08-27,475
2023-08-28,454
2023-08-29,375
2023-08-30,502
2023-08-31,473
2023-09-01,476
2023-09-02,493
2023-09-03,439
2023-09-04,474
2023-09-05,470
2023-09-06,459
2023-09-07,473
2023-09-08,496
2023-09-09,496
2023-09-10,477
2023-09-11,461
2023-09-12,431
2023-09-13,488
2023-09-14,453
2023-09-15,504
2023-09-16,421
2023-09-17,446
2023-09-18,375
2023-09-19,373
2023-09-20,366
2023-09-21,378
2023-09-22,397
2023-09-23,338
2023-09-24,370
2023-09-25,352
2023-09-26,353
2023-09-27,352
2023-09-28,357
2023-09-29,526
2023-09-30,515
2023-10-01,506
2023-10-02,480
2023-10-03,382
2023-10-04,441
2023-10-05,1609
2023-10-06,1767
2023-10-07,1781
2023-10-08,1676
2023-10-09,1567
2023-10-10,1610
2023-10-11,2044
2023-10-12,2056
2023-10-13,1931
2023-10-14,1838
2023-10-15,1519
2023-10-16,1600
2023-10-17,1864
2023-10-18,1839
2023-10-19,1877
2023-10-20,1917
2023-10-21,1892
2023-10-22,1647
2023-10-23,1682
2023-10-24,1758
2023-10-25,1369
2023-10-26,1494
2023-10-27,1418
2023-10-28,1590
2023-10-29,1400
2023-10-30,1224
2023-10-31,1212
2023-11-01,1785
2023-11-02,1867
2023-11-03,1949
2023-11-04,1925
2023-11-05,2014
2023-11-06,1643
2023-11-07,1924
2023-11-08,1775
2023-11-09,1782
2023-11-10,1737
2023-11-11,1906
2023-11-12,1710
2023-11-13,1775
2023-11-14,1836
2023-11-15,1888
2023-11-16,1976
2023-11-17,1807
2023-11-18,405
2023-11-19,479
2023-11-20,370
2023-11-21,343
2023-11-22,450
2023-11-23,458
2023-11-24,563
2023-11-25,574
2023-11-26,559
2023-11-27,573
2023-11-28,532
2023-11-29,438
2023-11-30,416
2023-12-01,403
2023-12-02,371
2023-12-03,372
2023-12-04,401
2023-12-05,520
2023-12-06,527
2023-12-07,508
2023-12-08,408
2023-12-09,450
2023-12-10,507
2023-12-11,458
2023-12-12,485
2023-12-13,493
2023-12-14,461
2023-12-15,496
2023-12-16,702
2023-12-17,758
2023-12-18,614
2023-12-19,598
2023-12-20,619
2023-12-21,637
2023-12-22,486
2023-12-23,421
2023-12-24,376
2023-12-25,380
2023-12-26,380
2023-12-27,333
2023-12-28,349
2023-12-29,341
2023-12-30,366
2023-12-31,383
2024-01-01,359
2024-01-02,315
2024-01-03,352
2024-01-04,365
2024-01-05,354
2024-01-06,376
2024-01-07,413
2024-01-08,346
2024-01-09,383
