,Sales Rank
2022-12-14,1056
2022-12-15,1207
2022-12-16,1060
2022-12-17,1211
2022-12-18,1336
2022-12-19,1411
2022-12-20,1245
2022-12-21,1240
2022-12-22,1234
2022-12-23,1084
2022-12-24,1056
2022-12-25,1054
2022-12-26,1056
2022-12-27,865
2022-12-28,943
2022-12-29,883
2022-12-30,959
2022-12-31,1025
2023-01-01,1021
2023-01-02,940
2023-01-03,1563
2023-01-04,1589
2023-01-05,1734
2023-01-06,1643
2023-01-07,1621
2023-01-08,1451
2023-01-09,1455
2023-01-10,1404
2023-01-11,1354
2023-01-12,1526
2023-01-13,1042
2023-01-14,859
2023-01-15,938
2023-01-16,849
2023-01-17,889
2023-01-18,794
2023-01-19,870
2023-01-20,933
2023-01-21,1039
2023-01-22,973
2023-01-23,846
2023-01-24,925
2023-01-25,893
2023-01-26,924
2023-01-27,1035
2023-01-28,950
2023-01-29,948
2023-01-30,914
2023-01-31,948
2023-02-01,996
2023-02-02,1098
2023-02-03,1106
2023-02-04,1645
2023-02-05,1191
2023-02-06,1125
2023-02-07,981
2023-02-08,944
2023-02-09,907
2023-02-10,1009
2023-02-11,984
2023-02-12,1181
2023-02-13,1128
2023-02-14,957
2023-02-15,1014
2023-02-16,955
2023-02-17,998
2023-02-18,991
2023-02-19,1172
2023-02-20,889
2023-02-21,829
2023-02-22,837
2023-02-23,931
2023-02-24,838
2023-02-25,1065
2023-02-26,1131
2023-02-27,920
2023-02-28,876
2023-03-01,934
2023-03-02,952
2023-03-03,881
2023-03-04,910
2023-03-05,936
2023-03-06,920
2023-03-07,667
2023-03-08,728
2023-03-09,805
2023-03-10,1163
2023-03-11,881
2023-03-12,923
2023-03-13,757
2023-03-14,717
2023-03-15,768
2023-03-16,812
2023-03-17,934
2023-03-18,989
2023-03-19,827
2023-03-20,1083
2023-03-21,1624
2023-03-22,1981
2023-03-23,2127
2023-03-24,2573
2023-03-25,2639
2023-03-26,2787
2023-03-27,2070
2023-03-28,2214
2023-03-29,2389
2023-03-30,2467
2023-03-31,2344
2023-04-01,3137
2023-04-02,3270
2023-04-03,2475
2023-04-04,2371
2023-04-05,2593
2023-04-06,2062
2023-04-07,2226
2023-04-08,2725
2023-04-09,2769
2023-04-10,2245
2023-04-11,2251
2023-04-12,2871
2023-04-13,2515
2023-04-14,2573
2023-04-15,3133
2023-04-16,1770
2023-04-17,1422
2023-04-18,820
2023-04-19,846
2023-04-20,916
2023-04-21,915
2023-04-22,918
2023-04-23,1075
2023-04-24,984
2023-04-25,901
2023-04-26,975
2023-04-27,1004
2023-04-28,959
2023-04-29,1114
2023-04-30,1077
2023-05-01,1039
2023-05-02,1113
2023-05-03,1231
2023-05-04,1380
2023-05-05,1302
2023-05-06,1148
2023-05-07,1318
2023-05-08,1289
2023-05-09,1293
2023-05-10,973
2023-05-11,1054
2023-05-12,1011
2023-05-13,1263
2023-05-14,1316
2023-05-15,1261
2023-05-16,1252
2023-05-17,1062
2023-05-18,1039
2023-05-19,1113
2023-05-20,1094
2023-05-21,1161
2023-05-22,1219
2023-05-23,1246
2023-05-24,961
2023-05-25,964
2023-05-26,1167
2023-05-27,998
2023-05-28,986
2023-05-30,986
2023-05-31,908
2023-06-01,876
2023-06-02,980
2023-06-03,973
2023-06-04,973
2023-06-05,930
2023-06-06,967
2023-06-07,1009
2023-06-08,934
2023-06-09,1174
2023-06-10,1075
2023-06-11,1040
2023-06-12,981
2023-06-13,1026
2023-06-14,904
2023-06-15,903
2023-06-16,918
2023-06-17,1151
2023-06-18,1223
2023-06-19,1287
2023-06-20,1727
2023-06-21,1789
2023-06-22,1525
2023-06-23,1670
2023-06-24,1662
2023-06-25,1509
2023-06-26,1602
2023-06-27,1765
2023-06-28,1651
2023-06-29,1904
2023-06-30,1733
2023-07-01,1721
2023-07-02,1626
2023-07-03,1955
2023-07-04,2128
2023-07-05,1579
2023-07-06,1776
2023-07-07,1634
2023-07-08,1639
2023-07-09,1748
2023-07-10,1848
2023-07-11,2058
2023-07-12,1916
2023-07-13,2235
2023-07-14,1985
2023-07-15,1795
2023-07-16,1835
2023-07-17,2130
2023-07-18,1890
2023-07-19,1615
2023-07-20,1667
2023-07-21,1835
2023-07-22,1984
2023-07-23,1651
2023-07-24,2032
2023-07-25,1832
2023-07-26,1591
2023-07-27,1604
2023-07-28,1604
2023-07-29,1644
2023-07-30,1710
2023-07-31,1750
2023-08-01,1750
2023-08-02,1811
2023-08-03,1685
2023-08-04,1710
2023-08-05,1719
2023-08-06,1754
2023-08-07,1926
2023-08-08,2062
2023-08-09,1721
2023-08-10,1773
2023-08-11,1852
2023-08-12,1653
2023-08-13,1702
2023-08-14,1893
2023-08-15,1926
2023-08-16,1626
2023-08-17,1837
2023-08-18,1844
2023-08-19,1710
2023-08-20,1834
2023-08-21,2090
2023-08-22,1849
2023-08-23,1436
2023-08-24,1007
2023-08-25,1237
2023-08-26,1211
2023-08-27,1172
2023-08-28,1178
2023-08-29,1154
2023-08-30,1087
2023-08-31,1265
2023-09-01,1419
2023-09-02,1285
2023-09-03,1270
2023-09-04,1397
2023-09-05,1392
2023-09-06,1132
2023-09-07,695
2023-09-08,760
2023-09-09,890
2023-09-10,987
2023-09-11,959
2023-09-12,1215
2023-09-13,957
