,Sales Rank
2022-12-14,170
2022-12-15,169
2022-12-16,175
2022-12-17,175
2022-12-18,177
2022-12-19,191
2022-12-20,204
2022-12-21,190
2022-12-22,166
2022-12-23,174
2022-12-24,159
2022-12-25,156
2022-12-26,158
2022-12-27,169
2022-12-28,165
2022-12-29,232
2022-12-30,452
2022-12-31,420
2023-01-01,431
2023-01-02,457
2023-01-03,430
2023-01-04,435
2023-01-05,458
2023-01-06,473
2023-01-07,454
2023-01-08,455
2023-01-09,456
2023-01-10,461
2023-01-11,483
2023-01-12,469
2023-01-13,441
2023-01-14,500
2023-01-15,624
2023-01-16,581
2023-01-17,599
2023-01-18,677
2023-01-19,743
2023-01-20,795
2023-01-21,728
2023-01-22,789
2023-01-23,757
2023-01-24,730
2023-01-25,642
2023-01-26,620
2023-01-27,611
2023-01-28,646
2023-01-29,641
2023-01-30,673
2023-01-31,655
2023-02-01,691
2023-02-02,652
2023-02-03,671
2023-02-04,683
2023-02-05,702
2023-02-06,754
2023-02-07,727
2023-02-08,857
2023-02-09,816
2023-02-10,746
2023-02-11,690
2023-02-12,696
2023-02-13,696
2023-02-14,633
2023-02-15,611
2023-02-16,607
2023-02-17,500
2023-02-18,453
2023-02-19,449
2023-02-20,474
2023-02-21,480
2023-02-22,485
2023-02-23,412
2023-02-24,425
2023-02-25,368
2023-02-26,410
2023-02-27,414
2023-02-28,419
2023-03-01,422
2023-03-02,404
2023-03-03,415
2023-03-04,399
2023-03-05,418
2023-03-06,424
2023-03-07,403
2023-03-08,442
2023-03-09,380
2023-03-10,408
2023-03-11,393
2023-03-12,390
2023-03-13,430
2023-03-14,423
2023-03-15,358
2023-03-16,409
2023-03-17,411
2023-03-18,303
2023-03-19,304
2023-03-20,343
2023-03-21,357
2023-03-22,358
2023-03-23,382
2023-03-24,399
2023-03-25,373
2023-03-26,386
2023-03-27,475
2023-03-28,436
2023-03-29,409
2023-03-30,413
2023-03-31,393
2023-04-01,344
2023-04-02,385
2023-04-03,437
2023-04-04,416
2023-04-05,382
2023-04-06,127
2023-04-07,128
2023-04-08,114
2023-04-09,100
2023-04-10,115
2023-04-11,108
2023-04-12,107
2023-04-13,116
2023-04-14,107
2023-04-15,96
2023-04-16,88
2023-04-17,102
2023-04-18,97
2023-04-19,77
2023-04-20,76
2023-04-21,80
2023-04-22,69
2023-04-23,71
2023-04-24,86
2023-04-25,70
2023-04-26,65
2023-04-27,66
2023-04-28,70
2023-04-29,60
2023-04-30,68
2023-05-01,82
2023-05-02,111
2023-05-03,127
2023-05-04,126
2023-05-05,106
2023-05-06,86
2023-05-07,71
2023-05-08,89
2023-05-09,91
2023-05-10,84
2023-05-11,84
2023-05-12,76
2023-05-13,63
2023-05-14,66
2023-05-15,67
2023-05-16,60
2023-05-17,64
2023-05-18,52
2023-05-19,45
2023-05-20,43
2023-05-21,48
2023-05-22,54
2023-05-23,53
2023-05-24,57
2023-05-25,197
2023-05-26,206
2023-05-27,213
2023-05-28,212
2023-05-30,237
2023-05-31,250
2023-06-01,225
2023-06-02,240
2023-06-03,251
2023-06-04,254
2023-06-05,260
2023-06-06,271
2023-06-07,261
2023-06-08,259
2023-06-09,251
2023-06-10,231
2023-06-11,245
2023-06-12,261
2023-06-13,271
2023-06-14,264
2023-06-15,267
2023-06-16,266
2023-06-17,235
2023-06-18,265
2023-06-19,273
2023-06-20,253
2023-06-21,243
2023-06-22,261
2023-06-23,282
2023-06-24,241
2023-06-25,247
2023-06-26,255
2023-06-27,256
2023-06-28,259
2023-06-29,229
2023-06-30,256
2023-07-01,221
2023-07-02,229
2023-07-03,264
2023-07-04,251
2023-07-05,261
2023-07-06,253
2023-07-07,230
2023-07-08,236
2023-07-09,236
2023-07-10,266
2023-07-11,479
2023-07-12,416
2023-07-13,371
2023-07-14,314
2023-07-15,279
2023-07-16,275
2023-07-17,272
2023-07-18,262
2023-07-19,290
2023-07-20,265
2023-07-21,259
2023-07-22,238
2023-07-23,251
2023-07-24,246
2023-07-25,250
2023-07-26,250
2023-07-27,235
2023-07-28,226
2023-07-29,218
2023-07-30,221
2023-07-31,232
2023-08-01,240
