,Sales Rank
2023-03-21,3812
2023-03-22,3925
2023-03-23,3608
2023-03-24,4438
2023-03-25,3684
2023-03-26,3298
2023-03-27,3288
2023-03-28,3189
2023-03-29,3301
2023-03-30,3192
2023-03-31,2864
2023-04-01,2948
2023-04-02,2830
2023-04-03,2621
2023-04-04,2483
2023-04-05,2627
2023-04-06,2340
2023-04-07,2570
2023-04-08,2792
2023-04-09,2461
2023-04-10,2622
2023-04-11,2416
2023-04-12,2114
2023-04-13,2690
2023-04-14,2295
2023-04-15,2147
2023-04-16,2201
2023-04-17,2527
2023-04-18,2122
2023-04-19,1876
2023-04-20,2199
2023-04-21,2051
2023-04-22,2076
2023-04-23,2304
2023-04-24,2334
2023-04-25,2068
2023-04-26,1957
2023-04-27,1960
2023-04-28,1809
2023-04-29,2033
2023-04-30,2157
2023-05-01,2279
2023-05-02,2193
2023-05-03,1986
2023-05-04,1769
2023-05-05,1637
2023-05-06,1482
2023-05-07,1396
2023-05-08,1610
2023-05-09,1743
2023-05-10,1640
2023-05-11,1728
2023-05-12,1676
2023-05-13,1753
2023-05-14,1990
2023-05-15,2037
2023-05-16,1709
2023-05-17,1904
2023-05-18,1527
2023-05-19,1535
2023-05-20,1623
2023-05-21,1724
2023-05-22,1656
2023-05-23,1641
2023-05-24,1680
2023-05-25,1390
2023-05-26,1693
2023-05-27,1524
2023-05-28,1653
2023-05-30,1624
2023-05-31,1607
2023-06-01,1640
2023-06-02,1618
2023-06-03,1378
2023-06-04,1592
2023-06-05,1531
2023-06-06,1460
2023-06-07,1427
2023-06-08,1413
2023-06-09,1303
2023-06-10,1552
2023-06-11,1398
2023-06-12,1391
2023-06-13,1422
2023-06-14,1426
2023-06-15,1511
2023-06-16,1467
2023-06-17,1336
2023-06-18,1365
2023-06-19,1437
2023-06-20,1443
2023-06-21,1593
2023-06-22,1482
2023-06-23,1536
2023-06-24,1393
2023-06-25,1449
2023-06-26,1421
2023-06-27,1396
2023-06-28,1254
2023-06-29,1166
2023-06-30,1445
2023-07-01,1281
2023-07-02,1416
2023-07-03,1624
2023-07-04,1463
2023-07-05,1244
2023-07-06,1363
2023-07-07,1334
2023-07-08,1291
2023-07-09,1448
2023-07-10,1623
2023-07-11,2001
2023-07-12,2046
2023-07-13,2149
2023-07-14,1756
2023-07-15,1624
2023-07-16,1770
2023-07-17,1808
2023-07-18,1743
2023-07-19,1673
2023-07-20,1522
2023-07-21,1535
2023-07-22,1360
2023-07-23,1537
2023-07-24,1604
2023-07-25,1627
2023-07-26,1519
2023-07-27,1395
2023-07-28,1252
2023-07-29,1220
2023-07-30,1334
2023-07-31,1398
2023-08-01,1410
2023-08-02,1328
2023-08-03,1365
2023-08-04,1247
2023-08-05,1282
2023-08-06,1333
2023-08-07,1403
2023-08-08,1451
2023-08-09,1400
2023-08-10,1408
2023-08-11,1573
2023-08-12,1531
2023-08-13,1591
2023-08-14,1755
