,Sales Rank
2022-12-14,287
2022-12-15,290
2022-12-16,315
2022-12-17,340
2022-12-18,357
2022-12-19,346
2022-12-20,326
2022-12-21,305
2022-12-22,279
2022-12-23,262
2022-12-24,255
2022-12-25,258
2022-12-26,217
2022-12-27,214
2022-12-28,229
2022-12-29,236
2022-12-30,235
2022-12-31,240
2023-01-01,248
2023-01-02,198
2023-01-03,211
2023-01-04,217
2023-01-05,204
2023-01-06,200
2023-01-07,207
2023-01-08,206
2023-01-09,208
2023-01-10,217
2023-01-11,215
2023-01-12,201
2023-01-13,192
2023-01-14,241
2023-01-15,281
2023-01-16,248
2023-01-17,254
2023-01-18,316
2023-01-19,284
2023-01-20,331
2023-01-21,377
2023-01-22,341
2023-01-23,315
2023-01-24,360
2023-01-25,317
2023-01-26,304
2023-01-27,301
2023-01-28,335
2023-01-29,343
2023-01-30,275
2023-01-31,331
2023-02-01,371
2023-02-02,337
2023-02-03,336
2023-02-04,365
2023-02-05,365
2023-02-06,315
2023-02-07,315
2023-02-08,257
2023-02-09,308
2023-02-10,319
2023-02-11,334
2023-02-12,349
2023-02-13,377
2023-02-14,366
2023-02-15,346
2023-02-16,345
2023-02-17,323
2023-02-18,396
2023-02-19,386
2023-02-20,385
2023-02-21,315
2023-02-22,336
2023-02-23,374
2023-02-24,361
2023-02-25,419
2023-02-26,411
2023-02-27,393
2023-02-28,370
2023-03-01,379
2023-03-02,417
2023-03-03,391
2023-03-04,429
2023-03-05,444
2023-03-06,434
2023-03-07,423
2023-03-08,409
2023-03-09,430
2023-03-10,430
2023-03-11,427
2023-03-12,438
2023-03-13,402
2023-03-14,444
2023-03-15,418
2023-03-16,327
2023-03-17,387
2023-03-18,408
2023-03-19,457
2023-03-20,409
2023-03-21,369
2023-03-22,417
2023-03-23,430
2023-03-24,426
2023-03-25,500
2023-03-26,492
2023-03-27,449
2023-03-28,418
2023-03-29,462
2023-03-30,455
2023-03-31,403
2023-04-01,459
2023-04-02,470
2023-04-03,450
2023-04-04,424
2023-04-05,415
2023-04-06,401
2023-04-07,437
2023-04-08,451
2023-04-09,478
2023-04-10,444
2023-04-11,455
2023-04-12,425
2023-04-13,431
2023-04-14,415
2023-04-15,481
2023-04-16,541
2023-04-17,446
2023-04-18,433
2023-04-19,398
2023-04-20,428
2023-04-21,453
2023-04-22,510
2023-04-23,473
2023-04-24,461
2023-04-25,416
2023-04-26,429
2023-04-27,412
2023-04-28,445
2023-04-29,472
2023-04-30,567
2023-05-01,481
2023-05-02,527
2023-05-03,535
2023-05-04,522
2023-05-05,470
2023-05-06,545
2023-05-07,546
2023-05-08,424
2023-05-09,434
2023-05-10,446
2023-05-11,445
2023-05-12,437
2023-05-13,523
2023-05-14,539
2023-05-15,434
2023-05-16,563
2023-05-17,457
2023-05-18,437
2023-05-19,467
2023-05-20,462
2023-05-21,489
2023-05-22,438
2023-05-23,441
2023-05-24,438
2023-05-25,446
2023-05-26,408
2023-05-27,463
2023-05-28,532
2023-05-30,386
2023-05-31,400
2023-06-01,407
2023-06-02,411
2023-06-03,436
2023-06-04,477
2023-06-05,460
2023-06-06,413
2023-06-07,448
2023-06-08,423
2023-06-09,383
2023-06-10,452
2023-06-11,513
2023-06-12,384
2023-06-13,399
2023-06-14,460
2023-06-15,380
2023-06-16,378
2023-06-17,433
2023-06-18,480
2023-06-19,399
2023-06-20,390
2023-06-21,460
2023-06-22,465
2023-06-23,467
2023-06-24,444
2023-06-25,452
2023-06-26,440
2023-06-27,438
2023-06-28,483
2023-06-29,488
2023-06-30,449
2023-07-01,564
2023-07-02,509
2023-07-03,464
2023-07-04,472
2023-07-05,476
2023-07-06,475
2023-07-07,451
2023-07-08,478
2023-07-09,524
2023-07-10,430
2023-07-11,703
2023-07-12,890
2023-07-13,803
2023-07-14,552
2023-07-15,587
2023-07-16,563
2023-07-17,473
2023-07-18,454
2023-07-19,499
2023-07-20,536
2023-07-21,470
2023-07-22,457
2023-07-23,517
2023-07-24,425
2023-07-25,416
2023-07-26,433
2023-07-27,431
2023-07-28,481
2023-07-29,540
2023-07-30,542
2023-07-31,501
2023-08-01,475
2023-08-02,466
2023-08-03,451
2023-08-04,469
2023-08-05,467
2023-08-06,501
2023-08-07,502
2023-08-08,451
2023-08-09,424
2023-08-10,459
2023-08-11,484
2023-08-12,501
2023-08-13,540
2023-08-14,413
2023-08-15,437
2023-08-16,435
2023-08-17,429
2023-08-18,461
2023-08-19,492
2023-08-20,576
2023-08-21,481
2023-08-22,465
2023-08-23,436
2023-08-24,451
2023-08-25,421
2023-08-26,492
2023-08-27,495
2023-08-28,455
2023-08-29,414
2023-08-30,458
2023-08-31,464
2023-09-01,446
2023-09-02,535
2023-09-03,562
2023-09-04,464
2023-09-05,469
2023-09-06,444
2023-09-07,433
2023-09-08,431
2023-09-09,463
2023-09-10,455
2023-09-11,382
2023-09-12,390
2023-09-13,381
2023-09-14,412
2023-09-15,433
2023-09-16,484
2023-09-17,6095
2023-09-18,3750
2023-09-19,4876
2023-09-20,4958
2023-09-21,4567
2023-09-22,4809
2023-09-23,5517
2023-09-24,4634
2023-09-25,4577
2023-09-26,4774
2023-09-27,5223
2023-09-28,5011
2023-09-29,1048
2023-09-30,1064
2023-10-01,1238
2023-10-02,1132
2023-10-03,1131
2023-10-04,1127
2023-10-05,605
2023-10-06,620
2023-10-07,649
2023-10-08,623
2023-10-09,512
2023-10-10,579
2023-10-11,1674
2023-10-12,1675
2023-10-13,1457
2023-10-14,1416
2023-10-15,1571
2023-10-16,1299
2023-10-17,1101
2023-10-18,1272
2023-10-19,1345
2023-10-20,1212
2023-10-21,1360
2023-10-22,1287
2023-10-23,1066
2023-10-24,1172
2023-10-25,1311
2023-10-26,1130
2023-10-27,1091
2023-10-28,1065
2023-10-29,1140
2023-10-30,1004
2023-10-31,1003
2023-11-01,4444
2023-11-02,5426
2023-11-03,5038
2023-11-04,5907
2023-11-05,6174
2023-11-06,7238
2023-11-07,6432
2023-11-08,6508
2023-11-09,6617
2023-11-10,5798
2023-11-11,6521
2023-11-12,6926
2023-11-13,5648
2023-11-14,6814
2023-11-15,6516
2023-11-16,6321
2023-11-17,5793
2023-11-18,6391
2023-11-19,7728
2023-11-20,6069
2023-11-21,7131
2023-11-22,6055
2023-11-23,5111
2023-11-24,6227
2023-11-25,7320
2023-11-26,6952
2023-11-27,7198
2023-11-28,6934
2023-11-29,5384
2023-11-30,5380
2023-12-01,5212
2023-12-02,5747
2023-12-03,5586
2023-12-04,5714
2023-12-05,5729
2023-12-06,5645
2023-12-07,286
2023-12-08,284
2023-12-09,348
2023-12-10,384
2023-12-11,306
2023-12-12,313
2023-12-13,327
2023-12-14,332
2023-12-15,346
2023-12-16,411
2023-12-17,444
2023-12-18,383
2023-12-19,383
2023-12-20,409
2023-12-21,367
2023-12-22,371
2023-12-23,335
2023-12-24,361
2023-12-25,243
2023-12-26,247
2023-12-27,262
2023-12-28,248
2023-12-29,265
2023-12-30,288
2023-12-31,291
2024-01-01,229
2024-01-02,238
2024-01-03,223
2024-01-04,233
2024-01-05,233
2024-01-06,270
2024-01-07,301
2024-01-08,203
2024-01-09,209
2024-01-10,232
2024-01-11,257
2024-01-12,222
2024-01-13,274
2024-01-14,295
2024-01-15,228
2024-01-16,228
2024-01-17,218
2024-01-18,243
2024-01-19,257
2024-01-20,232
2024-01-21,240
2024-01-22,206
2024-01-23,193
2024-01-24,250
2024-01-25,259
2024-01-26,264
2024-01-27,273
2024-01-28,266
2024-01-29,198
2024-01-30,219
2024-01-31,234
2024-02-01,229
2024-02-02,222
2024-02-03,229
2024-02-04,253
2024-02-05,215
2024-02-06,229
2024-02-07,182
2024-02-08,245
2024-02-09,252
2024-02-10,256
2024-02-11,286
2024-02-12,225
2024-02-13,218
2024-02-14,232
2024-02-15,224
2024-02-16,235
2024-02-17,249
2024-02-18,280
2024-02-19,243
2024-02-20,243
2024-02-21,255
2024-02-22,239
2024-02-23,223
2024-02-24,296
2024-02-25,315
2024-02-26,240
2024-02-27,237
2024-02-28,275
2024-02-29,253
2024-03-01,221
2024-03-02,257
2024-03-03,286
2024-03-04,218
2024-03-05,173
2024-03-06,206
2024-03-07,247
2024-03-08,217
2024-03-09,275
2024-03-10,289
2024-03-11,232
2024-03-12,190
2024-03-13,254
2024-03-14,225
2024-03-15,263
2024-03-16,234
2024-03-17,264
2024-03-18,236
2024-03-19,212
2024-03-20,224
2024-03-21,253
2024-03-22,236
2024-03-23,238
2024-03-24,278
2024-03-25,213
2024-03-26,202
2024-03-27,210
2024-03-28,238
2024-03-29,225
2024-03-30,252
2024-03-31,269
2024-04-01,206
2024-04-02,193
2024-04-03,216
2024-04-04,252
2024-04-05,231
2024-04-06,251
2024-04-07,272
2024-04-08,239
2024-04-09,236
2024-04-10,239
2024-04-11,255
2024-04-12,237
2024-04-13,230
2024-04-14,265
2024-04-15,243
2024-04-16,244
2024-04-17,235
2024-04-18,246
2024-04-19,269
2024-04-20,306
2024-04-21,302
2024-04-22,264
2024-04-23,244
2024-04-24,230
2024-04-25,246
2024-04-26,240
2024-04-27,268
2024-04-28,287
2024-04-29,252
2024-04-30,816
2024-05-01,852
2024-05-02,859
2024-05-03,809
2024-05-04,953
2024-05-05,1055
2024-05-06,965
2024-05-07,856
2024-05-08,953
2024-05-09,920
2024-05-10,879
2024-05-11,954
2024-05-12,1088
2024-05-13,808
2024-05-14,866
2024-05-15,843
2024-05-16,859
2024-05-17,865
2024-05-18,817
2024-05-19,885
2024-05-20,815
2024-05-21,1055
2024-05-22,642
2024-05-23,1265
2024-05-24,749
2024-05-25,905
2024-05-26,849
2024-05-27,786
2024-05-28,744
2024-05-29,982
2024-05-30,717
2024-05-31,840
2024-06-01,865
2024-06-02,927
2024-06-03,839
2024-06-04,769
2024-06-05,882
2024-06-06,834
2024-06-07,857
2024-06-08,946
2024-06-09,949
2024-06-10,900
2024-06-11,766
2024-06-12,812
2024-06-13,782
2024-06-14,812
2024-06-15,859
2024-06-16,957
2024-06-17,762
2024-06-18,732
2024-06-19,780
2024-06-20,718
2024-06-21,733
2024-06-22,866
2024-06-23,910
2024-06-24,763
2024-06-25,816
2024-06-26,790
2024-06-27,738
2024-06-28,730
2024-06-29,751
2024-06-30,690
2024-07-01,607
2024-07-02,699
2024-07-03,595
2024-07-04,995
2024-07-05,693
2024-07-06,584
2024-07-07,610
2024-07-08,624
2024-07-09,697
2024-07-10,692
2024-07-11,731
2024-07-12,705
2024-07-13,708
2024-07-14,750
2024-07-15,628
2024-07-16,237
2024-07-17,230
2024-07-18,264
2024-07-19,440
2024-07-20,525
2024-07-21,601
2024-07-22,619
2024-07-23,622
2024-07-24,636
2024-07-25,593
2024-07-26,615
2024-07-27,659
2024-07-28,770
2024-07-29,616
2024-07-30,614
2024-07-31,683
2024-08-01,672
2024-08-02,678
2024-08-03,743
2024-08-04,890
2024-08-05,737
2024-08-06,721
2024-08-07,727
2024-08-09,646
2024-08-10,733
2024-08-11,830
2024-08-12,652
2024-08-13,659
2024-08-14,660
2024-08-15,577
2024-08-16,620
2024-08-17,718
2024-08-18,763
2024-08-19,634
2024-08-20,659
2024-08-21,644
2024-08-22,234
2024-08-23,208
2024-08-24,239
2024-08-25,238
2024-08-26,198
2024-08-27,184
2024-08-28,197
2024-08-29,211
2024-08-30,230
2024-08-31,270
2024-09-01,286
2024-09-02,199
2024-09-03,193
2024-09-04,194
2024-09-05,161
2024-09-06,195
2024-09-07,220
2024-09-08,269
2024-09-09,208
2024-09-10,194
2024-09-11,192
2024-09-12,176
2024-09-13,257
2024-09-14,210
2024-09-15,262
2024-09-16,216
2024-09-17,197
2024-09-18,200
2024-09-19,215
2024-09-20,211
2024-09-21,232
2024-09-22,248
2024-09-23,200
2024-09-24,190
2024-09-25,214
2024-09-26,234
2024-09-27,186
2024-09-28,261
2024-09-29,261
2024-09-30,214
2024-10-01,175
2024-10-02,213
2024-10-03,226
2024-10-04,288
2024-10-05,270
2024-10-06,258
2024-10-07,219
2024-10-08,92
2024-10-09,85
2024-10-10,106
2024-10-11,137
2024-10-12,172
2024-10-13,195
2024-10-14,205
2024-10-15,275
2024-10-16,181
2024-10-17,231
2024-10-18,210
2024-10-19,252
2024-10-20,264
2024-10-21,206
2024-10-22,218
2024-10-23,235
2024-10-24,223
2024-10-25,207
2024-10-26,211
2024-10-27,257
2024-10-28,181
2024-10-29,199
2024-10-30,185
2024-10-31,206
2024-11-01,211
2024-11-02,238
2024-11-03,257
2024-11-04,217
2024-11-05,222
2024-11-06,223
2024-11-07,207
2024-11-08,204
2024-11-09,238
2024-11-10,282
2024-11-11,216
2024-11-12,201
2024-11-13,227
2024-11-14,236
2024-11-15,219
2024-11-16,264
2024-11-17,281
2024-11-18,220
2024-11-19,228
2024-11-20,234
2024-11-21,265
2024-11-22,272
2024-11-23,292
2024-11-24,315
2024-11-25,248
2024-11-26,251
2024-11-27,248
2024-11-28,228
2024-11-29,294
2024-11-30,336
2024-12-01,316
2024-12-02,283
2024-12-03,249
2024-12-04,263
2024-12-05,247
2024-12-06,234
2024-12-07,287
2024-12-08,301
2024-12-09,246
2024-12-10,266
2024-12-11,274
2024-12-12,274
2024-12-13,272
2024-12-14,311
2024-12-15,314
2024-12-16,263
2024-12-17,263
2024-12-18,274
2024-12-19,293
2024-12-20,305
2024-12-21,350
2024-12-22,351
2024-12-23,256
2024-12-24,237
2024-12-25,242
2024-12-26,209
2024-12-27,216
2024-12-28,250
2024-12-29,265
2024-12-30,218
2024-12-31,220
2025-01-01,246
2025-01-02,229
2025-01-03,224
2025-01-04,221
2025-01-05,267
2025-01-06,212
2025-01-07,190
2025-01-08,205
2025-01-09,220
2025-01-10,191
2025-01-11,212
