,Sales Rank
2022-12-14,264
2022-12-15,261
2022-12-16,278
2022-12-17,295
2022-12-18,316
2022-12-19,287
2022-12-20,305
2022-12-21,283
2022-12-22,256
2022-12-23,231
2022-12-24,236
2022-12-25,226
2022-12-26,207
2022-12-27,206
2022-12-28,212
2022-12-29,209
2022-12-30,204
2022-12-31,217
2023-01-01,212
2023-01-02,215
2023-01-03,218
2023-01-04,219
2023-01-05,231
2023-01-06,211
2023-01-07,216
2023-01-08,216
2023-01-09,216
2023-01-10,221
2023-01-11,232
2023-01-12,230
2023-01-13,214
2023-01-14,234
2023-01-15,215
2023-01-16,238
2023-01-17,239
2023-01-18,242
2023-01-19,229
2023-01-20,247
2023-01-21,238
2023-01-22,230
2023-01-23,206
2023-01-24,207
2023-01-25,224
2023-01-26,189
2023-01-27,211
2023-01-28,241
2023-01-29,235
2023-01-30,208
2023-01-31,191
2023-02-01,205
2023-02-02,216
2023-02-03,193
2023-02-04,220
2023-02-05,235
2023-02-06,232
2023-02-07,225
2023-02-08,249
2023-02-09,220
2023-02-10,230
2023-02-11,221
2023-02-12,220
2023-02-13,257
2023-02-14,257
2023-02-15,246
2023-02-16,245
2023-02-17,236
2023-02-18,241
2023-02-19,244
2023-02-20,232
2023-02-21,222
2023-02-22,224
2023-02-23,215
2023-02-24,208
2023-02-25,219
2023-02-26,236
2023-02-27,205
2023-02-28,224
2023-03-01,223
2023-03-02,214
2023-03-03,197
2023-03-04,217
2023-03-05,213
2023-03-06,180
2023-03-07,195
2023-03-08,202
2023-03-09,201
2023-03-10,194
2023-03-11,218
2023-03-12,222
2023-03-13,239
2023-03-14,240
2023-03-15,226
2023-03-16,248
2023-03-17,230
2023-03-18,263
2023-03-19,232
2023-03-20,252
2023-03-21,237
2023-03-22,228
2023-03-23,267
2023-03-24,277
2023-03-25,292
2023-03-26,305
2023-03-27,260
2023-03-28,237
2023-03-29,232
2023-03-30,233
2023-03-31,230
2023-04-01,252
2023-04-02,243
2023-04-03,242
2023-04-04,219
2023-04-05,225
2023-04-06,248
2023-04-07,235
2023-04-08,248
2023-04-09,252
2023-04-10,228
2023-04-11,241
2023-04-12,216
2023-04-13,223
2023-04-14,206
2023-04-15,226
2023-04-16,225
2023-04-17,212
2023-04-18,222
2023-04-19,207
2023-04-20,204
2023-04-21,230
2023-04-22,221
2023-04-23,202
2023-04-24,193
2023-04-25,216
2023-04-26,212
2023-04-27,202
2023-04-28,208
2023-04-29,232
2023-04-30,249
2023-05-01,215
2023-05-02,239
2023-05-03,262
2023-05-04,250
2023-05-05,231
2023-05-06,242
2023-05-07,232
2023-05-08,236
2023-05-09,226
2023-05-10,211
2023-05-11,204
2023-05-12,189
2023-05-13,211
2023-05-14,217
2023-05-15,198
2023-05-16,188
2023-05-17,213
2023-05-18,194
2023-05-19,200
2023-05-20,211
2023-05-21,216
2023-05-22,193
2023-05-23,191
2023-05-24,195
2023-05-25,194
2023-05-26,195
2023-05-27,191
2023-05-28,216
2023-05-31,199
2023-06-01,205
2023-06-02,199
2023-06-03,223
2023-06-04,212
2023-06-05,202
2023-06-06,205
2023-06-07,190
2023-06-08,195
2023-06-09,200
2023-06-10,198
2023-06-11,191
2023-06-12,202
2023-06-13,197
2023-06-14,197
2023-06-15,203
2023-06-16,219
2023-06-17,224
2023-06-18,217
2023-06-19,212
2023-06-20,199
2023-06-21,181
2023-06-22,187
2023-06-23,183
2023-06-24,174
2023-06-25,186
2023-06-26,185
2023-06-27,193
2023-06-28,206
2023-06-29,192
2023-06-30,185
2023-07-01,202
2023-07-02,204
2023-07-03,199
2023-07-04,199
2023-07-05,196
2023-07-06,189
2023-07-07,192
2023-07-08,204
2023-07-09,203
2023-07-10,208
2023-07-11,266
2023-07-12,321
2023-07-13,320
2023-07-14,239
2023-07-15,240
2023-07-16,224
2023-07-17,217
2023-07-18,213
2023-07-19,218
2023-07-20,201
2023-07-21,200
2023-07-22,212
2023-07-23,213
2023-07-24,198
2023-07-25,199
2023-07-26,203
2023-07-27,201
2023-07-28,180
2023-07-29,197
2023-07-30,204
2023-07-31,180
2023-08-01,179
2023-08-02,178
2023-08-03,185
2023-08-04,182
2023-08-05,180
2023-08-06,194
2023-08-07,195
2023-08-08,190
2023-08-09,189
2023-08-10,200
2023-08-11,187
2023-08-12,197
2023-08-13,213
2023-08-14,177
2023-08-15,172
2023-08-16,182
2023-08-17,185
2023-08-18,182
2023-08-19,199
2023-08-20,182
2023-08-21,172
2023-08-22,165
2023-08-23,171
2023-08-24,187
2023-08-25,179
2023-08-26,186
2023-08-27,192
2023-08-28,174
2023-08-29,195
2023-08-30,178
2023-08-31,184
2023-09-01,182
2023-09-02,187
2023-09-03,200
2023-09-04,180
2023-09-05,179
2023-09-06,196
2023-09-07,181
2023-09-08,173
2023-09-09,189
2023-09-10,188
2023-09-11,175
2023-09-12,180
2023-09-13,202
2023-09-14,188
2023-09-15,195
2023-09-16,215
2023-09-17,212
2023-09-18,198
2023-09-19,187
2023-09-20,217
2023-09-21,208
2023-09-22,203
2023-09-23,205
2023-09-24,202
2023-09-25,196
2023-09-26,180
2023-09-27,185
2023-09-28,193
2023-09-29,189
2023-09-30,191
2023-10-01,189
2023-10-02,177
2023-10-03,193
2023-10-04,205
2023-10-05,202
2023-10-06,192
2023-10-07,212
2023-10-08,211
