,Sales Rank
2022-12-14,111
2022-12-15,115
2022-12-16,133
2022-12-17,132
2022-12-18,144
2022-12-19,120
2022-12-20,142
2022-12-21,134
2022-12-22,122
2022-12-23,116
2022-12-24,108
2022-12-25,99
2022-12-26,98
2022-12-27,98
2022-12-28,100
2022-12-29,96
2022-12-30,93
2022-12-31,84
2023-01-01,73
2023-01-02,87
2023-01-03,80
2023-01-04,86
2023-01-05,82
2023-01-06,81
2023-01-07,80
2023-01-08,85
2023-01-09,83
2023-01-10,82
2023-01-11,85
2023-01-12,82
2023-01-13,80
2023-01-14,71
2023-01-15,64
2023-01-16,65
2023-01-17,62
2023-01-18,76
2023-01-19,75
2023-01-20,86
2023-01-21,69
2023-01-22,77
2023-01-23,76
2023-01-24,81
2023-01-25,87
2023-01-26,88
2023-01-27,109
2023-01-28,104
2023-01-29,97
2023-01-30,97
2023-01-31,95
2023-02-01,101
2023-02-02,94
2023-02-03,97
2023-02-04,104
2023-02-05,87
2023-02-06,85
2023-02-07,90
2023-02-08,89
2023-02-09,94
2023-02-10,98
2023-02-11,91
2023-02-12,88
2023-02-13,81
2023-02-14,89
2023-02-15,92
2023-02-16,92
2023-02-17,93
2023-02-18,97
2023-02-19,95
2023-02-20,103
2023-02-21,98
2023-02-22,111
2023-02-23,100
2023-02-24,103
2023-02-25,106
2023-02-26,106
2023-02-27,103
2023-02-28,99
2023-03-01,92
2023-03-02,84
2023-03-03,105
2023-03-04,103
2023-03-05,97
2023-03-06,87
2023-03-07,96
2023-03-08,104
2023-03-09,27
2023-03-10,25
2023-03-12,23
2023-03-13,24
2023-03-14,22
2023-03-15,19
2023-03-16,23
2023-03-17,23
2023-03-18,21
2023-03-19,23
2023-03-20,26
2023-03-21,26
2023-03-22,26
2023-03-23,25
2023-03-24,26
2023-03-25,25
2023-03-26,23
2023-03-27,30
2023-03-28,27
2023-03-29,25
2023-03-30,21
2023-03-31,20
2023-04-01,19
2023-04-02,25
2023-04-03,29
2023-04-04,25
2023-04-05,31
2023-04-06,29
2023-04-07,28
2023-04-08,27
2023-04-09,29
2023-04-10,22
2023-04-11,21
2023-04-12,17
2023-04-13,20
2023-04-14,17
2023-04-15,15
2023-04-16,17
2023-04-17,15
2023-04-18,11
2023-04-19,15
2023-04-20,17
2023-04-21,14
2023-04-22,18
2023-04-23,16
2023-04-24,15
2023-04-25,15
