,Sales Rank
2022-12-14,224
2022-12-15,215
2022-12-16,230
2022-12-17,257
2022-12-18,280
2022-12-19,270
2022-12-20,245
2022-12-21,239
2022-12-22,215
2022-12-23,198
2022-12-24,174
2022-12-25,158
2022-12-26,169
2022-12-27,163
2022-12-28,155
2022-12-29,162
2022-12-30,182
2022-12-31,194
2023-01-01,179
2023-01-02,177
2023-01-03,178
2023-01-04,178
2023-01-05,166
2023-01-06,161
2023-01-07,155
2023-01-08,155
2023-01-09,159
2023-01-10,163
2023-01-11,168
2023-01-12,159
2023-01-13,145
2023-01-14,183
2023-01-15,163
2023-01-16,104
2023-01-17,94
2023-01-18,139
2023-01-19,136
2023-01-20,135
2023-01-21,124
2023-01-22,140
2023-01-23,139
2023-01-24,158
2023-01-25,162
2023-01-26,165
2023-01-27,179
2023-01-28,217
2023-01-29,173
2023-01-30,147
2023-01-31,168
2023-02-01,145
2023-02-02,150
2023-02-03,151
2023-02-04,185
2023-02-05,246
2023-02-06,193
2023-02-07,176
2023-02-08,188
2023-02-09,198
2023-02-10,232
2023-02-11,258
2023-02-12,219
2023-02-13,175
2023-02-14,281
2023-02-15,241
2023-02-16,286
2023-02-17,308
2023-02-18,395
2023-02-19,414
2023-02-20,292
2023-02-21,209
2023-02-22,183
2023-02-23,226
2023-02-24,246
2023-02-25,297
2023-02-26,312
2023-02-27,258
2023-02-28,279
2023-03-01,281
2023-03-02,236
2023-03-03,261
2023-03-04,325
2023-03-05,349
2023-03-06,332
2023-03-07,316
2023-03-08,435
2023-03-09,459
2023-03-10,579
2023-03-11,633
2023-03-12,421
2023-03-13,323
2023-03-14,419
2023-03-15,339
2023-03-16,370
2023-03-17,350
2023-03-18,475
2023-03-19,584
2023-03-20,361
2023-03-21,277
2023-03-22,281
2023-03-23,295
2023-03-24,264
2023-03-25,285
2023-03-26,391
2023-03-27,244
2023-03-28,262
2023-03-29,258
2023-03-30,303
2023-03-31,313
2023-04-01,408
2023-04-02,460
2023-04-03,319
2023-04-04,340
2023-04-05,438
2023-04-06,505
2023-04-07,513
2023-04-08,584
2023-04-09,732
2023-04-10,488
2023-04-11,490
2023-04-12,594
2023-04-13,532
2023-04-14,355
2023-04-15,405
