,Sales Rank
2022-12-14,444
2022-12-15,408
2022-12-16,499
2022-12-17,497
2022-12-18,571
2022-12-19,553
2022-12-20,584
2022-12-21,610
2022-12-22,281
2022-12-23,319
2022-12-24,367
2022-12-25,352
2022-12-26,329
2022-12-27,320
2022-12-28,343
2022-12-29,370
2022-12-30,350
2022-12-31,488
2023-01-01,541
2023-01-02,524
2023-01-03,501
2023-01-04,436
2023-01-05,406
2023-01-06,382
2023-01-07,380
2023-01-08,321
2023-01-09,320
2023-01-10,322
2023-01-11,316
2023-01-12,367
2023-01-13,373
2023-01-14,619
2023-01-15,556
2023-01-16,504
2023-01-17,577
2023-01-18,739
2023-01-19,656
2023-01-20,221
2023-01-21,643
2023-01-22,187
2023-01-23,330
2023-01-24,465
2023-01-25,607
2023-01-26,457
2023-01-27,180
2023-01-28,404
2023-01-29,553
2023-01-30,473
2023-01-31,560
2023-02-01,423
2023-02-02,538
2023-02-03,242
2023-02-04,570
2023-02-05,547
2023-02-06,597
2023-02-07,429
2023-02-08,531
2023-02-09,422
2023-02-10,401
2023-02-11,506
2023-02-12,431
2023-02-13,341
2023-02-14,466
2023-02-15,460
2023-02-16,490
2023-02-17,567
2023-02-18,549
2023-02-19,591
2023-02-20,448
2023-02-21,380
2023-02-22,278
2023-02-23,278
2023-02-24,342
2023-02-25,421
2023-02-26,485
2023-02-27,224
2023-02-28,260
2023-03-01,303
2023-03-02,314
2023-03-03,317
2023-03-04,374
2023-03-05,441
2023-03-06,373
2023-03-07,288
2023-03-08,369
2023-03-09,249
2023-03-10,250
2023-03-11,452
2023-03-12,286
2023-03-13,173
2023-03-14,316
2023-03-15,401
2023-03-16,366
2023-03-17,345
2023-03-18,418
2023-03-19,505
2023-03-20,433
2023-03-21,392
2023-03-22,332
2023-03-23,351
2023-03-24,351
2023-03-25,351
2023-03-26,343
2023-03-27,250
2023-03-28,301
2023-03-29,267
2023-03-30,395
2023-03-31,382
2023-04-01,461
2023-04-02,568
2023-04-03,185
2023-04-04,207
2023-04-05,251
2023-04-06,335
2023-04-07,376
2023-04-08,525
2023-04-09,559
2023-04-10,392
2023-04-11,375
2023-04-12,382
2023-04-13,434
2023-04-14,377
2023-04-15,489
2023-04-16,519
2023-04-17,377
2023-04-18,395
