,Sales Rank
2022-12-14,293
2022-12-15,297
2022-12-16,286
2022-12-17,299
2022-12-18,322
2022-12-19,336
2022-12-20,342
2022-12-21,342
2022-12-22,327
2022-12-23,299
2022-12-24,287
2022-12-25,252
2022-12-26,245
2022-12-27,223
2022-12-28,226
2022-12-29,228
2022-12-30,205
2022-12-31,229
2023-01-01,238
2023-01-02,235
2023-01-03,227
2023-01-04,240
2023-01-05,234
2023-01-06,224
2023-01-07,230
2023-01-08,221
2023-01-09,220
2023-01-10,222
2023-01-11,226
2023-01-12,214
2023-01-13,212
2023-01-14,227
2023-01-15,233
2023-01-16,273
2023-01-17,259
2023-01-18,229
2023-01-19,250
2023-01-20,233
2023-01-21,236
2023-01-22,277
2023-01-23,226
2023-01-24,247
2023-01-25,216
2023-01-26,184
2023-01-27,223
2023-01-28,215
2023-01-29,217
2023-01-30,228
2023-01-31,236
2023-02-01,234
2023-02-02,237
2023-02-03,209
2023-02-04,226
2023-02-05,242
2023-02-06,210
2023-02-07,240
2023-02-08,220
2023-02-09,222
2023-02-10,212
2023-02-11,220
2023-02-12,225
2023-02-13,219
2023-02-14,210
2023-02-15,237
2023-02-16,237
2023-02-17,208
2023-02-18,227
2023-02-19,255
2023-02-20,193
2023-02-21,184
2023-02-22,188
2023-02-23,190
2023-02-24,203
2023-02-25,212
2023-02-26,222
2023-02-27,178
2023-02-28,157
2023-03-01,173
2023-03-02,177
2023-03-03,158
2023-03-04,161
2023-03-05,193
2023-03-06,181
2023-03-07,153
2023-03-08,172
2023-03-09,181
2023-03-10,171
2023-03-11,176
2023-03-12,184
2023-03-13,183
2023-03-14,165
2023-03-15,177
2023-03-16,169
2023-03-17,173
2023-03-18,167
2023-03-19,170
2023-03-20,159
2023-03-21,176
2023-03-22,170
2023-03-23,180
2023-03-24,149
2023-03-25,169
2023-03-26,191
2023-03-27,181
2023-03-28,165
2023-03-29,178
2023-03-30,157
2023-03-31,141
2023-04-01,158
2023-04-02,170
2023-04-03,163
2023-04-04,160
2023-04-05,163
2023-04-06,172
2023-04-07,170
