,Sales Rank
2022-12-14,930
2022-12-15,980
2022-12-16,1002
2022-12-17,982
2022-12-18,966
2022-12-19,932
2022-12-20,921
2022-12-21,874
2022-12-22,842
2022-12-23,907
2022-12-24,1015
2022-12-25,1037
2022-12-26,1085
2022-12-27,970
2022-12-28,1055
2022-12-29,1006
2022-12-30,1069
2022-12-31,956
2023-01-01,987
2023-01-02,936
2023-01-03,963
2023-01-04,958
2023-01-05,963
2023-01-06,936
2023-01-07,936
2023-01-08,946
2023-01-09,926
2023-01-10,926
2023-01-11,931
2023-01-12,925
2023-01-13,889
2023-01-14,740
2023-01-15,796
2023-01-16,854
2023-01-17,788
2023-01-18,803
2023-01-19,833
2023-01-20,901
2023-01-21,796
2023-01-22,808
2023-01-23,848
2023-01-24,792
2023-01-25,813
2023-01-26,827
2023-01-27,828
2023-01-28,844
2023-01-29,798
2023-01-30,817
2023-01-31,905
2023-02-01,866
2023-02-02,819
2023-02-03,841
2023-02-04,839
2023-02-05,824
2023-02-06,863
2023-02-07,849
2023-02-08,817
2023-02-09,785
2023-02-10,851
2023-02-11,819
2023-02-12,755
2023-02-13,838
2023-02-14,811
2023-02-15,795
2023-02-16,962
2023-02-17,939
2023-02-18,974
2023-02-19,931
2023-02-20,767
2023-02-21,768
2023-02-22,665
2023-02-23,640
2023-02-24,606
2023-02-25,626
2023-02-26,633
2023-02-27,688
2023-02-28,621
2023-03-01,615
2023-03-02,674
2023-03-03,667
2023-03-04,769
2023-03-05,641
2023-03-06,669
2023-03-07,710
2023-03-08,615
2023-03-09,680
2023-03-10,748
2023-03-11,681
2023-03-12,709
2023-03-13,677
2023-03-14,648
2023-03-15,683
2023-03-16,687
2023-03-17,685
2023-03-18,663
2023-03-19,593
2023-03-20,627
2023-03-21,657
2023-03-22,625
2023-03-23,601
2023-03-24,362
2023-03-25,462
2023-03-26,481
2023-03-27,591
2023-03-28,613
2023-03-29,702
2023-03-30,715
2023-03-31,737
2023-04-01,667
2023-04-02,626
2023-04-03,569
2023-04-04,561
2023-04-05,603
2023-04-06,547
2023-04-07,586
2023-04-08,608
2023-04-09,628
2023-04-10,667
2023-04-11,685
2023-04-12,605
2023-04-13,693
2023-04-14,642
2023-04-15,609
2023-04-16,643
2023-04-17,676
2023-04-18,642
2023-04-19,578
2023-04-20,586
2023-04-21,569
2023-04-22,539
2023-04-23,569
2023-04-24,622
2023-04-25,576
2023-04-26,589
2023-04-27,552
2023-04-28,368
2023-04-29,497
2023-04-30,696
2023-05-01,615
2023-05-02,666
2023-05-03,680
2023-05-04,661
2023-05-05,671
2023-05-06,674
2023-05-07,691
2023-05-08,648
2023-05-09,641
2023-05-10,619
2023-05-11,649
2023-05-12,626
2023-05-13,708
2023-05-14,685
2023-05-15,700
2023-05-16,739
2023-05-17,571
2023-05-18,490
2023-05-19,483
2023-05-20,407
2023-05-21,295
2023-05-22,360
2023-05-23,400
2023-05-24,445
2023-05-25,518
2023-05-26,542
2023-05-27,496
2023-05-28,557
2023-05-31,584
2023-06-01,673
2023-06-02,820
2023-06-03,1126
2023-06-04,1109
2023-06-05,1245
2023-06-06,1233
2023-06-07,1306
2023-06-08,1353
2023-06-09,1249
2023-06-10,1412
2023-06-11,1478
2023-06-12,1365
2023-06-13,1381
2023-06-14,1331
2023-06-15,1305
2023-06-16,1350
2023-06-17,1424
2023-06-18,1311
2023-06-19,1399
2023-06-20,1308
2023-06-21,435
2023-06-22,638
2023-06-23,636
2023-06-24,651
2023-06-25,668
2023-06-26,694
2023-06-27,631
2023-06-28,628
2023-06-29,667
2023-06-30,745
2023-07-01,644
2023-07-02,725
2023-07-03,697
2023-07-04,713
2023-07-05,648
2023-07-06,680
2023-07-07,684
2023-07-08,757
2023-07-09,696
2023-07-10,728
2023-07-11,754
2023-07-12,705
2023-07-13,722
2023-07-14,729
2023-07-15,775
2023-07-16,782
2023-07-17,709
2023-07-18,748
2023-07-19,664
2023-07-20,600
2023-07-21,699
2023-07-22,713
2023-07-23,621
2023-07-24,677
2023-07-25,640
2023-07-26,688
2023-07-27,716
2023-07-28,753
2023-07-29,761
2023-07-30,710
2023-07-31,713
2023-08-02,701
2023-08-03,710
2023-08-04,765
2023-08-05,725
2023-08-07,706
2023-08-08,696
2023-08-09,701
2023-08-10,709
2023-08-11,671
2023-08-12,688
2023-08-13,701
2023-08-14,750
2023-08-15,740
2023-08-16,717
2023-08-17,748
2023-08-18,709
2023-08-19,710
2023-08-20,708
2023-08-21,680
2023-08-22,678
2023-08-23,716
2023-08-24,606
2023-08-25,667
2023-08-26,596
2023-08-27,622
2023-08-28,607
2023-08-29,589
2023-08-30,644
2023-08-31,629
2023-09-01,667
2023-09-02,639
2023-09-03,736
2023-09-04,691
2023-09-05,649
2023-09-06,610
2023-09-07,622
2023-09-08,733
2023-09-09,742
2023-09-10,690
2023-09-11,668
2023-09-12,684
2023-09-13,657
2023-09-14,722
2023-09-15,644
2023-09-16,720
2023-09-17,666
2023-09-18,724
2023-09-19,628
2023-09-20,624
2023-09-21,713
2023-09-22,689
2023-09-23,685
2023-09-24,657
2023-09-25,635
2023-09-26,627
2023-09-27,588
2023-09-28,615
2023-09-29,630
2023-09-30,667
2023-10-01,704
2023-10-02,622
2023-10-03,618
2023-10-04,596
2023-10-05,602
2023-10-06,645
2023-10-07,646
2023-10-08,678
2023-10-09,705
2023-10-10,670
2023-10-11,658
2023-10-12,716
2023-10-13,658
2023-10-14,619
2023-10-15,606
2023-10-16,632
2023-10-17,747
2023-10-18,659
2023-10-19,677
2023-10-20,664
2023-10-21,566
2023-10-22,638
2023-10-23,584
2023-10-24,610
2023-10-25,561
2023-10-26,643
2023-10-27,631
2023-10-28,597
2023-10-29,573
2023-10-30,615
2023-10-31,580
2023-11-01,716
2023-11-02,778
2023-11-03,776
2023-11-04,768
2023-11-05,799
2023-11-06,790
2023-11-07,778
2023-11-08,747
2023-11-09,761
2023-11-10,795
2023-11-11,805
2023-11-12,806
2023-11-13,836
2023-11-14,821
2023-11-15,780
2023-11-16,801
2023-11-17,809
2023-11-18,885
2023-11-19,928
2023-11-20,903
2023-11-21,830
2023-11-22,824
2023-11-23,928
2023-11-24,1094
2023-11-25,1215
2023-11-26,1074
2023-11-27,1120
2023-11-28,1237
2023-11-29,1023
2023-11-30,1005
2023-12-01,906
2023-12-02,901
2023-12-03,792
2023-12-04,745
2023-12-05,796
2023-12-06,762
2023-12-07,732
2023-12-08,775
2023-12-09,770
2023-12-10,800
2023-12-11,859
2023-12-12,841
2023-12-13,797
2023-12-14,859
2023-12-15,831
2023-12-16,826
2023-12-17,897
2023-12-18,808
2023-12-19,813
2023-12-20,803
2023-12-21,845
2023-12-22,841
2023-12-23,902
2023-12-24,899
2023-12-25,866
2023-12-26,797
2023-12-27,825
2023-12-28,886
2023-12-29,838
2023-12-30,893
2023-12-31,944
2024-01-01,826
2024-01-02,795
2024-01-03,917
2024-01-04,880
2024-01-05,793
2024-01-06,868
2024-01-07,830
2024-01-08,782
2024-01-09,785
2024-01-10,848
2024-01-11,820
2024-01-12,935
2024-01-13,864
2024-01-14,835
2024-01-15,804
2024-01-16,863
2024-01-17,773
2024-01-18,804
2024-01-19,830
2024-01-20,773
2024-01-21,748
2024-01-22,775
2024-01-23,820
2024-01-24,845
2024-01-25,803
2024-01-26,861
2024-01-27,792
2024-01-28,825
2024-01-29,795
2024-01-30,719
2024-01-31,763
2024-02-01,720
2024-02-02,757
2024-02-03,807
2024-02-04,748
2024-02-05,773
2024-02-06,739
2024-02-07,717
2024-02-08,724
2024-02-09,715
2024-02-10,744
2024-02-11,733
2024-02-12,736
2024-02-13,746
2024-02-14,702
2024-02-15,783
2024-02-16,803
2024-02-17,781
2024-02-18,798
2024-02-19,822
2024-02-20,734
2024-02-21,730
2024-02-22,772
2024-02-23,800
2024-02-24,680
2024-02-25,696
2024-02-26,738
2024-02-27,804
2024-02-28,747
2024-02-29,793
2024-03-01,781
2024-03-02,779
2024-03-03,790
2024-03-04,730
2024-03-05,741
2024-03-06,774
2024-03-07,704
2024-03-08,799
2024-03-09,734
2024-03-10,810
2024-03-11,813
2024-03-12,833
2024-03-13,822
2024-03-14,769
2024-03-15,799
2024-03-16,882
2024-03-17,866
2024-03-18,882
2024-03-19,763
2024-03-20,752
2024-03-21,787
2024-03-22,757
2024-03-23,720
2024-03-24,847
2024-03-25,788
2024-03-26,851
2024-03-27,814
2024-03-28,781
2024-03-29,801
2024-03-30,802
2024-03-31,819
2024-04-01,738
2024-04-02,789
2024-04-03,775
2024-04-04,777
2024-04-05,746
2024-04-06,862
2024-04-07,795
2024-04-08,737
2024-04-09,730
2024-04-10,754
2024-04-11,723
2024-04-12,705
2024-04-13,657
2024-04-14,742
2024-04-15,734
2024-04-16,837
2024-04-17,798
2024-04-18,832
2024-04-19,845
2024-04-20,744
2024-04-21,743
2024-04-22,767
2024-04-23,738
2024-04-24,793
2024-04-25,745
2024-04-26,799
2024-04-27,838
2024-04-28,790
2024-04-29,836
2024-04-30,739
2024-05-01,805
2024-05-02,747
2024-05-03,840
2024-05-04,819
2024-05-05,773
2024-05-06,727
2024-05-07,777
2024-05-08,838
2024-05-09,748
2024-05-10,737
2024-05-11,768
2024-05-12,796
2024-05-13,806
2024-05-14,687
2024-05-15,679
2024-05-16,709
2024-05-17,706
2024-05-18,776
2024-05-19,736
2024-05-20,720
2024-05-21,717
2024-05-22,776
2024-05-23,772
2024-05-24,755
2024-05-25,757
2024-05-26,802
2024-05-27,821
2024-05-28,747
2024-05-29,692
2024-05-30,726
2024-05-31,753
2024-06-01,803
2024-06-02,725
2024-06-03,780
2024-06-04,710
2024-06-05,731
2024-06-06,775
2024-06-07,761
2024-06-08,778
2024-06-09,754
2024-06-10,750
2024-06-11,734
2024-06-12,730
2024-06-13,791
2024-06-14,768
2024-06-15,816
2024-06-16,848
2024-06-17,740
2024-06-18,818
2024-06-19,762
2024-06-20,813
2024-06-21,766
2024-06-22,839
2024-06-23,784
2024-06-24,705
2024-06-25,727
2024-06-26,800
2024-06-27,826
2024-06-28,890
2024-06-29,818
2024-06-30,871
2024-07-01,879
2024-07-02,788
2024-07-03,779
2024-07-04,764
2024-07-05,752
2024-07-06,750
2024-07-07,795
2024-07-08,702
2024-07-09,751
2024-07-10,762
2024-07-11,726
2024-07-12,769
2024-07-13,805
2024-07-14,792
2024-07-15,806
2024-07-16,864
2024-07-17,950
2024-07-18,917
2024-07-19,887
2024-07-20,827
2024-07-21,879
2024-07-22,818
2024-07-23,803
2024-07-24,836
2024-07-25,853
2024-07-26,852
2024-07-27,864
2024-07-28,821
2024-07-29,789
2024-07-30,771
2024-07-31,756
2024-08-01,801
2024-08-02,887
2024-08-03,837
2024-08-04,847
2024-08-05,853
2024-08-06,871
2024-08-07,845
2024-08-09,789
2024-08-10,802
2024-08-11,837
2024-08-12,855
2024-08-13,759
2024-08-14,819
2024-08-15,863
2024-08-16,778
2024-08-17,808
2024-08-18,802
2024-08-19,796
2024-08-20,776
2024-08-21,832
2024-08-22,769
2024-08-23,738
2024-08-24,807
2024-08-25,749
2024-08-26,705
2024-08-27,798
2024-08-28,783
2024-08-29,807
2024-08-30,836
2024-08-31,848
2024-09-01,866
2024-09-02,808
2024-09-03,823
2024-09-04,816
2024-09-05,901
2024-09-06,842
2024-09-07,884
2024-09-08,854
2024-09-09,873
2024-09-10,811
2024-09-11,816
2024-09-12,873
2024-09-13,938
2024-09-14,815
2024-09-15,897
2024-09-16,903
2024-09-17,896
2024-09-18,850
2024-09-19,870
2024-09-20,912
2024-09-21,849
2024-09-22,800
2024-09-23,774
2024-09-24,615
2024-09-25,560
2024-09-26,615
2024-09-27,627
2024-09-28,667
2024-09-29,694
2024-09-30,740
