,Sales Rank
2022-12-14,729
2022-12-15,665
2022-12-16,732
2022-12-17,741
2022-12-18,738
2022-12-19,675
2022-12-20,732
2022-12-21,780
2022-12-22,824
2022-12-23,845
2022-12-24,894
2022-12-25,769
2022-12-26,807
2022-12-27,738
2022-12-28,707
2022-12-29,879
2022-12-30,947
2022-12-31,885
2023-01-01,859
2023-01-02,984
2023-01-03,849
2023-01-04,861
2023-01-05,897
2023-01-06,909
2023-01-07,864
2023-01-08,835
2023-01-09,824
2023-01-10,781
2023-01-11,777
2023-01-12,728
2023-01-13,760
2023-01-14,710
2023-01-15,604
2023-01-16,611
2023-01-17,627
2023-01-18,618
2023-01-19,525
2023-01-20,602
2023-01-21,533
2023-01-22,532
2023-01-23,537
2023-01-24,539
2023-01-25,509
2023-01-26,538
2023-01-27,395
2023-01-28,396
2023-01-29,350
2023-01-30,355
2023-01-31,363
2023-02-01,364
2023-02-02,366
2023-02-03,381
2023-02-04,387
2023-02-05,382
2023-02-06,420
2023-02-07,502
2023-02-08,471
2023-02-09,464
2023-02-10,473
2023-02-11,417
2023-02-12,414
2023-02-13,472
2023-02-14,469
2023-02-15,476
2023-02-16,457
2023-02-17,484
2023-02-18,436
2023-02-19,440
2023-02-20,447
2023-02-21,443
2023-02-23,1235
2023-02-24,782
2023-02-25,864
2023-02-26,994
2023-02-27,504
2023-02-28,248
2023-03-01,355
2023-03-02,432
2023-03-03,531
2023-03-04,489
2023-03-05,544
2023-03-06,513
2023-03-07,501
2023-03-08,436
2023-03-09,436
2023-03-10,464
2023-03-11,435
2023-03-12,438
2023-03-13,471
2023-03-14,408
2023-03-15,446
2023-03-16,465
2023-03-17,468
2023-03-18,441
2023-03-19,388
2023-03-20,513
2023-03-21,513
2023-03-22,456
2023-03-23,535
2023-03-24,412
2023-03-25,460
2023-03-26,401
2023-03-27,439
2023-03-28,462
2023-03-29,429
2023-03-30,475
2023-03-31,437
2023-04-01,395
2023-04-02,451
2023-04-03,482
2023-04-04,476
2023-04-05,493
2023-04-06,468
2023-04-07,566
2023-04-08,594
2023-04-09,580
2023-04-10,531
2023-04-11,642
2023-04-12,688
2023-04-13,723
2023-04-14,775
2023-04-15,744
2023-04-16,725
2023-04-17,704
2023-04-18,687
2023-04-19,613
2023-04-20,663
2023-04-21,687
2023-04-22,720
2023-04-23,733
2023-04-24,633
2023-04-25,672
2023-04-26,596
2023-04-27,644
2023-04-28,646
2023-04-29,641
2023-04-30,691
2023-05-01,726
2023-05-02,510
2023-05-03,426
2023-05-04,426
2023-05-05,469
2023-05-06,507
2023-05-07,599
2023-05-08,651
2023-05-09,685
2023-05-10,708
2023-05-11,732
2023-05-12,672
2023-05-13,709
2023-05-14,671
2023-05-15,698
2023-05-16,734
2023-05-17,756
2023-05-18,781
2023-05-19,712
2023-05-20,739
2023-05-21,695
2023-05-22,721
2023-05-23,676
2023-05-24,741
2023-05-25,710
2023-05-26,677
2023-05-27,761
2023-05-28,679
2023-05-30,672
2023-05-31,658
2023-06-01,644
2023-06-02,645
2023-06-03,662
2023-06-04,652
2023-06-05,641
2023-06-06,615
2023-06-07,683
2023-06-08,734
2023-06-09,663
2023-06-10,699
2023-06-11,697
2023-06-12,683
2023-06-13,649
2023-06-14,679
2023-06-15,668
2023-06-16,260
2023-06-17,267
2023-06-18,294
2023-06-19,255
2023-06-20,653
2023-06-21,665
2023-06-22,726
2023-06-23,707
2023-06-24,666
2023-06-25,745
2023-06-26,710
2023-06-27,688
2023-06-28,978
2023-06-29,808
2023-06-30,737
2023-07-01,769
2023-07-02,787
2023-07-03,778
2023-07-04,767
2023-07-05,737
2023-07-06,811
2023-07-07,915
2023-07-08,797
2023-07-09,835
2023-07-10,883
2023-07-11,129
2023-07-12,155
2023-07-13,214
2023-07-14,319
2023-07-15,447
2023-07-16,567
2023-07-17,629
2023-07-18,682
2023-07-19,659
2023-07-20,727
2023-07-21,682
2023-07-22,680
2023-07-23,829
2023-07-24,814
2023-07-25,813
2023-07-26,778
2023-07-27,746
2023-07-28,806
