,Sales Rank
2022-12-14,666
2022-12-15,721
2022-12-16,752
2022-12-17,738
2022-12-18,782
2022-12-19,788
2022-12-20,779
2022-12-21,789
2022-12-22,787
2022-12-23,709
2022-12-24,650
2022-12-25,673
2022-12-26,673
2022-12-27,704
2022-12-28,697
2022-12-29,719
2022-12-30,574
2022-12-31,605
2023-01-01,649
2023-01-02,616
2023-01-03,561
2023-01-04,523
2023-01-05,536
2023-01-06,313
2023-01-07,304
2023-01-08,303
2023-01-09,310
2023-01-10,314
2023-01-11,309
2023-01-12,309
2023-01-13,319
2023-01-14,359
2023-01-15,360
2023-01-16,387
2023-01-17,340
2023-01-18,351
2023-01-19,349
2023-01-20,353
2023-01-21,363
2023-01-22,391
2023-01-23,384
2023-01-24,419
2023-01-25,393
2023-01-26,443
2023-01-27,413
2023-01-28,383
2023-01-29,424
2023-01-30,369
2023-01-31,340
2023-02-01,358
2023-02-02,338
2023-02-03,369
2023-02-04,350
2023-02-05,386
2023-02-06,374
2023-02-07,386
2023-02-08,397
2023-02-09,368
2023-02-10,364
2023-02-11,374
2023-02-12,336
2023-02-13,300
2023-02-14,352
2023-02-15,364
2023-02-16,340
2023-02-17,353
2023-02-18,342
2023-02-19,317
2023-02-20,318
2023-02-21,321
2023-02-22,289
2023-02-23,278
2023-02-24,288
2023-02-25,275
2023-02-26,378
2023-02-27,327
2023-02-28,312
2023-03-01,275
2023-03-02,293
2023-03-03,272
2023-03-04,251
2023-03-05,270
2023-03-06,317
2023-03-07,308
2023-03-08,316
2023-03-09,349
2023-03-10,368
2023-03-11,363
2023-03-12,376
2023-03-13,392
2023-03-14,351
2023-03-15,390
2023-03-16,391
2023-03-17,377
2023-03-18,378
2023-03-19,382
2023-03-20,446
2023-03-21,425
2023-03-22,363
2023-03-23,390
2023-03-24,335
2023-03-25,348
2023-03-26,366
2023-03-27,365
2023-03-28,358
2023-03-29,322
2023-03-30,323
2023-03-31,299
2023-04-01,273
2023-04-02,305
2023-04-03,281
2023-04-04,273
2023-04-05,240
2023-04-06,247
2023-04-07,1537
2023-04-08,267
2023-04-09,280
2023-04-10,258
2023-04-11,262
2023-04-12,251
2023-04-13,244
2023-04-14,239
2023-04-15,205
2023-04-16,207
2023-04-17,242
2023-04-18,230
2023-04-19,239
2023-04-20,227
2023-04-21,212
2023-04-22,203
2023-04-23,208
2023-04-24,232
2023-04-25,223
2023-04-26,253
2023-04-27,440
2023-04-28,294
2023-04-29,224
2023-04-30,257
2023-05-01,2219
2023-05-02,2179
2023-05-03,2133
2023-05-04,2620
2023-05-05,3118
2023-05-06,2977
2023-05-07,2863
2023-05-08,2562
2023-05-09,2572
2023-05-10,2397
2023-05-11,2503
2023-05-12,2538
2023-05-13,2471
2023-05-14,2034
2023-05-15,2465
2023-05-16,2099
2023-05-17,1823
2023-05-18,1963
2023-05-19,2253
2023-05-20,2160
2023-05-21,2308
2023-05-22,2333
2023-05-23,2223
2023-05-24,2129
2023-05-25,2286
2023-05-26,2459
2023-05-27,2431
2023-05-28,2338
2023-05-30,2338
2023-05-31,2157
2023-06-01,1965
2023-06-02,2013
2023-06-03,1889
2023-06-04,2134
2023-06-05,2302
2023-06-06,2198
2023-06-07,2170
2023-06-08,2168
2023-06-09,1933
2023-06-10,1976
2023-06-11,2180
2023-06-12,2187
2023-06-13,1972
2023-06-14,2105
2023-06-15,2119
2023-06-16,1638
2023-06-17,2166
2023-06-18,2492
2023-06-19,3188
2023-06-20,2507
2023-06-21,2184
2023-06-22,2306
2023-06-23,2414
2023-06-24,2235
2023-06-25,2102
2023-06-26,2199
2023-06-27,2616
2023-06-28,2525
2023-06-29,2470
2023-06-30,1837
2023-07-01,1906
2023-07-02,274
2023-07-03,269
2023-07-04,264
2023-07-05,330
2023-07-06,286
2023-07-07,273
2023-07-08,281
2023-07-09,282
2023-07-10,304
2023-07-11,184
2023-07-12,206
2023-07-13,316
2023-07-14,269
2023-07-15,227
2023-07-16,262
2023-07-17,278
2023-07-18,264
2023-07-19,279
2023-07-20,303
2023-07-21,318
2023-07-22,284
2023-07-23,289
2023-07-24,298
2023-07-25,296
2023-07-26,294
2023-07-27,288
2023-07-28,282
2023-07-29,287
2023-07-30,292
2023-07-31,273
2023-08-01,301
2023-08-02,248
2023-08-03,264
2023-08-04,238
2023-08-05,242
2023-08-06,234
2023-08-07,265
2023-08-08,278
2023-08-09,283
2023-08-10,268
2023-08-11,299
2023-08-12,281
2023-08-13,304
2023-08-14,300
2023-08-15,284
2023-08-16,263
2023-08-17,273
2023-08-18,270
2023-08-19,249
2023-08-20,272
2023-08-21,270
2023-08-22,252
2023-08-23,251
2023-08-24,286
2023-08-25,254
2023-08-26,243
2023-08-27,247
2023-08-28,287
2023-08-29,279
2023-08-30,281
2023-08-31,240
2023-09-01,231
2023-09-02,225
2023-09-03,233
2023-09-04,242
2023-09-05,249
2023-09-06,250
2023-09-07,270
2023-09-08,248
2023-09-09,248
2023-09-10,282
2023-09-11,267
2023-09-12,279
2023-09-13,284
2023-09-14,289
2023-09-15,306
2023-09-16,281
2023-09-17,280
2023-09-18,310
2023-09-19,299
2023-09-20,299
2023-09-21,288
2023-09-22,266
2023-09-23,280
2023-09-24,287
2023-09-25,312
2023-09-26,299
2023-09-27,347
2023-09-28,346
2023-09-29,292
2023-09-30,270
2023-10-01,297
2023-10-02,290
2023-10-03,294
2023-10-04,282
2023-10-05,276
2023-10-06,254
2023-10-07,295
2023-10-08,302
2023-10-09,292
2023-10-10,307
2023-10-11,430
2023-10-12,393
2023-10-13,308
2023-10-14,295
2023-10-15,282
2023-10-16,306
2023-10-17,307
2023-10-18,301
2023-10-19,295
2023-10-20,270
2023-10-21,298
2023-10-22,286
2023-10-23,297
2023-10-24,283
2023-10-25,284
2023-10-26,265
2023-10-27,312
2023-10-28,299
2023-10-29,299
2023-10-30,308
2023-10-31,290
2023-11-01,302
2023-11-02,295
2023-11-03,293
2023-11-04,316
2023-11-05,331
2023-11-06,319
2023-11-07,323
2023-11-08,296
2023-11-09,318
2023-11-10,282
2023-11-11,272
2023-11-12,343
2023-11-13,321
2023-11-14,335
2023-11-15,393
2023-11-16,346
2023-11-17,360
2023-11-18,343
2023-11-19,408
2023-11-20,465
2023-11-21,492
2023-11-22,511
2023-11-23,423
2023-11-24,381
2023-11-25,372
2023-11-26,353
2023-11-27,365
2023-11-28,401
2023-11-29,450
2023-11-30,456
2023-12-01,439
2023-12-02,468
2023-12-03,479
2023-12-04,537
2023-12-05,501
2023-12-06,462
2023-12-07,558
2023-12-08,536
2023-12-09,609
2023-12-10,686
2023-12-11,618
2023-12-12,619
2023-12-13,579
2023-12-14,605
2023-12-15,650
2023-12-16,713
2023-12-17,703
2023-12-18,757
2023-12-19,710
2023-12-20,676
2023-12-21,675
2023-12-22,674
2023-12-23,569
2023-12-24,627
2023-12-25,561
2023-12-26,478
2023-12-27,552
2023-12-28,504
2023-12-29,495
2023-12-30,492
2023-12-31,508
2024-01-01,481
2024-01-02,514
2024-01-03,470
2024-01-04,471
2024-01-05,492
2024-01-06,522
2024-01-07,601
2024-01-08,566
2024-01-09,555
2024-01-10,577
2024-01-11,567
2024-01-12,547
2024-01-13,529
2024-01-14,593
2024-01-15,672
2024-01-16,637
2024-01-17,680
2024-01-18,651
2024-01-19,766
2024-01-20,711
2024-01-21,701
2024-01-22,659
2024-01-23,576
2024-01-24,645
2024-01-25,584
2024-01-26,610
2024-01-27,596
2024-01-28,598
2024-01-29,541
2024-01-30,533
2024-01-31,503
2024-02-01,443
2024-02-02,457
2024-02-03,455
2024-02-04,460
2024-02-05,523
2024-02-06,447
2024-02-07,510
2024-02-08,478
2024-02-09,485
2024-02-10,479
2024-02-11,521
2024-02-12,493
2024-02-13,482
2024-02-14,487
2024-02-15,511
2024-02-16,537
2024-02-17,544
2024-02-18,560
2024-02-19,573
2024-02-20,529
2024-02-21,614
2024-02-22,527
2024-02-23,823
2024-02-24,584
2024-02-25,566
2024-02-26,617
2024-02-27,541
2024-02-28,459
2024-02-29,402
2024-03-01,378
2024-03-02,409
2024-03-03,346
2024-03-04,378
2024-03-05,385
2024-03-06,358
2024-03-07,394
2024-03-08,342
2024-03-09,387
2024-03-10,415
2024-03-11,378
2024-03-12,378
2024-03-13,337
2024-03-14,345
2024-03-15,258
2024-03-16,154
2024-03-17,138
2024-03-18,134
2024-03-19,193
2024-03-20,233
2024-03-21,296
2024-03-22,340
2024-03-23,357
2024-03-24,383
2024-03-25,399
2024-03-26,377
2024-03-27,455
2024-03-28,477
2024-03-29,422
2024-03-30,430
2024-03-31,442
2024-04-01,416
2024-04-02,396
2024-04-03,395
2024-04-04,411
2024-04-05,441
2024-04-06,448
2024-04-07,499
2024-04-08,483
2024-04-09,382
2024-04-10,394
2024-04-11,407
2024-04-12,381
2024-04-13,369
2024-04-14,396
2024-04-15,361
2024-04-16,322
2024-04-17,288
2024-04-18,319
2024-04-19,284
2024-04-20,276
2024-04-21,299
2024-04-22,327
2024-04-23,306
2024-04-24,309
2024-04-25,314
2024-04-26,298
2024-04-27,308
2024-04-28,294
2024-04-29,311
2024-04-30,293
2024-05-01,283
2024-05-02,296
2024-05-03,280
2024-05-04,286
2024-05-05,318
2024-05-06,308
2024-05-07,313
2024-05-08,266
2024-05-09,233
2024-05-10,286
2024-05-11,258
2024-05-12,272
2024-05-13,260
2024-05-14,276
2024-05-15,259
2024-05-16,234
2024-05-17,280
2024-05-18,268
2024-05-19,302
2024-05-20,298
2024-05-21,249
2024-05-22,256
2024-05-23,261
2024-05-24,275
2024-05-25,268
2024-05-26,257
