,Sales Rank
2022-12-14,15630
2022-12-15,17022
2022-12-16,16525
2022-12-17,16453
2022-12-18,16341
2022-12-19,17094
2022-12-20,17037
2022-12-21,13403
2022-12-22,13366
2022-12-23,14081
2022-12-24,15606
2022-12-25,17459
2022-12-26,12742
2022-12-27,15258
2022-12-28,23456
2022-12-29,20279
2022-12-30,23696
2022-12-31,19913
2023-01-01,25382
2023-01-02,17058
2023-01-03,16896
2023-01-04,14427
2023-01-05,17620
2023-01-06,17855
2023-01-07,16214
2023-01-08,16199
2023-01-09,16917
2023-01-10,17320
2023-01-11,16416
2023-01-12,17511
2023-01-13,19368
2023-01-14,18574
2023-01-15,15624
2023-01-16,16925
2023-01-17,18516
2023-01-18,17922
2023-01-19,19506
2023-01-20,16478
2023-01-21,20038
2023-01-22,17522
2023-01-23,23089
2023-01-24,19166
2023-01-25,19490
2023-01-26,16129
2023-01-27,21861
2023-01-28,16650
2023-01-29,18061
2023-01-30,14424
2023-01-31,19321
2023-02-01,21677
2023-02-02,15507
2023-02-03,16557
2023-02-04,21280
2023-02-05,15666
2023-02-06,13803
2023-02-07,17626
2023-02-08,23276
2023-02-09,15749
2023-02-10,17855
2023-02-11,19132
2023-02-12,13989
2023-02-13,20040
2023-02-14,13427
2023-02-15,15103
2023-02-16,17542
2023-02-17,19830
2023-02-18,20901
2023-02-19,16465
2023-02-20,15389
2023-02-21,17700
2023-02-22,19427
2023-02-23,20780
2023-02-24,25770
2023-02-25,22235
2023-02-26,26890
2023-02-27,15282
2023-02-28,16121
2023-03-01,14759
2023-03-02,16230
2023-03-03,15424
2023-03-04,21306
2023-03-05,19432
2023-03-06,17549
2023-03-07,21522
2023-03-08,17193
2023-03-09,21587
2023-03-10,18707
2023-03-11,23117
2023-03-12,468
2023-03-13,526
2023-03-14,487
2023-03-15,518
2023-03-16,515
2023-03-17,561
2023-03-18,409
2023-03-19,467
2023-03-20,502
2023-03-21,534
2023-03-22,409
2023-03-23,454
2023-03-24,417
2023-03-25,248
2023-03-26,191
2023-03-27,223
2023-03-28,383
2023-03-29,563
2023-03-30,640
2023-03-31,780
2023-04-01,662
2023-04-02,670
2023-04-03,725
2023-04-04,724
2023-04-05,791
2023-04-06,735
2023-04-07,834
2023-04-08,718
2023-04-09,681
2023-04-10,736
2023-04-11,824
2023-04-12,885
2023-04-13,862
2023-04-14,865
2023-04-15,773
2023-04-16,776
2023-04-17,944
2023-04-18,871
2023-04-19,805
2023-04-20,792
2023-04-21,842
2023-04-22,865
2023-04-23,796
2023-04-24,877
2023-04-25,908
2023-04-26,842
2023-04-27,816
2023-04-28,843
2023-04-29,813
2023-04-30,762
2023-05-01,811
2023-05-02,816
2023-05-03,808
2023-05-04,762
2023-05-05,828
2023-05-06,764
2023-05-07,700
2023-05-08,818
2023-05-09,832
2023-05-10,784
2023-05-11,786
2023-05-12,781
2023-05-13,726
2023-05-14,755
2023-05-15,809
2023-05-16,794
2023-05-17,898
2023-05-18,881
2023-05-19,918
2023-05-20,891
2023-05-21,864
2023-05-22,903
2023-05-23,971
2023-05-24,967
2023-05-25,928
2023-05-26,916
2023-05-27,784
2023-05-28,782
2023-05-31,893
2023-06-01,853
2023-06-02,802
2023-06-03,747
2023-06-04,709
2023-06-05,787
2023-06-06,772
2023-06-07,837
2023-06-08,848
2023-06-09,861
2023-06-10,707
2023-06-11,709
2023-06-12,732
2023-06-13,784
2023-06-14,741
2023-06-15,780
2023-06-16,804
2023-06-17,756
2023-06-18,724
2023-06-19,752
2023-06-20,729
2023-06-21,682
2023-06-22,735
2023-06-23,713
2023-06-24,743
2023-06-25,726
2023-06-26,737
2023-06-27,740
2023-06-28,874
2023-06-29,832
2023-06-30,780
2023-07-01,794
2023-07-02,719
2023-07-03,665
2023-07-04,708
2023-07-05,815
2023-07-06,660
2023-07-07,510
2023-07-08,417
2023-07-09,363
2023-07-10,509
2023-07-11,410
2023-07-12,371
2023-07-13,355
2023-07-14,450
2023-07-15,420
2023-07-16,373
2023-07-17,453
2023-07-18,473
2023-07-19,505
2023-07-20,545
2023-07-21,553
2023-07-22,551
2023-07-23,523
2023-07-24,568
2023-07-25,589
2023-07-26,694
2023-07-27,679
2023-07-28,640
2023-07-29,615
2023-07-30,602
2023-07-31,589
2023-08-01,606
2023-08-02,650
2023-08-03,641
2023-08-04,559
2023-08-05,617
2023-08-06,545
2023-08-07,538
2023-08-08,639
2023-08-09,659
2023-08-10,652
2023-08-11,594
2023-08-12,552
2023-08-13,600
2023-08-14,634
2023-08-15,583
2023-08-16,502
2023-08-17,497
2023-08-18,485
2023-08-19,458
2023-08-20,428
2023-08-21,464
2023-08-22,419
2023-08-23,472
2023-08-24,496
2023-08-25,541
2023-08-26,448
2023-08-27,452
2023-08-28,440
2023-08-29,458
2023-08-30,426
2023-08-31,413
2023-09-01,403
2023-09-02,484
2023-09-03,433
2023-09-04,475
2023-09-05,476
2023-09-06,504
2023-09-07,493
2023-09-08,476
2023-09-09,437
2023-09-10,442
2023-09-11,486
2023-09-12,519
2023-09-13,484
2023-09-14,568
2023-09-15,515
2023-09-16,487
2023-09-17,422
2023-09-18,431
2023-09-19,456
2023-09-20,494
2023-09-21,510
2023-09-22,455
2023-09-23,497
2023-09-24,515
2023-09-25,589
2023-09-26,504
2023-09-27,536
2023-09-28,488
2023-09-29,489
2023-09-30,421
2023-10-01,417
2023-10-02,470
2023-10-03,454
2023-10-04,472
2023-10-05,464
2023-10-06,491
2023-10-07,376
2023-10-08,373
2023-10-09,464
2023-10-10,443
2023-10-11,460
2023-10-12,405
2023-10-13,425
2023-10-14,402
2023-10-15,395
2023-10-16,405
2023-10-17,449
2023-10-18,417
2023-10-19,426
2023-10-20,369
2023-10-21,385
2023-10-22,390
2023-10-23,482
2023-10-24,406
2023-10-25,447
2023-10-26,466
2023-10-27,446
2023-10-28,424
2023-10-29,445
2023-10-30,537
2023-10-31,490
2023-11-01,609
2023-11-02,687
2023-11-03,661
2023-11-04,686
2023-11-05,649
2023-11-06,681
2023-11-07,691
2023-11-08,732
2023-11-09,741
2023-11-10,631
2023-11-11,672
2023-11-12,677
2023-11-13,753
2023-11-14,761
2023-11-15,680
2023-11-16,717
2023-11-17,692
2023-11-18,681
2023-11-19,649
2023-11-20,678
2023-11-21,654
2023-11-22,642
2023-11-23,599
2023-11-24,558
2023-11-25,514
2023-11-26,533
2023-11-27,547
2023-11-28,469
2023-11-29,310
2023-11-30,415
2023-12-01,463
2023-12-02,450
2023-12-03,415
2023-12-04,455
2023-12-05,489
2023-12-06,459
2023-12-07,426
2023-12-08,457
2023-12-09,1647
2023-12-10,1770
2023-12-11,1892
2023-12-12,1806
2023-12-13,1758
2023-12-14,1917
2023-12-15,1764
2023-12-16,1635
2023-12-17,1679
2023-12-18,1484
2023-12-19,1681
2023-12-20,1404
2023-12-21,1601
2023-12-22,1668
2023-12-23,1654
2023-12-24,2008
2023-12-25,2120
2023-12-26,2547
2023-12-27,2473
2023-12-28,2472
2023-12-29,2477
2023-12-30,2682
2023-12-31,2939
2024-01-01,2874
2024-01-02,3120
2024-01-03,3219
2024-01-04,2788
2024-01-05,2848
2024-01-06,2711
2024-01-07,2782
2024-01-08,3018
2024-01-09,3504
2024-01-10,2650
2024-01-11,3051
2024-01-12,3276
2024-01-13,3174
2024-01-14,2779
2024-01-15,2832
2024-01-16,3228
2024-01-17,3047
2024-01-18,2711
2024-01-19,2946
2024-01-20,1019
2024-01-21,818
2024-01-22,977
2024-01-23,966
2024-01-24,871
2024-01-25,794
2024-01-26,859
2024-01-27,848
2024-01-28,749
2024-01-29,776
2024-01-30,790
2024-01-31,818
2024-02-01,848
2024-02-02,838
2024-02-03,708
2024-02-04,693
2024-02-05,800
2024-02-06,830
2024-02-07,856
2024-02-08,784
2024-02-09,805
2024-02-10,651
2024-02-11,617
2024-02-12,738
2024-02-13,811
2024-02-14,758
2024-02-15,763
2024-02-16,939
2024-02-17,745
2024-02-18,702
2024-02-19,802
2024-02-20,837
2024-02-21,829
2024-02-22,872
2024-02-23,900
2024-02-24,765
2024-02-25,766
2024-02-26,743
2024-02-27,763
2024-02-28,794
2024-02-29,820
2024-03-01,815
2024-03-02,769
2024-03-03,857
2024-03-04,756
2024-03-05,746
2024-03-06,772
2024-03-07,775
2024-03-08,868
2024-03-09,761
2024-03-10,693
2024-03-11,823
2024-03-12,808
2024-03-13,812
2024-03-14,907
2024-03-15,923
2024-03-16,820
2024-03-17,777
2024-03-18,915
2024-03-19,822
2024-03-20,744
2024-03-21,828
2024-03-22,788
2024-03-23,808
2024-03-24,720
2024-03-25,858
2024-03-26,918
2024-03-27,847
2024-03-28,895
2024-03-29,752
2024-03-30,760
2024-03-31,753
2024-04-01,861
2024-04-02,908
2024-04-03,874
2024-04-04,883
2024-04-05,838
2024-04-06,813
2024-04-07,811
2024-04-08,772
2024-04-09,802
2024-04-10,806
2024-04-11,718
2024-04-12,788
2024-04-13,655
2024-04-14,642
2024-04-15,746
2024-04-16,733
2024-04-17,796
2024-04-18,741
2024-04-19,696
2024-04-20,587
2024-04-21,628
2024-04-22,653
2024-04-23,706
2024-04-24,674
2024-04-25,713
2024-04-26,660
2024-04-27,614
2024-04-28,616
2024-04-29,754
2024-04-30,671
2024-05-01,685
2024-05-02,667
2024-05-03,690
2024-05-04,689
2024-05-05,656
2024-05-06,787
2024-05-07,780
2024-05-08,727
2024-05-09,736
2024-05-10,663
2024-05-11,705
2024-05-12,628
2024-05-13,659
2024-05-14,706
2024-05-15,745
2024-05-16,664
2024-05-17,706
2024-05-18,600
2024-05-19,610
2024-05-20,759
2024-05-21,779
2024-05-22,790
2024-05-23,782
2024-05-24,746
2024-05-25,744
2024-05-26,753
2024-05-27,725
2024-05-28,777
2024-05-29,776
2024-05-30,754
2024-05-31,728
2024-06-01,697
2024-06-02,637
2024-06-03,724
2024-06-04,749
2024-06-05,742
2024-06-06,727
2024-06-07,724
2024-06-08,683
2024-06-09,710
2024-06-10,694
2024-06-11,703
2024-06-12,736
2024-06-13,694
2024-06-14,752
2024-06-15,738
2024-06-16,638
2024-06-17,714
2024-06-18,747
2024-06-19,724
2024-06-20,780
2024-06-21,765
2024-06-22,711
2024-06-23,671
2024-06-24,769
2024-06-25,784
2024-06-26,759
2024-06-27,716
2024-06-28,809
2024-06-29,770
2024-06-30,685
2024-07-01,773
2024-07-02,797
2024-07-03,778
2024-07-04,711
2024-07-05,667
2024-07-06,645
2024-07-07,611
2024-07-08,686
2024-07-09,765
2024-07-10,761
2024-07-11,764
2024-07-12,716
2024-07-13,679
2024-07-14,731
2024-07-15,832
2024-07-16,893
2024-07-17,930
2024-07-18,907
2024-07-19,825
2024-07-20,725
2024-07-21,781
2024-07-22,757
2024-07-23,819
2024-07-24,724
2024-07-25,23619
2024-07-26,28097
2024-07-27,29058
2024-07-28,26954
2024-07-29,27408
2024-07-30,36667
2024-07-31,34194
2024-08-01,36283
2024-08-02,51715
2024-08-03,62867
2024-08-04,38235
2024-08-05,38360
2024-08-06,42819
2024-08-07,39174
2024-08-08,38601
2024-08-10,37058
2024-08-11,26568
2024-08-12,33042
2024-08-13,34920
2024-08-14,38395
2024-08-15,50596
2024-08-16,48990
2024-08-17,42995
2024-08-18,37773
2024-08-19,52657
2024-08-20,28586
2024-08-21,40706
2024-08-22,35842
2024-08-23,36323
2024-08-24,40624
2024-08-25,34258
2024-08-26,27758
2024-08-27,31371
2024-08-28,32173
2024-08-29,41593
2024-08-30,35655
2024-08-31,30057
2024-09-01,29870
2024-09-02,37352
2024-09-03,34209
2024-09-04,27512
2024-09-05,41472
2024-09-06,40309
2024-09-07,41540
2024-09-08,32310
2024-09-09,44884
2024-09-10,29407
2024-09-11,30362
2024-09-12,37293
2024-09-13,53621
2024-09-14,11633
2024-09-15,11246
2024-09-16,9303
2024-09-17,10127
2024-09-18,9515
2024-09-19,9844
2024-09-20,9954
2024-09-21,9536
2024-09-22,13785
2024-09-23,15545
2024-09-24,13963
2024-09-25,13586
2024-09-26,28314
2024-09-27,22075
2024-09-28,20181
2024-09-29,22085
2024-09-30,25643
2024-10-01,23809
2024-10-02,27650
2024-10-03,24398
2024-10-04,19032
2024-10-05,20428
2024-10-06,24294
2024-10-07,23425
2024-10-08,18443
2024-10-09,23293
2024-10-10,24381
2024-10-11,25962
2024-10-12,19256
2024-10-13,20007
2024-10-14,20250
2024-10-15,23697
2024-10-16,19509
2024-10-17,20068
2024-10-18,17659
2024-10-19,24131
2024-10-20,16915
2024-10-21,19072
2024-10-22,15625
2024-10-23,19315
2024-10-24,18218
2024-10-25,25273
2024-10-26,21699
2024-10-27,28771
2024-10-28,25946
2024-10-29,28873
2024-10-30,20838
2024-10-31,23778
2024-11-01,24649
2024-11-02,25875
2024-11-03,17684
2024-11-04,21346
2024-11-05,24362
2024-11-06,19994
2024-11-07,24938
2024-11-08,15892
2024-11-09,24693
2024-11-10,20017
2024-11-11,24584
2024-11-12,14236
2024-11-13,18457
2024-11-14,18305
2024-11-15,16920
2024-11-16,15195
2024-11-17,14991
