,Sales Rank
2022-12-14,788
2022-12-15,871
2022-12-16,768
2022-12-17,814
2022-12-18,929
2022-12-19,936
2022-12-20,897
2022-12-21,849
2022-12-22,818
2022-12-23,723
2022-12-24,710
2022-12-25,702
2022-12-26,611
2022-12-27,577
2022-12-28,576
2022-12-29,568
2022-12-30,520
2022-12-31,672
2023-01-01,613
2023-01-02,641
2023-01-03,549
2023-01-04,575
2023-01-05,550
2023-01-06,560
2023-01-07,565
2023-01-08,570
2023-01-09,574
2023-01-10,594
2023-01-11,596
2023-01-12,592
2023-01-13,488
2023-01-14,426
2023-01-15,543
2023-01-16,570
2023-01-17,485
2023-01-18,523
2023-01-19,494
2023-01-20,537
2023-01-21,619
2023-01-22,584
2023-01-23,498
2023-01-24,518
2023-01-25,498
2023-01-26,539
2023-01-27,479
2023-01-28,612
2023-01-29,648
2023-01-30,513
2023-01-31,480
2023-02-01,497
2023-02-02,511
2023-02-03,404
2023-02-04,434
2023-02-05,518
2023-02-06,505
2023-02-07,461
2023-02-08,448
2023-02-09,437
2023-02-10,430
2023-02-11,415
2023-02-12,442
2023-02-13,535
2023-02-14,490
2023-02-15,509
2023-02-16,481
2023-02-17,514
2023-02-18,633
2023-02-19,770
2023-02-20,532
2023-02-21,508
2023-02-22,440
2023-02-23,420
2023-02-24,445
2023-02-25,520
2023-02-26,608
2023-02-27,500
2023-02-28,415
2023-03-01,381
2023-03-02,423
2023-03-03,410
2023-03-04,416
2023-03-05,487
2023-03-06,426
2023-03-07,383
2023-03-08,383
2023-03-09,412
2023-03-10,369
2023-03-11,388
2023-03-12,470
2023-03-13,410
2023-03-14,426
2023-03-15,388
2023-03-16,496
2023-03-17,512
2023-03-18,596
2023-03-19,649
2023-03-20,503
2023-03-21,428
2023-03-22,384
2023-03-23,392
2023-03-24,386
2023-03-25,382
2023-03-26,438
2023-03-27,366
2023-03-28,335
2023-03-29,321
2023-03-30,333
2023-03-31,277
2023-04-01,321
2023-04-02,351
2023-04-03,338
2023-04-04,351
2023-04-05,341
2023-04-06,341
2023-04-07,318
2023-04-08,360
2023-04-09,431
2023-04-10,364
2023-04-11,336
2023-04-12,329
2023-04-13,346
2023-04-14,353
2023-04-15,344
2023-04-16,409
2023-04-17,357
2023-04-18,365
2023-04-19,338
2023-04-20,335
2023-04-21,316
2023-04-22,338
2023-04-23,365
2023-04-24,386
2023-04-25,320
2023-04-26,325
2023-04-27,336
2023-04-28,329
2023-04-29,395
2023-04-30,428
2023-05-01,385
2023-05-02,431
2023-05-03,446
2023-05-04,462
2023-05-05,412
2023-05-06,462
2023-05-07,457
2023-05-08,443
2023-05-09,396
2023-05-10,405
2023-05-11,392
2023-05-12,435
2023-05-13,476
2023-05-14,439
2023-05-15,479
2023-05-16,497
2023-05-17,372
2023-05-18,405
2023-05-19,384
2023-05-20,384
2023-05-21,423
2023-05-22,455
2023-05-23,465
2023-05-24,351
2023-05-25,397
2023-05-26,399
2023-05-27,405
2023-05-28,393
2023-05-30,517
2023-05-31,383
2023-06-01,353
2023-06-02,348
2023-06-03,359
2023-06-04,350
2023-06-05,425
2023-06-06,444
2023-06-07,349
2023-06-08,469
2023-06-09,406
2023-06-10,390
2023-06-11,386
2023-06-12,458
2023-06-13,494
2023-06-14,395
2023-06-15,430
2023-06-16,401
2023-06-17,670
2023-06-18,833
2023-06-19,1345
2023-06-20,790
2023-06-21,637
2023-06-22,550
2023-06-23,498
2023-06-24,490
2023-06-25,459
2023-06-26,493
2023-06-27,530
2023-06-28,462
2023-06-29,546
2023-06-30,467
2023-07-01,481
2023-07-02,467
2023-07-03,575
2023-07-04,595
2023-07-05,412
2023-07-06,461
2023-07-07,507
2023-07-08,470
2023-07-09,467
2023-07-10,534
2023-07-11,845
2023-07-12,890
2023-07-13,769
2023-07-14,681
2023-07-15,551
2023-07-16,533
2023-07-17,586
2023-07-18,615
2023-07-19,458
2023-07-20,455
2023-07-21,449
2023-07-22,462
2023-07-23,429
2023-07-24,559
2023-07-25,564
2023-07-26,461
2023-07-27,459
2023-07-28,465
2023-07-29,430
2023-07-30,444
2023-07-31,520
2023-08-01,549
2023-08-02,541
2023-08-03,479
2023-08-04,508
2023-08-05,490
2023-08-06,448
2023-08-07,522
2023-08-08,628
2023-08-09,591
2023-08-10,675
2023-08-11,16
2023-08-12,13
2023-08-13,14
2023-08-14,18
2023-08-15,17
2023-08-16,12
2023-08-17,14
2023-08-18,16
2023-08-19,15
2023-08-20,15
2023-08-21,21
2023-08-22,21
2023-08-23,14
2023-08-24,17
2023-08-25,17
2023-08-26,12
2023-08-27,12
