,Sales Rank
2022-12-14,271
2022-12-15,295
2022-12-16,299
2022-12-17,317
2022-12-18,351
2022-12-19,371
2022-12-20,303
2022-12-21,297
2022-12-22,292
2022-12-23,235
2022-12-24,233
2022-12-25,216
2022-12-26,198
2022-12-27,201
2022-12-28,197
2022-12-29,194
2022-12-30,185
2022-12-31,208
2023-01-01,223
2023-01-02,206
2023-01-03,187
2023-01-04,198
2023-01-05,202
2023-01-06,189
2023-01-07,188
2023-01-08,189
2023-01-09,182
2023-01-10,192
2023-01-11,198
2023-01-12,190
2023-01-13,200
2023-01-14,276
2023-01-15,261
2023-01-16,184
2023-01-17,184
2023-01-18,199
2023-01-19,200
2023-01-20,191
2023-01-21,212
2023-01-22,228
2023-01-23,170
2023-01-24,179
2023-01-25,173
2023-01-26,193
2023-01-27,187
2023-01-28,220
2023-01-29,272
2023-01-30,206
2023-01-31,209
2023-02-01,253
2023-02-02,270
2023-02-03,230
2023-02-04,255
2023-02-05,283
2023-02-06,216
2023-02-07,184
2023-02-08,251
2023-02-09,270
2023-02-10,263
2023-02-11,264
2023-02-12,380
2023-02-13,313
2023-02-14,197
2023-02-15,177
2023-02-16,214
2023-02-17,226
2023-02-18,274
2023-02-19,245
2023-02-20,216
2023-02-21,181
2023-02-22,180
2023-02-23,208
2023-02-24,166
2023-02-25,246
2023-02-26,284
2023-02-27,254
2023-02-28,335
2023-03-01,404
2023-03-02,362
2023-03-03,183
2023-03-04,270
2023-03-05,249
2023-03-06,279
2023-03-07,239
2023-03-08,283
2023-03-09,281
2023-03-10,279
2023-03-11,390
2023-03-12,432
2023-03-13,210
2023-03-14,191
2023-03-15,181
2023-03-16,191
2023-03-17,195
2023-03-18,248
2023-03-19,368
2023-03-20,270
2023-03-21,261
2023-03-22,298
2023-03-23,279
2023-03-24,247
2023-03-25,329
2023-03-26,324
2023-03-27,286
2023-03-28,262
2023-03-29,277
2023-03-30,211
2023-03-31,219
2023-04-01,339
2023-04-02,393
2023-04-03,304
2023-04-04,226
2023-04-05,276
2023-04-06,267
2023-04-07,275
2023-04-08,265
2023-04-09,362
2023-04-10,248
2023-04-11,258
2023-04-12,276
2023-04-13,236
2023-04-14,233
2023-04-15,344
2023-04-16,406
2023-04-17,203
2023-04-18,207
2023-04-19,203
2023-04-20,218
2023-04-21,214
2023-04-22,222
2023-04-23,261
2023-04-24,196
2023-04-25,183
2023-04-26,197
2023-04-27,193
2023-04-28,180
2023-04-29,240
2023-04-30,209
2023-05-01,219
2023-05-02,214
2023-05-03,281
2023-05-04,257
2023-05-05,197
2023-05-06,260
2023-05-07,288
2023-05-08,226
2023-05-09,217
2023-05-10,231
2023-05-11,223
2023-05-12,219
2023-05-13,270
2023-05-14,263
2023-05-15,221
2023-05-16,216
2023-05-17,243
2023-05-18,239
2023-05-19,227
2023-05-20,229
2023-05-21,285
2023-05-22,265
2023-05-23,264
2023-05-24,247
2023-05-25,248
2023-05-26,235
2023-05-27,223
2023-05-28,314
2023-05-30,314
2023-05-31,251
2023-06-01,233
2023-06-02,218
2023-06-03,280
2023-06-04,272
2023-06-05,238
2023-06-06,244
2023-06-07,1249
2023-06-08,1187
2023-06-09,1314
2023-06-10,1347
2023-06-11,1248
2023-06-12,1666
2023-06-13,1570
2023-06-14,1124
2023-06-15,1262
2023-06-16,1320
2023-06-17,1060
2023-06-18,1103
2023-06-19,1315
2023-06-20,1511
2023-06-21,1520
2023-06-22,1340
2023-06-23,1314
2023-06-24,1436
2023-06-25,1201
2023-06-26,1354
2023-06-27,1546
2023-06-28,1276
2023-06-29,1635
2023-06-30,1278
2023-07-01,1263
2023-07-02,1146
2023-07-03,1421
2023-07-04,1484
2023-07-05,1042
2023-07-06,1135
2023-07-07,1209
2023-07-08,1163
2023-07-09,1145
2023-07-10,1261
2023-07-11,1691
2023-07-12,1747
2023-07-13,1584
2023-07-14,1292
2023-07-15,1268
2023-07-16,1114
2023-07-17,1294
2023-07-18,1355
2023-07-19,968
2023-07-20,1025
2023-07-21,1186
2023-07-22,1123
2023-07-23,1168
2023-07-24,1439
2023-07-25,1314
2023-07-26,1141
2023-07-27,1183
2023-07-28,1123
2023-07-29,1071
2023-07-30,1077
2023-07-31,1156
2023-08-01,1225
2023-08-02,1203
2023-08-03,1095
2023-08-04,1120
2023-08-05,1112
2023-08-06,1029
2023-08-07,1182
2023-08-08,1299
2023-08-09,1165
2023-08-10,1100
2023-08-11,16
2023-08-12,12
2023-08-13,15
2023-08-14,18
2023-08-15,17
2023-08-16,12
2023-08-17,14
2023-08-18,16
2023-08-19,15
2023-08-20,15
2023-08-21,21
2023-08-22,21
2023-08-23,17
2023-08-24,17
2023-08-25,17
2023-08-26,12
2023-08-27,12
2023-08-28,16
2023-08-29,21
2023-08-30,10
2023-08-31,11
2023-09-01,15
2023-09-02,11
2023-09-03,14
2023-09-04,16
2023-09-05,18
2023-09-06,13
2023-09-07,13
2023-09-08,15
2023-09-09,16
2023-09-10,13
2023-09-11,15
2023-09-12,17
2023-09-13,12
2023-09-14,13
2023-09-15,15
2023-09-16,16
2023-09-17,15
2023-09-18,15
2023-09-19,15
2023-09-20,12
2023-09-21,14
2023-09-22,15
2023-09-23,14
2023-09-24,17
2023-09-25,19
2023-09-26,15
2023-09-27,12
2023-09-28,15
2023-09-29,12
2023-09-30,13
2023-10-01,14
2023-10-02,19
2023-10-03,20
2023-10-04,16
2023-10-05,17
2023-10-06,16
2023-10-07,15
2023-10-08,14
2023-10-09,20
2023-10-10,22
2023-10-11,38
2023-10-12,32
2023-10-13,20
2023-10-14,18
2023-10-15,15
2023-10-16,22
2023-10-17,31
2023-10-18,22
2023-10-19,21
2023-10-20,19
2023-10-21,18
2023-10-22,8
2023-10-23,19
2023-10-24,22
2023-10-25,15
2023-10-26,17
2023-10-27,16
2023-10-28,14
2023-10-29,16
2023-10-30,18
2023-10-31,19
2023-11-01,13
2023-11-02,19
2023-11-03,19
2023-11-04,23
2023-11-05,24
2023-11-06,30
2023-11-07,30
2023-11-08,24
2023-11-09,26
2023-11-10,23
2023-11-11,26
2023-11-12,23
2023-11-13,17
2023-11-14,87
2023-11-15,89
2023-11-16,71
2023-11-17,111
2023-11-18,141
2023-11-19,146
2023-11-20,174
2023-11-21,61
2023-11-22,111
2023-11-23,136
2023-11-24,181
2023-11-25,181
2023-11-26,93
2023-11-27,204
2023-11-28,197
2023-11-29,45
2023-11-30,222
2023-12-01,308
2023-12-02,318
2023-12-03,384
2023-12-04,514
2023-12-05,524
2023-12-06,474
2023-12-07,386
2023-12-08,427
2023-12-09,324
2023-12-10,305
2023-12-11,389
2023-12-12,458
2023-12-13,353
2023-12-14,382
2023-12-15,436
2023-12-16,447
2023-12-17,491
2023-12-18,639
2023-12-19,646
2023-12-20,532
2023-12-21,514
2023-12-22,459
2023-12-23,441
2023-12-24,380
2023-12-25,518
2023-12-26,508
2023-12-27,359
2023-12-28,342
2023-12-29,391
2023-12-30,358
2023-12-31,261
2024-01-01,394
2024-01-02,433
2024-01-03,271
2024-01-04,352
2024-01-05,402
2024-01-06,343
2024-01-07,376
2024-01-08,395
2024-01-09,444
2024-01-10,385
2024-01-11,691
2024-01-12,880
2024-01-13,707
2024-01-14,368
2024-01-15,148
2024-01-16,291
2024-01-17,285
2024-01-18,281
2024-01-19,307
2024-01-20,259
2024-01-21,232
2024-01-22,285
2024-01-23,294
2024-01-24,182
2024-01-25,198
2024-01-26,230
2024-01-27,197
2024-01-28,229
2024-01-29,302
2024-01-30,288
2024-01-31,169
2024-02-01,200
2024-02-02,216
2024-02-03,237
2024-02-04,223
2024-02-05,263
2024-02-06,299
2024-02-07,226
2024-02-08,242
2024-02-09,219
2024-02-10,246
2024-02-11,239
2024-02-12,255
2024-02-13,244
2024-02-14,196
2024-02-15,236
2024-02-16,246
2024-02-17,247
2024-02-18,250
2024-02-19,312
2024-02-20,351
2024-02-21,294
2024-02-22,320
2024-02-23,249
2024-02-24,178
2024-02-25,202
2024-02-26,272
2024-02-27,285
2024-02-28,197
2024-02-29,190
2024-03-01,121
2024-03-02,123
2024-03-03,119
2024-03-04,150
2024-03-05,150
2024-03-06,125
2024-03-07,126
2024-03-08,129
2024-03-09,129
2024-03-10,109
2024-03-11,164
2024-03-12,156
2024-03-13,103
2024-03-14,116
2024-03-15,117
2024-03-16,114
2024-03-17,125
2024-03-18,151
2024-03-19,101
2024-03-20,84
2024-03-21,43
2024-03-22,46
2024-03-23,62
2024-03-24,69
2024-03-25,93
2024-03-26,104
2024-03-27,56
2024-03-28,69
2024-03-29,77
2024-03-30,75
2024-03-31,74
2024-04-01,91
2024-04-02,95
2024-04-03,64
2024-04-04,74
2024-04-05,69
2024-04-06,69
2024-04-07,70
2024-04-08,100
2024-04-09,102
2024-04-10,69
2024-04-11,74
2024-04-12,84
2024-04-13,80
2024-04-14,75
2024-04-15,97
2024-04-16,1313
2024-04-17,1080
2024-04-18,1185
2024-04-19,1145
2024-04-20,1118
2024-04-21,1091
2024-04-22,1358
2024-04-23,1305
2024-04-24,1039
2024-04-25,995
2024-04-26,1097
2024-04-27,989
2024-04-28,1131
2024-04-29,1236
2024-04-30,1243
2024-05-01,1007
2024-05-02,1129
2024-05-03,1041
2024-05-04,1103
2024-05-05,1243
2024-05-06,1390
2024-05-07,1398
2024-05-08,1202
2024-05-09,1264
2024-05-10,1259
2024-05-11,1148
2024-05-12,1200
2024-05-13,1479
2024-05-14,1410
2024-05-15,1227
2024-05-16,1192
2024-05-17,1115
2024-05-18,1055
2024-05-19,1088
2024-05-20,1382
2024-05-21,1401
2024-05-22,1156
2024-05-23,1060
2024-05-24,1125
2024-05-25,1096
2024-05-26,1139
2024-05-27,1236
2024-05-28,1284
2024-05-29,957
2024-05-30,1045
2024-05-31,994
2024-06-01,998
2024-06-02,1031
2024-06-03,1169
2024-06-04,1140
2024-06-05,1016
2024-06-06,1115
2024-06-07,1140
2024-06-08,1186
2024-06-09,1182
2024-06-10,1384
2024-06-11,1298
2024-06-12,1164
2024-06-13,1225
2024-06-14,1243
2024-06-15,1177
2024-06-16,1147
2024-06-17,1252
2024-06-18,1379
2024-06-19,1066
2024-06-20,1099
2024-06-21,1174
2024-06-22,1106
2024-06-23,1095
2024-06-24,1223
2024-06-25,1163
2024-06-26,924
2024-06-27,981
2024-06-28,1042
2024-06-29,1004
2024-06-30,1054
2024-07-01,1259
2024-07-02,1306
2024-07-03,1141
2024-07-04,1075
2024-07-05,1010
2024-07-06,1048
2024-07-07,1046
2024-07-08,1218
2024-07-09,1255
2024-07-10,933
2024-07-11,971
2024-07-12,1022
2024-07-13,1074
2024-07-14,1016
2024-07-15,1181
2024-07-16,1689
2024-07-17,1466
2024-07-18,1397
2024-07-19,1155
2024-07-20,1022
2024-07-21,1131
2024-07-22,1179
2024-07-23,1291
2024-07-24,913
2024-07-25,965
2024-07-26,1023
2024-07-27,920
2024-07-28,1003
2024-07-29,1197
