,Sales Rank
2022-12-14,267
2022-12-15,268
2022-12-16,319
2022-12-17,334
2022-12-18,400
2022-12-19,413
2022-12-20,454
2022-12-21,469
2022-12-22,461
2022-12-23,378
2022-12-24,343
2022-12-25,301
2022-12-26,268
2022-12-27,263
2022-12-28,245
2022-12-29,354
2022-12-30,467
2022-12-31,358
2023-01-01,439
2023-01-02,620
2023-01-03,381
2023-01-04,387
2023-01-05,411
2023-01-06,400
2023-01-07,401
2023-01-08,370
2023-01-09,360
2023-01-10,371
2023-01-11,355
2023-01-12,380
2023-01-13,400
2023-01-14,492
2023-01-15,418
2023-01-16,374
2023-01-17,374
2023-01-18,603
2023-01-19,564
2023-01-20,670
2023-01-21,362
2023-01-22,317
2023-01-23,450
2023-01-24,350
2023-01-25,234
2023-01-26,255
2023-01-27,269
2023-01-28,287
2023-01-29,253
2023-01-30,299
2023-01-31,320
2023-02-01,368
2023-02-02,585
2023-02-03,362
2023-02-04,434
2023-02-05,421
2023-02-06,364
2023-02-07,591
2023-02-08,633
2023-02-09,684
2023-02-10,406
2023-02-11,364
2023-02-12,323
2023-02-13,320
2023-02-14,322
2023-02-15,323
2023-02-16,279
2023-02-17,263
2023-02-18,263
2023-02-19,255
2023-02-20,253
2023-02-21,213
2023-02-22,224
2023-02-23,248
2023-02-24,250
2023-02-25,313
2023-02-26,336
2023-02-27,323
2023-02-28,341
2023-03-01,367
2023-03-02,375
2023-03-03,365
2023-03-04,390
2023-03-05,420
2023-03-06,392
2023-03-07,356
2023-03-08,369
2023-03-09,381
2023-03-10,389
2023-03-11,402
2023-03-12,450
2023-03-13,398
2023-03-14,403
2023-03-15,387
2023-03-16,323
2023-03-17,321
2023-03-18,312
2023-03-19,312
2023-03-20,289
2023-03-21,309
2023-03-22,372
2023-03-23,404
2023-03-24,388
2023-03-25,376
2023-03-26,421
2023-03-27,362
2023-03-28,335
2023-03-29,340
2023-03-30,281
2023-03-31,253
2023-04-01,238
2023-04-02,255
2023-04-03,239
2023-04-04,228
2023-04-05,234
2023-04-06,268
2023-04-07,276
2023-04-08,263
2023-04-09,247
2023-04-10,235
2023-04-11,229
2023-04-12,259
2023-04-13,282
2023-04-14,267
2023-04-15,272
2023-04-16,281
2023-04-17,261
2023-04-18,249
2023-04-19,233
2023-04-20,274
2023-04-21,254
2023-04-22,275
2023-04-23,231
2023-04-24,237
2023-04-25,222
2023-04-26,262
2023-04-27,261
2023-04-28,276
2023-04-29,254
2023-04-30,260
2023-05-01,239
2023-05-02,271
2023-05-03,310
2023-05-04,312
2023-05-05,317
2023-05-06,323
2023-05-07,325
2023-05-08,324
2023-05-09,192
2023-05-10,206
2023-05-11,247
2023-05-12,255
2023-05-13,247
2023-05-14,282
2023-05-15,249
2023-05-16,223
2023-05-17,213
2023-05-18,229
2023-05-19,243
2023-05-20,243
2023-05-21,265
2023-05-22,213
2023-05-23,239
2023-05-24,240
2023-05-25,262
2023-05-26,292
2023-05-27,305
2023-05-28,325
2023-05-31,284
2023-06-01,283
2023-06-02,301
2023-06-03,293
2023-06-04,306
2023-06-05,283
2023-06-06,274
2023-06-07,291
2023-06-08,289
