,Sales Rank
2022-12-14,375
2022-12-15,413
2022-12-16,493
2022-12-17,473
2022-12-18,449
2022-12-19,495
2022-12-20,574
2022-12-21,607
2022-12-22,520
2022-12-23,532
2022-12-24,659
2022-12-25,686
2022-12-26,767
2022-12-27,817
2022-12-28,736
2022-12-29,758
2022-12-30,742
2022-12-31,777
2023-01-01,841
2023-01-02,852
2023-01-03,894
2023-01-04,782
2023-01-05,784
2023-01-06,833
2023-01-07,818
2023-01-08,805
2023-01-09,825
2023-01-10,798
2023-01-11,813
2023-01-12,827
2023-01-13,877
2023-01-14,834
2023-01-15,953
2023-01-16,945
2023-01-17,1096
2023-01-18,1079
2023-01-19,1067
2023-01-20,1096
2023-01-21,899
2023-01-22,943
2023-01-23,864
2023-01-24,1046
2023-01-25,820
2023-01-26,759
2023-01-27,839
2023-01-28,989
2023-01-29,954
2023-01-30,870
2023-01-31,305
2023-02-01,624
2023-02-02,804
2023-02-03,951
2023-02-04,936
2023-02-05,1021
2023-02-06,1114
2023-02-07,1136
2023-02-08,1176
2023-02-09,1257
2023-02-10,1150
2023-02-11,1206
2023-02-12,1161
2023-02-13,1075
2023-02-14,1143
2023-02-15,1262
2023-02-16,1075
2023-02-17,1055
2023-02-18,1016
2023-02-19,1220
2023-02-20,1278
2023-02-21,1307
2023-02-22,1366
2023-02-23,1051
2023-02-24,1068
2023-02-25,1005
2023-02-26,985
2023-02-27,1215
2023-02-28,1096
2023-03-01,1020
2023-03-02,1057
2023-03-03,1101
2023-03-04,1078
2023-03-05,1084
2023-03-06,1219
2023-03-07,1150
2023-03-08,1017
2023-03-09,646
2023-03-10,580
2023-03-11,576
2023-03-12,498
2023-03-13,353
2023-03-14,362
2023-03-15,374
2023-03-16,391
2023-03-17,369
2023-03-18,314
2023-03-19,292
2023-03-20,343
2023-03-21,419
2023-03-22,415
2023-03-23,374
2023-03-24,418
2023-03-25,392
2023-03-26,465
2023-03-27,553
2023-03-28,620
2023-03-29,663
2023-03-30,678
2023-03-31,681
2023-04-01,696
2023-04-02,639
2023-04-03,756
2023-04-04,874
2023-04-05,744
2023-04-06,817
2023-04-07,686
2023-04-08,781
2023-04-09,790
2023-04-10,792
2023-04-11,913
2023-04-12,950
2023-04-13,967
2023-04-14,965
2023-04-15,818
2023-04-16,801
2023-04-17,858
2023-04-18,822
2023-04-19,640
2023-04-20,634
2023-04-21,547
2023-04-22,508
2023-04-23,501
2023-04-24,702
2023-04-25,639
2023-04-26,767
2023-04-27,728
2023-04-28,773
2023-04-29,376
2023-04-30,364
2023-05-01,532
2023-05-02,353
2023-05-03,378
2023-05-04,461
2023-05-05,634
2023-05-06,917
2023-05-07,1122
2023-05-08,1246
2023-05-09,1401
2023-05-10,1181
2023-05-11,1229
2023-05-12,934
2023-05-13,847
2023-05-14,904
2023-05-15,897
2023-05-16,956
2023-05-17,997
2023-05-18,1025
2023-05-19,880
2023-05-20,720
2023-05-21,765
2023-05-22,863
2023-05-23,902
