,Sales Rank
2022-12-14,151
2022-12-15,148
2022-12-16,169
2022-12-17,185
2022-12-18,220
2022-12-19,201
2022-12-20,162
2022-12-21,154
2022-12-22,145
2022-12-23,137
2022-12-24,125
2022-12-25,133
2022-12-26,120
2022-12-27,128
2022-12-28,110
2022-12-29,112
2022-12-30,109
2022-12-31,116
2023-01-01,132
2023-01-02,139
2023-01-03,126
2023-01-04,122
2023-01-05,116
2023-01-06,117
2023-01-07,105
2023-01-08,107
2023-01-09,108
2023-01-10,110
2023-01-11,113
2023-01-12,110
2023-01-13,100
2023-01-14,102
2023-01-15,111
2023-01-16,110
2023-01-17,106
2023-01-18,112
2023-01-19,112
2023-01-20,110
2023-01-21,122
2023-01-22,137
2023-01-23,121
2023-01-24,118
2023-01-25,122
2023-01-26,122
2023-01-27,121
2023-01-28,121
2023-01-29,134
2023-01-30,120
2023-01-31,110
2023-02-01,105
2023-02-02,105
2023-02-03,104
2023-02-04,122
2023-02-05,122
2023-02-06,92
2023-02-07,92
2023-02-08,127
2023-02-09,164
2023-02-10,142
2023-02-11,142
2023-02-12,216
2023-02-13,184
2023-02-14,211
2023-02-15,165
2023-02-16,177
2023-02-17,185
2023-02-18,214
2023-02-19,238
2023-02-20,190
2023-02-21,188
2023-02-22,156
2023-02-23,138
2023-02-24,136
2023-02-25,157
2023-02-26,188
2023-02-27,151
2023-02-28,171
2023-03-01,197
2023-03-02,139
2023-03-03,136
2023-03-04,156
2023-03-05,141
2023-03-06,135
2023-03-07,147
2023-03-08,160
2023-03-09,130
2023-03-10,129
2023-03-11,137
2023-03-12,171
2023-03-13,157
2023-03-14,174
2023-03-15,194
2023-03-16,150
2023-03-17,162
2023-03-18,196
2023-03-19,202
2023-03-20,165
2023-03-21,185
2023-03-22,178
2023-03-23,136
2023-03-24,164
2023-03-25,180
2023-03-26,217
2023-03-27,155
2023-03-28,190
2023-03-29,170
2023-03-30,139
2023-03-31,133
2023-04-01,181
2023-04-02,189
2023-04-03,157
2023-04-04,163
2023-04-05,164
2023-04-06,153
2023-04-07,141
2023-04-08,175
2023-04-09,188
2023-04-10,155
2023-04-11,154
2023-04-12,179
2023-04-13,168
2023-04-14,160
2023-04-15,177
2023-04-16,187
2023-04-17,166
2023-04-18,167
2023-04-19,147
2023-04-20,158
2023-04-21,155
2023-04-22,179
2023-04-23,179
2023-04-24,159
2023-04-25,149
2023-04-26,143
2023-04-27,152
2023-04-28,156
2023-04-29,175
2023-04-30,204
2023-05-01,166
2023-05-02,200
2023-05-03,192
2023-05-04,173
2023-05-05,163
2023-05-06,191
2023-05-07,206
2023-05-08,167
2023-05-09,164
2023-05-10,140
2023-05-11,155
2023-05-12,159
2023-05-13,178
2023-05-14,200
2023-05-15,162
2023-05-16,157
2023-05-17,164
2023-05-18,150
2023-05-19,147
2023-05-20,191
2023-05-21,208
2023-05-22,156
2023-05-23,151
2023-05-24,162
2023-05-25,142
2023-05-26,143
2023-05-27,160
2023-05-28,191
2023-05-30,164
2023-05-31,176
2023-06-01,164
2023-06-02,159
2023-06-03,206
2023-06-04,217
2023-06-05,205
2023-06-06,150
2023-06-07,245
2023-06-08,102
2023-06-09,132
2023-06-10,154
2023-06-11,160
2023-06-12,137
2023-06-13,153
2023-06-14,166
2023-06-15,161
2023-06-16,151
2023-06-17,164
2023-06-18,182
2023-06-19,139
2023-06-20,95
2023-06-21,100
2023-06-22,1484
2023-06-23,1456
2023-06-24,1509
2023-06-25,1587
2023-06-26,1468
2023-06-27,1476
2023-06-28,1351
2023-06-29,1535
2023-06-30,1383
2023-07-01,1497
2023-07-02,1679
2023-07-03,1501
2023-07-04,1370
2023-07-05,1403
2023-07-06,1549
2023-07-07,1548
2023-07-08,1647
2023-07-09,1714
2023-07-10,1334
2023-07-11,2165
2023-07-12,2806
2023-07-13,2229
2023-07-14,2001
2023-07-15,1651
2023-07-16,1905
2023-07-17,1422
2023-07-18,1528
2023-07-19,1448
2023-07-20,1337
2023-07-21,1408
2023-07-22,1503
2023-07-23,1629
2023-07-24,1390
2023-07-25,1467
2023-07-26,1440
2023-07-27,1435
2023-07-28,1232
2023-07-29,1668
2023-07-30,1603
2023-07-31,1505
2023-08-01,1426
2023-08-03,1395
2023-08-04,1334
2023-08-05,1328
2023-08-06,1571
2023-08-07,1637
2023-08-08,1500
2023-08-09,1562
2023-08-10,1408
2023-08-11,1426
2023-08-12,1581
2023-08-13,1679
2023-08-14,1414
2023-08-15,1413
2023-08-16,1365
2023-08-17,1631
2023-08-18,1633
2023-08-19,1553
2023-08-20,1673
2023-08-21,1484
2023-08-22,1451
2023-08-23,1419
2023-08-24,1329
2023-08-25,1441
2023-08-26,1433
2023-08-27,1774
2023-08-28,1474
2023-08-29,1375
2023-08-30,1435
2023-08-31,1413
2023-09-01,1501
2023-09-02,1600
2023-09-03,1552
2023-09-04,1423
2023-09-05,1244
2023-09-06,1340
2023-09-07,1376
2023-09-08,1340
2023-09-09,1497
2023-09-10,1810
2023-09-11,1416
2023-09-12,1416
2023-09-13,1565
2023-09-14,1439
2023-09-15,1518
2023-09-16,1608
2023-09-17,1717
2023-09-18,1546
2023-09-19,1452
2023-09-20,1398
2023-09-21,1423
2023-09-22,1546
2023-09-23,1519
2023-09-24,1642
2023-09-25,1441
2023-09-26,1393
2023-09-27,1467
2023-09-28,1076
2023-09-29,1086
2023-09-30,1350
2023-10-01,1398
2023-10-02,1078
2023-10-03,1126
2023-10-04,1130
2023-10-05,1108
2023-10-06,1344
2023-10-07,1556
2023-10-08,1668
2023-10-09,1367
2023-10-10,2487
2023-10-11,5072
2023-10-12,6627
2023-10-13,7169
2023-10-14,1293
2023-10-15,1334
2023-10-16,1100
2023-10-17,471
2023-10-18,1916
2023-10-19,750
2023-10-20,1802
2023-10-21,1955
2023-10-22,1956
2023-10-23,1874
2023-10-24,2047
2023-10-25,1747
2023-10-26,1316
2023-10-27,1359
2023-10-28,1637
2023-10-29,1873
2023-10-30,1696
2023-10-31,2237
2023-11-01,731
2023-11-02,657
2023-11-03,728
2023-11-04,816
2023-11-05,898
2023-11-06,809
