,Sales Rank
2022-12-14,1072
2022-12-15,1094
2022-12-16,1163
2022-12-17,1147
2022-12-18,1297
2022-12-19,1287
2022-12-20,1092
2022-12-21,1022
2022-12-22,955
2022-12-23,867
2022-12-24,841
2022-12-25,832
2022-12-26,772
2022-12-27,682
2022-12-28,626
2022-12-29,697
2022-12-30,725
2022-12-31,639
2023-01-01,689
2023-01-02,714
2023-01-03,576
2023-01-04,662
2023-01-05,662
2023-01-06,674
2023-01-07,675
2023-01-08,692
2023-01-09,699
2023-01-10,713
2023-01-11,716
2023-01-12,737
2023-01-13,857
2023-01-14,879
2023-01-15,1028
2023-01-16,1035
2023-01-17,922
2023-01-18,867
2023-01-19,851
2023-01-20,834
2023-01-21,754
2023-01-22,727
2023-01-23,759
2023-01-24,952
2023-01-25,860
2023-01-26,710
2023-01-27,673
2023-01-28,710
2023-01-29,762
2023-01-30,636
2023-01-31,872
2023-02-01,886
2023-02-02,663
2023-02-03,722
2023-02-04,739
2023-02-05,753
2023-02-06,741
2023-02-07,730
2023-02-08,838
2023-02-09,713
2023-02-10,781
2023-02-11,905
2023-02-12,830
2023-02-13,811
2023-02-14,923
2023-02-15,836
2023-02-16,794
2023-02-17,752
2023-02-18,814
2023-02-19,867
2023-02-20,812
2023-02-21,771
2023-02-22,762
2023-02-23,911
2023-02-24,1070
2023-02-25,884
2023-02-26,987
2023-02-27,840
2023-02-28,919
2023-03-01,879
2023-03-02,794
2023-03-03,918
2023-03-04,1018
2023-03-05,1158
2023-03-06,1047
2023-03-07,1023
2023-03-08,1059
2023-03-09,1003
2023-03-10,1085
2023-03-11,1078
2023-03-12,1249
2023-03-13,1099
2023-03-14,947
2023-03-15,1016
2023-03-16,987
2023-03-17,362
2023-03-18,519
2023-03-19,917
2023-03-20,831
2023-03-21,827
2023-03-22,820
2023-03-23,836
2023-03-24,915
2023-03-25,1004
2023-03-26,1189
2023-03-27,902
2023-03-28,906
2023-03-29,828
2023-03-30,780
2023-03-31,778
2023-04-01,1005
2023-04-02,1029
2023-04-03,885
2023-04-04,830
2023-04-05,817
2023-04-06,865
2023-04-07,873
2023-04-08,1025
2023-04-09,1126
2023-04-10,845
2023-04-11,1037
2023-04-12,1027
2023-04-13,900
2023-04-14,950
2023-04-15,992
2023-04-16,1153
2023-04-17,824
2023-04-18,830
2023-04-19,813
2023-04-20,861
2023-04-21,849
2023-04-22,951
2023-04-23,1009
2023-04-24,895
2023-04-25,879
2023-04-26,869
2023-04-27,888
2023-04-28,851
2023-04-29,944
2023-04-30,973
2023-05-01,852
2023-05-02,918
2023-05-03,844
2023-05-04,916
2023-05-05,887
2023-05-06,864
2023-05-07,997
2023-05-08,867
2023-05-09,931
2023-05-10,872
2023-05-11,836
2023-05-12,888
2023-05-13,919
2023-05-14,914
2023-05-15,882
2023-05-16,784
2023-05-17,787
2023-05-18,793
2023-05-19,815
2023-05-20,993
2023-05-21,1000
2023-05-22,820
2023-05-23,884
2023-05-24,878
2023-05-25,978
2023-05-26,877
2023-05-27,919
2023-05-28,1053
2023-05-30,944
2023-05-31,949
2023-06-01,776
2023-06-02,766
2023-06-03,909
2023-06-04,904
2023-06-05,853
2023-06-06,867
2023-06-07,1985
2023-06-08,783
2023-06-09,845
2023-06-10,1042
2023-06-11,1065
2023-06-12,946
2023-06-13,903
2023-06-14,1092
2023-06-15,1045
2023-06-16,974
2023-06-17,998
2023-06-18,1092
2023-06-19,970
2023-06-20,195
2023-06-21,209
2023-06-22,199
2023-06-23,198
2023-06-24,74
2023-06-25,96
2023-06-26,94
2023-06-27,95
2023-06-28,82
2023-06-29,82
2023-06-30,72
2023-07-01,83
2023-07-02,108
2023-07-03,57
2023-07-04,85
2023-07-05,81
2023-07-06,67
2023-07-07,65
2023-07-08,83
2023-07-09,105
2023-07-10,89
2023-07-11,185
2023-07-12,203
2023-07-13,192
2023-07-14,115
2023-07-15,127
2023-07-16,125
2023-07-17,78
2023-07-18,103
2023-07-19,75
2023-07-20,68
2023-07-21,71
2023-07-22,89
2023-07-23,102
2023-07-24,83
2023-07-25,96
2023-07-26,89
2023-07-27,87
2023-07-28,77
2023-07-29,93
2023-07-30,103
2023-07-31,91
2023-08-02,76
2023-08-03,75
2023-08-05,74
2023-08-06,84
2023-08-07,87
2023-08-08,74
2023-08-09,74
2023-08-10,95
2023-08-11,85
2023-08-12,105
2023-08-13,111
2023-08-14,86
2023-08-15,86
2023-08-16,83
2023-08-17,93
2023-08-18,77
2023-08-19,98
2023-08-20,105
2023-08-21,84
2023-08-22,88
2023-08-23,94
2023-08-24,84
2023-08-25,79
2023-08-26,92
2023-08-27,113
2023-08-28,88
2023-08-29,90
2023-08-30,83
2023-08-31,82
2023-09-01,76
2023-09-02,93
2023-09-03,98
2023-09-04,79
2023-09-05,81
2023-09-06,84
2023-09-07,81
2023-09-08,72
2023-09-09,108
2023-09-10,113
2023-09-11,88
2023-09-12,87
2023-09-13,90
2023-09-14,87
2023-09-15,89
2023-09-16,111
2023-09-17,116
2023-09-18,93
2023-09-19,92
2023-09-20,91
2023-09-21,89
2023-09-22,75
2023-09-23,87
2023-09-24,105
2023-09-25,85
2023-09-26,81
2023-09-27,96
2023-09-28,81
2023-09-29,74
2023-09-30,100
2023-10-01,101
2023-10-02,82
2023-10-03,74
2023-10-04,28
2023-10-05,25
2023-10-06,26
2023-10-07,48
2023-10-08,52
2023-10-09,44
2023-10-10,48
2023-10-11,89
2023-10-12,76
2023-10-13,69
2023-10-14,3059
2023-10-15,3375
2023-10-16,3000
2023-10-17,3401
2023-10-18,3457
2023-10-19,3295
2023-10-20,3597
2023-10-21,3710
2023-10-22,3810
2023-10-23,3141
2023-10-24,3567
2023-10-25,3237
2023-10-26,3261
2023-10-27,3766
2023-10-28,3923
2023-10-29,3725
2023-10-30,3590
2023-10-31,3514
2023-11-01,3247
2023-11-02,3282
2023-11-03,2712
2023-11-04,4387
2023-11-05,4020
2023-11-06,3495
2023-11-07,3151
2023-11-08,2998
2023-11-09,3239
2023-11-10,3236
2023-11-11,3236
2023-11-12,3856
2023-11-13,3316
2023-11-14,3258
2023-11-15,2896
2023-11-16,3722
2023-11-17,3004
2023-11-18,3587
2023-11-19,4401
2023-11-20,4158
2023-11-21,3809
2023-11-22,3706
2023-11-23,4032
2023-11-24,4999
2023-11-25,4973
2023-11-26,5074
2023-11-27,4393
2023-11-28,114
2023-11-29,112
2023-11-30,76
2023-12-01,70
2023-12-02,89
2023-12-03,94
2023-12-04,87
2023-12-05,87
2023-12-06,84
2023-12-07,93
2023-12-08,89
2023-12-09,118
2023-12-10,143
2023-12-11,110
2023-12-12,99
2023-12-13,103
2023-12-14,102
2023-12-15,108
2023-12-16,140
2023-12-17,162
2023-12-18,131
2023-12-19,135
2023-12-20,131
2023-12-21,123
2023-12-22,120
2023-12-23,100
2023-12-24,123
