,Sales Rank
2022-12-14,228
2022-12-15,186
2022-12-16,148
2022-12-17,149
2022-12-18,130
2022-12-19,128
2022-12-20,146
2022-12-21,158
2022-12-22,239
2022-12-23,310
2022-12-24,363
2022-12-25,428
2022-12-26,584
2022-12-27,577
2022-12-28,642
2022-12-29,574
2022-12-30,650
2022-12-31,668
2023-01-01,699
2023-01-02,566
2023-01-03,592
2023-01-04,580
2023-01-05,617
2023-01-06,601
2023-01-07,574
2023-01-08,577
2023-01-09,583
2023-01-10,582
2023-01-11,579
2023-01-12,634
2023-01-13,585
2023-01-14,590
2023-01-15,611
2023-01-16,662
2023-01-17,582
2023-01-18,609
2023-01-19,666
2023-01-20,573
2023-01-21,608
2023-01-22,557
2023-01-23,588
2023-01-24,564
2023-01-25,546
2023-01-26,598
2023-01-27,551
2023-01-28,541
2023-01-29,495
2023-01-30,575
2023-01-31,528
2023-02-01,558
2023-02-02,542
2023-02-03,522
2023-02-04,533
2023-02-05,484
2023-02-06,559
2023-02-07,450
2023-02-08,428
2023-02-09,452
2023-02-10,450
2023-02-11,331
2023-02-12,317
2023-02-13,315
2023-02-14,315
2023-02-15,313
2023-02-16,321
2023-02-17,274
2023-02-18,246
2023-02-19,232
2023-02-20,268
2023-02-21,268
2023-02-22,304
2023-02-23,281
2023-02-24,260
2023-02-25,263
2023-02-26,270
2023-02-27,227
2023-02-28,259
2023-03-01,221
2023-03-02,231
2023-03-03,230
2023-03-04,216
2023-03-05,201
2023-03-06,204
2023-03-07,232
2023-03-08,224
2023-03-09,227
2023-03-10,225
2023-03-11,247
2023-03-12,229
2023-03-13,235
2023-03-14,216
2023-03-15,219
2023-03-16,236
2023-03-17,235
2023-03-18,214
2023-03-19,205
2023-03-20,240
2023-03-21,200
2023-03-22,195
2023-03-23,142
2023-03-24,96
2023-03-25,140
2023-03-26,165
2023-03-27,220
2023-03-28,210
2023-03-29,228
2023-03-30,310
2023-03-31,330
2023-04-01,340
2023-04-02,431
2023-04-03,433
2023-04-04,494
2023-04-05,450
2023-04-06,455
2023-04-07,463
2023-04-08,508
2023-04-09,379
2023-04-10,350
2023-04-11,314
2023-04-12,314
2023-04-13,322
2023-04-14,331
2023-04-15,294
2023-04-16,304
2023-04-17,335
2023-04-18,330
2023-04-19,271
2023-04-20,296
2023-04-21,286
2023-04-22,228
2023-04-23,244
2023-04-24,273
2023-04-25,275
2023-04-26,248
2023-04-27,231
2023-04-28,235
2023-04-29,210
2023-04-30,215
2023-05-01,211
2023-05-02,241
2023-05-03,229
2023-05-04,247
2023-05-05,221
2023-05-06,252
2023-05-07,268
2023-05-08,285
2023-05-09,272
2023-05-10,248
2023-05-11,249
2023-05-12,283
2023-05-13,243
2023-05-14,305
2023-05-15,281
2023-05-16,294
2023-05-17,321
2023-05-18,309
2023-05-19,261
2023-05-20,244
2023-05-21,302
2023-05-22,335
2023-05-23,252
2023-05-24,268
2023-05-25,276
2023-05-26,285
2023-05-27,266
2023-05-28,272
2023-05-30,272
2023-05-31,248
2023-06-01,247
2023-06-02,229
2023-06-03,262
2023-06-04,252
2023-06-05,245
2023-06-06,208
2023-06-07,213
2023-06-08,243
2023-06-09,238
2023-06-10,266
2023-06-11,286
2023-06-12,268
2023-06-13,279
2023-06-14,281
2023-06-15,287
2023-06-16,287
2023-06-17,257
2023-06-18,236
2023-06-19,234
2023-06-20,234
2023-06-21,234
2023-06-22,254
2023-06-23,162
2023-06-24,116
2023-06-25,128
2023-06-26,142
2023-06-27,179
2023-06-28,220
2023-06-29,238
2023-06-30,242
2023-07-01,256
2023-07-02,270
2023-07-03,235
2023-07-04,269
2023-07-05,302
2023-07-06,310
2023-07-07,301
2023-07-08,283
2023-07-09,301
2023-07-10,260
2023-07-11,377
