,Sales Rank
2022-12-14,371
2022-12-15,424
2022-12-16,495
2022-12-17,474
2022-12-18,427
2022-12-19,397
2022-12-20,412
2022-12-21,393
2022-12-22,437
2022-12-23,548
2022-12-24,680
2022-12-25,754
2022-12-26,952
2022-12-27,1072
2022-12-28,1031
2022-12-29,963
2022-12-30,976
2022-12-31,949
2023-01-01,906
2023-01-02,1006
2023-01-03,1072
2023-01-04,985
2023-01-05,941
2023-01-06,931
2023-01-07,867
2023-01-08,820
2023-01-09,785
2023-01-10,754
2023-01-11,722
2023-01-12,741
2023-01-13,792
2023-01-14,873
2023-01-15,815
2023-01-16,766
2023-01-17,823
2023-01-18,821
2023-01-19,900
2023-01-20,912
2023-01-21,751
2023-01-22,761
2023-01-23,808
2023-01-24,816
2023-01-25,785
2023-01-26,782
2023-01-27,769
2023-01-28,746
2023-01-29,706
2023-01-30,854
2023-01-31,928
2023-02-01,897
2023-02-02,992
2023-02-03,985
2023-02-04,834
2023-02-05,760
2023-02-06,734
2023-02-07,779
2023-02-08,738
2023-02-09,762
2023-02-10,757
2023-02-11,695
2023-02-12,664
2023-02-13,594
2023-02-14,613
2023-02-15,630
2023-02-16,657
2023-02-17,639
2023-02-18,600
2023-02-19,524
2023-02-20,521
2023-02-21,585
2023-02-22,623
2023-02-23,645
2023-02-24,614
2023-02-25,514
2023-02-26,480
2023-02-27,595
2023-02-28,614
2023-03-01,552
2023-03-02,366
2023-03-03,82
2023-03-04,80
2023-03-05,94
2023-03-06,144
2023-03-07,211
2023-03-08,154
2023-03-09,110
2023-03-10,166
2023-03-11,184
2023-03-12,203
2023-03-13,250
2023-03-14,240
2023-03-15,303
2023-03-16,327
2023-03-17,193
2023-03-18,138
2023-03-19,182
2023-03-20,233
2023-03-21,278
2023-03-22,235
2023-03-23,167
2023-03-24,115
2023-03-25,143
2023-03-26,132
2023-03-27,203
2023-03-28,221
2023-03-29,251
2023-03-30,281
2023-03-31,325
2023-04-01,271
2023-04-02,268
2023-04-03,311
2023-04-04,287
2023-04-05,270
2023-04-06,328
2023-04-07,305
2023-04-08,336
2023-04-09,264
2023-04-10,307
2023-04-11,320
2023-04-12,281
2023-04-13,284
2023-04-14,296
2023-04-15,282
2023-04-16,293
2023-04-17,320
2023-04-18,301
2023-04-19,293
2023-04-20,302
2023-04-21,293
2023-04-22,288
2023-04-23,293
2023-04-24,344
2023-04-25,346
2023-04-26,297
2023-04-27,299
2023-04-28,331
2023-04-29,291
2023-04-30,281
2023-05-01,307
2023-05-02,318
2023-05-03,283
2023-05-04,326
2023-05-05,309
2023-05-06,305
2023-05-07,279
2023-05-08,296
2023-05-09,314
2023-05-10,288
2023-05-11,299
2023-05-12,300
2023-05-13,269
2023-05-14,246
2023-05-15,291
2023-05-16,285
2023-05-17,283
2023-05-18,289
2023-05-19,326
2023-05-20,274
2023-05-21,279
2023-05-22,249
2023-05-23,293
2023-05-24,343
2023-05-25,340
2023-05-26,314
2023-05-27,242
2023-05-28,225
2023-05-30,238
2023-05-31,229
2023-06-01,257
2023-06-02,207
2023-06-03,146
