,Sales Rank
2022-12-14,26104
2022-12-15,21257
2022-12-16,30100
2022-12-17,21623
2022-12-18,28737
2022-12-19,27902
2022-12-20,24886
2022-12-21,25017
2022-12-22,21978
2022-12-23,20952
2022-12-24,29019
2022-12-25,21034
2022-12-26,28030
2022-12-27,27623
2022-12-28,40031
2022-12-29,30066
2022-12-30,36118
2022-12-31,36535
2023-01-01,20782
2023-01-02,33163
2023-01-03,18250
2023-01-04,23694
2023-01-05,20119
2023-01-06,18560
2023-01-07,19612
2023-01-08,23099
2023-01-09,24903
2023-01-10,22046
2023-01-11,22986
2023-01-12,24874
2023-01-13,24242
2023-01-14,26385
2023-01-15,22154
2023-01-16,23579
2023-01-17,24798
2023-01-18,26773
2023-01-19,18176
2023-01-20,28954
2023-01-21,22064
2023-01-22,27434
2023-01-23,29975
2023-01-24,26885
2023-01-25,23400
2023-01-26,25787
2023-01-27,26213
2023-01-28,29037
2023-01-29,34498
2023-01-30,26992
2023-01-31,25570
2023-02-01,28154
2023-02-02,19795
2023-02-03,24174
2023-02-04,28901
2023-02-05,23487
2023-02-06,24862
2023-02-07,23242
2023-02-08,21974
2023-02-09,22647
2023-02-10,27105
2023-02-11,24307
2023-02-12,28309
2023-02-13,17370
2023-02-14,21700
2023-02-15,29474
2023-02-16,27522
2023-02-17,43001
2023-02-18,54019
2023-02-19,30389
2023-02-20,26231
2023-02-21,24400
2023-02-22,26263
2023-02-23,27917
2023-02-24,20775
2023-02-25,25117
2023-02-26,25639
2023-02-27,21316
2023-02-28,22473
2023-03-01,24393
2023-03-02,17970
2023-03-03,20113
2023-03-04,23414
2023-03-05,26785
2023-03-06,20493
2023-03-07,26153
2023-03-08,25566
2023-03-09,41638
2023-03-10,21672
2023-03-11,37972
2023-03-12,28846
2023-03-13,29420
2023-03-14,23621
2023-03-15,25185
2023-03-16,28276
2023-03-17,23562
2023-03-18,36036
2023-03-19,23524
2023-03-20,26225
2023-03-21,19986
2023-03-22,35351
2023-03-23,31180
2023-03-24,39199
2023-03-25,28740
2023-03-26,31444
2023-03-27,26275
2023-03-28,27585
2023-03-29,26264
2023-03-30,25604
2023-03-31,26556
2023-04-01,23552
2023-04-02,25268
2023-04-03,30638
2023-04-04,17928
2023-04-05,22997
2023-04-06,27301
2023-04-07,21661
2023-04-08,35635
2023-04-09,27968
2023-04-10,28691
2023-04-11,26213
2023-04-12,29047
2023-04-13,19719
2023-04-14,26995
2023-04-15,33583
2023-04-16,23322
2023-04-17,37666
2023-04-18,40569
2023-04-19,30187
2023-04-20,18268
2023-04-22,27356
2023-04-23,33273
2023-04-24,32486
2023-04-25,22087
2023-04-26,21648
2023-04-27,19833
2023-04-28,24995
2023-04-29,33840
2023-04-30,23751
2023-05-01,26182
2023-05-02,31811
2023-05-03,24338
2023-05-04,25834
2023-05-05,25634
2023-05-06,29000
2023-05-07,29339
2023-05-08,29436
2023-05-09,23371
2023-05-10,26231
2023-05-11,28456
2023-05-12,24917
2023-05-13,24284
2023-05-14,35968
2023-05-15,31044
2023-05-16,17480
2023-05-17,23706
2023-05-18,833
2023-05-19,630
2023-05-20,777
2023-05-21,872
2023-05-22,791
2023-05-23,695
2023-05-24,817
2023-05-25,632
2023-05-26,672
2023-05-27,765
2023-05-28,909
2023-05-30,730
2023-05-31,785
2023-06-01,831
2023-06-02,871
2023-06-03,900
2023-06-04,1059
2023-06-05,1034
2023-06-06,965
2023-06-07,896
2023-06-08,921
2023-06-09,810
2023-06-10,982
2023-06-11,966
2023-06-12,871
2023-06-13,818
2023-06-14,913
2023-06-15,926
2023-06-16,881
2023-06-17,934
2023-06-18,1008
2023-06-19,846
2023-06-20,790
2023-06-21,943
2023-06-22,901
2023-06-23,916
2023-06-24,776
2023-06-25,811
2023-06-26,922
2023-06-27,881
2023-06-28,920
2023-06-29,1044
2023-06-30,888
2023-07-01,963
2023-07-02,1021
2023-07-03,796
2023-07-04,891
2023-07-05,882
2023-07-06,1001
2023-07-07,882
2023-07-08,1024
2023-07-09,1021
2023-07-10,875
2023-07-11,1276
2023-07-12,1632
2023-07-13,1432
2023-07-14,1176
2023-07-15,1221
2023-07-16,1298
2023-07-17,1042
2023-07-18,993
2023-07-19,871
2023-07-20,1146
2023-07-21,1062
2023-07-23,1025
2023-07-24,961
2023-07-25,961
2023-07-26,928
2023-07-27,951
2023-07-28,935
2023-07-29,981
2023-07-30,1175
2023-07-31,1126
2023-08-05,974
2023-08-06,1011
2023-08-07,1072
2023-08-08,1025
2023-08-09,909
2023-08-10,914
2023-08-11,992
2023-08-12,1117
2023-08-13,1121
2023-08-14,957
2023-08-15,932
2023-08-16,1043
2023-08-17,928
2023-08-18,983
2023-08-19,1047
2023-08-20,1137
2023-08-21,874
2023-08-22,888
2023-08-23,872
2023-08-24,965
2023-08-25,774
2023-08-26,945
2023-08-27,1128
2023-08-28,892
2023-08-29,868
2023-08-30,936
2023-08-31,1050
2023-09-01,961
2023-09-02,975
2023-09-03,1170
2023-09-04,1088
2023-09-05,1027
2023-09-06,962
2023-09-07,1009
2023-09-08,995
2023-09-09,1152
2023-09-10,1122
2023-09-11,930
2023-09-12,935
2023-09-13,975
2023-09-15,976
2023-09-16,1111
2023-09-17,1303
2023-09-18,936
2023-09-19,955
2023-09-20,904
2023-09-21,912
2023-09-22,999
2023-09-23,950
2023-09-24,938
2023-09-25,775
2023-09-26,818
2023-09-27,786
2023-09-28,818
2023-09-29,883
2023-09-30,1083
2023-10-01,936
2023-10-02,909
2023-10-03,930
2023-10-04,912
2023-10-05,964
2023-10-06,953
2023-10-07,1063
2023-10-08,1181
2023-10-09,966
2023-10-10,896
