,Sales Rank
2022-12-14,194
2022-12-15,200
2022-12-16,198
2022-12-17,180
2022-12-18,180
2022-12-19,159
2022-12-20,209
2022-12-21,201
2022-12-22,183
2022-12-23,204
2022-12-24,194
2022-12-25,191
2022-12-26,195
2022-12-27,183
2022-12-28,202
2022-12-29,206
2022-12-30,222
2022-12-31,195
2023-01-01,199
2023-01-02,216
2023-01-03,209
2023-01-04,203
2023-01-05,217
2023-01-06,208
2023-01-07,199
2023-01-08,204
2023-01-09,211
2023-01-10,207
2023-01-11,206
2023-01-12,205
2023-01-13,214
2023-01-14,225
2023-01-15,223
2023-01-16,223
2023-01-17,224
2023-01-18,212
2023-01-19,214
2023-01-20,218
2023-01-21,206
2023-01-22,220
2023-01-23,220
2023-01-24,211
2023-01-25,191
2023-01-26,201
2023-01-27,206
2023-01-28,179
2023-01-29,236
2023-01-30,224
2023-01-31,241
2023-02-01,228
2023-02-02,261
2023-02-03,245
2023-02-04,203
2023-02-05,231
2023-02-06,209
2023-02-07,216
2023-02-08,225
2023-02-09,207
2023-02-10,225
2023-02-11,208
2023-02-12,210
2023-02-13,239
2023-02-14,228
2023-02-15,294
2023-02-16,218
2023-02-17,222
2023-02-18,202
2023-02-19,211
2023-02-20,219
2023-02-21,232
2023-02-22,217
2023-02-23,232
2023-02-24,243
2023-02-25,242
2023-02-26,232
2023-02-27,235
2023-02-28,231
2023-03-01,238
2023-03-02,225
2023-03-03,206
2023-03-04,209
2023-03-05,217
2023-03-06,202
2023-03-07,206
2023-03-08,191
2023-03-09,195
2023-03-10,208
2023-03-11,203
2023-03-12,202
2023-03-13,225
2023-03-14,217
2023-03-15,235
2023-03-16,250
2023-03-17,243
2023-03-18,244
2023-03-19,247
2023-03-20,242
2023-03-21,219
2023-03-22,273
2023-03-23,219
2023-03-24,214
2023-03-25,235
2023-03-26,272
2023-03-27,252
2023-03-28,264
2023-03-29,262
2023-03-30,263
2023-03-31,224
2023-04-01,234
2023-04-02,217
2023-04-03,239
2023-04-04,210
2023-04-05,247
2023-04-06,215
2023-04-07,229
2023-04-08,217
2023-04-09,248
2023-04-10,246
2023-04-11,258
2023-04-12,255
2023-04-13,241
2023-04-14,247
2023-04-15,247
2023-04-16,280
2023-04-17,252
2023-04-18,252
2023-04-19,248
2023-04-20,247
2023-04-21,241
2023-04-22,238
2023-04-23,224
2023-04-24,223
2023-04-25,226
2023-04-26,242
2023-04-27,239
2023-04-28,260
2023-04-29,260
2023-04-30,245
2023-05-01,266
2023-05-02,263
2023-05-03,305
2023-05-04,269
2023-05-05,267
2023-05-06,255
2023-05-07,261
2023-05-08,226
2023-05-09,258
2023-05-10,234
2023-05-11,262
2023-05-12,224
2023-05-13,227
2023-05-14,230
2023-05-15,243
2023-05-16,236
2023-05-17,245
2023-05-18,235
2023-05-19,228
2023-05-20,239
2023-05-21,222
2023-05-22,224
2023-05-23,231
2023-05-24,383
2023-05-25,217
2023-05-26,230
2023-05-27,229
2023-05-28,239
2023-05-31,332
2023-06-01,396
2023-06-02,401
2023-06-03,156
2023-06-04,242
2023-06-05,237
2023-06-06,259
2023-06-07,602
2023-06-08,277
2023-06-09,298
2023-06-10,267
2023-06-11,256
2023-06-12,244
2023-06-13,256
2023-06-14,365
2023-06-15,287
2023-06-16,314
2023-06-17,297
2023-06-18,299
2023-06-19,283
2023-06-20,269
2023-06-21,334
2023-06-22,309
2023-06-23,357
2023-06-24,353
2023-06-25,360
2023-06-26,379
2023-06-27,243
2023-06-28,277
2023-06-29,285
2023-06-30,290
2023-07-01,296
2023-07-02,305
2023-07-03,287
2023-07-04,300
2023-07-05,287
2023-07-06,307
2023-07-07,250
2023-07-08,285
2023-07-09,279
2023-07-10,254
2023-07-11,342
2023-07-12,526
2023-07-13,466
2023-07-14,274
2023-07-15,288
2023-07-16,256
2023-07-17,247
