,Sales Rank
2022-12-14,73
2022-12-15,71
2022-12-16,76
2022-12-17,85
2022-12-18,96
2022-12-19,97
2022-12-20,86
2022-12-21,85
2022-12-22,77
2022-12-23,64
2022-12-24,64
2022-12-25,68
2022-12-26,53
2022-12-27,50
2022-12-28,53
2022-12-29,49
2022-12-30,52
2022-12-31,60
2023-01-01,96
2023-01-02,76
2023-01-03,60
2023-01-04,53
2023-01-05,55
2023-01-06,51
2023-01-07,31
2023-01-08,29
2023-01-09,30
2023-01-12,32
2023-01-13,28
2023-01-14,29
2023-01-15,35
2023-01-16,28
2023-01-17,30
2023-01-18,30
2023-01-19,30
2023-01-20,29
2023-01-21,31
2023-01-22,42
2023-01-23,28
2023-01-24,28
2023-01-25,25
2023-01-26,22
2023-01-27,30
2023-01-28,38
2023-01-29,37
2023-01-30,27
2023-01-31,33
2023-02-01,31
2023-02-02,31
2023-02-03,28
2023-02-04,32
2023-02-05,33
2023-02-06,30
2023-02-07,31
2023-02-08,29
2023-02-09,29
2023-02-10,29
2023-02-11,31
2023-02-12,41
2023-02-13,37
2023-02-14,35
2023-02-15,32
2023-02-16,31
2023-02-17,26
2023-02-18,29
2023-02-19,34
2023-02-20,27
2023-02-21,22
2023-02-22,23
2023-02-23,24
2023-02-24,25
2023-02-25,32
2023-02-26,34
2023-02-27,31
2023-02-28,27
2023-03-01,26
2023-03-02,22
2023-03-03,27
2023-03-04,26
2023-03-05,33
2023-03-06,28
2023-03-07,22
2023-03-08,16
2023-03-09,19
2023-03-10,22
2023-03-11,22
2023-03-12,26
2023-03-13,23
2023-03-14,24
2023-03-15,25
2023-03-17,25
2023-03-18,23
2023-03-19,31
2023-03-20,26
2023-03-21,26
2023-03-22,25
2023-03-23,28
2023-03-24,34
2023-03-25,34
2023-03-26,36
2023-03-27,24
2023-03-28,25
2023-03-29,23
2023-03-30,22
2023-03-31,23
2023-04-01,27
2023-04-02,27
2023-04-03,22
2023-04-04,20
2023-04-05,23
2023-04-06,19
2023-04-07,17
2023-04-08,22
2023-04-09,26
2023-04-10,18
2023-04-11,16
2023-04-12,22
2023-04-13,17
2023-04-14,12
2023-04-15,11
2023-04-16,13
2023-04-17,14
2023-04-18,18
2023-04-19,19
2023-04-20,20
2023-04-21,20
2023-04-22,21
2023-04-23,24
2023-04-24,23
2023-04-25,24
2023-04-26,23
2023-04-27,21
2023-04-28,20
2023-04-29,25
2023-04-30,30
2023-05-01,21
2023-05-02,29
2023-05-03,28
2023-05-04,22
2023-05-05,18
2023-05-06,22
2023-05-07,26
2023-05-08,18
2023-05-09,18
2023-05-10,16
2023-05-11,20
2023-05-12,22
2023-05-13,23
2023-05-14,22
2023-05-15,19
2023-05-16,19
2023-05-17,20
2023-05-18,21
2023-05-19,19
2023-05-20,26
2023-05-21,27
2023-05-22,18
2023-05-23,19
2023-05-24,23
2023-05-25,18
2023-05-26,21
2023-05-27,20
2023-05-28,28
2023-05-30,18
2023-05-31,21
2023-06-01,30
2023-06-02,28
2023-06-03,23
2023-06-04,25
2023-06-05,31
2023-06-06,19
2023-06-07,37
2023-06-08,16
2023-06-09,18
2023-06-10,25
2023-06-11,27
2023-06-12,22
2023-06-13,25
2023-06-14,36
2023-06-15,29
2023-06-16,28
2023-06-17,33
2023-06-18,33
2023-06-19,24
2023-06-20,22
2023-06-21,32
2023-06-22,34
2023-06-23,32
2023-06-24,35
2023-06-26,43
2023-06-27,25
2023-06-28,24
2023-06-29,27
2023-06-30,31
2023-07-01,33
2023-07-02,39
2023-07-03,28
2023-07-04,30
2023-07-05,31
2023-07-06,31
2023-07-07,35
2023-07-08,36
2023-07-09,36
2023-07-10,32
2023-07-11,18
2023-07-12,19
2023-07-13,17
2023-07-14,24
2023-07-15,16
2023-07-16,31
2023-07-17,26
2023-07-19,35
2023-07-20,33
2023-07-21,58
2023-07-22,62
2023-07-23,65
2023-07-24,45
2023-07-25,57
2023-07-26,53
2023-07-27,54
2023-07-28,53
2023-07-29,43
2023-07-30,54
2023-07-31,48
2023-08-01,42
2023-08-02,39
2023-08-03,40
2023-08-04,40
2023-08-05,39
2023-08-06,45
2023-08-07,52
2023-08-08,41
2023-08-09,43
2023-08-10,44
2023-08-11,50
2023-08-12,60
2023-08-13,77
2023-08-14,50
2023-08-15,51
2023-08-16,50
2023-08-17,51
2023-08-18,60
2023-08-19,69
2023-08-20,72
2023-08-21,48
2023-08-22,51
2023-08-23,43
2023-08-24,50
2023-08-25,44
2023-08-26,50
2023-08-27,60
2023-08-28,48
2023-08-29,47
2023-08-30,45
2023-08-31,69
2023-09-01,77
2023-09-02,97
2023-09-03,104
2023-09-04,88
2023-09-05,86
2023-09-06,90
2023-09-07,107
2023-09-08,91
2023-09-09,109
2023-09-10,117
2023-09-11,88
2023-09-12,104
2023-09-13,101
2023-09-14,101
2023-09-15,6
2023-09-16,40
2023-09-17,54
2023-09-18,56
2023-09-19,48
2023-09-20,44
2023-09-21,45
2023-09-22,44
2023-09-23,44
2023-09-24,53
2023-09-25,43
2023-09-26,45
2023-09-27,49
2023-09-28,51
2023-09-29,47
2023-09-30,66
2023-10-01,72
2023-10-02,51
2023-10-03,61
2023-10-04,58
2023-10-05,52
2023-10-06,55
2023-10-07,49
2023-10-08,50
2023-10-09,41
2023-10-10,84
2023-10-11,126
2023-10-12,117
2023-10-13,119
2023-10-14,120
2023-10-15,118
2023-10-16,88
2023-10-17,10
2023-10-18,37
2023-10-19,42
2023-10-20,45
2023-10-21,54
2023-10-22,51
2023-10-23,39
2023-10-24,49
2023-10-25,47
2023-10-26,39
2023-10-27,43
2023-10-28,46
2023-10-29,54
2023-10-30,49
2023-10-31,49
2023-11-01,42
2023-11-02,46
2023-11-03,44
2023-11-04,49
2023-11-05,56
2023-11-06,44
2023-11-07,51
