,Sales Rank
2022-12-14,3484
2022-12-15,3149
2022-12-16,2924
2022-12-17,3349
2022-12-18,3227
2022-12-19,3288
2022-12-20,3353
2022-12-21,3471
2022-12-22,3144
2022-12-23,2808
2022-12-24,2850
2022-12-25,2760
2022-12-26,2761
2022-12-27,2539
2022-12-28,2626
2022-12-29,2536
2022-12-30,2521
2022-12-31,2653
2023-01-01,2837
2023-01-02,2878
2023-01-03,2302
2023-01-04,2490
2023-01-05,2325
2023-01-06,2419
2023-01-07,2271
2023-01-08,2229
2023-01-09,2298
2023-01-10,2336
2023-01-11,2378
2023-01-12,2592
2023-01-13,2335
2023-01-14,2259
2023-01-15,2270
2023-01-16,2424
2023-01-17,2695
2023-01-18,2563
2023-01-19,2716
2023-01-20,2440
2023-01-21,2788
2023-01-22,2220
2023-01-23,2490
2023-01-24,2308
2023-01-25,2431
2023-01-26,2679
2023-01-27,2570
2023-01-28,2525
2023-01-29,2473
2023-01-30,2622
2023-01-31,2878
2023-02-01,2616
2023-02-02,2475
2023-02-03,2259
2023-02-04,2359
2023-02-05,2389
2023-02-06,2487
2023-02-07,2393
2023-02-08,2434
2023-02-09,2331
2023-02-10,2692
2023-02-11,2434
2023-02-12,2820
2023-02-13,2153
2023-02-14,1989
2023-02-15,2377
2023-02-16,2387
2023-02-17,2884
2023-02-18,2561
2023-02-19,2444
2023-02-20,2474
2023-02-22,2780
2023-02-23,2437
2023-02-24,2499
2023-02-25,2856
2023-02-26,2214
2023-02-27,2730
2023-02-28,2205
2023-03-01,2270
2023-03-02,2417
2023-03-03,2761
2023-03-05,2647
2023-03-07,2662
2023-03-08,2544
2023-03-09,2324
2023-03-10,2321
2023-03-11,2607
2023-03-12,2369
2023-03-13,2509
2023-03-15,2313
2023-03-16,2681
2023-03-17,2512
2023-03-18,2351
2023-03-19,2294
2023-03-20,2115
2023-03-21,2222
2023-03-22,2412
2023-03-23,2260
2023-03-24,2533
2023-03-25,2400
2023-03-26,2576
2023-03-27,2490
2023-03-28,2860
2023-03-29,2492
2023-03-30,2575
2023-03-31,2681
2023-04-02,2391
2023-04-03,2632
2023-04-05,2363
2023-04-06,2156
2023-04-07,2495
2023-04-08,2402
2023-04-09,2032
2023-04-10,2489
2023-04-11,2786
2023-04-12,2352
2023-04-13,2359
2023-04-14,2628
2023-04-15,2654
2023-04-16,2606
2023-04-17,2583
2023-04-18,2367
2023-04-19,2269
2023-04-20,2409
2023-04-21,2354
2023-04-22,2719
2023-04-23,2473
2023-04-24,1977
2023-04-25,2284
2023-04-26,2463
2023-04-27,2282
2023-04-28,2209
2023-04-29,2764
2023-04-30,2349
2023-05-01,2438
2023-05-02,2786
2023-05-03,2578
2023-05-04,2667
2023-05-05,2865
2023-05-06,3173
2023-05-07,2493
2023-05-08,2803
2023-05-09,2577
2023-05-10,2531
2023-05-11,2415
2023-05-12,2788
2023-05-14,2642
2023-05-15,2513
2023-05-16,2862
2023-05-17,2793
2023-05-18,2239
2023-05-19,2469
2023-05-21,2422
2023-05-22,2355
2023-05-23,2166
2023-05-24,2215
2023-05-25,2316
2023-05-26,2461
2023-05-27,2645
2023-05-28,2562
2023-05-31,2583
2023-06-01,2533
2023-06-02,2357
2023-06-03,2623
2023-06-04,2496
2023-06-05,2485
2023-06-06,2174
2023-06-07,2467
2023-06-08,2736
2023-06-09,2577
2023-06-10,2434
2023-06-11,2459
2023-06-12,2220
2023-06-13,2183
2023-06-14,2241
2023-06-15,2213
2023-06-16,2306
2023-06-17,2593
2023-06-18,2123
2023-06-19,2277
2023-06-20,2526
2023-06-21,2408
2023-06-22,2479
2023-06-23,2431
2023-06-24,2635
2023-06-25,2501
2023-06-26,2545
2023-06-27,2655
2023-06-28,2677
2023-06-29,3067
2023-06-30,2871
2023-07-01,2574
2023-07-02,2411
2023-07-03,2241
2023-07-04,2239
2023-07-05,2404
2023-07-06,2268
2023-07-07,2407
2023-07-08,2713
2023-07-09,2470
2023-07-10,2497
2023-07-11,2121
2023-07-12,2203
2023-07-13,2437
2023-07-14,2658
2023-07-15,2684
2023-07-16,2596
2023-07-17,2209
2023-07-18,2437
2023-07-20,2402
2023-07-21,2354
2023-07-22,2304
2023-07-23,2505
2023-07-24,2406
2023-07-25,2448
2023-07-26,2443
2023-07-27,2298
2023-07-28,2553
2023-07-29,2500
2023-07-30,2457
2023-07-31,2213
2023-08-01,2288
2023-08-02,2551
2023-08-05,2532
2023-08-06,2566
2023-08-08,2408
2023-08-09,2138
2023-08-10,2207
2023-08-11,2598
2023-08-12,2488
2023-08-13,2335
2023-08-14,2388
2023-08-15,2575
2023-08-16,2514
2023-08-17,2141
2023-08-18,2296
2023-08-19,2431
2023-08-20,2279
2023-08-21,2351
2023-08-22,2348
2023-08-23,2354
2023-08-24,2240
2023-08-25,2562
2023-08-26,2901
2023-08-27,2564
2023-08-28,2286
2023-08-29,2308
2023-08-30,2402
2023-08-31,2196
2023-09-01,2419
2023-09-02,2606
2023-09-03,2277
2023-09-04,2395
2023-09-05,2403
2023-09-06,2401
2023-09-07,2884
2023-09-08,2828
2023-09-09,2598
2023-09-10,2606
2023-09-11,2552
2023-09-12,2673
2023-09-14,2694
2023-09-15,2447
2023-09-16,2275
2023-09-17,2526
2023-09-18,2337
2023-09-19,2261
2023-09-20,2283
2023-09-21,2426
2023-09-22,3001
2023-09-23,2469
2023-09-24,2294
2023-09-25,1992
2023-09-27,1707
2023-09-28,1824
2023-09-29,1919
2023-09-30,1770
2023-10-01,1767
2023-10-02,1742
2023-10-03,1795
2023-10-04,1944
2023-10-05,829
2023-10-06,879
2023-10-07,987
2023-10-08,879
2023-10-09,954
2023-10-10,886
2023-10-12,880
2023-10-13,920
2023-10-14,1008
2023-10-15,855
2023-10-16,1067
2023-10-17,922
2023-10-18,923
2023-10-19,851
2023-10-20,973
2023-10-21,1000
2023-10-22,940
2023-10-23,937
2023-10-24,881
2023-10-25,954
2023-10-26,870
2023-10-27,944
2023-10-28,1054
2023-10-29,880
2023-10-30,851
2023-10-31,838
2023-11-01,873
2023-11-02,880
2023-11-03,68036
2023-11-04,81529
2023-11-05,91365
2023-11-06,108388
2023-11-07,110310
2023-11-08,118562
2023-11-09,120709
2023-11-10,124732
2023-11-11,127912
2023-11-12,130095
2023-11-13,134173
2023-11-14,134745
2023-11-15,135870
2023-11-16,137976
2023-11-17,139981
2023-11-18,142114
2023-11-19,142417
2023-11-20,146370
2023-11-21,145882
2023-11-23,149592
2023-11-24,149504
2023-11-25,154299
2023-11-26,89243
2023-11-27,81175
2023-11-28,103986
2023-11-29,56570
2023-11-30,92642
2023-12-01,106646
2023-12-02,119199
2023-12-03,129868
2023-12-04,131945
2023-12-05,143243
2023-12-06,141475
2023-12-07,148253
2023-12-08,151685
2023-12-09,69679
2023-12-10,110153
2023-12-11,118069
2023-12-12,133020
2023-12-13,142859
2023-12-14,1139
2023-12-15,1181
2023-12-16,1359
2023-12-17,1164
2023-12-18,1170
2023-12-19,1117
2023-12-20,1105
2023-12-21,1121
2023-12-22,1191
2023-12-23,1049
2023-12-24,857
2023-12-25,980
2023-12-26,877
2023-12-27,864
2023-12-28,941
