,Sales Rank
2022-12-14,31495
2022-12-15,36945
2022-12-16,44788
2022-12-17,35299
2022-12-18,44203
2022-12-19,29097
2022-12-20,41717
2022-12-21,43291
2022-12-22,41584
2022-12-23,36688
2022-12-24,28657
2022-12-25,40898
2022-12-26,24765
2022-12-27,34641
2022-12-28,30327
2022-12-29,41938
2022-12-30,31163
2022-12-31,36749
2023-01-01,37148
2023-01-02,31134
2023-01-03,33445
2023-01-04,35200
2023-01-05,33541
2023-01-06,30276
2023-01-07,25270
2023-01-08,27992
2023-01-09,29901
2023-01-10,29543
2023-01-11,30356
2023-01-12,31402
2023-01-13,30574
2023-01-14,33696
2023-01-15,39713
2023-01-16,22951
2023-01-17,32561
2023-01-18,35004
2023-01-19,37900
2023-01-20,24309
2023-01-21,31799
2023-01-22,36303
2023-01-23,38610
2023-01-24,41481
2023-01-25,59069
2023-01-26,40259
2023-01-27,24684
2023-01-28,41492
2023-01-29,39079
2023-01-30,32623
2023-01-31,33809
2023-02-01,22456
2023-02-02,29501
2023-02-03,36811
2023-02-04,34871
2023-02-05,40637
2023-02-06,30030
2023-02-07,37669
2023-02-08,27402
2023-02-09,39741
2023-02-10,42905
2023-02-11,27593
2023-02-12,27711
2023-02-13,16582
2023-02-14,21788
2023-02-15,28962
2023-02-16,34388
2023-02-17,41458
2023-02-18,55400
2023-02-19,31114
2023-02-20,52383
2023-02-21,38399
2023-02-22,34596
2023-02-23,35286
2023-02-24,29488
2023-02-25,30398
2023-02-26,29132
2023-02-27,47849
2023-02-28,49028
2023-03-01,42735
2023-03-02,39552
2023-03-03,22224
2023-03-04,19946
2023-03-05,42462
2023-03-06,25597
2023-03-07,22628
2023-03-08,25773
2023-03-09,23535
2023-03-10,31889
2023-03-11,33301
2023-03-12,35010
2023-03-13,45149
2023-03-14,33825
2023-03-15,42092
2023-03-16,56360
2023-03-17,71690
2023-03-18,50950
2023-03-19,47401
2023-03-20,47594
2023-03-21,68567
2023-03-22,78440
2023-03-23,60461
2023-03-24,77165
2023-03-25,83594
2023-03-26,89364
2023-03-27,92213
2023-03-28,66567
2023-03-29,67557
2023-03-30,78569
2023-03-31,53547
2023-04-01,77915
2023-04-02,70439
2023-04-03,57074
2023-04-04,77597
2023-04-05,57321
2023-04-06,78184
2023-04-07,88543
2023-04-08,91881
2023-04-09,94603
2023-04-10,57062
2023-04-11,39894
2023-04-12,40592
2023-04-13,30766
2023-04-14,26489
2023-04-15,24407
2023-04-16,27555
2023-04-17,36462
2023-04-18,49706
2023-04-19,51251
2023-04-20,28649
2023-04-21,34963
2023-04-22,50402
2023-04-23,37430
2023-04-24,54539
2023-04-25,52253
2023-04-26,43462
2023-04-27,52197
2023-04-28,69437
2023-04-29,58262
2023-04-30,75016
2023-05-01,44990
2023-05-02,54482
2023-05-03,72387
2023-05-04,77208
2023-05-05,84578
2023-05-06,59252
2023-05-07,74126
2023-05-08,61918
2023-05-09,49601
2023-05-10,72359
2023-05-11,67242
2023-05-12,47534
2023-05-13,69877
2023-05-14,80965
