,Sales Rank
2022-12-14,77
2022-12-15,69
2022-12-16,89
2022-12-17,90
2022-12-18,98
2022-12-19,96
2022-12-20,99
2022-12-21,100
2022-12-22,97
2022-12-23,85
2022-12-24,78
2022-12-25,82
2022-12-26,73
2022-12-27,64
2022-12-28,49
2022-12-29,51
2022-12-30,47
2022-12-31,59
2023-01-01,60
2023-01-02,42
2023-01-03,42
2023-01-04,45
2023-01-05,44
2023-01-06,48
2023-01-07,49
2023-01-08,53
2023-01-09,56
2023-01-10,65
2023-01-11,69
2023-01-12,62
2023-01-13,49
2023-01-14,40
2023-01-15,44
2023-01-16,44
2023-01-17,44
2023-01-18,48
2023-01-19,55
2023-01-20,51
2023-01-21,55
2023-01-22,57
2023-01-23,54
2023-01-24,50
2023-01-25,53
2023-01-26,59
2023-01-27,54
2023-01-28,63
2023-01-29,67
2023-01-30,58
2023-01-31,70
2023-02-01,56
2023-02-02,58
2023-02-03,57
2023-02-04,68
2023-02-05,61
2023-02-06,54
2023-02-07,66
2023-02-08,65
2023-02-09,72
2023-02-10,62
2023-02-11,70
2023-02-12,86
2023-02-13,64
2023-02-14,58
2023-02-15,60
2023-02-16,62
2023-02-17,60
2023-02-18,79
2023-02-19,78
2023-02-20,66
2023-02-21,59
2023-02-22,58
2023-02-23,60
2023-02-24,55
2023-02-25,74
2023-02-26,71
2023-02-27,62
2023-02-28,58
2023-03-01,53
2023-03-02,57
2023-03-03,52
2023-03-04,63
2023-03-05,64
2023-03-06,61
2023-03-07,59
2023-03-08,64
2023-03-09,65
2023-03-10,65
2023-03-11,66
2023-03-12,71
2023-03-13,64
2023-03-14,65
2023-03-15,60
2023-03-16,66
2023-03-17,63
2023-03-18,73
2023-03-19,79
2023-03-20,67
2023-03-21,64
2023-03-22,67
2023-03-23,78
2023-03-24,74
2023-03-25,82
2023-03-26,85
2023-03-27,69
2023-03-28,68
2023-03-29,66
2023-03-30,66
2023-03-31,63
2023-04-01,67
2023-04-02,76
2023-04-03,63
2023-04-04,60
2023-04-05,58
2023-04-06,62
2023-04-07,62
2023-04-08,69
2023-04-09,76
2023-04-10,63
2023-04-11,54
2023-04-12,60
2023-04-13,66
2023-04-14,58
2023-04-15,79
2023-04-16,75
2023-04-17,65
2023-04-18,63
2023-04-19,64
2023-04-20,60
2023-04-21,51
2023-04-22,61
2023-04-23,60
2023-04-24,56
2023-04-25,59
2023-04-26,61
2023-04-27,65
2023-04-28,64
2023-04-29,67
2023-04-30,72
2023-05-01,56
2023-05-02,81
2023-05-03,75
2023-05-04,71
2023-05-05,70
2023-05-06,71
2023-05-07,74
2023-05-08,63
2023-05-09,60
2023-05-10,58
