,Sales Rank
2022-12-14,68619
2022-12-15,81647
2022-12-16,72540
2022-12-17,78797
2022-12-18,48211
2022-12-19,42665
2022-12-20,45459
2022-12-21,53138
2022-12-22,40100
2022-12-23,53572
2022-12-24,50233
2022-12-25,62252
2022-12-26,28820
2022-12-27,32582
2022-12-28,20999
2022-12-29,28834
2022-12-30,26406
2022-12-31,34482
2023-01-01,27724
2023-01-02,20288
2023-01-03,27827
2023-01-04,29021
2023-01-05,29646
2023-01-06,26430
2023-01-07,29007
2023-01-08,28165
2023-01-09,27473
2023-01-10,28632
2023-01-11,28666
2023-01-12,29037
2023-01-13,29185
2023-01-14,32375
2023-01-15,14235
2023-01-16,18639
2023-01-17,16681
2023-01-18,13879
2023-01-19,20660
2023-01-20,24083
2023-01-21,20719
2023-01-22,14573
2023-01-23,16198
2023-01-24,25960
2023-01-25,21470
2023-01-26,20318
2023-01-27,19924
2023-01-28,23036
2023-01-29,16804
2023-01-30,20003
2023-01-31,14013
2023-02-01,18641
2023-02-02,15268
2023-02-03,20981
2023-02-04,13435
2023-02-05,10107
2023-02-06,10106
2023-02-07,11560
2023-02-08,11026
2023-02-09,14380
2023-02-10,13937
2023-02-11,12126
2023-02-12,10803
2023-02-13,13984
2023-02-14,13970
2023-02-15,13713
2023-02-16,13397
2023-02-17,123
2023-02-18,9867
2023-02-19,6676
2023-02-20,5877
2023-02-21,7193
2023-02-22,7647
2023-02-23,122
2023-02-24,113
2023-02-25,118
2023-02-26,76
2023-02-27,82
2023-02-28,110
2023-03-01,81
2023-03-02,91
2023-03-03,95
2023-03-04,100
2023-03-05,60
2023-03-06,75
2023-03-07,108
2023-03-08,108
2023-03-09,122
2023-03-10,149
2023-03-11,124
2023-03-12,118
2023-03-13,130
2023-03-14,142
2023-03-15,163
2023-03-16,131
2023-03-17,143
2023-03-18,124
2023-03-19,136
2023-03-20,130
2023-03-21,117
2023-03-22,116
2023-03-23,135
2023-03-24,136
2023-03-25,139
2023-03-26,86
2023-03-27,108
2023-03-28,108
2023-03-29,115
2023-03-30,108
2023-03-31,109
2023-04-01,97
2023-04-02,81
2023-04-03,92
2023-04-04,119
2023-04-05,121
2023-04-06,143
2023-04-07,125
2023-04-08,94
2023-04-09,73
2023-04-10,94
2023-04-11,60
2023-04-12,67
2023-04-13,73
2023-04-14,96
2023-04-15,82
2023-04-16,80
2023-04-17,124
2023-04-18,132
2023-04-19,161
2023-04-20,148
2023-04-21,154
2023-04-22,118
2023-04-23,125
2023-04-24,139
2023-04-25,143
2023-04-26,129
2023-04-27,134
2023-04-28,129
2023-04-29,93
2023-04-30,97
2023-05-01,118
2023-05-02,158
2023-05-03,171
2023-05-04,183
2023-05-05,130
2023-05-06,126
2023-05-07,118
2023-05-08,145
2023-05-09,182
2023-05-10,147
2023-05-11,161
2023-05-12,165
2023-05-13,176
2023-05-14,133
2023-05-15,197
2023-05-16,214
2023-05-17,202
2023-05-18,222
2023-05-19,227
2023-05-20,163
2023-05-21,142
2023-05-22,177
2023-05-23,191
2023-05-24,188
2023-05-25,216
2023-05-26,214
2023-05-27,184
2023-05-28,188
2023-05-31,224
2023-06-01,228
2023-06-02,218
2023-06-03,236
2023-06-04,212
2023-06-05,224
2023-06-06,225
2023-06-07,222
2023-06-08,232
2023-06-09,244
2023-06-10,257
2023-06-11,193
2023-06-12,206
2023-06-13,229
2023-06-14,208
2023-06-15,237
2023-06-16,243
2023-06-17,184
2023-06-18,176
2023-06-19,202
2023-06-20,246
2023-06-21,249
2023-06-22,271
2023-06-23,297
2023-06-24,325
