,Sales Rank
2022-12-14,3817
2022-12-15,3833
2022-12-16,5106
2022-12-17,5004
2022-12-18,6585
2022-12-19,6270
2022-12-20,5709
2022-12-21,5740
2022-12-22,4770
2022-12-23,4548
2022-12-24,4860
2022-12-25,4336
2022-12-26,4614
2022-12-27,4244
2022-12-28,4441
2022-12-29,3736
2022-12-30,5145
2022-12-31,5207
2023-01-01,6990
2023-01-02,5357
2023-01-03,5219
2023-01-04,5104
2023-01-05,5050
2023-01-06,5027
2023-01-07,4816
2023-01-08,4889
2023-01-09,4651
2023-01-10,4611
2023-01-11,4628
2023-01-12,4898
2023-01-13,4176
2023-01-14,4752
2023-01-15,5443
2023-01-16,5588
2023-01-17,4241
2023-01-18,5971
2023-01-19,7294
2023-01-20,6468
2023-01-21,6792
2023-01-22,4429
2023-01-23,4770
2023-01-24,5825
2023-01-25,5721
2023-01-26,6257
2023-01-27,7132
2023-01-28,7807
2023-01-29,7521
2023-01-30,5437
2023-01-31,5615
2023-02-01,4703
2023-02-02,4978
2023-02-03,5399
2023-02-04,6687
2023-02-05,6124
2023-02-06,5372
2023-02-07,4920
2023-02-08,4478
2023-02-09,4308
2023-02-10,5073
2023-02-11,4715
2023-02-12,4409
2023-02-13,4598
2023-02-14,3790
2023-02-15,4142
2023-02-16,3542
2023-02-17,4924
2023-02-18,5393
2023-02-19,5852
2023-02-20,4336
2023-02-21,3756
2023-02-22,4433
2023-02-23,4360
2023-02-24,5736
2023-02-25,5475
2023-02-26,7606
2023-02-27,6270
2023-02-28,5833
2023-03-01,6043
2023-03-02,5600
2023-03-03,5654
2023-03-04,5578
2023-03-05,6169
2023-03-06,5311
2023-03-07,5836
2023-03-08,5814
2023-03-09,5892
2023-03-10,5547
2023-03-11,6644
2023-03-12,5569
2023-03-13,5669
2023-03-14,6893
2023-03-15,6210
2023-03-16,8234
2023-03-17,7518
2023-03-18,9733
2023-03-19,9911
2023-03-20,7581
2023-03-21,7624
2023-03-22,6148
2023-03-23,6388
2023-03-24,6288
2023-03-25,6190
2023-03-26,5933
2023-03-27,4742
2023-03-28,6702
2023-03-29,6823
2023-03-30,6305
2023-03-31,6603
2023-04-01,6666
2023-04-02,5574
2023-04-03,5209
2023-04-04,4673
2023-04-05,5299
2023-04-06,4422
2023-04-07,5492
2023-04-08,6080
2023-04-09,6359
2023-04-10,6206
2023-04-11,5278
2023-04-12,5398
2023-04-13,6852
2023-04-14,7444
2023-04-15,8560
2023-04-16,8442
2023-04-17,7336
2023-04-18,6749
2023-04-19,7007
2023-04-20,6890
2023-04-21,7749
2023-04-22,8108
2023-04-23,7412
2023-04-24,6285
2023-04-25,5980
2023-04-26,6709
2023-04-27,7642
2023-04-28,6862
2023-04-29,7594
2023-04-30,8416
2023-05-01,7688
2023-05-02,6185
2023-05-03,5916
2023-05-04,4730
2023-05-05,5426
2023-05-06,5511
2023-05-07,6714
2023-05-08,4729
2023-05-09,5523
2023-05-10,4215
2023-05-11,4984
2023-05-12,4231
2023-05-13,6090
2023-05-14,6255
2023-05-15,6116
2023-05-16,5203
2023-05-17,6368
2023-05-18,5877
2023-05-19,7645
2023-05-20,6635
2023-05-21,7054
2023-05-22,6619
2023-05-23,5390
2023-05-24,4980
2023-05-25,4644
2023-05-26,6092
2023-05-27,5980
2023-05-28,5965
2023-05-30,5145
2023-05-31,5494
2023-06-01,5594
2023-06-02,4557
2023-06-03,6550
2023-06-04,6303
2023-06-05,5065
2023-06-06,5388
2023-06-07,5850
2023-06-08,6213
2023-06-09,3999
2023-06-10,3569
2023-06-11,5158
2023-06-12,3944
2023-06-13,4807
2023-06-14,4693
2023-06-15,5121
2023-06-16,4577
2023-06-17,6015
2023-06-18,7116
2023-06-19,6095
2023-06-20,5000
2023-06-21,4895
2023-06-22,4152
2023-06-23,4234
2023-06-24,4005
2023-06-25,4076
2023-06-26,3985
2023-06-27,4614
2023-06-28,4999
2023-06-29,5469
2023-06-30,4771
2023-07-01,5519
2023-07-02,6358
2023-07-03,4755
2023-07-04,4928
2023-07-05,4869
2023-07-06,5357
2023-07-07,5186
2023-07-08,5860
2023-07-09,6893
2023-07-10,5055
2023-07-11,6510
2023-07-12,7669
2023-07-13,7417
2023-07-14,6306
2023-07-15,5886
2023-07-16,5903
2023-07-17,4684
2023-07-18,4972
2023-07-19,5197
2023-07-20,4762
2023-07-21,4801
2023-07-22,5326
2023-07-23,4809
2023-07-24,4276
2023-07-25,4273
2023-07-26,4886
2023-07-27,5350
2023-07-28,5631
2023-07-29,5656
2023-07-30,4773
2023-07-31,4872
2023-08-01,5006
2023-08-02,4861
2023-08-03,4583
2023-08-04,4644
2023-08-05,4794
2023-08-06,5658
2023-08-07,5040
2023-08-08,4479
2023-08-09,4669
2023-08-10,5662
2023-08-11,5815
2023-08-12,4224
2023-08-13,6361
2023-08-14,4853
2023-08-15,5164
2023-08-16,4626
2023-08-17,4735
2023-08-18,4672
2023-08-19,5149
2023-08-20,4862
2023-08-21,4166
2023-08-22,4471
2023-08-23,3950
2023-08-24,4419
2023-08-25,4600
2023-08-26,4870
2023-08-27,6017
2023-08-28,4679
2023-08-29,4033
2023-08-30,4770
2023-08-31,4995
2023-09-01,1902
2023-09-02,17649
2023-09-03,22430
2023-09-04,24863
2023-09-05,26008
2023-09-06,19826
2023-09-07,20370
2023-09-08,440
2023-09-09,433
2023-09-10,451
2023-09-11,313
2023-09-12,325
2023-09-13,322
2023-09-14,348
2023-09-15,334
2023-09-16,334
2023-09-17,298
2023-09-18,218
2023-09-19,222
2023-09-20,243
2023-09-21,233
2023-09-22,236
2023-09-23,264
2023-09-24,263
2023-09-25,272
2023-09-26,242
2023-09-27,237
2023-09-28,231
2023-09-29,219
2023-09-30,271
2023-10-01,291
2023-10-02,284
2023-10-03,222
2023-10-04,276
2023-10-05,269
2023-10-06,246
2023-10-07,257
2023-10-08,264
2023-10-09,213
2023-10-10,214
2023-10-11,374
2023-10-12,342
2023-10-13,257
2023-10-14,289
2023-10-15,275
2023-10-16,206
2023-10-17,214
2023-10-18,227
2023-10-19,243
2023-10-20,245
2023-10-21,283
2023-10-22,341
2023-10-23,228
2023-10-24,247
2023-10-25,253
2023-10-26,271
2023-10-27,266
2023-10-28,282
2023-10-29,264
2023-10-30,198
2023-10-31,211
2023-11-01,5241
2023-11-02,4876
2023-11-03,334
2023-11-04,2384
2023-11-05,2495
2023-11-06,2197
2023-11-07,1870
2023-11-08,1848
2023-11-09,1924
2023-11-10,1956
2023-11-11,2011
2023-11-12,2357
2023-11-13,2042
2023-11-14,1971
2023-11-15,1891
2023-11-16,1995
2023-11-17,1977
2023-11-18,2311
2023-11-19,2265
2023-11-20,2142
2023-11-21,2234
2023-11-22,2307
2023-11-23,2071
2023-11-24,2678
2023-11-25,3201
2023-11-26,3249
2023-11-27,2771
2023-11-28,2568
2023-11-29,2450
2023-11-30,2355
2023-12-01,2144
2023-12-02,2532
2023-12-03,2745
2023-12-04,2230
2023-12-05,2112
2023-12-06,2275
2023-12-07,2521
2023-12-08,1972
2023-12-09,2378
2023-12-10,2846
2023-12-11,2394
2023-12-12,18817
2023-12-13,16286
2023-12-14,15625
2023-12-15,16246
2023-12-16,16283
2023-12-17,17182
2023-12-18,19769
2023-12-19,22377
2023-12-20,18711
2023-12-21,21262
2023-12-22,21146
2023-12-23,17152
2023-12-24,16219
2023-12-25,14987
2023-12-26,18745
2023-12-27,17597
2023-12-28,14452
2023-12-29,10149
2023-12-30,9371
2023-12-31,8416
2024-01-01,14211
2024-01-02,14221
2024-01-03,21483
2024-01-04,26424
2024-01-05,25656
2024-01-06,25478
2024-01-07,28296
2024-01-08,32993
2024-01-09,21045
2024-01-10,28314
2024-01-11,22583
2024-01-12,23936
2024-01-13,32946
2024-01-14,29504
2024-01-15,21810
2024-01-16,25729
2024-01-17,995
2024-01-18,795
2024-01-19,933
2024-01-20,20662
2024-01-21,20092
2024-01-22,17476
2024-01-23,15927
2024-01-24,17656
2024-01-25,104
2024-01-26,110
2024-01-27,143
2024-01-28,193
2024-01-29,98
2024-01-30,125
2024-01-31,132
2024-02-01,174
2024-02-02,223
2024-02-03,143
2024-02-04,184
2024-02-05,123
2024-02-06,119
2024-02-07,201
2024-02-08,179
2024-02-09,251
2024-02-10,283
2024-02-11,332
2024-02-12,204
2024-02-13,167
2024-02-14,191
2024-02-15,282
2024-02-16,290
2024-02-17,389
2024-02-18,401
2024-02-19,207
2024-02-20,242
2024-02-21,290
2024-02-22,216
2024-02-23,232
2024-02-24,395
2024-02-25,454
2024-02-26,238
2024-02-27,266
2024-02-28,275
2024-02-29,263
2024-03-01,329
