,Sales Rank
2022-12-14,622
2022-12-15,574
2022-12-16,641
2022-12-17,680
2022-12-18,756
2022-12-19,736
2022-12-20,754
2022-12-21,647
2022-12-22,600
2022-12-23,673
2022-12-24,731
2022-12-25,689
2022-12-26,677
2022-12-27,607
2022-12-28,608
2022-12-29,615
2022-12-30,642
2022-12-31,712
2023-01-01,620
2023-01-02,609
2023-01-03,414
2023-01-04,151
2023-01-05,260
2023-01-06,300
2023-01-07,336
2023-01-08,372
2023-01-09,393
2023-01-10,426
2023-01-11,436
2023-01-12,457
2023-01-13,434
2023-01-14,503
2023-01-15,476
2023-01-16,443
2023-01-17,506
2023-01-18,529
2023-01-19,499
2023-01-20,556
2023-01-21,523
2023-01-22,589
2023-01-23,585
2023-01-24,608
2023-01-25,541
2023-01-26,708
2023-01-27,367
2023-01-28,460
2023-01-29,546
2023-01-30,480
2023-01-31,454
2023-02-01,510
2023-02-02,539
2023-02-03,473
2023-02-04,703
2023-02-05,714
2023-02-06,364
2023-02-07,396
2023-02-08,404
2023-02-09,537
2023-02-10,434
2023-02-11,498
2023-02-12,533
2023-02-13,409
2023-02-14,442
2023-02-15,430
2023-02-16,424
2023-02-17,433
2023-02-18,427
2023-02-19,452
2023-02-20,478
2023-02-21,491
2023-02-22,440
2023-02-23,445
2023-02-24,472
2023-02-25,490
2023-02-26,456
2023-02-27,415
2023-02-28,420
2023-03-01,438
2023-03-02,492
2023-03-03,452
2023-03-04,476
2023-03-05,595
2023-03-06,503
2023-03-07,493
2023-03-08,524
2023-03-09,515
2023-03-10,517
2023-03-11,550
2023-03-12,533
2023-03-13,488
2023-03-14,466
2023-03-15,498
2023-03-16,480
2023-03-17,470
2023-03-18,480
2023-03-19,541
2023-03-20,467
2023-03-21,435
2023-03-22,295
2023-03-23,407
2023-03-24,443
2023-03-25,439
2023-03-26,482
2023-03-27,461
2023-03-28,426
2023-03-29,345
2023-03-30,437
2023-03-31,470
2023-04-01,436
2023-04-02,466
2023-04-03,441
2023-04-04,442
2023-04-05,434
2023-04-06,432
2023-04-07,418
2023-04-08,432
2023-04-09,425
2023-04-10,268
2023-04-11,255
2023-04-12,361
2023-04-13,441
2023-04-14,423
2023-04-15,500
2023-04-16,517
2023-04-17,452
2023-04-18,602
2023-04-19,726
2023-04-20,645
2023-04-21,752
2023-04-22,714
2023-04-23,827
2023-04-24,211
2023-04-25,186
2023-04-26,391
2023-04-27,487
2023-04-28,561
2023-04-29,648
2023-04-30,673
2023-05-01,611
2023-05-02,608
2023-05-03,552
2023-05-04,555
2023-05-05,499
2023-05-06,546
2023-05-07,600
2023-05-08,484
2023-05-09,584
2023-05-10,539
2023-05-11,527
2023-05-12,459
2023-05-13,547
2023-05-14,494
2023-05-15,467
2023-05-16,439
2023-05-17,484
2023-05-18,482
2023-05-19,442
2023-05-20,517
2023-05-21,482
2023-05-22,454
2023-05-23,434
2023-05-24,460
2023-05-25,380
2023-05-26,397
2023-05-27,607
2023-05-28,672
2023-05-30,580
2023-05-31,158
2023-06-01,319
2023-06-02,359
2023-06-03,559
2023-06-04,584
2023-06-05,614
2023-06-06,591
2023-06-07,586
2023-06-08,525
2023-06-09,514
2023-06-10,602
2023-06-11,648
2023-06-12,544
2023-06-13,533
2023-06-14,516
2023-06-15,548
2023-06-16,539
2023-06-17,566
2023-06-18,544
2023-06-19,433
2023-06-20,476
2023-06-21,518
2023-06-22,531
2023-06-23,497
2023-06-24,500
2023-06-25,506
2023-06-26,544
2023-06-27,479
2023-06-28,522
2023-06-29,568
2023-06-30,495
2023-07-01,628
2023-07-02,555
2023-07-03,430
2023-07-04,465
2023-07-05,486
2023-07-06,514
2023-07-07,503
2023-07-08,601
2023-07-09,660
2023-07-10,561
2023-07-11,623
2023-07-12,806
2023-07-13,758
2023-07-14,634
2023-07-15,705
2023-07-16,701
2023-07-17,579
2023-07-18,547
2023-07-19,598
2023-07-20,620
2023-07-21,579
2023-07-22,436
2023-07-23,551
2023-07-24,536
2023-07-25,468
2023-07-26,528
2023-07-27,580
2023-07-28,543
2023-07-29,609
2023-07-30,582
2023-07-31,492
2023-08-01,491
2023-08-02,538
2023-08-03,531
2023-08-04,506
2023-08-05,506
2023-08-06,589
2023-08-07,518
2023-08-08,521
2023-08-09,623
2023-08-10,695
2023-08-11,623
2023-08-12,701
2023-08-13,669
2023-08-14,191
2023-08-15,287
2023-08-16,418
2023-08-17,524
2023-08-18,512
2023-08-19,581
2023-08-20,663
2023-08-21,509
2023-08-22,505
2023-08-23,475
2023-08-24,502
2023-08-25,375
2023-08-26,465
2023-08-27,493
2023-08-28,457
2023-08-29,419
2023-08-30,462
2023-08-31,485
2023-09-01,428
2023-09-02,509
2023-09-03,566
2023-09-04,492
2023-09-05,500
2023-09-06,541
2023-09-07,470
2023-09-08,456
2023-09-09,585
2023-09-10,636
2023-09-11,496
2023-09-12,510
2023-09-13,519
2023-09-14,512
2023-09-15,489
2023-09-16,550
2023-09-17,599
2023-09-18,501
2023-09-19,505
2023-09-20,465
2023-09-21,478
2023-09-22,406
2023-09-23,464
2023-09-24,505
2023-09-25,443
2023-09-26,421
2023-09-27,459
2023-09-28,414
2023-09-29,419
2023-09-30,472
2023-10-01,480
2023-10-02,438
2023-10-03,464
2023-10-04,480
2023-10-05,484
2023-10-06,459
2023-10-07,498
2023-10-08,551
2023-10-09,484
2023-10-10,457
2023-10-11,541
2023-10-12,641
2023-10-13,459
2023-10-14,490
2023-10-15,535
2023-10-16,453
2023-10-17,494
2023-10-18,466
2023-10-19,501
2023-10-20,450
2023-10-21,482
2023-10-22,540
2023-10-23,462
2023-10-24,456
2023-10-25,440
2023-10-26,472
2023-10-27,434
2023-10-28,494
2023-10-29,523
2023-10-30,474
2023-10-31,425
2023-11-01,425
2023-11-02,467
2023-11-03,419
2023-11-04,522
2023-11-05,526
2023-11-06,451
2023-11-07,455
2023-11-08,505
2023-11-09,519
2023-11-10,364
2023-11-11,459
2023-11-12,525
2023-11-13,480
