,Sales Rank
2022-12-14,173
2022-12-15,197
2022-12-16,220
2022-12-17,237
2022-12-18,235
2022-12-19,225
2022-12-20,234
2022-12-21,235
2022-12-23,231
2022-12-24,235
2022-12-25,261
2022-12-26,221
2022-12-27,191
2022-12-28,186
2022-12-29,89376
2022-12-30,35967
2022-12-31,38720
2023-01-01,68834
2023-01-02,77057
2023-01-03,85131
2023-01-04,119
2023-01-05,108
2023-01-06,110
2023-01-07,108
2023-01-08,116
2023-01-09,113
2023-01-10,114
2023-01-11,116
2023-01-12,107
2023-01-13,103
2023-01-14,94
2023-01-15,91
2023-01-16,96
2023-01-17,95
2023-01-18,105
2023-01-19,92
2023-01-20,107
2023-01-21,106
2023-01-22,95
2023-01-23,111
2023-01-24,99
2023-01-25,116
2023-01-26,121
2023-01-27,115
2023-01-29,130
2023-01-30,126
2023-01-31,127
2023-02-01,120
2023-02-02,119
2023-02-03,111
2023-02-04,109
2023-02-05,102
2023-02-06,93
2023-02-07,100
2023-02-08,103
2023-02-09,107
2023-02-10,103
2023-02-11,111
2023-02-12,96
2023-02-13,98
2023-02-14,108
2023-02-15,102
2023-02-16,97
2023-02-17,102
2023-02-18,99
2023-02-19,82
2023-02-20,97
2023-02-21,113
2023-02-22,124
2023-02-23,115
2023-02-24,120
2023-02-25,102
2023-02-26,96
2023-02-27,99
2023-02-28,96
2023-03-01,83
2023-03-02,86
2023-03-03,96
2023-03-04,103
2023-03-05,83
2023-03-06,97
2023-03-07,95
2023-03-08,102
2023-03-09,99
2023-03-10,105
2023-03-11,97
2023-03-12,103
2023-03-13,106
2023-03-14,103
2023-03-15,93
2023-03-16,104
2023-03-17,102
2023-03-18,99
2023-03-19,85
2023-03-20,97
2023-03-21,82
2023-03-22,90
2023-03-23,103
2023-03-24,105
2023-03-25,108
2023-03-26,93
2023-03-27,98
2023-03-28,103
2023-03-29,92
2023-03-30,100
2023-03-31,99
2023-04-01,107
2023-04-02,93
2023-04-03,84
2023-04-04,92
2023-04-05,81
2023-04-06,95
2023-04-07,107
2023-04-08,106
2023-04-09,88
2023-04-10,93
2023-04-11,98
2023-04-12,73
2023-04-13,75
2023-04-14,88
2023-04-15,80
2023-04-16,63
2023-04-17,89
2023-04-18,76
2023-04-19,83
2023-04-20,88
2023-04-21,81
2023-04-22,84
2023-04-23,79
2023-04-24,92
2023-04-25,83
2023-04-26,82
2023-04-27,94
2023-04-28,101
2023-04-29,90
2023-04-30,81
2023-05-01,84
2023-05-02,109
2023-05-03,108
2023-05-04,100
2023-05-05,92
2023-05-06,92
2023-05-07,77
2023-05-08,87
2023-05-09,80
2023-05-10,81
2023-05-11,83
2023-05-12,86
2023-05-13,82
2023-05-14,83
2023-05-15,77
2023-05-16,79
2023-05-17,82
2023-05-18,86
2023-05-19,81
2023-05-20,80
2023-05-21,69
2023-05-22,77
2023-05-23,77
2023-05-24,78
2023-05-25,80
2023-05-26,88
2023-05-27,92
2023-05-28,92
2023-05-30,76
2023-05-31,77
2023-06-01,80
2023-06-02,86
2023-06-03,110
2023-06-04,93
2023-06-05,85
2023-06-06,76
2023-06-07,91
2023-06-08,85
2023-06-09,105
2023-06-10,80
2023-06-11,83
2023-06-12,86
2023-06-13,92
2023-06-14,90
2023-06-15,101
2023-06-16,99
2023-06-17,97
2023-06-18,96
2023-06-19,90
2023-06-20,99
2023-06-21,98
2023-06-22,90
2023-06-23,92
2023-06-24,104
2023-06-25,111
2023-06-26,117
2023-06-27,120
2023-06-28,104
2023-06-29,99
2023-06-30,110
2023-07-01,123
2023-07-02,106
2023-07-03,111
2023-07-04,123
2023-07-05,98
2023-07-06,101
2023-07-07,79
2023-07-08,98
2023-07-09,96
