,Sales Rank
2022-12-14,931
2022-12-15,1040
2022-12-16,1014
2022-12-17,939
2022-12-18,1049
2022-12-19,1090
2022-12-20,1148
2022-12-21,1117
2022-12-22,1123
2022-12-23,1011
2022-12-24,972
2022-12-25,871
2022-12-26,912
2022-12-27,980
2022-12-28,934
2022-12-29,867
2022-12-30,787
2022-12-31,722
2023-01-01,659
2023-01-02,734
2023-01-03,677
2023-01-04,692
2023-01-05,673
2023-01-06,649
2023-01-07,627
2023-01-08,609
2023-01-09,569
2023-01-10,560
2023-01-11,551
2023-01-12,550
2023-01-13,535
2023-01-14,498
2023-01-15,543
2023-01-16,562
2023-01-17,487
2023-01-18,536
2023-01-19,563
2023-01-20,547
2023-01-21,537
2023-01-22,522
2023-01-23,601
2023-01-24,599
2023-01-25,628
2023-01-26,584
2023-01-27,504
2023-01-28,558
2023-01-29,615
2023-01-30,638
2023-01-31,525
2023-02-01,479
2023-02-02,494
2023-02-03,548
2023-02-04,651
2023-02-05,574
2023-02-06,550
2023-02-07,496
2023-02-08,481
2023-02-09,424
2023-02-10,472
2023-02-11,472
2023-02-12,521
2023-02-13,528
2023-02-14,335
2023-02-15,384
2023-02-16,365
2023-02-17,330
2023-02-18,323
2023-02-19,317
2023-02-20,376
2023-02-21,349
2023-02-22,374
2023-02-23,356
2023-02-24,309
2023-02-25,290
2023-02-26,306
2023-02-27,293
2023-02-28,302
2023-03-01,279
2023-03-02,224
2023-03-03,208
2023-03-04,221
2023-03-05,216
2023-03-06,181
2023-03-07,192
2023-03-08,189
2023-03-09,207
2023-03-10,194
2023-03-11,202
2023-03-12,203
2023-03-13,217
2023-03-14,246
2023-03-15,222
2023-03-16,242
2023-03-17,197
2023-03-18,178
2023-03-19,181
2023-03-20,202
2023-03-21,188
2023-03-22,183
2023-03-23,198
2023-03-24,181
2023-03-25,180
2023-03-26,179
2023-03-27,163
2023-03-28,170
2023-03-29,163
2023-03-30,165
2023-03-31,170
2023-04-01,158
2023-04-02,132
2023-04-03,131
2023-04-04,147
2023-04-05,154
2023-04-06,146
2023-04-07,132
2023-04-08,116
2023-04-09,126
2023-04-10,109
2023-04-11,107
2023-04-12,100
