,Sales Rank
2022-12-14,305
2022-12-15,293
2022-12-16,505
2022-12-17,213
2022-12-18,352
2022-12-19,362
2022-12-20,456
2022-12-21,514
2022-12-22,458
2022-12-23,460
2022-12-24,491
2022-12-25,436
2022-12-26,390
2022-12-27,377
2022-12-28,424
2022-12-29,387
2022-12-30,417
2022-12-31,425
2023-01-01,452
2023-01-02,434
2023-01-03,422
2023-01-04,403
2023-01-05,420
2023-01-06,390
2023-01-07,407
2023-01-08,377
2023-01-09,367
2023-01-10,358
2023-01-11,349
2023-01-12,391
2023-01-13,304
2023-01-14,518
2023-01-15,381
2023-01-16,329
2023-01-17,298
2023-01-18,298
2023-01-19,293
2023-01-20,314
2023-01-21,348
2023-01-22,327
2023-01-23,292
2023-01-24,306
2023-01-25,255
2023-01-26,249
2023-01-27,291
2023-01-28,415
2023-01-29,269
2023-01-30,329
2023-01-31,310
2023-02-01,363
2023-02-02,379
2023-02-03,404
2023-02-04,474
2023-02-05,517
2023-02-06,250
2023-02-07,256
2023-02-08,258
2023-02-09,336
2023-02-10,413
2023-02-11,397
2023-02-12,282
2023-02-13,302
2023-02-14,290
2023-02-15,283
2023-02-16,290
2023-02-17,360
2023-02-18,552
2023-02-19,316
2023-02-20,216
2023-02-21,310
2023-02-22,258
2023-02-23,185
2023-02-24,300
2023-02-25,446
2023-02-26,423
2023-02-27,260
2023-02-28,340
2023-03-01,435
2023-03-02,334
2023-03-03,301
2023-03-04,559
2023-03-05,440
2023-03-06,534
2023-03-07,419
2023-03-08,535
2023-03-09,387
2023-03-10,436
2023-03-11,420
2023-03-12,436
2023-03-13,277
2023-03-14,272
2023-03-15,310
2023-03-16,241
2023-03-17,277
2023-03-18,317
2023-03-19,299
2023-03-20,245
2023-03-21,307
2023-03-22,349
2023-03-23,246
2023-03-24,299
2023-03-25,367
2023-03-26,487
2023-03-27,326
2023-03-28,388
2023-03-29,358
2023-03-30,321
2023-03-31,266
2023-04-01,354
2023-04-02,378
2023-04-03,264
2023-04-04,223
2023-04-05,304
2023-04-06,281
2023-04-07,257
2023-04-08,308
2023-04-09,313
2023-04-10,233
2023-04-11,323
2023-04-12,242
2023-04-13,198
2023-04-14,245
2023-04-15,275
2023-04-16,335
2023-04-17,233
2023-04-18,260
2023-04-19,266
2023-04-20,241
2023-04-21,255
2023-04-22,315
2023-04-23,265
2023-04-24,215
2023-04-25,306
2023-04-26,282
2023-04-27,216
2023-04-28,221
2023-04-29,398
2023-04-30,372
2023-05-01,300
2023-05-02,342
2023-05-03,354
2023-05-04,203
2023-05-05,244
2023-05-06,300
2023-05-07,340
2023-05-08,245
2023-05-09,254
2023-05-10,291
2023-05-11,229
2023-05-12,233
2023-05-13,304
2023-05-14,341
2023-05-15,234
2023-05-16,286
2023-05-17,251
2023-05-18,171
2023-05-19,239
2023-05-20,343
2023-05-21,346
2023-05-22,228
2023-05-23,280
2023-05-24,384
2023-05-25,195
2023-05-26,216
2023-05-27,305
2023-05-28,335
2023-05-30,245
2023-05-31,329
2023-06-01,305
2023-06-02,240
2023-06-03,255
2023-06-04,264
2023-06-05,232
2023-06-06,235
2023-06-07,219
2023-06-08,236
2023-06-09,240
2023-06-10,292
2023-06-11,288
2023-06-12,231
2023-06-13,222
2023-06-14,286
2023-06-15,203
2023-06-16,237
2023-06-17,310
2023-06-18,324
2023-06-19,213
2023-06-20,259
2023-06-21,292
2023-06-22,308
2023-06-23,309
2023-06-24,362
2023-06-25,444
2023-06-26,462
2023-06-27,249
2023-06-28,264
2023-06-29,412
2023-06-30,388
2023-07-01,505
2023-07-02,546
2023-07-03,375
2023-07-04,354
2023-07-05,337
2023-07-06,340
2023-07-07,339
2023-07-08,407
2023-07-09,516
2023-07-10,311
2023-07-11,492
2023-07-12,958
2023-07-13,820
2023-07-14,328
2023-07-15,423
2023-07-16,508
2023-07-17,326
2023-07-18,363
2023-07-19,432
2023-07-20,406
2023-07-21,352
2023-07-22,459
2023-07-23,502
2023-07-24,325
2023-07-25,335
2023-07-26,356
2023-07-27,310
2023-07-28,402
2023-07-29,458
2023-07-30,594
2023-07-31,376
2023-08-01,415
2023-08-02,442
2023-08-03,337
2023-08-04,390
2023-08-05,358
2023-08-06,474
2023-08-07,362
2023-08-08,346
2023-08-09,400
2023-08-10,365
2023-08-11,414
2023-08-12,534
2023-08-13,501
2023-08-14,332
2023-08-15,428
2023-08-16,386
2023-08-17,320
2023-08-18,348
2023-08-19,450
2023-08-20,239
2023-08-21,340
2023-08-22,358
2023-08-23,343
2023-08-24,309
2023-08-25,256
2023-08-26,360
2023-08-27,444
2023-08-28,276
2023-08-29,252
2023-08-30,294
2023-08-31,278
2023-09-01,268
2023-09-02,325
2023-09-03,339
2023-09-04,248
2023-09-05,259
2023-09-06,272
2023-09-07,283
2023-09-08,252
2023-09-09,298
2023-09-10,332
2023-09-11,231
2023-09-12,285
2023-09-13,233
2023-09-14,231
2023-09-15,253
2023-09-16,360
2023-09-17,351
2023-09-18,264
2023-09-19,285
2023-09-20,275
2023-09-21,254
2023-09-22,257
2023-09-23,285
2023-09-24,302
2023-09-25,249
2023-09-26,244
2023-09-27,271
2023-09-28,266
2023-09-29,260
2023-09-30,322
2023-10-01,320
2023-10-02,227
2023-10-03,237
2023-10-04,226
2023-10-05,249
2023-10-06,235
2023-10-07,294
2023-10-08,287
2023-10-09,223
2023-10-10,418
2023-10-11,417
2023-10-12,349
2023-10-13,286
2023-10-14,353
