,Sales Rank
2022-12-14,452
2022-12-15,545
2022-12-16,598
2022-12-17,644
2022-12-18,670
2022-12-19,649
2022-12-20,602
2022-12-21,525
2022-12-22,515
2022-12-23,532
2022-12-24,533
2022-12-25,506
2022-12-26,449
2022-12-27,415
2022-12-28,437
2022-12-29,393
2022-12-30,377
2022-12-31,395
2023-01-01,405
2023-01-02,352
2023-01-03,354
2023-01-04,371
2023-01-05,374
2023-01-06,379
2023-01-07,400
2023-01-08,418
2023-01-09,428
2023-01-10,437
2023-01-11,441
2023-01-12,431
2023-01-13,470
2023-01-14,546
2023-01-15,535
2023-01-16,554
2023-01-17,555
2023-01-18,603
2023-01-19,386
2023-01-20,561
2023-01-21,505
2023-01-22,516
2023-01-23,476
2023-01-24,424
2023-01-25,367
2023-01-26,377
2023-01-27,422
2023-01-28,440
2023-01-29,460
2023-01-30,389
2023-01-31,261
2023-02-01,246
2023-02-02,233
2023-02-03,210
2023-02-04,184
2023-02-05,229
2023-02-06,258
2023-02-07,224
2023-02-08,254
2023-02-09,314
2023-02-10,321
2023-02-11,352
2023-02-12,327
2023-02-13,331
2023-02-14,667
2023-02-15,820
2023-02-16,686
2023-02-17,675
2023-02-18,704
2023-02-19,615
2023-02-20,589
2023-02-21,560
2023-02-22,606
2023-02-23,700
2023-02-24,664
2023-02-25,697
2023-02-26,778
2023-02-27,690
2023-02-28,659
2023-03-01,514
2023-03-02,542
2023-03-03,491
2023-03-04,502
2023-03-05,584
2023-03-06,536
2023-03-07,516
2023-03-08,498
2023-03-09,559
2023-03-10,505
2023-03-11,543
2023-03-12,584
2023-03-13,573
2023-03-14,536
2023-03-15,519
2023-03-16,383
2023-03-17,381
2023-03-18,267
2023-03-19,233
2023-03-20,151
2023-03-21,190
2023-03-22,337
2023-03-23,308
2023-03-24,450
2023-03-25,441
2023-03-26,455
2023-03-27,435
2023-03-28,421
2023-03-29,510
2023-03-30,451
2023-03-31,430
2023-04-01,468
2023-04-02,519
2023-04-03,432
2023-04-04,409
2023-04-05,383
2023-04-06,402
2023-04-07,411
2023-04-08,417
2023-04-09,446
2023-04-10,415
2023-04-11,413
2023-04-12,406
2023-04-13,397
2023-04-14,408
2023-04-15,428
2023-04-16,427
2023-04-17,418
2023-04-18,353
2023-04-19,293
2023-04-20,356
2023-04-21,369
2023-04-22,364
2023-04-23,366
2023-04-24,381
2023-04-25,356
2023-04-26,281
2023-04-27,97
2023-04-28,99
2023-04-29,103
2023-04-30,104
2023-05-01,155
2023-05-02,298
2023-05-03,747
2023-05-04,586
2023-05-05,925
2023-05-06,395
2023-05-07,266
2023-05-08,241
2023-05-09,210
2023-05-10,259
2023-05-11,259
2023-05-12,231
2023-05-13,208
2023-05-14,217
2023-05-15,203
2023-05-16,258
2023-05-17,345
2023-05-18,213
2023-05-19,181
2023-05-20,591
2023-05-21,604
2023-05-22,609
2023-05-23,519
2023-05-24,1482
2023-05-25,582
2023-05-26,540
2023-05-27,625
2023-05-28,610
2023-05-31,1244
2023-06-01,2141
2023-06-02,3161
2023-06-03,446
2023-06-04,607
2023-06-05,597
2023-06-06,600
2023-06-07,984
2023-06-08,602
2023-06-09,572
2023-06-10,471
2023-06-11,467
2023-06-12,496
2023-06-13,548
2023-06-14,1038
2023-06-15,798
2023-06-16,835
2023-06-17,988
2023-06-18,1009
2023-06-19,908
2023-06-20,1185
2023-06-21,52388
2023-06-22,63890
2023-06-23,53017
2023-06-24,50871
2023-06-25,57642
2023-06-26,57932
2023-06-27,34171
2023-06-28,42758
2023-06-29,54609
2023-06-30,32465
2023-07-01,45306
2023-07-02,31898
2023-07-03,39705
2023-07-04,59219
2023-07-05,51111
2023-07-06,37004
2023-07-07,30330
2023-07-08,39672
2023-07-09,32921
2023-07-10,39405
2023-07-11,50565
2023-07-12,45410
2023-07-14,35678
2023-07-15,52065
2023-07-16,53028
2023-07-17,58501
2023-07-18,61851
2023-07-19,31439
2023-07-20,53033
2023-07-21,52006
2023-07-22,39191
2023-07-23,45987
2023-07-24,39126
2023-07-25,47327
2023-07-26,64060
2023-07-27,71965
2023-07-28,59306
2023-07-29,54430
2023-07-30,54026
2023-07-31,38752
2023-08-02,46110
2023-08-03,49379
2023-08-04,53795
2023-08-06,42315
2023-08-07,39688
2023-08-08,59749
2023-08-09,38361
2023-08-10,51314
2023-08-11,41974
2023-08-12,67613
2023-08-13,45340
2023-08-14,32528
2023-08-15,46608
2023-08-16,66022
2023-08-17,39182
2023-08-18,37465
2023-08-19,35594
2023-08-20,49025
2023-08-21,61960
2023-08-22,47918
2023-08-23,70891
2023-08-24,53828
2023-08-25,30419
2023-08-26,51082
2023-08-27,84
2023-08-28,9
2023-08-29,10
2023-08-30,8
2023-08-31,12
2023-09-01,10
2023-09-02,2
2023-09-03,2
2023-09-04,3
2023-09-05,4
2023-09-06,3
2023-09-07,3
2023-09-08,4
2023-09-09,4
2023-09-11,4
2023-09-13,5
2023-09-15,5
2023-09-16,5
2023-09-17,7
2023-09-18,6
2023-09-19,5
2023-09-20,6
2023-09-21,5
2023-09-22,5
2023-09-24,6
2023-09-25,5
2023-09-27,6
2023-09-29,50377
2023-09-30,43992
2023-10-01,49088
2023-10-02,35471
2023-10-03,65997
2023-10-04,60044
2023-10-05,55825
2023-10-06,52658
2023-10-07,51456
2023-10-08,51442
2023-10-09,38505
2023-10-10,51228
2023-10-11,74158
2023-10-12,84079
2023-10-13,89677
2023-10-14,65512
2023-10-15,77998
2023-10-16,90890
2023-10-17,48597
2023-10-18,62865
2023-10-19,49086
2023-10-20,68005
2023-10-21,56750
