,Sales Rank
2022-12-14,289
2022-12-15,266
2022-12-16,277
2022-12-17,311
2022-12-18,360
2022-12-19,357
2022-12-20,267
2022-12-21,284
2022-12-22,255
2022-12-23,215
2022-12-24,219
2022-12-25,204
2022-12-26,180
2022-12-27,176
2022-12-28,193
2022-12-29,185
2022-12-30,197
2022-12-31,204
2023-01-01,217
2023-01-02,176
2023-01-03,171
2023-01-04,169
2023-01-05,173
2023-01-06,174
2023-01-07,177
2023-01-08,174
2023-01-09,176
2023-01-10,178
2023-01-11,184
2023-01-12,179
2023-01-13,180
2023-01-14,178
2023-01-15,201
2023-01-16,281
2023-01-17,307
2023-01-18,210
2023-01-19,189
2023-01-20,176
2023-01-21,188
2023-01-22,219
2023-01-23,183
2023-01-24,192
2023-01-25,154
2023-01-26,145
2023-01-27,286
2023-01-28,378
2023-01-29,430
2023-01-30,319
2023-01-31,281
2023-02-01,287
2023-02-02,282
2023-02-03,277
2023-02-04,307
2023-02-05,397
2023-02-06,289
2023-02-07,263
2023-02-08,281
2023-02-09,175
2023-02-10,156
2023-02-11,179
2023-02-12,221
2023-02-13,191
2023-02-14,175
2023-02-15,120
2023-02-16,113
2023-02-17,120
2023-02-18,136
2023-02-19,145
2023-02-20,127
2023-02-21,127
2023-02-22,99
2023-02-23,128
2023-02-24,138
2023-02-25,261
2023-02-26,185
2023-02-27,271
2023-02-28,309
2023-03-01,209
2023-03-02,192
2023-03-03,254
2023-03-04,337
2023-03-05,269
2023-03-06,232
2023-03-07,186
2023-03-08,209
2023-03-09,212
2023-03-10,200
2023-03-11,216
2023-03-12,267
2023-03-13,207
2023-03-14,192
2023-03-15,199
2023-03-16,207
2023-03-17,221
2023-03-18,213
2023-03-19,243
2023-03-20,206
2023-03-21,266
2023-03-22,291
2023-03-23,156
2023-03-24,211
2023-03-25,214
2023-03-26,238
2023-03-27,218
2023-03-28,235
2023-03-29,326
2023-03-30,191
2023-03-31,198
2023-04-01,210
2023-04-02,222
2023-04-03,203
2023-04-04,282
2023-04-05,209
2023-04-06,195
2023-04-07,193
2023-04-08,206
2023-04-09,213
2023-04-10,193
2023-04-11,205
2023-04-12,223
2023-04-13,227
2023-04-14,205
2023-04-15,204
2023-04-16,225
2023-04-17,177
2023-04-18,159
2023-04-19,159
2023-04-20,175
2023-04-21,175
2023-04-22,206
2023-04-23,180
2023-04-24,156
2023-04-25,171
2023-04-26,367
2023-04-27,185
2023-04-28,192
2023-04-29,210
2023-04-30,222
2023-05-01,206
2023-05-02,205
2023-05-03,200
2023-05-04,202
2023-05-05,175
2023-05-06,193
2023-05-07,201
2023-05-08,195
2023-05-09,191
2023-05-10,176
2023-05-11,191
2023-05-12,182
2023-05-13,182
2023-05-14,202
2023-05-15,183
2023-05-16,195
2023-05-17,208
2023-05-18,153
2023-05-19,165
2023-05-20,200
2023-05-21,223
2023-05-22,195
2023-05-23,190
2023-05-24,136
2023-05-25,152
2023-05-26,160
